,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,NYU,NYU,NYU,NYU,NYU,NYU,NYU,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM,USM,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,276.39823172168127,141.59310942962435,0.0,0.0,0.0,0.0,0.0,3.0975259299745885,0.0,0.0,0.0,0.0,0.0,12.318665898528247,18.422055160332306,0.0,0.0,0.0,0.0,0.0,99.64471775168093,5.359592539648958,0.0,0.0,0.0,0.0,0.0,16.98737127376107,65.74782753695513,0.0,0.0,0.0,0.0,0.0,484.65874284642126,14.787702688853983,0.0,0.0,0.0,0.0,0.0,313.41028530411654,63.59767400500309,0.0,0.0,0.0,0.0,0.0,397.6604470848904,11.902204080619681,0.0,0.0,0.0,0.0,0.0,29.48217275515029,32.983588498433576,0.0,0.0,0.0,0.0,0.0,823.6521890402935,11.581238019402083,0.0,0.0,0.0,0.0,0.0,37.82420576252587,38.52167813869016,0.0,0.0,0.0,0.0,0.0,894.9727615246362,14.396005332020561,0.0,0.0,0.0,0.0,0.0,297.8887765514915,42.75847660936914,0.0,0.0,0.0,0.0,0.0,238.03265279397644,375.5637667998364,0.0,0.0,0.0,0.0,0.0,2155.3402674739255,430.5727139040263,0.0,0.0,0.0,0.0,0.0,2571.7253673451723,494.84664025475706,0.0,0.0,0.0,0.0,0.0,1866.8986648862074,98.96508097684595,0.0,0.0,0.0,0.0,0.0,304.0156667909392
1,558.5619840577946,38.50702602550794,0.0,0.0,0.0,0.0,0.0,1.8882116159985705,0.0,0.0,0.0,0.0,0.0,18.610821147548062,1.6358799791665226,0.0,0.0,0.0,0.0,0.0,10.815583572195644,2.5776884289218946,0.0,0.0,0.0,0.0,0.0,9.178665891616147,26.163012069129365,0.0,0.0,0.0,0.0,0.0,728.6934583011356,11.149738879447424,0.0,0.0,0.0,0.0,0.0,90.16861529120906,26.503379412955578,0.0,0.0,0.0,0.0,0.0,281.7113427686836,11.446970280187314,0.0,0.0,0.0,0.0,0.0,174.57095743885833,41.21757032175102,0.0,0.0,0.0,0.0,0.0,532.8082064040194,60.53136281798855,0.0,0.0,0.0,0.0,0.0,79.925839977158,35.62258027126121,0.0,0.0,0.0,0.0,0.0,1009.17095966061,6.804104405498288,0.0,0.0,0.0,0.0,0.0,52.54006802967094,29.463339801888736,0.0,0.0,0.0,0.0,0.0,87.6547494244753,197.77564562037924,0.0,0.0,0.0,0.0,0.0,979.650574476936,85.39899162385808,0.0,0.0,0.0,0.0,0.0,531.7803070693836,151.50899345285234,0.0,0.0,0.0,0.0,0.0,895.0481085294202,74.58062765594393,0.0,0.0,0.0,0.0,0.0,201.15940637367945
2,451.32605900889723,34.53253066029021,0.0,0.0,0.0,0.0,0.0,0.5600137157738762,0.0,0.0,0.0,0.0,0.0,20.996426372517128,0.761840243609777,0.0,0.0,0.0,0.0,0.0,16.001976118564595,2.3048778150539637,0.0,0.0,0.0,0.0,0.0,38.18915569322009,21.42634872383116,0.0,0.0,0.0,0.0,0.0,551.2277732388361,9.780496379869446,0.0,0.0,0.0,0.0,0.0,65.91496321562829,23.85485329200487,0.0,0.0,0.0,0.0,0.0,602.3894970099013,6.628898333627085,0.0,0.0,0.0,0.0,0.0,73.32782072016023,26.639230718767596,0.0,0.0,0.0,0.0,0.0,144.8316024021724,29.98045603040666,0.0,0.0,0.0,0.0,0.0,171.39484332640896,22.560892677681956,0.0,0.0,0.0,0.0,0.0,545.465846839538,2.369961049374601,0.0,0.0,0.0,0.0,0.0,40.14699834680724,30.6100650039798,0.0,0.0,0.0,0.0,0.0,36.24546449842372,113.68077202183399,0.0,0.0,0.0,0.0,0.0,554.4082421642058,52.92186303086292,0.0,0.0,0.0,0.0,0.0,167.90130931887435,116.48838732233011,0.0,0.0,0.0,0.0,0.0,698.5295696932864,75.96266718942191,0.0,0.0,0.0,0.0,0.0,282.3775134600467
3,502.05113867118615,20.502386970559623,0.0,0.0,0.0,0.0,0.0,0.43957367822677096,0.0,0.0,0.0,0.0,0.0,2.6698546850592204,1.790774315682758,0.0,0.0,0.0,0.0,0.0,7.85101211907125,1.3533202460679299,0.0,0.0,0.0,0.0,0.0,10.099098181841105,20.626228573342274,0.0,0.0,0.0,0.0,0.0,504.27857594937075,10.264306905536435,0.0,0.0,0.0,0.0,0.0,14.097920813480147,22.245151732829406,0.0,0.0,0.0,0.0,0.0,132.08588239704065,6.513751558234118,0.0,0.0,0.0,0.0,0.0,414.27789399430736,22.572821843316564,0.0,0.0,0.0,0.0,0.0,62.37053049863472,16.028157029009744,0.0,0.0,0.0,0.0,0.0,97.92012004539038,15.326113832792586,0.0,0.0,0.0,0.0,0.0,332.9118306521183,1.8389038606640333,0.0,0.0,0.0,0.0,0.0,38.16849002948334,27.437111709594152,0.0,0.0,0.0,0.0,0.0,13.814294282525646,117.9465316617806,0.0,0.0,0.0,0.0,0.0,84.2670573464122,28.48136566480739,0.0,0.0,0.0,0.0,0.0,78.6102504312492,76.73338463551181,0.0,0.0,0.0,0.0,0.0,344.43744414076593,67.19154683155433,0.0,0.0,0.0,0.0,0.0,151.48544150480026
4,493.4642282846856,48.02833750126477,0.0,0.0,0.0,0.0,0.0,0.5127886668652147,0.0,0.0,0.0,0.0,0.0,3.971164445411532,0.5848952440540683,0.0,0.0,0.0,0.0,0.0,2.5251026938657204,0.8165784777176507,0.0,0.0,0.0,0.0,0.0,9.929702689669774,26.2096638711919,0.0,0.0,0.0,0.0,0.0,459.7358793045153,7.67871725347884,0.0,0.0,0.0,0.0,0.0,53.51793851846346,19.26891995242547,0.0,0.0,0.0,0.0,0.0,51.40068621786262,12.0151999198068,0.0,0.0,0.0,0.0,0.0,166.40985458208706,28.191296394815122,0.0,0.0,0.0,0.0,0.0,423.14895442740686,15.232030035913924,0.0,0.0,0.0,0.0,0.0,63.48818672617737,5.245481107410685,0.0,0.0,0.0,0.0,0.0,300.04481808724694,1.5921553220861013,0.0,0.0,0.0,0.0,0.0,10.632999883171443,17.873165381555264,0.0,0.0,0.0,0.0,0.0,60.97530754703382,26.514063191846777,0.0,0.0,0.0,0.0,0.0,76.85456059113602,20.89662265200925,0.0,0.0,0.0,0.0,0.0,73.22047529732774,16.53541734672337,0.0,0.0,0.0,0.0,0.0,130.78686968392287,46.189595694398015,0.0,0.0,0.0,0.0,0.0,70.32563311390143
5,212.47594086761208,27.305898173343227,0.0,0.0,0.0,0.0,0.0,0.47389897657293356,0.0,0.0,0.0,0.0,0.0,0.26213816286126385,0.8409642932466145,0.0,0.0,0.0,0.0,0.0,5.5539429979109025,4.872939348228376,0.0,0.0,0.0,0.0,0.0,42.32529861395421,48.47675506306135,0.0,0.0,0.0,0.0,0.0,274.0315549171374,9.463491476858037,0.0,0.0,0.0,0.0,0.0,3.3902528963856833,18.771351727837104,0.0,0.0,0.0,0.0,0.0,208.30395548613552,31.866194214358398,0.0,0.0,0.0,0.0,0.0,193.59129931034133,31.39032031189028,0.0,0.0,0.0,0.0,0.0,383.7291947944578,20.880869003370805,0.0,0.0,0.0,0.0,0.0,258.56726691197906,7.504852570588192,0.0,0.0,0.0,0.0,0.0,65.22737359691833,2.138864604011265,0.0,0.0,0.0,0.0,0.0,37.20502082695271,20.762168481624183,0.0,0.0,0.0,0.0,0.0,205.6924292900899,32.94303220709416,0.0,0.0,0.0,0.0,0.0,57.35837458115423,51.148665364985426,0.0,0.0,0.0,0.0,0.0,15.928539766448683,31.34331309550464,0.0,0.0,0.0,0.0,0.0,200.48600563186628,24.975977964056526,0.0,0.0,0.0,0.0,0.0,70.99982145326346
6,210.38508305210365,27.107884577293945,0.0,0.0,0.0,0.0,0.0,0.5515970178759514,0.0,0.0,0.0,0.0,0.0,0.5060994770382914,0.45567410512459555,0.0,0.0,0.0,0.0,0.0,10.621617860350474,0.9723482798204337,0.0,0.0,0.0,0.0,0.0,9.131097837061303,22.300283543044504,0.0,0.0,0.0,0.0,0.0,136.21163327938677,7.2775248888755275,0.0,0.0,0.0,0.0,0.0,48.71538451406843,19.59462333086422,0.0,0.0,0.0,0.0,0.0,42.146201549337455,10.629326742049374,0.0,0.0,0.0,0.0,0.0,119.76358715133186,9.799100191194738,0.0,0.0,0.0,0.0,0.0,5.340917628955849,14.667689027132322,0.0,0.0,0.0,0.0,0.0,70.01477982582367,9.310666287220972,0.0,0.0,0.0,0.0,0.0,141.2554500912167,2.1779531409690507,0.0,0.0,0.0,0.0,0.0,22.437138668007563,16.244086611986983,0.0,0.0,0.0,0.0,0.0,16.223987846583213,23.700702170339003,0.0,0.0,0.0,0.0,0.0,44.73372026553636,7.563595550639313,0.0,0.0,0.0,0.0,0.0,13.756577207874482,19.677907776362424,0.0,0.0,0.0,0.0,0.0,81.47654530732963,18.948124562680373,0.0,0.0,0.0,0.0,0.0,11.844791911231567
7,51.46717021085591,25.12202601243048,0.0,0.0,0.0,0.0,0.0,0.22098042110549374,0.0,0.0,0.0,0.0,0.0,5.94263151576724,0.716054789456718,0.0,0.0,0.0,0.0,0.0,5.8735392327204705,1.0203342298951048,0.0,0.0,0.0,0.0,0.0,8.180137448556748,19.87048972456008,0.0,0.0,0.0,0.0,0.0,283.41991050833246,6.794094032352127,0.0,0.0,0.0,0.0,0.0,7.333319570372893,18.134510212697016,0.0,0.0,0.0,0.0,0.0,695.004448558922,10.70863849901061,0.0,0.0,0.0,0.0,0.0,71.10430402607699,11.181682970584667,0.0,0.0,0.0,0.0,0.0,10.303555793603191,13.634232148790801,0.0,0.0,0.0,0.0,0.0,42.42680063643037,13.544383950491902,0.0,0.0,0.0,0.0,0.0,151.63607320589819,1.5923826713363556,0.0,0.0,0.0,0.0,0.0,4.185437498210198,14.987753773868636,0.0,0.0,0.0,0.0,0.0,14.728263082120447,16.609033706248205,0.0,0.0,0.0,0.0,0.0,73.02068820113507,8.642561366965952,0.0,0.0,0.0,0.0,0.0,28.603570263601654,14.399942061388316,0.0,0.0,0.0,0.0,0.0,68.32812975752644,12.899849852753752,0.0,0.0,0.0,0.0,0.0,51.94638530467826
8,175.8006391440719,57.18372697018535,0.0,0.0,0.0,0.0,0.0,0.38953350420693683,0.0,0.0,0.0,0.0,0.0,0.5590036633247254,0.9889401989734236,0.0,0.0,0.0,0.0,0.0,2.730570307273855,0.7920471539367846,0.0,0.0,0.0,0.0,0.0,8.018244961873151,15.518864966629291,0.0,0.0,0.0,0.0,0.0,74.431987309086,6.709659113293309,0.0,0.0,0.0,0.0,0.0,70.08024545311672,15.828825210879318,0.0,0.0,0.0,0.0,0.0,28.307590136166972,8.082029641349209,0.0,0.0,0.0,0.0,0.0,85.68356803639067,10.33580364125414,0.0,0.0,0.0,0.0,0.0,0.040709602646657454,15.634865421849975,0.0,0.0,0.0,0.0,0.0,155.81717362814626,8.877375066137152,0.0,0.0,0.0,0.0,0.0,130.6430602458487,2.6504134858564905,0.0,0.0,0.0,0.0,0.0,18.25448406356257,18.840193894019837,0.0,0.0,0.0,0.0,0.0,89.57697853481561,34.10196782582479,0.0,0.0,0.0,0.0,0.0,34.24425403579521,10.625110969018962,0.0,0.0,0.0,0.0,0.0,60.8270194044676,21.79775679754346,0.0,0.0,0.0,0.0,0.0,98.30630968020058,16.31653612765105,0.0,0.0,0.0,0.0,0.0,20.86310066538506
