,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,BIP,BIP,BIP,BIP,BIP,BIP,BIP,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6928591733679367,0.6928486975580485,60.9375,0.6662946428571428,0.02500000037252903,0.0625,0.015625,0.6934433457579152,46.03174603174603,0.40937500000000004,0.0,0.0,0.0,0.6970298685469045,0.5833321138316675,75.0,0.5285714285714286,0.0,0.0,0.0,0.5617735462918589,0.692838147561997,55.65217391304348,0.45472222222222225,0.0,0.0,0.0,0.6936780777101257,0.6931416649379236,63.41463414634146,0.6020833333333333,0.7185185352961222,0.6555555611848831,0.8361111183961233,0.6939165741459868,0.6999992063037912,35.294117647058826,0.48888888888888893,0.13333333532015482,0.16666666666666666,0.11111111442248027,0.6819228255793803,0.6931607378231549,44.44444444444444,0.48333333333333334,0.7727272808551788,0.6875,1.0,0.6931374085715712,0.7451599361120136,23.076923076923077,0.3333333333333333,0.0,0.0,0.0,0.6619245261227867,0.6925021831090087,71.42857142857143,0.4583333333333333,0.8285714387893677,0.7083333432674408,1.0,0.6944278779335985,0.6931683146876022,50.0,0.65625,0.0,0.0,0.0,0.6932775529729795,0.6931648134191308,50.0,0.13333333333333333,0.6666666865348816,0.5714285969734192,0.800000011920929,0.6922974694153785
1,0.6925213623336419,0.6927293422704228,62.5,0.7390625,0.05357143096625805,0.125,0.035416667349636555,0.6932749899822102,46.03174603174603,0.46440972222222227,0.0,0.0,0.0,0.6921647527509804,0.5550539989851921,75.0,0.6688988095238095,0.0,0.0,0.0,0.6909574096057745,0.6929638318978935,55.65217391304348,0.5684920634920636,0.0,0.0,0.0,0.6917644269163103,0.6961765035043332,48.78048780487805,0.40138888888888885,0.6933622062206268,0.5625,1.0,0.6862014228817334,0.7062949575624861,41.17647058823529,0.37222222222222223,0.0,0.0,0.0,0.7709537294760226,0.6931576000336659,44.44444444444444,0.53125,0.3333333432674408,0.25,0.5,0.6933012101961312,0.7179601477244416,23.076923076923077,0.5833333333333333,0.0,0.0,0.0,0.7686021032609694,0.6933112349701621,28.57142857142857,0.7,0.0,0.0,0.0,0.6928333948841041,0.6931932854848161,40.0,0.28125,0.0,0.0,0.0,0.6929875587374404,0.6931854546774248,50.0,0.26666666666666666,0.6666666865348816,0.5714285969734192,0.800000011920929,0.697299960327379
2,0.6915712259343189,0.6919160346278115,60.15625,0.5890625,0.0,0.0,0.0,0.6931190370386773,55.55555555555556,0.5883680555555556,0.5358361639082432,0.556051591411233,0.580555560067296,0.6931400548492432,0.5832333851673539,75.0,0.48333333333333334,0.0,0.0,0.0,0.5241391762980363,0.6925700162443054,55.65217391304348,0.47317460317460314,0.0,0.0,0.0,0.6935377167017178,0.7715339515614706,48.78048780487805,0.48541666666666666,0.5103785196940104,0.4166666666666667,0.6666666666666666,0.7243479101605297,0.6930578122337954,58.82352941176471,0.45,0.8008658091227213,0.7083333333333334,1.0,0.6940785287671696,0.6931326540205793,55.55555555555556,0.59375,0.3636363744735718,0.2857142984867096,0.5,0.6930628368089501,0.6941039719192488,23.076923076923077,0.55,0.0,0.0,0.0,0.7085178901374908,0.6816829539135806,71.42857142857143,0.5625,0.8285714387893677,0.7083333432674408,1.0,0.693391352731675,0.7076569975310474,50.0,0.35,0.7727272808551788,0.6875,1.0,0.6908911240696292,0.8521213625271129,37.5,0.13333333333333333,0.0,0.0,0.0,0.6807131457433426
3,0.6920868569077587,0.6910109906068419,60.15625,0.6527157738095237,0.0,0.0,0.0,0.6928828968807605,54.4973544973545,0.5796874999999999,0.6771469408025345,0.5404761917889118,1.0,0.6932942825047792,0.5882743172810763,75.0,0.40654761904761905,0.0,0.0,0.0,0.8209954332383319,0.6913329789006384,55.65217391304348,0.4921031746031746,0.0,0.0,0.0,0.6759693775454656,0.7438455336435528,48.78048780487805,0.44305555555555554,0.5397491504748663,0.4166666666666667,0.8333333333333334,0.6882689493790339,0.6931863742493799,35.294117647058826,0.5222222222222223,0.0,0.0,0.0,0.6927659914778802,0.6932602889924586,44.44444444444444,0.5833333333333333,0.7727272808551788,0.6875,1.0,0.6934073193420129,0.6948468877344625,23.076923076923077,0.29166666666666663,0.0,0.0,0.0,0.7363868221335618,0.6765311875876173,71.42857142857143,0.6333333333333333,0.8391608595848083,0.7291666567325592,1.0,0.8307804139933437,0.7154516141384941,50.0,0.625,0.6666666865348816,0.5,1.0,0.6695676281931975,0.6929786054711342,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.7035478709466451
4,0.6461822384163184,0.6307920977851663,60.15625,0.7315104166666666,0.0,0.0,0.0,0.6928950002525746,52.910052910052904,0.5936011904761903,0.6768028425673643,0.5377976211408774,0.9777777791023254,0.6932382063008875,0.5747645044965503,75.0,0.5363095238095238,0.0,0.0,0.0,0.6086087378316494,0.6864813622909622,55.65217391304348,0.5797619047619046,0.0,0.0,0.0,0.6406017191963871,0.6931484685635032,63.41463414634146,0.4895833333333333,0.5619047780831655,0.4972222298383713,0.7083333333333334,0.6935530215463157,0.693209802581384,58.82352941176471,0.4055555555555556,0.811965823173523,0.7083333333333334,1.0,0.693229772066575,0.7027052009964554,44.44444444444444,0.55,0.7727272808551788,0.6875,1.0,0.8718689951761825,0.713232326755494,23.076923076923077,0.7619047619047619,0.0,0.0,0.0,0.8330007600117071,0.6927429232652883,71.42857142857143,0.4,0.8391608595848083,0.7291666567325592,1.0,0.6939131346121828,0.7094480290745924,50.0,0.3833333333333333,0.7727272808551788,0.6875,1.0,0.6878120840032341,0.7141216277344341,37.5,0.06666666666666667,0.0,0.0,0.0,0.8568062362956775
5,0.5440664643909856,0.7183925805239132,60.15625,0.7377604166666667,0.0,0.0,0.0,0.6931700063864911,49.2063492063492,0.5151041666666668,0.46959777052203816,0.554166673993071,0.4750000045945247,0.6927792002598113,0.621043578023659,75.0,0.5625,0.0,0.0,0.0,0.5548455511284234,0.6766519532725777,55.65217391304348,0.6193650793650793,0.0,0.0,0.0,0.6705286122593839,0.69331169243426,34.146341463414636,0.3680555555555555,0.3291005492210388,0.31111111491918564,0.3611111169060071,0.6930405740279415,0.6938259702293372,41.17647058823529,0.33888888888888885,0.3481481671333313,0.3333333432674408,0.36666667461395264,0.6935704182718454,0.6932563810708889,44.44444444444444,0.55,0.7727272808551788,0.6875,1.0,0.6934560729554495,0.7055190731783498,23.076923076923077,0.7083333333333333,0.0,0.0,0.0,0.7109142143244397,0.6932975173057466,71.42857142857143,0.375,0.4285714328289032,0.5,0.375,0.6929155276494477,0.7717446146089558,40.0,0.48333333333333334,0.5555555820465088,0.6666666716337204,0.5833333432674408,0.6352592274730182,0.6919731777305428,62.5,0.5333333333333333,0.7272727489471436,0.6666666865348816,0.800000011920929,0.6977806666948236
6,0.5148048705071491,0.672815444398172,60.15625,0.6969122023809524,0.0,0.0,0.0,0.6932031032380451,48.148148148148145,0.534970238095238,0.4644179902970791,0.539583341528972,0.48134920994440716,0.7072458877885688,0.6322008111817408,75.0,0.6116071428571428,0.0,0.0,0.0,0.7614861873501506,0.6741955407022246,55.65217391304348,0.608531746031746,0.0,0.0,0.0,0.7822316868438935,0.6931707490083598,51.21951219512195,0.4611111111111111,0.6899119541049004,0.5773809552192688,1.0,0.6932733341592044,0.6941939084779897,35.294117647058826,0.35555555555555557,0.22222222884496054,0.16666666666666666,0.3333333333333333,0.6917495927397754,0.6933514164567641,44.44444444444444,0.55,0.7727272808551788,0.6875,1.0,0.6931749125808807,0.6942662595676552,23.076923076923077,0.3333333333333333,0.0,0.0,0.0,0.6941502967323788,0.6939506995063096,28.57142857142857,0.7142857142857143,0.0,0.0,0.0,0.6928697722967659,0.7409720446148288,30.0,0.25,0.611111119389534,0.5833333358168602,0.6666666716337204,0.6254299329114299,0.6932159390308044,50.0,0.6,0.5,0.6666666865348816,0.4000000059604645,0.693193565175021
7,0.4215764955418268,0.5900868368232921,67.96875,0.7561011904761904,0.5985975936055183,0.5604166742414236,0.7052083387970924,0.6933984964103075,45.5026455026455,0.46723710317460315,0.4553902248541514,0.5027777838210264,0.4524801640460889,0.6941278019938464,0.6048737110520207,71.875,0.6946428571428571,0.0,0.0,0.0,0.41164410053313716,0.6694648820416593,55.65217391304348,0.6919444444444445,0.0,0.0,0.0,0.77788235000596,0.6915113273947463,58.536585365853654,0.5979166666666667,0.42225829760233563,0.6000000089406967,0.33888889104127884,0.6928502721880614,0.6933864673804209,52.94117647058824,0.3597222222222222,0.7378917535146078,0.6750000019868215,0.8333333333333334,0.6922660279228653,0.693233549645885,11.11111111111111,0.35,0.0,0.0,0.0,0.6933581029630399,0.7178578876828101,23.076923076923077,0.7619047619047619,0.0,0.0,0.0,0.8144918786048567,0.693871938091431,21.428571428571427,0.40625,0.0,0.0,0.0,0.6924524948648194,0.7162616777440242,40.0,0.71875,0.0,0.0,0.0,0.8182170791928844,0.69265401688491,50.0,0.4666666666666667,0.5,0.6666666865348816,0.4000000059604645,0.6940944016342634
8,0.7571054330113475,0.738136473283005,68.75,0.779278273809524,0.4223214350640774,0.708333333954215,0.32395833916962147,0.6944906843403967,45.5026455026455,0.5046875,0.19275793929894766,0.4027777786056201,0.13303571629027525,0.7726852702347409,0.700601018240231,71.875,0.5641369047619047,0.0,0.0,0.0,0.3131759502866106,0.6709356260725484,55.65217391304348,0.6079365079365079,0.0,0.0,0.0,0.7148012964397452,0.6926884515638437,51.21951219512195,0.6555555555555556,0.0,0.0,0.0,0.6924577990944782,0.6929909200553593,41.17647058823529,0.6777777777777777,0.0,0.0,0.0,0.6938773543242089,0.693193851679399,55.55555555555556,0.25,0.0,0.0,0.0,0.6935116338354418,0.7539199598775916,23.076923076923077,0.6666666666666667,0.0,0.0,0.0,0.6413431432970335,0.6935994919102557,42.857142857142854,0.6333333333333333,0.3333333134651184,1.0,0.20000000298023224,0.6943923420218664,0.732042293343564,60.0,0.8125,0.3333333432674408,0.30000001192092896,0.375,0.6835616903853201,0.6936913075127688,37.5,0.4666666666666667,0.2857142984867096,0.5,0.20000000298023224,0.7529826690038862
