,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6990958287273147,0.6938538450723314,47.368421052631575,0.2611111111111111,0.670707086722056,0.5138888955116272,1.0,0.6901874705044772,63.63636363636363,0.59375,0.8333333432674408,0.75,1.0,0.6841692860534375,0.6469895757453705,54.54545454545454,0.9666666666666667,0.0,0.0,0.0,0.8205274545287576,0.9326855114577359,50.0,0.40625,0.0,0.0,0.0,0.6258147370638807,0.6929458286304748,50.0,0.5625,0.0,0.0,0.0,0.6934884744335956,0.6929425336910753,62.5,0.6,0.7692307829856873,0.625,1.0,0.6928749194324382,0.6320843120950547,71.42857142857143,0.0,0.0,0.0,0.0,0.48019260668186925,0.6919850525836212,60.0,0.40625,0.0,0.0,0.0,0.6883356311883609,0.6927385716143496,57.14285714285714,0.5,0.0,0.0,0.0,0.6928969489974385,0.7454678270765562,44.44444444444444,0.3833333333333333,0.0,0.0,0.0,0.6904496156048587,0.7151227764268377,50.0,0.31666666666666665,0.0,0.0,0.0,0.6393869411796645,0.7216291486374333,40.0,0.9333333333333333,0.0,0.0,0.0,0.9279556462925804,0.691701208127345,40.0,0.9,0.0,0.0,0.0,0.6926594529322861
1,0.6943785176725523,0.692732134502954,52.63157894736842,0.638888888888889,0.0,0.0,0.0,0.6501937781509346,63.63636363636363,0.9,0.7846153974533081,0.6458333432674408,1.0,0.34856404373818456,0.6926640672180535,63.63636363636363,0.75,0.1666666567325592,0.5,0.10000000149011612,0.6936352921943298,0.8763526033333026,50.0,0.5625,0.6666666865348816,0.5,1.0,0.8438006410420325,0.7752951591445706,50.0,0.5625,0.0,0.0,0.0,0.6440518068957382,0.6924979979116301,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.6934795439081741,0.6936343499197694,0.0,0.0,0.0,0.0,0.0,0.7083222998166979,0.6917072338065829,60.0,0.45833333333333337,0.0,0.0,0.0,0.6912029598355932,0.6927290203020124,57.14285714285714,0.5,0.0,0.0,0.0,0.6930722603657964,0.6933645119398484,44.44444444444444,0.5166666666666666,0.0,0.0,0.0,0.7187962314352621,0.6933624116186097,50.0,0.625,0.7727272510528564,0.7142857164144516,0.875,0.6964191038694167,0.7848141427326716,40.0,0.6875,0.0,0.0,0.0,0.7032567392100812,0.7043240435050822,40.0,0.5625,0.0,0.0,0.0,0.6994241225492112
2,0.6947700981446534,0.6930035890156675,52.63157894736842,0.5499999999999999,0.0,0.0,0.0,0.65036951857354,63.63636363636363,0.625,0.8333333432674408,0.75,1.0,0.6491340454187177,0.6917842196364904,54.54545454545454,1.0,0.0,0.0,0.0,0.6925614819841174,0.7079447206700762,56.25,0.6,0.25,0.5,0.1666666716337204,0.5849957407369866,0.6933636605211062,50.0,0.3125,0.6666666865348816,0.5,1.0,0.6930131081017417,0.6928691612661686,62.5,0.6,0.7692307829856873,0.625,1.0,0.6930413477610305,0.6609067138660756,71.42857142857143,0.0,0.0,0.0,0.0,0.8469951458298113,0.6685477189780118,60.0,0.7333333333333334,0.0,0.0,0.0,0.6637081623226234,0.6930314174382536,71.42857142857143,0.8333333333333334,0.75,0.6000000238418579,1.0,0.6930271186668624,0.6687784089975045,55.55555555555556,0.55,0.38461539149284363,0.3125,0.5,0.7262609317765641,0.6933344515714938,50.0,0.31666666666666665,0.38461539149284363,0.3125,0.5,0.6936080287661174,0.6296623781488433,60.0,0.65625,0.8333333432674408,0.75,1.0,0.6141500484605897,0.6350836686871826,60.0,1.0,0.7179487347602844,0.5625,1.0,0.6263265176827206
3,0.6943788112335518,0.6928527686944017,52.63157894736842,0.5736111111111111,0.0,0.0,0.0,0.6430160007986739,63.63636363636363,0.5625,0.8333333432674408,0.75,1.0,0.4362938851783413,0.6922647824011541,63.63636363636363,0.8666666666666667,0.3333333432674408,0.5,0.25,0.6930258332418024,0.8489124442358708,50.0,0.53125,0.6666666865348816,0.5,1.0,0.42104034920789324,0.6907822684524892,50.0,0.6875,0.0,0.0,0.0,0.6935000029383823,0.6922343786583621,62.5,0.8,0.7692307829856873,0.625,1.0,0.6934681165675117,0.735064145522716,28.57142857142857,0.1,0.444444477558136,0.2857142984867096,1.0,0.7480364100054921,0.6916614092240577,60.0,0.8333333333333333,0.0,0.0,0.0,0.6884565378388174,0.6927945408278925,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.6930417120121738,0.710394717526722,44.44444444444444,0.5,0.0,0.0,0.0,0.690724675833186,0.693266135462294,50.0,0.48333333333333334,0.7727272808551788,0.6875,1.0,0.6922681323216768,0.5794316781598299,70.0,0.9666666666666667,0.7500000298023224,0.6071428656578064,1.0,0.8922551637103593,0.6045056373437679,60.0,1.0,0.7179487347602844,0.5625,1.0,0.5769061406013443
4,0.6917153248877335,0.6931127191387269,52.63157894736842,0.43333333333333335,0.0,0.0,0.0,0.6469453867699749,63.63636363636363,0.8333333333333333,0.6785714328289032,0.5416666716337204,1.0,0.531525449316758,0.6943110725857548,54.54545454545454,0.5625,0.0,0.0,0.0,0.6627944061239305,0.7524944356505485,43.75,0.5333333333333333,0.5846153944730759,0.4553571492433548,0.8333333432674408,0.5536118812962172,0.6944292661577033,50.0,0.5,0.0,0.0,0.0,0.6923732857751733,0.692480146588678,50.0,0.6666666666666666,0.6666666865348816,0.5714285969734192,0.800000011920929,0.6910990747287823,0.7102254301158692,28.57142857142857,0.1,0.2857142984867096,0.20000000298023224,0.5,0.6719393325659793,0.6864653318954688,60.0,0.7,0.0,0.0,0.0,0.7282299572367351,0.6928086697822977,57.14285714285714,0.5833333333333334,0.0,0.0,0.0,0.6940711777684386,0.688255575676237,55.55555555555556,0.7166666666666667,0.1666666567325592,0.5,0.10000000149011612,0.6824173732630249,0.6936761957055341,20.0,0.48333333333333334,0.0,0.0,0.0,0.6913963727499254,0.6667531065260889,50.0,1.0,0.5,0.5,0.5,0.7105922663025304,0.6158551593631032,60.0,0.75,0.6969697177410126,0.7857142984867096,0.75,0.6471010818081517
5,0.6941814482288211,0.6932930801134783,47.368421052631575,0.2833333333333334,0.22222221891085306,0.4166666666666667,0.23333333432674408,0.6960301391912412,63.63636363636363,0.3333333333333333,0.7846153974533081,0.6458333432674408,1.0,0.6837628465281794,0.6907177663808178,54.54545454545454,1.0,0.0,0.0,0.0,0.6911261453969832,0.6797716408844181,56.25,0.6333333333333333,0.6636363565921783,0.5476190596818924,0.9000000059604645,0.772656205085041,0.6927972365048788,50.0,0.6875,0.0,0.0,0.0,0.7752187078361042,0.6926782385463051,62.5,0.8,0.7692307829856873,0.625,1.0,0.6925820292057292,0.9300398500965918,71.42857142857143,0.3,0.0,0.0,0.0,0.704549290311518,0.7186229865799889,60.0,0.375,0.0,0.0,0.0,0.5314088803807967,0.6933173404508952,42.857142857142854,0.5,0.5999999642372131,0.4285714328289032,1.0,0.6931538805516934,0.7466367625426736,44.44444444444444,0.46875,0.0,0.0,0.0,0.6854760513719045,0.7107721603745201,50.0,0.625,0.6666666865348816,0.5,1.0,0.6904409759510112,0.5966338447681387,70.0,0.71875,0.6666666865348816,1.0,0.5,0.9822240297185769,0.6461203905391881,70.0,0.8333333333333333,0.8333333432674408,0.875,0.800000011920929,0.5494514180531636
6,0.7522035966504018,0.6925922424618055,68.42105263157895,0.6904761904761904,0.4629629850387573,0.6666666666666666,0.3777777850627899,0.7181262703089846,63.63636363636363,0.6166666666666667,0.7846153974533081,0.6458333432674408,1.0,0.7240979435306704,0.7248593713409983,54.54545454545454,0.31666666666666665,0.0,0.0,0.0,0.9197712572478203,0.7771212093874931,43.75,0.5,0.6060605943202972,0.4642857164144516,0.875,0.5153410866894059,0.6975323120165724,50.0,0.375,0.0,0.0,0.0,0.6669816077088508,0.6917538979037938,62.5,0.6,0.7692307829856873,0.625,1.0,0.6926816167083433,0.5712971386752976,71.42857142857143,0.9,0.0,0.0,0.0,0.39372439595288583,0.7137499002403196,60.0,0.46875,0.0,0.0,0.0,0.4427981477525533,0.6926245771601228,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.692788167161613,0.7017365187051143,55.55555555555556,0.46875,0.8333333432674408,0.75,1.0,1.1779742039654089,0.6956844675364995,50.0,0.6875,0.6666666865348816,0.5,1.0,0.7381215181742721,0.6479501938747128,60.0,0.36666666666666664,0.7179487347602844,0.5625,1.0,0.5308701381879101,0.9447332682570494,60.0,0.9333333333333333,0.7179487347602844,0.5625,1.0,1.303776199129057
7,0.6932768111422734,0.6930626833290677,52.63157894736842,0.6416666666666667,0.3333333333333333,0.3888888955116272,0.3000000019868215,0.7330395114615769,63.63636363636363,0.53125,0.8333333432674408,0.75,1.0,0.5229628739818445,0.6849969732445583,54.54545454545454,0.8125,0.0,0.0,0.0,0.6921131621083765,0.7250293488159743,43.75,0.7666666666666666,0.5222222208976746,0.4642857164144516,0.7000000029802322,0.6383220000527451,0.793038976692568,50.0,0.5625,0.0,0.0,0.0,0.6412415583621932,0.7024633038196064,62.5,0.4,0.7692307829856873,0.625,1.0,0.4365238526447534,0.6924985956587161,71.42857142857143,0.7,0.6666666865348816,0.5,1.0,0.7850406944575831,0.9023994680162177,60.0,0.16666666666666666,0.0,0.0,0.0,0.6144628389119826,0.693122371986251,42.857142857142854,0.8333333333333334,0.5999999642372131,0.4285714328289032,1.0,0.6912393055948745,0.7219408366678775,55.55555555555556,0.5625,0.8333333432674408,0.75,1.0,0.7081081461413048,0.6978501308095012,30.0,0.48333333333333334,0.0,0.0,0.0,0.6921429672471023,0.5259232370033231,70.0,1.0,0.7857142984867096,1.0,0.7000000029802322,0.2896003311971232,0.6011015250838356,70.0,0.9333333333333333,0.7500000298023224,0.6071428656578064,1.0,0.36222214514271334
8,0.691206069503508,0.693210875450613,42.10526315789473,0.6333333333333333,0.5971510112285614,0.4781746119260788,0.8333333333333334,0.8652379877551997,63.63636363636363,0.625,0.6785714328289032,0.5416666716337204,1.0,0.25119843936522,0.7156760364720308,45.45454545454545,0.03333333333333333,0.6727272868156433,0.5208333432674408,1.0,0.6385078119027243,0.9602396421522672,50.0,0.7,0.6166666895151138,0.5000000149011612,0.8333333432674408,0.4420304908583071,0.6920150832905246,50.0,0.5625,0.0,0.0,0.0,0.5764823077588302,0.6925634424702786,62.5,0.6666666666666666,0.7692307829856873,0.625,1.0,0.6115728236021166,0.6932939310471511,42.857142857142854,0.6,0.5,0.3333333432674408,1.0,0.647204215247911,0.7113829180214817,60.0,0.28125,0.0,0.0,0.0,0.5551646886577145,0.6940546757848828,42.857142857142854,0.3333333333333333,0.5999999642372131,0.4285714328289032,1.0,0.6917371503718923,0.7091912781740084,66.66666666666666,0.5166666666666666,0.3333333432674408,0.375,0.30000001192092896,0.6947627891020433,0.6935692036504428,50.0,0.5833333333333333,0.3636363744735718,0.3333333432674408,0.4000000059604645,0.7132019007935919,1.2266106682706874,60.0,0.75,0.4285714328289032,0.375,0.5,1.7581838045444491,0.7401757740887471,70.0,0.9333333333333333,0.7500000298023224,0.6071428656578064,1.0,1.169171466373386
