,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.49575274899766714,0.13266606520893232,46.15384615384615,0.26950709859248095,40.0,2.293260106472594
1,0.3344614040792142,0.07638961242263916,76.92307692307693,0.11397330493860532,70.0,0.4119788714799844
2,1.0473008380615296,0.09049400098657237,61.53846153846154,0.1253115717862293,80.0,0.3915261297932063
3,0.22961340904719382,0.07195163891038983,61.53846153846154,0.10612557914804932,80.0,0.1759139610834627
4,0.11914934775770354,0.0620131268616656,84.61538461538461,0.13541894147064384,70.0,0.10712690698041184
5,0.10312727721744545,0.08308465998746246,53.84615384615385,0.08920627227434655,80.0,0.05149439224702211
6,0.1979074754054816,0.06750891491355668,84.61538461538461,0.08566626787451692,80.0,0.06273605730525655
7,0.016504008224626856,0.05888645797593027,92.3076923076923,0.09353256150070034,70.0,0.016965747267604747
8,0.005537670042827199,0.056398171298090966,92.3076923076923,0.2988615554475569,70.0,0.016798752982261175
9,0.002364791647088352,0.05335945427067759,92.3076923076923,0.09702419980797983,80.0,0.005748358959815796
10,0.0022956347370150527,0.053040736439498845,92.3076923076923,0.12717499025249068,80.0,0.0029734211422762363
11,0.002976707246568306,0.05086558519586434,92.3076923076923,0.12597673943497184,80.0,0.001591518879465366
12,0.0009574183659781312,0.05369969348267275,92.3076923076923,0.13505202252912668,80.0,0.0011815524690398833
13,0.0008278675792356222,0.0834637011122025,92.3076923076923,0.11760832012912854,80.0,0.0012725035394922993
14,0.0017639311923292515,0.05578560639598129,92.3076923076923,0.13232106155769235,80.0,0.0009338175200608271
15,0.003741985092099356,0.05566902126832261,92.3076923076923,0.11450567305081971,80.0,0.000592906077871256
16,0.0007412258289061107,0.05693507398371954,92.3076923076923,0.1388217544157835,80.0,0.0004807739342248615
17,0.0013723982038995575,0.05731146908473064,92.3076923076923,0.3119274168993393,80.0,0.0008486747663131366
18,0.0002033090059644498,0.09026058844672659,92.3076923076923,0.453020396527561,80.0,0.00043467283676226445
19,0.0007214391381122039,0.05846370822034851,92.3076923076923,0.2606618218698195,80.0,0.0006375865525459429
20,0.0008122761410385981,0.08986266957703301,92.3076923076923,0.12438947950158508,80.0,0.0005406783862154692
21,0.00045126855601572614,0.06015333398801091,92.3076923076923,0.12023492361963165,80.0,0.000540263375655111
22,0.0003711555209118171,0.06089917343696497,92.3076923076923,0.26263535760288415,80.0,0.0004332831372618638
23,0.00046130298303845215,0.06133949902334428,92.3076923076923,0.14210529008823586,80.0,0.00037985441782871553
24,0.00047477699907949497,0.059976922362134547,92.3076923076923,0.12143120053859273,80.0,0.0004351154092390611
25,0.00021244307960622397,0.09706076672131805,92.3076923076923,0.26937791413612455,80.0,0.00022501355169819994
26,0.0002577992852335427,0.09773473223329368,92.3076923076923,0.12437224253417463,80.0,0.0003950335452767563
27,0.0002300135386568494,0.06428753233468762,92.3076923076923,0.12321575963339493,80.0,0.00035742441838682064
28,0.0001971819686834526,0.06404004308345172,92.3076923076923,0.33585042702888923,80.0,0.0004973684122870814
29,0.00018155606651719261,0.10054696165849537,92.3076923076923,0.1256302266022455,80.0,0.0002410413117724374
30,1.4799739307376744e-05,0.10184874918511884,92.3076923076923,0.12724367642031248,80.0,0.00032763827482420804
31,0.00034597617168305206,0.06466725820655322,92.3076923076923,0.12589916795682793,80.0,0.00027906963839850345
32,0.0003731920689482433,0.06539213103045412,92.3076923076923,0.278322769842017,80.0,0.00019868393315763174
33,0.00018643762746212947,0.06669674443075248,92.3076923076923,0.12771392880511273,80.0,0.0001928735633941231
34,5.8416446518592274e-05,0.10476673747310414,92.3076923076923,0.13286072884764316,80.0,0.0001716438044452528
35,0.00043509976588855195,0.06804567814113192,92.3076923076923,0.13288267998024048,80.0,0.00024335027701323292
36,8.890008889363064e-05,0.10725261772007957,92.3076923076923,0.13301328185226366,80.0,0.00018080100834240827
37,3.193993147182389e-05,0.10923857479750577,92.3076923076923,0.13066541211175725,80.0,0.00019962802340075112
38,0.000187802002271119,0.0699242610566825,92.3076923076923,0.13079154491831366,80.0,0.00018140069585832774
39,7.967797607192876e-05,0.1091719645979925,92.3076923076923,0.14360484925744105,80.0,0.00013182698499121054
40,2.2342741283241588e-05,0.06976676435042062,92.3076923076923,0.13051271451657193,80.0,0.00017078079074555805
41,0.00022027457622977054,0.07009600535677976,92.3076923076923,0.13238373549410648,80.0,0.0001523181226761419
42,8.4600725101634e-05,0.07024033682836642,92.3076923076923,0.1348794131100492,80.0,0.00023180866422247264
