,ASD,ASD,ASD,SZ,SZ,SZ,BIP,BIP,BIP,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,1.042511114661845,0.08728873644818125,56.613756613756614,0.0795507307327397,65.625,0.2857178559643671,0.06727789219896779,75.0,0.6735354468526165,0.09092582914406541,55.65217391304348,0.6030588880079544,0.10230383757611741,63.41463414634146,0.641588898856594,0.10222291209351417,76.47058823529412,0.6313621687764516,0.1634900200486223,55.55555555555556,0.919899711407834,0.09999163830933977,76.92307692307693,0.6790620953033487,0.08657513736170659,71.42857142857143,0.8575307385770854,0.14439827190411791,50.0,0.9754415638429829,0.11386603947284103,25.0,0.8965845066971808
1,0.3492769939567948,0.09333830605141905,57.14285714285714,0.07923109858632701,65.625,0.7665373985229436,0.0721575455809978,71.875,0.45159293025315855,0.09339192176673017,58.26086956521739,0.6222367583204254,0.13970191042757368,51.21951219512195,0.43737848174527183,0.07012074483820396,64.70588235294117,0.5840590257654192,0.1263165109977441,55.55555555555556,0.8651574246100745,0.2563535431066244,23.076923076923077,0.5534352084159658,0.13955028450877185,42.857142857142854,0.5431079812321186,0.09742624570602292,70.0,0.5527074652197798,0.08543396794992437,75.0,0.5179359432494823
2,0.4694891912499133,0.09913076755783005,56.613756613756614,0.08443538289852115,64.84375,0.2142688778574513,0.09751593265006941,68.75,0.14903452075832552,0.07907659315099269,66.08695652173913,0.572685066669342,0.14145015645871237,48.78048780487805,0.6271138354429044,0.09841716260333679,70.58823529411765,0.31476016130690565,0.12860576241353064,77.77777777777779,0.6996019099978444,0.1213657792985329,46.15384615384615,0.45440478708062093,0.06518554378406646,78.57142857142857,1.0926162730405589,0.12793011518966713,60.0,0.5637327846441472,0.10025264333681508,62.5,1.3242603303386
3,0.6560692184469886,0.09930655078747491,59.78835978835979,0.07230575582904254,73.4375,0.8260264078096059,0.07872704888476062,71.875,0.2972850582914741,0.09663664783442998,51.30434782608696,0.47246656161236017,0.1442671389860062,41.46341463414634,0.7357912442491086,0.1689920749726534,82.35294117647058,0.12408793231545619,0.1499899078963694,55.55555555555556,0.3272582868344874,0.06202206784317406,84.61538461538461,0.09375495342775104,0.05390288138023845,85.71428571428571,0.8257878495206118,0.08279411025517638,60.0,0.6715941351977648,0.1045983571665525,50.0,0.5205775618471703
4,1.1887147484912137,0.10952619724729887,59.78835978835979,0.11641172036542963,64.84375,0.8414705018098192,0.09846127413923865,71.875,0.4431592324473018,0.09013539045497715,58.26086956521739,0.5714041293896241,0.12936594567114967,58.536585365853654,0.5330325219180827,0.07467481432966042,64.70588235294117,0.04235090006085139,0.12550688426460513,55.55555555555556,0.44605611029541237,0.1610356931863852,69.23076923076923,0.7172270720514017,0.10011250485116253,57.14285714285714,0.4753511200161829,0.08334729255275324,90.0,0.20417584344470968,0.10714456243348879,75.0,0.5014531031499635
5,0.09224110415402233,0.13825637742953206,52.910052910052904,0.1031613486358776,72.65625,0.21714092337194912,0.11850598899468376,81.25,0.12073068995986336,0.09158920733352509,63.47826086956522,0.3254521996029768,0.17167723813976668,51.21951219512195,0.5187239298029258,0.11531825188157835,76.47058823529412,0.06718674933697845,0.20799608581215184,44.44444444444444,0.15997480332783895,0.09607170081523018,69.23076923076923,1.046369658797131,0.08186447524850385,71.42857142857143,0.07531440693244502,0.061406061143014244,90.0,0.6014423110498494,0.16277011400809432,50.0,0.3821705449727883
6,0.4052925732967726,0.13354356434681142,54.4973544973545,0.12890695434365534,67.96875,0.08705103035393515,0.11356414475841599,78.125,0.06425208679250424,0.11118433412960967,56.52173913043478,0.6503032623073041,0.16593971090350293,53.65853658536586,0.9683885012364113,0.3376849888522802,82.35294117647058,0.1904883276107777,0.15134471836706626,66.66666666666666,0.21294644190264875,0.369444091910634,23.076923076923077,0.6687170450551765,0.09357075224752177,71.42857142857143,0.9461799108110142,0.19198946319213783,70.0,0.4952690558145237,0.17987611234232354,50.0,0.3133031094382864
7,0.022646154751016997,0.15422279974762387,56.613756613756614,0.14468420801300627,75.78125,0.0796376545335686,0.16642002768468958,75.0,0.006917912793804342,0.12641570394828697,57.391304347826086,0.2207085840006089,0.21137170652632375,56.09756097560976,0.20817593895433503,0.1307742214040169,82.35294117647058,0.008955456679726633,0.09875139846429712,88.88888888888889,0.44650199964822673,0.1508992957387974,61.53846153846154,0.011007979250194434,0.21137733528466404,42.857142857142854,0.07069452356457456,0.13405232004523943,70.0,0.034962421821861475,0.271646433120212,62.5,0.04854206891678317
8,0.22119057292403826,0.134586131342492,61.37566137566137,0.14282235321213035,69.53125,0.026204264855549993,0.14313247824195235,81.25,0.4858520683373885,0.14587190662035684,58.26086956521739,0.6839106176249776,0.20760690712106133,48.78048780487805,0.2870666279751365,0.05343585266243639,88.23529411764706,0.009100279429883295,0.3000029154597788,55.55555555555556,0.07656134730935386,0.28490680938779156,46.15384615384615,0.014517322808424516,0.11040610082151549,85.71428571428571,0.08522101774656744,0.1440075456585131,80.0,0.053098416096356425,0.14264070113168578,62.5,0.010767982235983303
