,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6289919781017115,0.7393925651936463,43.90243902439025,0.4840277777777778,0.0,0.0,0.0,0.6866417776598143,67.96875,0.7575520833333333,0.6765911374241114,0.6900297664105892,0.7250000070780516,0.6766540039099777,0.6930216802430264,51.32275132275132,0.5626736111111111,0.6700040884315968,0.5154761920372645,1.0,0.6948715799751697,0.6924822105907105,80.64516129032258,0.4625,0.0,0.0,0.0,0.692947088510682,0.6949308381043392,47.05882352941176,0.5208333333333334,0.0,0.0,0.0,0.6930785246215747,0.6943268928726424,44.44444444444444,0.5166666666666666,0.0,0.0,0.0,0.8597102792256047,0.7005933116895064,53.84615384615385,0.5833333333333333,0.0,0.0,0.0,0.6907545937793995,0.689377967415612,50.0,0.8666666666666667,0.1666666567325592,0.5,0.10000000149011612,0.8020876062014743,0.769474941838268,25.0,0.0,0.0,0.0,0.0,0.6834925492639674,0.6938707298190073,33.04347826086956,0.5941269841269841,0.482626274228096,0.3305555562178294,1.0,0.6947213966211913
1,0.687811532986559,0.7272709622171982,43.90243902439025,0.37847222222222215,0.0,0.0,0.0,0.7137878943005771,63.28125,0.7944568452380952,0.7127227000892162,0.5740327425301075,0.9910714291036129,1.3916608404632196,0.6888552789583318,50.79365079365079,0.5968253968253968,0.6553786620497704,0.5093750009934107,1.0,0.6329390064672229,0.778429582588726,38.70967741935484,0.7035714285714286,0.3053571432828903,0.2023809552192688,0.8333333358168602,0.7584699040218755,0.5667312972590052,100.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5557875421590242,0.6735486171433246,55.55555555555556,0.5833333333333333,0.38461539149284363,0.3125,0.5,0.7534521035099068,0.6971037636205076,53.84615384615385,0.45,0.0,0.0,0.0,0.7993801596282442,0.6923719678412812,60.0,0.41666666666666663,0.4285714328289032,0.375,0.5,0.6971618681196419,0.657205323390196,100.0,1.0,1.0,1.0,1.0,0.6745450206847946,0.6422802906780317,66.95652173913044,0.4911111111111112,0.0,0.0,0.0,0.7132827579582559
2,0.5093346752007536,0.9211755039692885,43.90243902439025,0.5507936507936507,0.0,0.0,0.0,0.6079780420708943,69.53125,0.8354166666666668,0.6625225562602282,0.7625000048428774,0.6614583376795053,0.7071955537046977,0.6915944461792722,55.026455026455025,0.6248263888888889,0.6623163931071758,0.5253472303350767,0.9347222248713175,0.6931964994609703,0.48601062018048924,80.64516129032258,0.7958333333333334,0.0,0.0,0.0,0.6197516855930653,0.46440620525502796,94.11764705882352,0.8333333333333334,0.9696969787279764,0.9444444378217062,1.0,0.6135641116195805,0.9779032673665028,55.55555555555556,0.5625,0.8333333432674408,0.75,1.0,0.6103523721773852,0.7135027487461246,53.84615384615385,0.39999999999999997,0.0,0.0,0.0,0.6935078884603162,0.7139121020820516,40.0,0.75,0.0,0.0,0.0,0.7045702012961232,0.8600105034919352,25.0,0.8333333333333334,0.0,0.0,0.0,0.8444440173242717,0.6936024930673236,44.34782608695652,0.4763492063492063,0.4020779252052307,0.31793651084105173,0.65,0.6924593606224445
3,0.6938953427043107,0.6936841829068618,43.90243902439025,0.3923611111111111,0.0,0.0,0.0,0.5687684908680267,74.21875,0.775,0.7000992204993963,0.6833333373069763,0.7510416712611914,0.3902320364972513,0.6864276330569425,57.67195767195767,0.6263392857142858,0.6048719870547453,0.5528769890467325,0.7103174639244875,0.7287631886810568,0.5153559131503591,77.41935483870968,0.5416666666666667,0.1875,0.1875,0.1875,0.45220348486906464,0.5967815717779323,88.23529411764706,0.7666666666666666,0.6000000238418579,0.600000003973643,0.600000003973643,0.5793384829565189,0.6722300682931636,66.66666666666666,0.46875,0.8333333432674408,0.800000011920929,0.875,0.6927963042640569,0.6869247269702077,53.84615384615385,0.7916666666666667,0.6666666865348816,0.5,1.0,0.6738235036925978,0.6753210819870399,60.0,0.16666666666666666,0.7179487347602844,0.5625,1.0,0.6992276703613262,0.6255220989858554,75.0,1.0,0.800000011920929,1.0,0.6666666865348816,0.6932794685332171,0.6748756165502526,66.95652173913044,0.5724603174603174,0.0,0.0,0.0,0.6920896268757097
4,0.6860382176194133,0.689698622333449,43.90243902439025,0.47152777777777777,0.0,0.0,0.0,0.6427097001179853,68.75,0.8294270833333334,0.6096726283431053,0.8229166716337204,0.5083333402872086,0.307354706528611,0.6903293036534548,49.735449735449734,0.5644345238095237,0.20502645894885063,0.4236111119389534,0.14107143133878708,0.6909527624360463,0.44057311288456596,83.87096774193549,0.6279761904761905,0.30000000447034836,0.2916666716337204,0.3333333358168602,0.18961574415402768,0.4899260482257239,82.35294117647058,0.8333333333333334,0.5357142885526022,0.6666666666666666,0.45000000794728595,0.47780801410077156,0.7195218972574055,44.44444444444444,0.6166666666666667,0.0,0.0,0.0,0.5588551049666016,0.7023722981996712,46.15384615384615,0.7666666666666666,0.6477272808551788,0.48750001192092896,1.0,0.7662780761734295,0.6769695868644291,80.0,0.65625,0.9000000059604645,0.8333333432674408,1.0,0.7609130821987775,0.6953018311020038,25.0,1.0,0.0,0.0,0.0,0.6859390660523856,0.6757645331856743,66.95652173913044,0.5064285714285713,0.0,0.0,0.0,0.7562235596612372
5,0.711304326133902,0.7706343687690665,43.90243902439025,0.5126984126984127,0.0,0.0,0.0,0.5781729610522788,71.09375,0.8341145833333333,0.6291531473398209,0.7427083365619183,0.5680059604346752,0.5273405105626733,0.6968163001376131,56.613756613756614,0.6081845238095238,0.5886109334727129,0.560317471002539,0.6620039741198221,0.6950727255577063,0.40493816837702473,80.64516129032258,0.7083333333333333,0.25,0.375,0.2083333358168602,0.12264860743974572,0.4638644740103728,82.35294117647058,0.8111111111111112,0.5357142885526022,0.6666666666666666,0.45000000794728595,0.3255891701314342,0.6560484236952158,44.44444444444444,0.6875,0.0,0.0,0.0,0.7699123916222761,0.6928366820804895,61.53846153846154,0.7166666666666667,0.5357142984867096,0.6666666716337204,0.7000000029802322,0.691771860060304,0.6718310601503291,60.0,0.26666666666666666,0.7179487347602844,0.5625,1.0,0.6655997407956422,0.6814034709721772,62.5,0.9166666666666666,0.6666666865348816,1.0,0.5,0.7871891519093533,0.6477664479326957,66.95652173913044,0.5426190476190477,0.0,0.0,0.0,0.7981878567015213
6,0.5738442840746534,0.6867670103872958,43.90243902439025,0.5448412698412698,0.0,0.0,0.0,0.9657312315062605,65.625,0.8265625,0.727002177387476,0.5982142928987741,0.9739583320915699,0.4005114822521399,0.9585867133020695,55.026455026455025,0.6185763888888889,0.6689516653617223,0.5313988166550795,0.9548611119389534,0.4190692278849599,1.3924956357846878,41.935483870967744,0.7476190476190476,0.3125,0.21071428805589676,0.75,0.06206546288904743,0.5980754256128178,70.58823529411765,0.8111111111111112,0.8333333532015482,0.738095243771871,1.0,0.26935833337304904,0.6563719707758178,66.66666666666666,0.65625,0.8636363744735718,0.7857142984867096,1.0,0.35400254927175684,0.7286316855901778,53.84615384615385,0.375,0.0,0.0,0.0,0.6918590076563307,0.6600264821283073,50.0,0.5625,0.2857142686843872,0.3333333432674408,0.25,0.5626637610760048,0.4221627956758197,87.5,0.9166666666666666,0.9230769276618958,0.8571428656578064,1.0,0.7310155758622413,0.6446381808937588,66.95652173913044,0.5056349206349205,0.0,0.0,0.0,0.9554874619965285
7,0.6988374263983392,0.6865835268719354,43.90243902439025,0.6444444444444445,0.0,0.0,0.0,1.1237461898879642,65.625,0.8523437500000002,0.7162417583167553,0.6028273906558752,0.9562500007450581,0.2716950514983402,0.7395023693751396,55.55555555555556,0.6262400793650794,0.6565383871396383,0.552926596874992,0.8931547664105892,0.5798235850173212,1.5122914678566655,35.483870967741936,0.7458333333333333,0.3075396940112114,0.20476191118359566,0.625,0.14327324318827198,0.401644448413109,82.35294117647058,0.7222222222222222,0.9090909163157145,0.8888888955116272,0.9333333373069763,0.782979837452482,0.739628514079636,66.66666666666666,0.5625,0.8636363744735718,0.7857142984867096,1.0,0.6609890541540412,0.7227886391046447,46.15384615384615,0.9333333333333333,0.6477272808551788,0.48750001192092896,1.0,0.5321343724117708,0.6686715199133852,80.0,0.8333333333333333,0.9166666865348816,0.8571428656578064,1.0,0.5094262353744902,0.5238533397621872,75.0,0.9166666666666666,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.6528422319108814,0.6842622878129415,65.21739130434783,0.5747222222222222,0.12349206606547038,0.23333333333333334,0.09444444477558137,0.7798430814934824
8,0.6927669929238438,0.6668160989980986,34.146341463414636,0.5604166666666667,0.14484127362569174,0.3055555572112401,0.10277777910232544,0.5881160200877791,72.65625,0.8483630952380953,0.705424789339304,0.8041666746139526,0.6726190559566021,0.4583920200910592,0.7004454582597428,58.730158730158735,0.6347222222222222,0.6649621414641539,0.5847222357988358,0.8236111178994179,0.6914422230752264,0.4632076222239427,83.87096774193549,0.7583333333333333,0.375,0.5,0.3333333358168602,0.13707632780149145,0.3070153177316652,88.23529411764706,0.8333333333333334,0.5820106069246928,0.6666666666666666,0.5166666706403097,0.3834876627014104,0.6060383634424089,66.66666666666666,0.59375,0.8333333432674408,0.800000011920929,0.875,0.7760418679155894,0.6475003731922679,69.23076923076923,0.8666666666666667,0.6190476417541504,0.75,0.7000000029802322,0.7220264929956824,0.6844711485379396,60.0,0.8,0.7179487347602844,0.5625,1.0,0.2717086376290587,0.6892590711462809,37.5,0.8333333333333334,0.2857142984867096,1.0,0.1666666716337204,0.6914952800582438,0.6429363725617876,68.69565217391305,0.5761904761904761,0.05333333412806193,0.06666666666666667,0.044444445768992105,0.5872710030385639
