,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,1.0140269323198554,0.7160092548025088,45.45454545454545,0.65,0.38461539149284363,0.3125,0.5,0.6618075386692844,63.63636363636363,0.45,0.7846153974533081,0.6458333432674408,1.0,0.6490511855022384,0.6933234365839709,53.333333333333336,0.1875,0.6969697177410126,0.5357142984867096,1.0,0.6928685835412889,0.7744760843650135,50.0,0.375,0.6666666865348816,0.5,1.0,0.6929333195779792,0.6762029030651375,62.5,0.6,0.7692307829856873,0.625,1.0,0.6785282132715322,0.693256684609462,50.0,0.4444444444444444,0.6666666865348816,0.5,1.0,0.6941244344635555,0.6935307958591811,42.857142857142854,0.25,0.5999999642372131,0.4285714328289032,1.0,0.694203290673911,0.6331182924530191,66.66666666666666,0.6833333333333333,0.0,0.0,0.0,0.6934217162106088,0.708486710696403,28.57142857142857,0.16666666666666666,0.2857142686843872,0.25,0.3333333432674408,0.7065481666336394,0.6942226847424307,57.89473684210527,0.3958333333333333,0.0,0.0,0.0,0.8453633374973126,0.7421019492734876,50.0,0.71875,0.6666666865348816,0.5,1.0,0.5888071028272457,0.6982195385217222,20.0,0.375,0.20000000298023224,0.125,0.5,0.693860197169129,0.7976868765858497,50.0,0.31666666666666665,0.7727272808551788,0.6875,1.0,0.6348545277434127
1,0.7929605902878485,0.6962215156415369,54.54545454545454,0.3833333333333333,0.0,0.0,0.0,0.7328961941739554,63.63636363636363,0.48333333333333334,0.7846153974533081,0.6458333432674408,1.0,0.25559834059001746,0.8379542576735979,53.333333333333336,0.125,0.6969697177410126,0.5357142984867096,1.0,0.620182275184332,0.6926125348233803,50.0,0.6875,0.0,0.0,0.0,0.6950264409764519,0.6904501651243027,62.5,0.26666666666666666,0.7692307829856873,0.625,1.0,0.5895355850496646,1.098083413455826,50.0,0.4444444444444444,0.6666666865348816,0.5,1.0,0.5458935553371389,0.6872461868803149,57.14285714285714,0.75,0.0,0.0,0.0,0.6927233234721781,0.6959245233958076,33.33333333333333,0.25,0.27272728085517883,0.1875,0.5,0.6946805471785626,0.7453434836533139,42.857142857142854,0.25,0.5999999642372131,0.4285714328289032,1.0,0.6660672581648353,0.692152512193406,57.89473684210527,0.6152777777777777,0.0,0.0,0.0,0.6928121036809022,0.788460156325586,50.0,0.3125,0.6666666865348816,0.5,1.0,0.5045700142814188,0.62885408485966,80.0,0.41666666666666663,0.0,0.0,0.0,0.8310976935909942,0.7522345170071788,50.0,0.84375,0.6666666865348816,0.5,1.0,0.85866780544636
2,0.6946660800864357,0.6931437211978105,45.45454545454545,0.7666666666666666,0.6727272868156433,0.5208333432674408,1.0,0.6445513989259639,63.63636363636363,0.7166666666666667,0.7846153974533081,0.6458333432674408,1.0,0.7280843313306135,0.6935008474993173,53.333333333333336,0.16666666666666666,0.6969697177410126,0.5357142984867096,1.0,0.6936420198712324,0.6930126176668195,50.0,0.625,0.0,0.0,0.0,0.6866686824767774,0.8465299523198342,62.5,0.06666666666666667,0.7692307829856873,0.625,1.0,0.5918721872486378,0.9088438166754856,50.0,0.4444444444444444,0.6666666865348816,0.5,1.0,0.481343166559073,0.7174411011953606,57.14285714285714,0.25,0.0,0.0,0.0,0.6514800516585756,0.61778315041914,66.66666666666666,0.7166666666666667,0.0,0.0,0.0,0.6413033294203336,0.854599070313376,42.857142857142854,0.5,0.5999999642372131,0.4285714328289032,1.0,1.3254760612976955,0.6928215496314168,57.89473684210527,0.17361111111111113,0.0,0.0,0.0,0.692935706740356,0.7545946808853957,50.0,0.48333333333333334,0.38461539149284363,0.3125,0.5,0.607392041723272,0.6966396871388902,20.0,0.6428571428571428,0.4444444552063942,0.3125,1.0,0.6959398560161419,0.621419479644513,80.0,0.65,0.8333333432674408,0.8333333432674408,0.8333333432674408,0.7285620492629964
3,0.7455831779026114,0.6962954311121661,54.54545454545454,0.28125,0.0,0.0,0.0,0.6376372385009162,63.63636363636363,0.71875,0.8333333432674408,0.75,1.0,0.6238705957993326,0.6932012916547627,53.333333333333336,0.2833333333333333,0.6893939673900604,0.5446428656578064,1.0,0.6939788886435173,0.693215066505159,50.0,0.375,0.6666666865348816,0.5,1.0,0.693764685373593,0.6659764097752455,62.5,0.7333333333333333,0.5714285969734192,1.0,0.4000000059604645,0.8991710682009609,0.6562951148127083,66.66666666666666,0.8888888888888888,0.5,1.0,0.3333333432674408,0.9230485828206473,0.6930488051130569,57.14285714285714,0.25,0.0,0.0,0.0,0.6918788735508119,0.6254468720849231,66.66666666666666,0.7083333333333333,0.0,0.0,0.0,0.8850328801741124,0.7296647604951723,42.857142857142854,0.25,0.5999999642372131,0.4285714328289032,1.0,0.6654323794934113,0.693735100265024,31.57894736842105,0.25555555555555554,0.35555556416511536,0.2857142984867096,0.4888888994852702,0.6936974573178251,0.7134846012702587,50.0,0.5833333333333333,0.7727272808551788,0.6875,1.0,0.6906058407927352,0.6939204785366229,10.0,0.3333333333333333,0.111111119389534,0.0714285746216774,0.25,0.6929177956609872,0.6568672796747371,70.0,0.9375,0.8636363744735718,0.7857142984867096,1.0,0.6672178187069615
4,0.7302767355201978,0.6991616050812783,54.54545454545454,0.26666666666666666,0.0,0.0,0.0,0.6432223217589688,63.63636363636363,0.65,0.7846153974533081,0.6458333432674408,1.0,0.6075045017554597,0.6937667637562367,53.333333333333336,0.21875,0.6969697177410126,0.5357142984867096,1.0,0.6910742236818779,0.6932862740057304,37.5,0.4375,0.5454545021057129,0.4285714328289032,0.75,0.6922734191526224,0.6357728902313086,62.5,0.4666666666666667,0.7272727489471436,0.6666666865348816,0.800000011920929,0.6179558123969212,0.6475166353534342,50.0,0.7777777777777778,0.0,0.0,0.0,0.2644620787097404,0.7218186736334768,57.14285714285714,0.16666666666666666,0.0,0.0,0.0,0.5669787818672687,0.5939302146483272,66.66666666666666,0.6833333333333333,0.0,0.0,0.0,0.6288246164990022,0.8145458407133326,28.57142857142857,0.16666666666666666,0.444444477558136,0.3333333432674408,0.6666666865348816,0.6183421529455417,0.6873784889167828,57.89473684210527,0.41111111111111115,0.0,0.0,0.0,0.6015252927606239,0.7159508828350377,50.0,0.6166666666666667,0.7727272808551788,0.6875,1.0,0.6350239585067077,0.700052223219835,20.0,0.2916666666666667,0.20000000298023224,0.125,0.5,0.6958855767093018,0.5216816891296583,80.0,0.7166666666666667,0.375,0.5,0.30000001192092896,0.43567059159136046
5,0.6592613552845307,0.693146795704998,54.54545454545454,0.5,0.6666666865348816,0.5,1.0,0.6087215958238571,63.63636363636363,0.9,0.7846153974533081,0.6458333432674408,1.0,0.5355368526765737,0.6934559765573558,53.333333333333336,0.3833333333333333,0.6893939673900604,0.5446428656578064,1.0,0.6927388454312357,0.7050471382494813,50.0,0.5,0.6666666865348816,0.5,1.0,0.6921589082963298,0.7826078719043033,62.5,0.3333333333333333,0.7692307829856873,0.625,1.0,0.5773709345549556,0.828595671721604,50.0,0.8888888888888888,0.0,0.0,0.0,0.27201949619709404,0.773700426417214,57.14285714285714,0.25,0.0,0.0,0.0,0.6805160785123513,0.6343407746051819,66.66666666666666,0.75,0.0,0.0,0.0,0.5453108345537557,0.9879451293278521,42.857142857142854,0.16666666666666666,0.0,0.0,0.0,0.8271512139362427,0.6836199765064738,57.89473684210527,0.3125,0.0,0.0,0.0,0.7023200076483797,0.8389665669796503,50.0,0.28125,0.6666666865348816,0.5,1.0,0.6172266229089205,0.7015719554291031,20.0,0.25,0.20000000298023224,0.125,0.5,0.7215644436429032,0.6306482763551335,60.0,0.7166666666666667,0.4166666865348816,0.3571428656578064,0.5,0.6152344758395228
6,0.6913978036071755,0.7189885138018145,54.54545454545454,0.75,0.6136363744735718,0.45238097012043,1.0,0.7373941322713807,45.45454545454545,0.65,0.1666666567325592,0.5,0.10000000149011612,0.65493964388141,0.7026428076484256,53.333333333333336,0.25,0.6846153736114502,0.5267857164144516,1.0,0.6989423220266837,0.6940597378987271,37.5,0.375,0.444444477558136,0.4000000059604645,0.5,0.6937252015799082,0.6635852701816141,62.5,0.5333333333333333,0.7272727489471436,0.6666666865348816,0.800000011920929,0.6870955648540764,0.8972155585570668,50.0,0.8888888888888888,0.0,0.0,0.0,0.28341269888637033,1.0172239088119324,57.14285714285714,0.25,0.0,0.0,0.0,0.6472763811754567,0.7233832637621463,66.66666666666666,0.6166666666666667,0.0,0.0,0.0,0.9772382954568216,0.9727339861455062,28.57142857142857,0.25,0.2857142686843872,0.25,0.3333333432674408,0.5229242865862346,0.658016822884259,57.89473684210527,0.6,0.0,0.0,0.0,0.628450317109185,0.6917322830070998,40.0,0.5166666666666666,0.3333333432674408,0.2857142984867096,0.4000000059604645,0.6393964750185386,0.7647769900708857,20.0,0.35714285714285715,0.4444444552063942,0.3125,1.0,0.6885060868991966,0.5111608558468927,80.0,0.96875,0.4285714328289032,0.5,0.375,0.60888588301382
7,0.7322800675065275,0.6984237776660823,54.54545454545454,0.7666666666666666,0.0,0.0,0.0,0.765935431159767,63.63636363636363,0.6833333333333333,0.7846153974533081,0.6458333432674408,1.0,0.5687901197033898,0.6933636756266996,53.333333333333336,0.3916666666666667,0.6507936716079712,0.5178571492433548,1.0,0.6937070607621991,0.7296288874829162,50.0,0.3125,0.0,0.0,0.0,1.0676928292000252,0.7828291437322827,62.5,0.26666666666666666,0.7692307829856873,0.625,1.0,0.8432843888680087,0.5993032197037784,66.66666666666666,0.7777777777777778,0.75,0.6000000238418579,1.0,1.187039928756016,0.7522643710782779,42.857142857142854,0.3333333333333333,0.0,0.0,0.0,0.4035738258787475,0.7318832993291791,33.33333333333333,0.48333333333333334,0.27272728085517883,0.1875,0.5,0.6234475820540102,0.9931118958103099,28.57142857142857,0.25,0.2857142686843872,0.25,0.3333333432674408,1.1833093512979116,0.6930923473144817,57.89473684210527,0.33749999999999997,0.0,0.0,0.0,0.690260772329733,0.746499311736419,50.0,0.71875,0.6666666865348816,0.5,1.0,0.657158858933516,0.7105713375997218,70.0,0.375,0.0,0.0,0.0,0.8365503979675608,0.9030288334324836,50.0,0.5833333333333333,0.7727272808551788,0.6875,1.0,0.44105380372345304
8,0.48196994564713497,0.6925645786472264,54.54545454545454,0.9333333333333333,0.0,0.0,0.0,0.7811414510220217,45.45454545454545,0.6071428571428572,0.125,0.5,0.0714285746216774,0.7508548576532665,0.6929269434172343,60.0,0.45833333333333337,0.7272727489471436,0.5714285969734192,1.0,0.6927396771964945,0.6933796790125211,37.5,0.4375,0.0,0.0,0.0,0.6829033092865897,0.795875659685501,62.5,0.4,0.7692307829856873,0.625,1.0,1.1757005375340968,0.6961301092919795,66.66666666666666,0.6666666666666666,0.75,0.6000000238418579,1.0,0.11909820192940863,0.7867924604328012,57.14285714285714,0.25,0.6666666865348816,0.5,1.0,1.0440148339199224,0.8056926794641862,55.55555555555556,0.2833333333333333,0.0,0.0,0.0,0.6837026030428385,0.9501487265407296,57.14285714285714,0.08333333333333333,0.0,0.0,0.0,0.8380291083408318,0.6826354346176955,57.89473684210527,0.638888888888889,0.0,0.0,0.0,0.6955610686874119,0.706267559974387,40.0,0.75,0.5555555820465088,0.45000000298023224,0.75,0.8470796905156162,0.7532381354169229,80.0,0.2916666666666667,0.0,0.0,0.0,1.5583508496524536,0.5926798869773984,60.0,0.7166666666666667,0.1666666567325592,0.5,0.10000000149011612,0.1861276708229269
