,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.7457210868993727,0.15415446000432226,55.55555555555556,0.08664627199893403,50.0,0.7138473945217131
1,0.6925734834745078,0.1541384745342348,44.44444444444444,0.08664647139577154,50.0,0.693664712530302
2,0.6919236181219702,0.15433008957816283,44.44444444444444,0.08664179248343389,50.0,0.6930634529114484
3,0.6922921682350901,0.15382762883354953,44.44444444444444,0.08664098693561183,50.0,0.6952661473639149
4,0.6951190667166518,0.1545564396117326,44.44444444444444,0.0866351462242244,50.0,0.6929607065656271
5,0.6916194623233611,0.153747953715062,44.44444444444444,0.08663005081442697,50.0,0.6936788215279757
6,0.6903593146784329,0.15482893268278156,44.44444444444444,0.0866265644959889,50.0,0.6931705184466334
7,0.6863792252206565,0.1546729180980298,44.44444444444444,0.08662263598693087,50.0,0.6942339551608253
8,0.5459582569313833,0.1419678689189888,44.44444444444444,0.0866239760769244,50.0,0.6917384173978652
9,0.6518152646753711,0.15209801808637552,44.44444444444444,0.08662544855472092,37.5,0.6917695469971744
10,0.6310138375566815,0.15470417386489443,44.44444444444444,0.08662513068562365,50.0,0.6923877147212328
11,0.7251016629954884,0.17179953705732529,44.44444444444444,0.0866273894252421,50.0,0.6899960421783936
12,0.6935540433754284,0.15416652977680023,55.55555555555556,0.08662504804115993,50.0,0.692442552470419
13,0.6926647032904055,0.13360905798530218,44.44444444444444,0.0866274072838761,50.0,0.6897239844409803
14,0.6262763771311456,0.14935455834229586,44.44444444444444,0.0890582142923287,50.0,0.6835983482526706
15,0.33336599083937096,0.23304829515722247,44.44444444444444,0.08661310141742203,50.0,0.728332720477868
16,0.3223089562852873,0.15060250221606825,44.44444444444444,0.08660743221876419,37.5,0.6877036431218787
17,0.4783980720015328,0.13342855519853125,44.44444444444444,0.08661433832358585,37.5,0.6923652736567881
18,0.31540617420787925,0.1839315584082445,44.44444444444444,0.11234856144030812,50.0,0.5864162113044648
19,0.3592334465072562,0.28191309405239884,44.44444444444444,0.10516130738318348,50.0,1.0472789007968695
