,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
9,0.7895857761894698,0.6283055284130598,87.5,0.75,0.8571428656578064,1.0,0.75,0.8027432376342187,70.0,0.5833333333333333,0.8846153914928436,0.8125,1.0,0.5222470980975967,0.6346414703575003,54.54545454545454,0.375,0.0,0.0,0.0,0.7465501934848764,1.540464539313617,46.666666666666664,0.7,0.6363636553287506,0.4732142984867096,1.0,0.41063724126557055,0.9478122697887719,57.14285714285714,0.25,0.0,0.0,0.0,0.6521526100636317,0.677911412696147,50.0,0.7777777777777778,0.6666666865348816,0.5,1.0,0.6706712686351727,0.6830135565744604,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.2786043360063773,0.828581893604774,44.44444444444444,0.3333333333333333,0.6428571492433548,0.6000000014901161,0.75,0.6116093091794396,0.6632912574724548,42.857142857142854,0.9166666666666666,0.0,0.0,0.0,0.511027051418828,0.6904209525029553,55.55555555555556,0.38611111111111107,0.0,0.0,0.0,0.6927386931125521,0.7816136679839594,50.0,0.375,0.6666666865348816,0.5,1.0,0.41354121489303086,0.6507170951280189,60.0,0.7166666666666667,0.6190476417541504,1.0,0.45000000298023224,0.5522770202039016,0.6686385150902593,70.0,0.08333333333333333,0.761904776096344,0.625,1.0,0.5996231742403743
10,0.4518578254854813,0.5959665434592898,75.0,0.6875,0.75,0.75,0.75,0.5493121952537492,70.0,0.65,0.8846153914928436,0.8125,1.0,0.4091972150502325,0.6101298315740483,54.54545454545454,0.8125,0.1666666716337204,0.25,0.125,0.6142245961233956,0.6851110498068554,46.666666666666664,0.5916666666666667,0.25,0.25,0.25,0.8385307294459733,0.7068175870739679,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.6936866631429639,0.6548833040267028,50.0,0.6666666666666666,0.6666666865348816,0.5,1.0,0.6871895804821284,0.791721654629255,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.586123632814378,0.6681022585126597,66.66666666666666,0.45833333333333337,0.0,0.0,0.0,0.3477350386698001,0.7295664450355568,42.857142857142854,0.4166666666666667,0.0,0.0,0.0,0.899539174712505,0.6927942794864339,55.55555555555556,0.3444444444444445,0.0,0.0,0.0,0.6915174826524189,0.9945647731864014,50.0,0.375,0.6666666865348816,0.5,1.0,0.6944016759377839,1.1091959484817888,30.0,0.6833333333333333,0.0,0.0,0.0,1.0933407164173383,0.6410144192003232,70.0,0.55,0.8846153914928436,0.8125,1.0,0.6521874258664249
11,0.8906906827336055,0.7430994291587876,50.0,0.875,0.6666666865348816,0.5,1.0,0.6546546018883197,70.0,0.8333333333333333,0.761904776096344,0.625,1.0,0.7043753600419188,0.6414806698538689,45.45454545454545,0.59375,0.30000001192092896,0.25,0.375,0.6913330761890175,0.7408455008155215,60.0,0.6,0.20000000298023224,0.5,0.125,0.4707621347145226,0.7993561538453003,57.14285714285714,0.25,0.0,0.0,0.0,0.7200784015293432,0.6929754177994157,33.33333333333333,0.6666666666666666,0.0,0.0,0.0,0.6963076849266918,0.6387767393241274,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.6011726448354234,0.5900258587304812,66.66666666666666,0.5833333333333333,0.0,0.0,0.0,0.35701305345673606,1.041437336937002,42.857142857142854,0.16666666666666666,0.0,0.0,0.0,0.6083824417759394,0.692723002424684,55.55555555555556,0.6347222222222223,0.0,0.0,0.0,0.6923795477989884,0.7163097562772512,50.0,0.84375,0.6666666865348816,0.5,1.0,0.6119781468340584,0.6465040951218974,60.0,1.0,0.75,1.0,0.6666666716337204,0.551167998753488,0.8703064851979093,40.0,0.5166666666666666,0.1666666567325592,0.5,0.10000000149011612,0.7388230613456928
12,0.5261379127342483,0.8024717194914386,62.5,0.625,0.4000000059604645,1.0,0.25,0.5299111012851216,70.0,0.4166666666666667,0.761904776096344,0.625,1.0,0.5474108168544056,0.6298448804793338,63.63636363636363,0.7083333333333333,0.3333333432674408,0.5,0.25,0.5558544879111647,0.7534571589237656,60.0,0.6499999999999999,0.6493506729602814,0.533333346247673,0.9000000059604645,0.5692065682273177,0.8702262832543013,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.5488857381153764,0.6163671299999401,50.0,0.7777777777777778,0.6666666865348816,0.5,1.0,0.6962339470478087,0.8698375866775853,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.11363803321052218,0.7904675046461693,66.66666666666666,0.55,0.0,0.0,0.0,0.37469959203817316,0.6625867121910177,42.857142857142854,0.9166666666666666,0.0,0.0,0.0,0.3337452804621586,0.6930923707085257,50.0,0.4305555555555556,0.0,0.0,0.0,0.6903292287506263,1.1229062816449065,50.0,0.55,0.38461539149284363,0.3125,0.5,0.3530293115214287,0.6922371182530949,50.0,1.0,0.25,0.5,0.1666666716337204,0.6295703124689499,0.640092711177663,70.0,0.45,0.8846153914928436,0.8125,1.0,0.596471864665768
13,0.5789711061000508,0.682688572285241,50.0,0.6875,0.6666666865348816,0.5,1.0,0.5308213696141647,70.0,0.6833333333333333,0.8846153914928436,0.8125,1.0,0.6994338187376244,0.616224192350613,72.72727272727273,0.6166666666666667,0.375,0.5,0.30000001192092896,0.6570974166890003,0.6869411102143351,66.66666666666666,0.5833333333333333,0.2857142984867096,0.5,0.20000000298023224,0.9782567480875266,0.8894190202149821,57.14285714285714,0.08333333333333333,0.0,0.0,0.0,0.6571681135997958,0.6912242823611537,50.0,0.6666666666666666,0.6666666865348816,0.5,1.0,0.7210425069993616,0.5851242553337951,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.8775599849333238,0.8255501768630826,66.66666666666666,0.5166666666666666,0.0,0.0,0.0,0.25542781715471535,0.7387338516636632,42.857142857142854,0.5,0.0,0.0,0.0,0.6319349435962407,0.6929533489081454,44.44444444444444,0.4236111111111111,0.0,0.0,0.0,0.695002433517873,0.8117413598608716,50.0,0.375,0.6666666865348816,0.5,1.0,0.6501232417326474,1.1546695714616926,30.0,0.9166666666666667,0.0,0.0,0.0,0.5448842176850516,0.6237085902485022,60.0,0.5357142857142857,0.4285714328289032,0.4285714328289032,0.4285714328289032,0.5221761189305063
14,0.3354217387602487,0.6292402924962394,50.0,0.75,0.6000000238418579,0.5,0.75,0.5807557838940307,70.0,0.4166666666666667,0.761904776096344,0.625,1.0,0.6214581988273207,0.6699501226734615,54.54545454545454,0.7666666666666666,0.0,0.0,0.0,0.5624997781286235,0.9042107046544331,53.333333333333336,0.5833333333333333,0.6477272510528564,0.5142857283353806,0.875,0.2612305677228199,0.9915689548346747,57.14285714285714,0.25,0.0,0.0,0.0,0.5659015605664985,0.6357159902173333,50.0,0.7777777777777778,0.6666666865348816,0.5,1.0,0.48014157212229974,0.8928124434753382,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.3399483698264222,0.8046520548747443,66.66666666666666,0.5833333333333333,0.0,0.0,0.0,0.3955316487059378,0.760465353539428,42.857142857142854,0.5,0.0,0.0,0.0,0.6696295832404622,0.6926971875321646,50.0,0.5444444444444444,0.0,0.0,0.0,0.6936545414079431,0.7817842376598162,50.0,0.375,0.6666666865348816,0.5,1.0,0.6645305367414813,0.5913221812460512,60.0,0.875,0.800000011920929,0.875,0.75,0.2831211398313465,0.6548526407668442,70.0,0.5833333333333333,0.8846153914928436,0.8125,1.0,0.4883083393322565
15,0.5620281561999895,0.7013129017609966,50.0,0.625,0.3333333432674408,0.5,0.25,0.5185302427900836,70.0,0.5357142857142857,0.46666666865348816,0.4375,0.5,0.6466466353926248,0.7399116385212806,54.54545454545454,0.6875,0.0,0.0,0.0,0.8872314572370199,0.8396307636520786,60.0,0.6354166666666667,0.619047611951828,0.550000011920929,0.7083333432674408,0.15210828703223966,1.0457953832764288,57.14285714285714,0.08333333333333333,0.0,0.0,0.0,0.8669800142711315,0.6546429156957339,66.66666666666666,0.7777777777777778,0.75,0.6000000238418579,1.0,0.7087741026031574,1.1062215082927025,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.4642288665968556,0.9695022513436786,55.55555555555556,0.41666666666666663,0.0,0.0,0.0,0.09505416135851533,0.7360933163205464,42.857142857142854,0.5833333333333334,0.0,0.0,0.0,0.6999765727006141,0.6930720503779685,55.55555555555556,0.25,0.0,0.0,0.0,0.6943284989583454,1.3082920607160322,50.0,0.84375,0.6666666865348816,0.5,1.0,1.1170370035414208,0.7436647434978715,60.0,0.5,0.3333333432674408,0.5,0.25,0.7087505155604441,0.6139444617952777,60.0,0.6833333333333333,0.7179487347602844,0.8125,0.75,0.43591520034892867
16,0.5229323834004802,0.8172949075700822,62.5,0.5,0.4000000059604645,1.0,0.25,0.5636553154963072,70.0,0.7916666666666667,0.761904776096344,0.625,1.0,0.4079938641442034,0.5915664646138946,63.63636363636363,0.875,0.20000000298023224,0.5,0.125,0.3536978081564294,1.0149342378338546,53.333333333333336,0.6166666666666667,0.551282063126564,0.4375,0.75,0.14844504181455834,1.4456949275634,57.14285714285714,0.08333333333333333,0.0,0.0,0.0,0.6579617499769886,0.6371843784624905,50.0,0.7777777777777778,0.6666666865348816,0.5,1.0,0.7064607437217181,0.742557636270676,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.7717449257847298,1.1685339904091572,44.44444444444444,0.5,0.6428571492433548,0.6000000014901161,0.75,0.3886562174484931,0.6590781412522179,42.857142857142854,0.9166666666666666,0.0,0.0,0.0,0.3248856388389097,0.6923093093498421,55.55555555555556,0.27777777777777773,0.0,0.0,0.0,0.678351500297051,0.9817367206728178,50.0,0.7166666666666667,0.38461539149284363,0.3125,0.5,0.5144136982779889,0.7616669106431191,60.0,0.9166666666666667,0.3333333432674408,0.5,0.25,0.644748075939535,0.7377274421466465,70.0,0.3333333333333333,0.761904776096344,0.625,1.0,1.0390981237794215
17,0.3802822894569993,0.7685585180474148,37.5,0.5625,0.5454545021057129,0.4285714328289032,0.75,0.486404340724936,70.0,0.9166666666666667,0.761904776096344,0.625,1.0,0.47675563348279865,0.5944108132470959,54.54545454545454,0.84375,0.1666666716337204,0.25,0.125,0.6174200546017004,0.8029398265641094,60.0,0.5,0.4000000059604645,0.5,0.3333333432674408,0.3283432025001871,1.0426394101011063,57.14285714285714,0.25,0.0,0.0,0.0,0.3794700590182737,0.6509527405969026,33.33333333333333,0.6666666666666666,0.5,0.4000000059604645,0.6666666865348816,0.8796186346327002,0.8302029552565304,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.4634961240248701,0.8778874837273771,66.66666666666666,0.5,0.0,0.0,0.0,0.21086248972183821,0.8079239399519492,42.857142857142854,0.5833333333333334,0.0,0.0,0.0,0.5875597811500117,0.691306386297999,55.55555555555556,0.45,0.0,0.0,0.0,0.687362136944876,0.7466059238974377,60.0,0.875,0.6969697177410126,0.5357142984867096,1.0,1.3628932568546688,0.7038030962539205,60.0,0.8333333333333333,0.75,1.0,0.6666666716337204,0.41365689997341265,0.710529515561908,50.0,0.6166666666666667,0.3333333432674408,0.375,0.30000001192092896,0.18394339545476135
18,0.6470722227811985,1.491281347097925,50.0,0.1875,0.0,0.0,0.0,0.7702800554576481,70.0,0.5,0.761904776096344,0.625,1.0,0.3509588170191576,0.5689100091428131,63.63636363636363,0.9,0.25,0.5,0.1666666716337204,0.6538457235827739,0.9409067192901859,60.0,0.5583333333333333,0.3333333432674408,0.5,0.25,0.06015517139167331,1.3713377525800847,57.14285714285714,0.08333333333333333,0.0,0.0,0.0,0.4680032809829777,0.6096592570793702,50.0,0.7777777777777778,0.6666666865348816,0.5,1.0,0.11563975544079372,0.9576115174145083,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.386002101885249,1.0433217317283607,66.66666666666666,0.45833333333333337,0.0,0.0,0.0,0.13040961764799028,0.6747771539782589,42.857142857142854,0.8333333333333334,0.0,0.0,0.0,0.3166682617286199,0.6834521340002708,55.55555555555556,0.48611111111111116,0.0,0.0,0.0,0.7057447384477078,1.9662377511541436,50.0,0.55,0.38461539149284363,0.3125,0.5,0.16542760164178097,0.8096024999950316,60.0,0.9583333333333333,0.3333333432674408,0.5,0.25,0.34708702548513704,0.7199645329395772,60.0,0.5357142857142857,0.4285714328289032,0.4285714328289032,0.4285714328289032,0.1962695354869856
19,0.21862936618852905,1.1096409497699307,50.0,0.4375,0.3333333432674408,0.5,0.25,0.6586626786461871,70.0,0.7916666666666667,0.761904776096344,0.625,1.0,0.11413239998450928,0.5799158984291676,54.54545454545454,0.5,0.0,0.0,0.0,0.38728449489298605,0.9173451890898572,60.0,0.6770833333333333,0.649350643157959,0.5357142984867096,0.8333333432674408,0.2008200597997315,1.6175340389835546,57.14285714285714,0.08333333333333333,0.0,0.0,0.0,0.4331107055501388,0.5530338923310306,50.0,0.7777777777777778,0.5714285373687744,0.5,0.6666666865348816,0.690479453276727,0.6502196911255919,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.45878793363198983,1.0233764868001884,77.77777777777779,0.7083333333333333,0.3333333432674408,0.5,0.25,0.3397520207395978,0.8802351945032829,42.857142857142854,0.5833333333333334,0.0,0.0,0.0,0.23696362572158094,0.6906060112899026,55.55555555555556,0.6944444444444445,0.0,0.0,0.0,0.6891545816407609,0.6369463453246438,80.0,0.5833333333333333,0.40000003576278687,0.4000000059604645,0.4000000059604645,0.15372731800898853,1.7152114380096912,30.0,0.4583333333333333,0.0,0.0,0.0,0.057942693018115096,1.026455894911965,50.0,0.48333333333333334,0.6428571492433548,0.75,0.6000000014901161,0.2331541516721821
