,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.8827661162844166,0.6875908526454833,50.0,0.875,0.6666666865348816,0.5,1.0,0.6945264982950664,30.0,0.48333333333333334,0.0,0.0,0.0,0.6979611341633842,0.6930177075182008,45.45454545454545,0.8,0.6727272868156433,0.5208333432674408,1.0,0.6943021717753286,0.6864183292800166,53.333333333333336,0.5583333333333333,0.0,0.0,0.0,0.6635163166762338,0.706782361490183,57.14285714285714,0.25,0.0,0.0,0.0,0.6839182342365024,0.6931449695477557,50.0,0.5555555555555556,0.6666666865348816,0.5,1.0,0.6944775213701689,0.7186701000403929,57.14285714285714,0.16666666666666666,0.0,0.0,0.0,1.1018199924213432,0.6583356703665585,66.66666666666666,0.41666666666666663,0.0,0.0,0.0,0.6327808578869004,0.6945132063270395,42.857142857142854,0.16666666666666666,0.0,0.0,0.0,0.6939534248039252,0.6931939338831168,44.44444444444444,0.6777777777777777,0.6262626449267069,0.4583333333333333,1.0,0.6935210413967633,0.69291342631989,50.0,0.84375,0.6666666865348816,0.5,1.0,0.6993420995418419,0.6660098024632456,70.0,0.25,0.761904776096344,0.625,1.0,0.668786516545317,0.7075555459306568,30.0,0.48333333333333334,0.0,0.0,0.0,0.7329142466347253
1,0.6054016338015472,0.6895566473497907,50.0,0.8125,0.6666666865348816,0.5,1.0,0.6932911445547607,40.0,0.48333333333333334,0.25,0.3333333432674408,0.20000000298023224,0.6940454395021198,0.6929749478502436,45.45454545454545,0.55,0.6727272868156433,0.5208333432674408,1.0,0.6931027360380717,0.680516544132845,66.66666666666666,0.6166666666666667,0.4000000059604645,0.5,0.3333333432674408,0.7093874364044614,0.7285464493800424,57.14285714285714,0.25,0.0,0.0,0.0,0.6748034811707625,0.6930736344343886,83.33333333333334,0.6666666666666666,0.8571428656578064,0.75,1.0,0.6938466297041292,0.6711412712093495,57.14285714285714,0.9166666666666666,0.0,0.0,0.0,0.7871266139138362,0.6931825482492456,66.66666666666666,0.3333333333333333,0.0,0.0,0.0,0.691418336900617,0.6945479442363988,42.857142857142854,0.16666666666666666,0.0,0.0,0.0,0.6910434261325283,0.6930654489590308,55.55555555555556,0.3666666666666667,0.0,0.0,0.0,0.6930942417212796,0.7092838719283441,50.0,0.875,0.6666666865348816,0.5,1.0,0.6476352483555077,0.6924169428606758,70.0,0.55,0.8846153914928436,0.8125,1.0,0.6721733833592063,0.7532429847048531,30.0,0.7916666666666667,0.0,0.0,0.0,0.6843561526636758
2,0.9300928681610047,0.6818614263956736,50.0,0.8125,0.0,0.0,0.0,0.6283002548903915,70.0,0.75,0.761904776096344,0.625,1.0,0.6320852906534968,0.6909074056142323,54.54545454545454,0.8,0.0,0.0,0.0,0.6451921699514834,1.125024405667745,46.666666666666664,0.4791666666666667,0.6333333253860474,0.4642857164144516,1.0,0.7875651533269897,0.6931248959706121,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.6902031273890998,0.7022097423966448,50.0,0.5555555555555556,0.6666666865348816,0.5,1.0,0.687214491357165,0.6563390320293682,57.14285714285714,0.9166666666666666,0.0,0.0,0.0,0.536511702441008,0.6534377435079407,66.66666666666666,0.625,0.0,0.0,0.0,0.6814306540764478,0.7200757915866226,42.857142857142854,0.3333333333333333,0.0,0.0,0.0,0.6905786584886642,0.6930085503118826,55.55555555555556,0.3888888888888889,0.0,0.0,0.0,0.6941156571991526,0.8826533903212777,50.0,0.78125,0.6666666865348816,0.5,1.0,0.5494410406519007,0.6447225959933404,70.0,0.5833333333333334,0.761904776096344,0.625,1.0,0.658484758029151,0.6958863270138442,30.0,0.75,0.0,0.0,0.0,0.6810053943795236
3,0.6924913047046887,0.698378588750994,50.0,0.625,0.6666666865348816,0.5,1.0,0.6004164078609973,70.0,0.5833333333333333,0.8846153914928436,0.8125,1.0,0.6605508859876902,0.7023864480993445,45.45454545454545,0.6166666666666667,0.6727272868156433,0.5208333432674408,1.0,0.6620703658998139,0.69285974983291,60.0,0.5083333333333333,0.25,0.5,0.1666666716337204,0.703375930198119,0.729646824376359,57.14285714285714,0.25,0.0,0.0,0.0,0.7733864539025606,0.6932160586648003,50.0,0.4444444444444444,0.6666666865348816,0.5,1.0,0.6910698156463785,0.6440684185399667,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.706354628006166,0.6613076236502532,66.66666666666666,0.2916666666666667,0.0,0.0,0.0,0.7894990304358543,0.765422494475133,42.857142857142854,0.16666666666666666,0.0,0.0,0.0,0.6493675265299693,0.6933163137691762,38.88888888888889,0.3541666666666667,0.35555556416511536,0.2777777810891469,0.5,0.692716528752661,0.756335455995839,50.0,0.6833333333333333,0.7727272808551788,0.6875,1.0,0.9909866878171475,0.6524527396186748,80.0,0.7916666666666667,0.7948718070983887,0.6785714328289032,1.0,0.6626251702302683,0.7097076069151058,30.0,0.5357142857142857,0.0,0.0,0.0,0.6610665366603512
4,0.6676858114093637,0.6754760511476785,50.0,0.8125,0.6666666865348816,0.5,1.0,0.6921023915893441,30.0,0.41666666666666663,0.4583333432674408,0.6666666716337204,0.3500000014901161,0.6931883643171279,0.6858226464491378,54.54545454545454,0.625,0.0,0.0,0.0,0.7363547436452895,0.6886685688686394,53.333333333333336,0.4666666666666667,0.0,0.0,0.0,0.6930222769878979,0.7097321801531459,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.6917307778250721,0.6932555325904866,50.0,0.4444444444444444,0.6666666865348816,0.5,1.0,0.6926592566731762,0.649739478648713,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.8346417058289982,0.6357264476150059,66.66666666666666,0.6166666666666667,0.0,0.0,0.0,0.7260517659010404,0.7706138490657527,42.857142857142854,0.25,0.0,0.0,0.0,0.6627892069270305,0.6932376234373323,44.44444444444444,0.49444444444444446,0.6262626449267069,0.4583333333333333,1.0,0.6940139641883583,0.7053082554275042,50.0,0.75,0.6666666865348816,0.5,1.0,0.7148770280256249,0.6383294155737936,70.0,0.125,0.761904776096344,0.625,1.0,0.678988770310787,0.6934144838124421,30.0,0.45,0.0,0.0,0.0,0.693383145504848
5,0.6928253576048401,0.7063287770283523,50.0,0.0,0.6666666865348816,0.5,1.0,0.6922345781781845,70.0,0.8333333333333333,0.761904776096344,0.625,1.0,0.6997764654029359,0.6635169273649383,63.63636363636363,0.84375,0.75,0.75,0.75,0.7143861342449218,0.6859744660262668,53.333333333333336,0.5666666666666667,0.1666666567325592,0.5,0.10000000149011612,0.6894258239895796,0.723481006272395,42.857142857142854,0.4166666666666667,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.9046612746540954,0.704569568894622,50.0,0.3333333333333333,0.6666666865348816,0.5,1.0,0.6811364030476332,0.5936625180624443,57.14285714285714,0.9166666666666666,0.0,0.0,0.0,0.6816166726409352,0.619150376088704,66.66666666666666,0.6166666666666667,0.0,0.0,0.0,0.8433753225033331,0.6930169240359721,42.857142857142854,0.75,0.0,0.0,0.0,0.7327582407118856,0.6932050478414865,55.55555555555556,0.21805555555555556,0.0,0.0,0.0,0.6944932389841949,0.7020640980752922,50.0,0.78125,0.6666666865348816,0.5,1.0,0.6892560298760699,0.675519874382481,70.0,0.41666666666666663,0.8636363744735718,0.8333333432674408,0.9000000059604645,0.6883654974078511,0.6928251261297015,70.0,0.39285714285714285,0.46666666865348816,0.4375,0.5,0.7404972065258979
6,1.0225601354406255,0.6532509846669962,62.5,0.8125,0.6666666865348816,0.6000000238418579,0.75,0.6003028412393488,70.0,0.5833333333333333,0.8846153914928436,0.8125,1.0,0.8198337442089526,0.6935408094282721,45.45454545454545,0.875,0.5833333432674408,0.4166666716337204,1.0,0.7205974920190863,0.687680861549447,46.666666666666664,0.6000000000000001,0.6068376302719116,0.4553571492433548,1.0,0.792688285068475,0.6903118360104014,42.857142857142854,0.75,0.5999999642372131,0.4285714328289032,1.0,0.6928110656739624,0.7159226175090114,50.0,0.4444444444444444,0.6666666865348816,0.5,1.0,0.6929368442671805,0.6969507700264882,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.5723316795861526,0.6220110848354216,66.66666666666666,0.5833333333333333,0.0,0.0,0.0,0.5821835533099925,0.6928136489209029,42.857142857142854,0.9166666666666666,0.0,0.0,0.0,0.6925350022637085,0.6934036059571633,55.55555555555556,0.3952380952380952,0.0,0.0,0.0,0.6941760589616957,0.9781945385093437,50.0,0.28125,0.6666666865348816,0.5,1.0,1.3426341316836434,1.10009610279342,30.0,0.75,0.0,0.0,0.0,0.6429575747704839,0.6936018193037979,30.0,0.7083333333333334,0.0,0.0,0.0,0.698787346018003
7,0.5854896690394101,0.688019693563741,50.0,1.0,0.6666666865348816,0.5,1.0,0.621330223505282,70.0,0.7083333333333334,0.761904776096344,0.625,1.0,0.6487282028581884,0.6845670736603542,72.72727272727273,0.5833333333333333,0.40000003576278687,0.4000000059604645,0.4000000059604645,0.6966693455305535,0.683285338178213,46.666666666666664,0.5,0.5,0.45000000298023224,0.5833333432674408,0.6867672573915714,0.9088025468196897,57.14285714285714,0.25,0.0,0.0,0.0,0.645038946166152,0.6929091669313173,50.0,0.5555555555555556,0.6666666865348816,0.5,1.0,0.6991187574717858,0.5872621750475165,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.750004739817433,0.5908006625741031,66.66666666666666,0.65,0.0,0.0,0.0,1.0280422695971692,0.7354650967529052,42.857142857142854,0.4166666666666667,0.0,0.0,0.0,0.6688798956650024,0.6929929840471905,55.55555555555556,0.548611111111111,0.0,0.0,0.0,0.6949274085729431,0.8157118273696442,50.0,0.71875,0.6666666865348816,0.5,1.0,0.5443869500160324,0.861643198820935,30.0,0.75,0.0,0.0,0.0,0.5951323387797738,0.9094657265723256,30.0,0.7083333333333334,0.0,0.0,0.0,0.6493638450843571
8,0.7809392002446462,0.6663186138727035,62.5,0.8125,0.7272727489471436,0.5714285969734192,1.0,0.5813453505608199,70.0,0.875,0.761904776096344,0.625,1.0,0.5872950684584799,0.6877722273990894,54.54545454545454,0.36666666666666664,0.6500000059604645,0.533333346247673,0.8333333432674408,0.7003613269312264,0.679008668597617,53.333333333333336,0.45,0.36666667461395264,0.6666666716337204,0.2916666716337204,0.8425227453722922,0.8475917028098878,57.14285714285714,0.25,0.0,0.0,0.0,0.5840969399059251,0.6898081169125003,50.0,0.6666666666666666,0.6666666865348816,0.5,1.0,0.7002860968132033,0.7041032730945505,57.14285714285714,0.8333333333333334,0.0,0.0,0.0,0.4297210258249168,0.5979349680224102,66.66666666666666,0.6166666666666667,0.0,0.0,0.0,0.5256302183759669,0.7665873685729842,42.857142857142854,0.25,0.0,0.0,0.0,0.7142424569724788,0.6928782419010454,50.0,0.5486111111111112,0.0,0.0,0.0,0.6924074532822881,0.8973748471016882,50.0,0.78125,0.6666666865348816,0.5,1.0,0.5762278231862679,0.7278077827286864,40.0,0.6166666666666667,0.1666666567325592,0.5,0.10000000149011612,0.624792828538852,0.763540931228618,40.0,0.7916666666666667,0.1428571492433548,0.5,0.0833333358168602,0.665334227973165
