,DEL16p11_2,DEL16p11_2,DEL16p11_2,BIP,BIP,BIP
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,1.2083299673449654,0.08846299844330709,50.0,0.06223512391839359,72.5,0.7201422278352914
1,0.36625078169901726,0.10645208179851376,62.5,0.05649923337796457,80.0,0.540040755496946
2,0.3948204645490222,0.09256146299072529,50.0,0.056816590363913635,77.5,0.15967303377567627
3,0.068664233310542,0.11258559663906212,56.25,0.06274899775119719,82.5,0.31047224881142405
4,0.06020146821689749,0.1421140927889581,62.5,0.06579576899045195,77.5,0.1999488031136178
5,0.015430850763121099,0.1788766533483518,56.25,0.06400889731256583,85.0,0.0283581540019416
6,0.028616390260638204,0.1517374892552231,62.5,0.07665914543903458,80.0,0.024073932986833423
7,0.007882079323959217,0.1537202208198697,50.0,0.0759899612564933,82.5,0.01996951937673044
8,0.0021145534125434325,0.14431803717807087,56.25,0.08979928297617001,77.5,0.011749663475826674
9,0.0026299948147148456,0.14618411921124175,56.25,0.09096820719843425,82.5,0.0009996019431895106
10,0.0015792747787181304,0.15065291156307592,62.5,0.09684657854952886,85.0,0.0035918630551244586
11,0.0024635045524397958,0.15310765001748583,56.25,0.09516396858251737,85.0,0.003830034654753686
12,0.0021916010109551414,0.1563623317808993,56.25,0.09804780830850475,85.0,0.0009038588733517663
13,0.0007730633954868768,0.1591390909517476,56.25,0.09911448462181907,85.0,0.00043216259204164627
14,0.0015729116230872298,0.16110566806219292,56.25,0.10243208403803102,85.0,0.0009141349156905546
15,0.0010098890863950306,0.16429720205324402,62.5,0.10196320536221086,85.0,0.0007646684279173345
16,0.00037693393496381376,0.1661591160906222,62.5,0.10400402420986772,85.0,0.0005705850991656039
17,0.00043967639025380286,0.1674041988696321,62.5,0.10558788771574365,85.0,0.0005185504881685463
18,0.0009531345254071365,0.16870667981743365,62.5,0.10712982711150114,85.0,0.0007573326477321893
19,0.0005665371232149276,0.17072975657169093,62.5,0.10731069511833649,85.0,0.0008487397801563743
20,0.0003398567964219242,0.17198472353443162,62.5,0.10964690053256783,85.0,0.0004121561587319942
21,0.0005920254519561129,0.17359135856222713,62.5,0.10990114065611734,85.0,0.00019954008519171415
22,0.0006755598050831995,0.17424139013606388,62.5,0.11196050769762837,85.0,0.0011006203665099613
