,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.7502994606706791,0.7017984157597644,49.56521739130435,0.4979365079365079,0.3244588792324066,0.2988888919353485,0.4133333384990692,0.7000002513809003,39.37007874015748,0.6934895833333334,0.5417322404682636,0.3917410718277097,0.9375,0.7088963450399787,0.6926796160302665,55.85106382978723,0.5610367063492064,0.660738562544187,0.5419146853188673,0.9176587288578352,0.6942668050047033,1.1588422206714872,32.25806451612903,0.3416666666666666,0.45480769872665405,0.3169642873108387,1.0,0.7393014072232672,0.6285494571440289,62.5,1.0,0.0,0.0,0.0,0.6943101576191695,0.6924276515605753,66.66666666666666,0.8333333333333333,0.0,0.0,0.0,0.7704447846480873,0.8317851321968802,42.857142857142854,0.53125,0.0,0.0,0.0,0.5587751937329212,0.6956340000524888,30.0,0.625,0.533333346247673,0.375,1.0,0.6928864670106353,0.6914297800616843,71.42857142857143,1.0,0.0,0.0,0.0,0.8458177753458468,0.6895983813247585,56.09756097560976,0.4063492063492063,0.0,0.0,0.0,0.6930368391965696
1,0.6874921660612209,0.6903508985530251,64.34782608695652,0.5053174603174603,0.0,0.0,0.0,0.6885771941623482,64.56692913385827,0.6806547619047619,0.15416666865348816,0.3125,0.1041666679084301,0.6929738589378241,0.6933350027108701,46.808510638297875,0.5527281746031746,0.011904762436946234,0.041666666666666664,0.006944444651405017,0.6913014958808995,0.6929610294976536,58.06451612903226,0.584375,0.3958333432674408,0.3375000059604645,0.5,0.6933626904669596,0.6917156975055048,62.5,1.0,0.0,0.0,0.0,0.6947927620795596,0.6816839495546958,41.66666666666667,0.8333333333333333,0.472222238779068,0.3928571492433548,0.75,0.7015412940797625,0.6933134173433183,42.857142857142854,0.28888888888888886,0.5064935088157654,0.4583333432674408,0.5666666775941849,0.6770525857808242,0.6079066383618151,70.0,0.3333333333333333,0.0,0.0,0.0,0.8466815861409079,0.7309828581913737,28.57142857142857,0.6,0.444444477558136,0.2857142984867096,1.0,0.697602607500278,0.6931980864488443,56.09756097560976,0.5694444444444444,0.6860269606113434,0.5753968358039856,0.9666666686534882,0.717044501893429
2,0.6835911870489259,0.6857939317709866,64.34782608695652,0.47043650793650793,0.0,0.0,0.0,0.6193630049249623,66.92913385826772,0.7042410714285713,0.2616071477532387,0.5,0.1843750011175871,0.6261673279273997,0.6933707439813708,47.340425531914896,0.5315228174603175,0.0277777761220932,0.08333333333333333,0.016666666915019352,0.6907254647348973,0.6073603318305342,70.96774193548387,0.6875,0.125,0.25,0.0833333358168602,1.9624249761330426,0.6898663412478534,62.5,1.0,0.0,0.0,0.0,0.6959730757880006,0.6912603090402163,66.66666666666666,0.7,0.0,0.0,0.0,0.6934974575731541,0.6930487014315239,50.0,0.4111111111111111,0.6666666865348816,0.5357142984867096,0.9000000059604645,0.6939224092085899,0.8971777632713348,30.0,0.41666666666666663,0.20000000298023224,0.1428571492433548,0.3333333432674408,0.5958568653497167,0.6943179288516829,28.57142857142857,0.2,0.444444477558136,0.2857142984867096,1.0,0.6921029313683599,0.6929995955620136,58.536585365853654,0.47291666666666665,0.08333333333333333,0.16666666666666666,0.055555557211240135,0.692987465807003
3,0.6894508127512801,0.6843060754911457,64.34782608695652,0.58,0.0,0.0,0.0,0.6030236780180247,67.71653543307087,0.7430803571428571,0.2562500014901161,0.46875,0.1854166705161333,0.4693370678127284,0.6932853119948861,46.808510638297875,0.5729662698412697,0.027777778605620067,0.041666666666666664,0.020833333333333332,0.693736448928937,0.5755060998868731,67.74193548387096,0.7485119047619048,0.0,0.0,0.0,0.6045221119928608,0.6913706480545685,62.5,0.7333333333333333,0.0,0.0,0.0,0.7005793845009454,0.6909453578256354,66.66666666666666,0.6666666666666666,0.0,0.0,0.0,0.8046883479081249,0.6930603074200216,57.14285714285714,0.3111111111111111,0.7179487347602844,0.5625,1.0,0.692208850150374,0.6987401403415376,50.0,0.625,0.5,0.5,0.5,0.753204272844782,0.7061020318484023,28.57142857142857,0.3,0.444444477558136,0.2857142984867096,1.0,0.6908043264908353,0.6929924814602677,53.65853658536586,0.5595238095238095,0.055555557211240135,0.08333333333333333,0.041666666666666664,0.6928201786194957
4,0.6729705153007907,0.6823177217567441,64.34782608695652,0.5707936507936507,0.0,0.0,0.0,0.7073457368701981,61.417322834645674,0.7589657738095237,0.6517274472862482,0.5163690531626344,0.9718750007450581,0.6357691710315816,0.6937315435952099,47.340425531914896,0.5568948412698413,0.0277777761220932,0.08333333333333333,0.016666666915019352,0.701886930281303,0.4425817752441682,83.87096774193549,0.9166666666666666,0.7142857164144516,0.75,0.6875,0.6483462443213871,0.6905454644351913,62.5,0.8666666666666667,0.0,0.0,0.0,0.6916609177884053,0.6890708523116397,66.66666666666666,0.36666666666666664,0.0,0.0,0.0,0.6929055182278483,0.7081524244173931,57.14285714285714,0.3,0.7179487347602844,0.5625,1.0,0.6942244818063874,0.8441718928508589,40.0,0.45,0.27272728085517883,0.1875,0.5,0.7141832073117358,0.7391602151692033,28.57142857142857,0.6,0.444444477558136,0.2857142984867096,1.0,0.7109919872845837,0.6926841224425008,56.09756097560976,0.34047619047619043,0.0,0.0,0.0,0.6922520858614633
5,0.10844847405230688,1.8222786287475659,64.34782608695652,0.32626984126984127,0.0,0.0,0.0,0.8042995631754313,69.29133858267717,0.7684895833333334,0.3785714339464903,0.5729166679084301,0.3125000037252903,0.45897009607498107,0.6907773229494384,47.87234042553192,0.6164434523809524,0.1091269813477993,0.2916666666666667,0.06805555708706379,0.6789241961464549,0.38951393622653535,80.64516129032258,0.8958333333333334,0.5500000044703484,0.5833333358168602,0.5416666716337204,0.6978749115146473,0.6944961633220057,37.5,0.3333333333333333,0.5454545617103577,0.375,1.0,0.6918100529167572,0.6653260093593676,66.66666666666666,0.625,0.0,0.0,0.0,0.6915689062137074,0.6946356687229166,42.857142857142854,0.4375,0.0,0.0,0.0,0.7460564166019381,1.7629541206928963,30.0,0.3333333333333333,0.533333346247673,0.375,1.0,0.7353932374454096,0.6254765997433098,71.42857142857143,1.0,0.0,0.0,0.0,0.5867899309240051,0.6933937547294651,51.21951219512195,0.48333333333333334,0.5563973188400269,0.5111111203829447,0.6805555621782938,0.6922674428560265
6,0.6563678799812793,0.6800964046788425,64.34782608695652,0.5965079365079365,0.0,0.0,0.0,0.6085793898333021,70.86614173228347,0.7578497023809524,0.3968750014901161,0.640625,0.3166666701436043,1.6557604635622367,0.6879002421036972,48.93617021276596,0.5913194444444444,0.08690476293365161,0.20833333333333334,0.055555556590358414,0.6856273999044807,0.5380832946355004,74.19354838709677,0.775,0.25,0.5,0.1666666716337204,0.5634763385724258,0.6930583260236474,50.0,0.6,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6931899041789851,0.6897493210499226,66.66666666666666,0.53125,0.0,0.0,0.0,0.6936502528174079,0.6931867431720128,57.14285714285714,0.23333333333333334,0.7179487347602844,0.5625,1.0,0.6906894925577602,1.0526929062918708,40.0,0.41666666666666663,0.27272728085517883,0.1875,0.5,1.0876429048522316,0.5719792970904594,85.71428571428571,0.8,0.6666666865348816,1.0,0.5,0.7587722948919519,0.6935802919363032,43.90243902439025,0.48611111111111116,0.36455026765664417,0.3527777815858523,0.4305555621782939,0.6921625987624076
7,0.7541044877868932,0.6906572141323937,64.34782608695652,0.4740873015873016,0.0,0.0,0.0,0.6604456357451277,67.71653543307087,0.786235119047619,0.6367740090936422,0.5784226264804602,0.7875000052154064,0.32594969251291284,0.6855516359319305,54.25531914893617,0.6119295634920635,0.3594246009985606,0.6145833370586237,0.3041666702677806,0.6940602575878266,0.3533201480396865,87.09677419354838,0.9333333333333333,0.8333333432674408,0.8333333432674408,0.8333333432674408,0.6018036992389854,0.6941479428331743,37.5,0.3333333333333333,0.5454545617103577,0.375,1.0,0.6904875858544784,0.6911192257416685,66.66666666666666,0.8333333333333333,0.0,0.0,0.0,0.6942166532290426,0.6882262699308327,28.57142857142857,0.3666666666666667,0.41558441519737244,0.375,0.46666668355464935,0.6850210163101561,0.8763846723156077,30.0,0.4166666666666667,0.222222238779068,0.1428571492433548,0.5,0.45021158284840224,0.7412867062784949,42.857142857142854,0.7,0.5,0.3333333432674408,1.0,0.555004856255445,0.693225876178189,51.21951219512195,0.4701388888888889,0.45952380696932477,0.5694444477558136,0.43611111491918564,0.6943576429273749
8,0.6587332020984347,0.6374465758495967,64.34782608695652,0.5963888888888889,0.0,0.0,0.0,0.5617554620332098,72.44094488188976,0.8096354166666667,0.4625000078231096,0.75,0.34583333786576986,0.388599742261427,0.6870612708801385,47.87234042553192,0.6331349206349206,0.07916666691501935,0.16666666666666666,0.05347222276031971,0.6808952228945636,0.47814073454467193,74.19354838709677,0.9333333333333333,0.3333333432674408,0.5,0.25,0.3765935827166569,0.6927433074120772,62.5,0.6666666666666666,0.4000000059604645,0.5,0.3333333432674408,0.6940837634281639,0.6751823208423412,66.66666666666666,0.8,0.0,0.0,0.0,0.6892489357383569,0.7298525276614402,57.14285714285714,0.3125,0.5833333283662796,0.5416666567325592,0.6666666567325592,0.6345386744146464,0.7691839834633103,20.0,0.3333333333333333,0.20000000298023224,0.125,0.5,0.5377548911248274,0.5649307685692303,85.71428571428571,0.7,0.6666666865348816,1.0,0.5,0.897334679723293,0.6930510643140063,48.78048780487805,0.539484126984127,0.09523809949556987,0.25,0.061111112435658775,0.6941983540827023
