,SZ,SZ,SZ,DEL16p11_2,DEL16p11_2,DEL16p11_2
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.6927247761453426,0.08729558723627484,61.417322834645674,0.11545197333894301,66.66666666666666,0.6929671170848483
1,0.6922000276032632,0.08718578269717882,60.629921259842526,0.11556080833552278,33.33333333333333,0.6933108634318453
2,0.7106338525314772,0.09128536371716589,39.37007874015748,0.11550932442277079,66.66666666666666,0.6931490779427555
3,0.6692408886372985,0.08603617566324641,63.77952755905512,0.11555272462305517,33.33333333333333,0.7381758051788762
4,0.6238457064831887,0.09104990428938589,62.99212598425197,0.11986591580008532,66.66666666666666,1.5735996309057616
5,0.514179684348818,0.07182390077121406,73.22834645669292,0.11555706229766617,41.66666666666667,0.7686247744681753
6,0.23101707623948936,0.09734637707141208,71.65354330708661,0.11554980432034367,50.0,0.6930477706056548
7,0.2265976406376584,0.08508925556609201,63.77952755905512,0.11550686739777895,66.66666666666666,0.6933925120691261
8,0.43098704314957464,0.06756393756727742,71.65354330708661,0.11550820883145534,75.0,0.6933970907503361
9,0.9971350402777858,0.1381404810147476,56.69291338582677,0.11559884032006927,33.33333333333333,0.6930720030982871
10,0.2391674611043502,0.07690628295054243,68.50393700787401,0.11553782259123797,33.33333333333333,0.6936558941728184
11,0.17356310571767408,0.07456682172846449,68.50393700787401,0.11557634669614669,33.33333333333333,0.6928736138901779
12,1.1767446616655834,0.11186571177844948,70.07874015748031,0.11556130191106628,33.33333333333333,0.6933913974084436
13,0.3999029918546722,0.07748709159074584,76.37795275590551,0.1155370537972844,25.0,0.6906999133917331
14,0.17272286659261601,0.1020079690961863,68.50393700787401,0.11557616577496531,33.33333333333333,0.6927586752419094
15,0.018288624864976757,0.0836831712148745,74.80314960629921,0.11552851189958385,50.0,0.6953130287062252
16,0.4791140584156889,0.11252119667250818,74.80314960629921,0.11542484821936679,66.66666666666666,0.6923169099608422
17,0.09743590396807618,0.08526452385022003,73.22834645669292,0.11554004317048046,50.0,0.692807161093167
18,0.021828168434021626,0.16338597010929193,66.14173228346458,0.11569895862733716,41.66666666666667,0.6923870628929294
19,0.03415486519806902,0.11420830109005572,76.37795275590551,0.11565371749557925,33.33333333333333,0.6959189289240503
20,0.5118116557972041,0.10748036132168207,77.95275590551181,0.11280542434747785,58.333333333333336,0.7122163708174565
21,0.08183992754962884,0.09374371647311447,78.74015748031496,0.10718089444348182,58.333333333333336,0.5699479321303044
22,0.6521343449176678,0.12669430405905868,77.95275590551181,0.1276206084605427,66.66666666666666,1.1908158627615217
23,0.19393203875634965,0.110522629765689,75.59055118110236,0.11363842059760192,25.0,0.6807765923281965
24,0.08277294238675252,0.09301601479220097,78.74015748031496,0.1101528918265187,66.66666666666666,0.7305483706549788
25,0.009202136490182295,0.14460603815576714,78.74015748031496,0.13770863480887102,33.33333333333333,0.5121413217632753
26,0.16807844340014014,0.1261164960246246,79.52755905511812,0.15087686137451187,50.0,1.2207974500777414
