,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,1.7813901085362978,0.6987247366384918,50.0,0.7777777777777778,0.6666666865348816,0.5,1.0,0.6940014103835908,36.36363636363637,0.2,0.0,0.0,0.0,0.6921194811090268,0.690133573876275,54.54545454545454,0.75,0.0,0.0,0.0,0.6920197870618088,0.6930696005325276,50.0,0.5833333333333334,0.6285714358091354,0.5,1.0,0.6932502844023435,0.702717861984537,50.0,0.3125,0.6666666865348816,0.5,1.0,0.6931625357297505,0.6907766210672246,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.692935283975756,0.6927072223145893,71.42857142857143,0.1,0.0,0.0,0.0,0.6925018117559697,0.6922378153486214,60.0,0.5,0.0,0.0,0.0,0.6928886257871243,0.6935542924117282,42.857142857142854,0.3333333333333333,0.5999999642372131,0.4285714328289032,1.0,0.6937169220632123,0.6917959592251834,55.55555555555556,0.5833333333333333,0.38461539149284363,0.3125,0.5,0.7021751848010758,0.6813020129307813,63.1578947368421,0.6527777777777778,0.3000000019868215,0.6666666666666666,0.1944444477558136,0.7370174338234642,0.6929160834557252,50.0,0.48333333333333334,0.7727272808551788,0.6875,1.0,0.6908732709733871,0.6939506353011773,40.0,0.4375,0.6060605943202972,0.7142857164144516,0.625,1.1730899864783624,0.689407770903961,60.0,0.7,0.7179487347602844,0.5625,1.0,0.6883528566682038
1,0.9083912836313289,1.1366673383769939,50.0,0.5555555555555556,0.6666666865348816,0.5,1.0,0.6926684450992066,63.63636363636363,0.2916666666666667,0.6785714328289032,0.5416666716337204,1.0,0.6950789703617746,0.6928511633220199,63.63636363636363,0.625,0.2857142686843872,0.3333333432674408,0.25,0.6924557852161993,0.6932186511266927,50.0,0.375,0.0,0.0,0.0,0.6932476875788557,0.6926384955573064,50.0,0.5625,0.0,0.0,0.0,0.6931034097857575,0.6899417029691369,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.6973266482174114,0.6907030130434599,71.42857142857143,0.1,0.0,0.0,0.0,0.6897388722327723,0.84140021123676,60.0,0.7,0.0,0.0,0.0,0.702356743199354,0.6925898900410675,57.14285714285714,0.5833333333333334,0.0,0.0,0.0,0.6933718561218762,0.6938995965289361,44.44444444444444,0.34375,0.0,0.0,0.0,0.6913980473463378,0.6762599924811785,63.1578947368421,0.7833333333333333,0.7460317611694336,0.6571428676446279,0.9333333373069763,0.7031690464271926,0.7149279530177746,50.0,0.55,0.7727272808551788,0.6875,1.0,0.6778788105196187,0.7431618581563967,40.0,0.71875,0.0,0.0,0.0,0.6998198225305242,0.70554975134272,60.0,0.5,0.4285714328289032,0.375,0.5,0.692006959418348
2,0.24541304683539575,0.9369115816597692,50.0,0.4444444444444444,0.0,0.0,0.0,0.7075450043586381,63.63636363636363,0.46875,0.8333333432674408,0.75,1.0,0.5059585600254562,0.6931962502217229,54.54545454545454,0.28125,0.0,0.0,0.0,0.6900457480697808,0.6928581693012671,50.0,0.5666666666666667,0.6573426723480225,0.5,1.0,0.6943132142430339,0.6935082640727773,50.0,0.25,0.0,0.0,0.0,0.6914225312857435,0.8108256078785484,62.5,0.4,0.7692307829856873,0.625,1.0,0.6611919611262612,0.5610010196502462,71.42857142857143,1.0,0.0,0.0,0.0,0.5136159596375116,0.839887079797843,60.0,0.5833333333333333,0.0,0.0,0.0,0.5971879616875683,0.6927766630728707,57.14285714285714,0.5,0.0,0.0,0.0,0.659525565146692,0.6942044173208921,44.44444444444444,0.48333333333333334,0.0,0.0,0.0,0.694125433816935,0.7043066582586398,68.42105263157895,0.6666666666666666,0.3809523781140645,0.5555555621782938,0.3000000019868215,0.4278323164872256,0.9255565301887781,50.0,0.6166666666666667,0.7727272808551788,0.6875,1.0,0.2652082802439735,1.0135768980722712,40.0,0.9333333333333333,0.0,0.0,0.0,0.6138530136357733,0.6695480635861827,60.0,0.45833333333333337,0.4285714328289032,0.375,0.5,0.649564246264528
3,0.9257493027392217,1.0341636503293097,50.0,0.5555555555555556,0.6666666865348816,0.5,1.0,0.7761445772407676,36.36363636363637,0.5,0.0,0.0,0.0,0.6959079484963479,0.6750047729519231,45.45454545454545,0.5833333333333333,0.7000000029802322,0.625,1.0,0.6864614065706885,0.6932170031994811,50.0,0.5416666666666667,0.0,0.0,0.0,0.6939495885521183,0.6932767695288979,50.0,0.375,0.0,0.0,0.0,0.6851822246622664,0.6561692365698366,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.6858367432047675,0.6875865346891977,71.42857142857143,1.0,0.0,0.0,0.0,0.6246628090694474,0.9836141606366164,60.0,0.46875,0.0,0.0,0.0,0.5160411715923094,0.9096687855980975,57.14285714285714,0.5,0.0,0.0,0.0,0.1570128376874227,0.6919717318382964,55.55555555555556,0.53125,0.800000011920929,0.75,0.875,0.6955456833431763,0.8881760992201571,52.63157894736842,0.75,0.0,0.0,0.0,0.6355143869864941,0.7572920822895595,50.0,0.41666666666666663,0.38461539149284363,0.3125,0.5,0.5135809371724552,0.6753415029968469,60.0,0.65625,0.8333333432674408,0.75,1.0,0.6701145575681257,0.687497104056364,60.0,0.43333333333333335,0.7179487347602844,0.5625,1.0,0.6590748940656327
4,0.33925658953035803,0.685194372851225,50.0,0.6666666666666666,0.6666666865348816,0.5,1.0,0.6946757256151763,27.27272727272727,0.2833333333333333,0.3333333432674408,0.5,0.25,0.6979732231667989,0.8849241156232849,54.54545454545454,0.1875,0.0,0.0,0.0,0.4983124897771848,0.6927724291737193,50.0,0.5666666666666667,0.6573426723480225,0.5,1.0,0.693873916446806,0.8268727706546032,50.0,0.1875,0.0,0.0,0.0,0.8300158879716423,0.675399036058757,62.5,0.6,0.7692307829856873,0.625,1.0,0.5876845835014249,0.6866123231261491,71.42857142857143,1.0,0.0,0.0,0.0,0.6923185682872517,0.7869719842566631,60.0,0.13333333333333333,0.0,0.0,0.0,0.3564762382104416,0.6931538826910248,57.14285714285714,0.5,0.5714285373687744,0.5,0.6666666865348816,0.5318473290381042,0.6924138546837079,55.55555555555556,0.53125,0.800000011920929,0.75,0.875,0.6946609864883908,1.3345812401536832,42.10526315789473,0.8333333333333334,0.622222234805425,0.4960317611694336,0.9333333373069763,0.2106059090945798,0.935808560339787,50.0,0.59375,0.6666666865348816,0.5,1.0,0.47698639132673826,0.616841741060092,60.0,0.65625,0.8333333432674408,0.75,1.0,0.5988237771516711,0.6621167259725068,60.0,0.8666666666666667,0.7179487347602844,0.5625,1.0,0.6322278485028738
5,0.5182629549352618,0.6617758127921456,66.66666666666666,0.6666666666666666,0.5,1.0,0.3333333432674408,0.691464720216914,63.63636363636363,0.45,0.7846153974533081,0.6458333432674408,1.0,0.688707912846057,0.876220122968758,45.45454545454545,0.1,0.0,0.0,0.0,0.6337703695586723,0.6926884876189666,56.25,0.6875,0.6969697177410126,0.5357142984867096,1.0,0.6913052710399393,0.9977945141873167,50.0,0.25,0.0,0.0,0.0,0.5387999206378156,0.6539311376553887,62.5,0.7333333333333333,0.7692307829856873,0.625,1.0,0.5141034389240869,0.5220960539010358,71.42857142857143,0.9,0.0,0.0,0.0,0.681536149226665,0.9539569570681048,60.0,0.40625,0.0,0.0,0.0,0.5930176858622218,0.6702397025809376,42.857142857142854,0.6666666666666666,0.5,0.4000000059604645,0.6666666865348816,0.6728324800522364,0.6869156868169948,44.44444444444444,0.5625,0.722222238779068,0.7000000029802322,0.75,0.6949684000973179,0.7498921453637352,84.21052631578947,0.8125,0.8690476218859354,0.9166666666666666,0.8333333333333334,0.15308670320260126,0.8141391169877247,50.0,0.45,0.7727272808551788,0.6875,1.0,0.580591786683345,0.5778570949082231,60.0,0.7083333333333333,0.25,0.5,0.1666666716337204,0.4496078197545136,0.6988276833550107,60.0,0.8666666666666667,0.7179487347602844,0.5625,1.0,0.5589167791246733
6,0.3844550437828714,0.9032131441043104,50.0,0.7777777777777778,0.6666666865348816,0.5,1.0,0.6966762679990754,63.63636363636363,0.3333333333333333,0.6785714328289032,0.5416666716337204,1.0,0.829303918327943,1.4784660491566184,45.45454545454545,0.2833333333333333,0.38461539149284363,0.3125,0.5,0.6860844457197445,0.6862744747894898,50.0,0.625,0.0,0.0,0.0,0.6960503492179819,0.7346450455145731,50.0,0.375,0.0,0.0,0.0,0.6865089736253298,0.6448906951964047,62.5,0.6,0.7692307829856873,0.625,1.0,0.5718040054123408,0.5638420717109108,71.42857142857143,1.0,0.0,0.0,0.0,1.0907634527192247,1.115740714181834,60.0,0.16666666666666666,0.0,0.0,0.0,0.10995235921757474,0.6249440112977004,71.42857142857143,0.75,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.4469702519324487,0.6739165717577587,55.55555555555556,0.53125,0.800000011920929,0.75,0.875,0.6903692023151347,0.8435742219657897,57.89473684210527,0.8944444444444445,0.16666666666666666,0.3333333333333333,0.11111111442248027,0.21001423257047916,0.8034453040211146,50.0,0.71875,0.6666666865348816,0.5,1.0,0.6242978813953671,0.5442237808415878,70.0,0.75,0.4285714328289032,0.5,0.375,0.7085446085932149,0.6268913206722109,60.0,0.8,0.7179487347602844,0.5625,1.0,0.5401939556990792
7,0.45852221453816644,0.686878628567218,83.33333333333334,0.7777777777777778,0.8571428656578064,0.75,1.0,0.7139887081106399,63.63636363636363,0.5,0.8333333432674408,0.75,1.0,0.5060597253898138,0.9461355536904051,36.36363636363637,0.34375,0.1428571343421936,0.1666666716337204,0.125,0.7639226597665232,0.6966321930369161,50.0,0.6333333333333333,0.0,0.0,0.0,0.6911038834144447,1.0147562705047621,50.0,0.25,0.0,0.0,0.0,1.0362803587431795,0.7831917304654977,62.5,0.6,0.7692307829856873,0.625,1.0,0.6393827221774464,0.6352952963460693,71.42857142857143,0.9,0.0,0.0,0.0,0.5777758068860178,0.9929689173345819,60.0,0.16666666666666666,0.0,0.0,0.0,0.7068760732362294,0.6726545152221008,42.857142857142854,0.5833333333333334,0.0,0.0,0.0,0.9570270154452343,0.72092390841917,55.55555555555556,0.625,0.800000011920929,0.75,0.875,0.4500548244517306,0.7328623590937744,78.94736842105263,0.8263888888888888,0.7777777910232544,0.8888888955116272,0.7222222288449606,0.9982829930294258,0.8782954958296945,50.0,0.5833333333333333,0.38461539149284363,0.3125,0.5,0.5889968831498025,0.5330897398093681,60.0,1.0,0.2857142984867096,0.5,0.20000000298023224,0.3026356512003219,0.6072940031654146,60.0,0.8333333333333333,0.7179487347602844,0.5625,1.0,0.4458907219835302
8,0.03195967297945819,1.0484769250896666,50.0,0.6666666666666666,0.0,0.0,0.0,0.7017255333836044,63.63636363636363,0.53125,0.8333333432674408,0.75,1.0,0.43055010240352964,0.9448868464989829,54.54545454545454,0.45,0.0,0.0,0.0,0.4571639631705701,0.6952174310212561,62.5,0.5625,0.5000000149011612,0.75,0.375,0.6926377733197578,0.8205650675191184,50.0,0.1875,0.0,0.0,0.0,0.5370780743333466,0.6865863184863975,62.5,0.6,0.7692307829856873,0.625,1.0,0.48118006269497543,0.3826234378427034,71.42857142857143,0.9,0.0,0.0,0.0,0.405837800269855,0.9690397448394457,60.0,0.16666666666666666,0.0,0.0,0.0,0.5181081533532953,0.6940176186189416,42.857142857142854,0.5833333333333334,0.5,0.4000000059604645,0.6666666865348816,0.5649839804825628,0.7343618639862023,44.44444444444444,0.625,0.30000001192092896,0.25,0.375,0.15810508792356884,0.7433493969322763,78.94736842105263,0.875,0.7301587462425232,0.8333333333333334,0.75,0.1817691845877657,0.9805277447941299,50.0,0.28125,0.6666666865348816,0.5,1.0,0.38640823829858695,1.2510876634889403,60.0,0.59375,0.8333333432674408,0.75,1.0,1.00526344881727,0.660533659642712,60.0,0.4666666666666667,0.7179487347602844,0.5625,1.0,0.6461597370580325
