,DEL16p11_2,DEL16p11_2,DEL16p11_2,SZ,SZ,SZ
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.5861307067012238,0.10124238782883205,50.0,0.06331091497176541,73.75,0.36258344225458333
1,0.57667719214587,0.12818089344481087,68.75,0.06351936618832295,75.625,0.34520598824061555
2,0.2366424852184669,0.07263104832644211,75.0,0.07450432307100277,73.75,0.02752983211733533
3,0.0896883242709781,0.07172598389986211,75.0,0.07351721447080241,77.5,0.15653628143765308
4,0.0857907986792259,0.08217507639716798,81.25,0.07958197768246797,76.875,0.28224542706434574
5,0.25704504718231463,0.08845221033218947,75.0,0.09476196579110062,75.0,0.03099718268837089
6,0.0038259562051645704,0.10248922160581443,75.0,0.14855388463051403,73.75,0.005218646782519498
7,0.026682368558218924,0.12652408251639696,62.5,0.1344232572922331,71.875,0.0015516160037578961
8,0.00637975091117188,0.09736218089015164,68.75,0.13407127533538635,72.5,0.0002827384466093788
9,0.001976927215329365,0.1067199364445072,75.0,0.1525029238682774,74.375,0.0025488887583614357
10,0.0019168022805770492,0.131652198457048,68.75,0.16094203720822256,75.0,0.0028550487096990393
11,0.0008903307048997272,0.12456206249894616,68.75,0.16407209124914438,73.125,0.0004173845975392026
12,0.00042790498830079575,0.11618336415067865,62.5,0.16200720148906597,76.875,8.205047892626228e-05
13,0.000461556966324398,0.11942095688354915,68.75,0.1680758057175647,76.875,8.700445340627037e-05
14,0.0006841581141965061,0.12049100596335675,68.75,0.17160883048962144,76.875,0.0006517648915137002
15,0.0006509655840989947,0.12272578714506367,68.75,0.17683757000064576,75.625,0.00040830038458172015
16,0.0004450092326595838,0.12245083767491573,68.75,0.17925102695233883,75.0,0.0002144231287423767
17,0.0001879765831789502,0.12291052018273296,68.75,0.18308299061137204,74.375,0.00038120016608649763
18,0.000630340409154013,0.12201730052934356,68.75,0.18509860191019795,74.375,0.0001285586949915593
