,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.6937600342958765,0.12614541121082865,45.45454545454545,0.08665249101505093,50.0,0.6923915914476791
1,0.6914467694261793,0.12603445054660833,45.45454545454545,0.08670135339822976,50.0,0.6900684671101829
2,0.6893551142842522,0.1262562742004922,45.45454545454545,0.08674287695860494,50.0,0.692735349607105
3,1.243086029731602,0.13946362679488472,45.45454545454545,0.08676154118218926,50.0,0.6904053612525718
4,0.45810550276079615,0.12672693274150662,36.36363636363637,0.08672573609219827,50.0,0.6913856428724943
5,0.4186578083270316,0.1325882749871246,45.45454545454545,0.08674252305732809,50.0,0.6981650905231531
6,0.6951623835776768,0.12611308774159194,36.36363636363637,0.0867248442375363,50.0,0.6875691651383566
7,1.1280821055412942,0.2524211818073265,45.45454545454545,0.08675696418790903,50.0,0.6880246004324111
8,0.6926168516178197,0.12490305211215649,54.54545454545454,0.0879674968650722,50.0,0.6594073184341563
9,0.6244933911979856,0.13944379078180422,54.54545454545454,0.08845591675964573,50.0,0.6894641054077363
10,0.374182316873114,0.12409517607531549,54.54545454545454,0.09126115890696496,50.0,0.6065858605535315
11,0.479792215231809,0.14476636904838364,54.54545454545454,0.12766802754387305,50.0,0.3344172002718321
12,0.42243568571343554,0.16542835225814415,63.63636363636363,0.08659693383862319,56.25,0.5543787626284907
13,0.022349183154664755,0.3180314512784022,45.45454545454545,0.1324907046287014,56.25,0.45672572531672656
14,2.5670475618575033,0.2815029631073775,54.54545454545454,0.09450777151601306,50.0,0.38825638702867193
15,0.013350085336574766,0.15833246701973977,63.63636363636363,0.10224021408110726,43.75,0.3893414404052776
16,0.02833140331844096,0.2569089632710003,54.54545454545454,0.12087242401740637,43.75,0.25098137350962013
17,0.006859791178697292,0.2458964622751144,45.45454545454545,0.1523376253442868,56.25,0.23849047001788112
18,0.004849846786606709,0.19879960713294284,54.54545454545454,0.1530307267200801,56.25,0.047590981393766385
19,0.016100454929953295,0.1312071415265696,54.54545454545454,0.17081557008420276,50.0,0.024737320366084874
20,0.0025220874279601652,0.39967435607750834,63.63636363636363,0.17503151851527246,56.25,0.5146030259667341
21,0.24884891897350025,0.21794701057695862,54.54545454545454,0.1796071651084671,56.25,0.28117244412152503
22,0.0007167239739544689,0.16609633855956185,63.63636363636363,0.186013956223954,43.75,0.28127988202031967
23,0.14240379271168332,0.14799745981574314,54.54545454545454,0.17761909896995343,62.5,0.016252583223466986
24,0.0036002925138921443,0.244965080834515,54.54545454545454,0.3381362250527749,62.5,0.3590877920108092
25,0.0794656694150061,0.1621394910020211,72.72727272727273,0.21158441834232894,50.0,0.029968027683569022
26,0.0022290616688970355,0.19060742426104452,72.72727272727273,0.1996163686781463,50.0,0.5025066842220446
27,0.004112537504683022,0.24612686517249804,63.63636363636363,0.16641808445045267,56.25,0.014396644182614457
28,0.0047104194050994076,0.1823065784704646,63.63636363636363,0.20833237960414236,56.25,0.11304986234631581
29,0.0010078358588517299,0.4672640719720606,45.45454545454545,0.31753668123139933,56.25,0.02683808132308108
30,0.0008505389704683932,0.15766318325400172,63.63636363636363,0.23519374774648463,50.0,0.001447560990686814
31,8.639821975077696e-05,0.15246686712721247,63.63636363636363,0.2433754931959903,56.25,0.0038424551142087083
32,0.12440647011028425,0.3165370431466425,54.54545454545454,0.2895918080966583,50.0,0.0010358995193530938
33,0.00048367729034939016,0.2669665208691387,63.63636363636363,0.27267977173489655,50.0,0.0017160847208072465
34,0.0004065216263868285,0.21397026297278945,54.54545454545454,0.2963301157746806,50.0,0.00010200887891488402
35,0.0004186253838624283,0.26721294741619894,63.63636363636363,0.2691040385847924,56.25,0.00025949745203295303
36,5.493122805381628e-05,0.22105468444404872,63.63636363636363,0.29035924054128226,50.0,0.0012669286421720864
37,8.633001200299564e-05,0.3972711826811565,63.63636363636363,0.2970037380194299,50.0,0.0011505011873842773
38,9.767036788667927e-05,0.3006760450864027,63.63636363636363,0.2832202021235165,50.0,0.0005275890762467996
39,5.439266790444015e-05,0.16351552052857687,63.63636363636363,0.2915042734894947,50.0,0.00027628931177991795
40,9.257291196257277e-06,0.2680434661212669,54.54545454545454,0.301790996784719,50.0,0.00047201246168016313
41,0.00021828054942405592,0.1713320331337076,63.63636363636363,0.301261960407301,50.0,0.00028024965483335377
42,0.0005948547389458889,0.16789259628086708,63.63636363636363,0.299149350500616,50.0,0.0003299122540009826
43,4.8943322829614206e-05,0.3008436798661711,63.63636363636363,0.3004337415524062,50.0,0.0005761929377412991
44,0.0007194228523955783,0.17462448742432443,54.54545454545454,0.3113591691067311,50.0,0.00028005533009352595
45,6.46340141423594e-05,0.18193258952473476,54.54545454545454,0.3158421272766563,50.0,0.0002571486636976548
46,0.00014862091897710621,0.2681203053884008,63.63636363636363,0.3054137902169245,50.0,0.00014940230369120928
