,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,SZ,SZ,SZ,SZ,SZ,SZ,SZ,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6933080866159256,0.6914615984256786,66.95652173913044,0.49880952380952376,0.0,0.0,0.0,0.6916635914387109,52.34375,0.7049479166666669,0.10431547649204731,0.25,0.06979166809469461,0.6898845122491598,0.7745039293394105,29.03225806451613,0.4880952380952381,0.3450396955013275,0.2113095298409462,1.0,0.7524927268934211,0.6932827179446004,47.05882352941176,0.4680555555555556,0.0,0.0,0.0,0.6925579469773853,0.8114341128768131,44.44444444444444,0.40625,0.0,0.0,0.0,0.6761742636089035,0.6931682724524743,53.84615384615385,0.48333333333333334,0.0,0.0,0.0,0.6932186701822589,0.6938054715585356,50.0,0.43333333333333335,0.4523809552192688,0.30000000447034836,1.0,0.6934278743589505,0.7197388794721024,40.0,0.53125,0.0,0.0,0.0,0.6946094508538854,0.5588704766149369,75.0,0.8333333333333334,0.8571428656578064,0.75,1.0,0.6642140307222862,0.6941201310636554,43.90243902439025,0.42083333333333334,0.0,0.0,0.0,0.6905331978026672
1,0.6938991167552967,0.6948615014433069,33.04347826086956,0.4830555555555555,0.4706108808517456,0.3444444457689921,0.8666666666666667,0.5685230629457995,70.3125,0.8007812499999999,0.7329184785485268,0.6729166712611914,0.8739583380520344,0.5736543696612998,0.7837210137071561,29.03225806451613,0.5333333333333333,0.2749999910593033,0.1845238134264946,0.625,0.9035173709129015,0.6940719794055944,47.05882352941176,0.16666666666666666,0.7230769097805023,0.6547619104385376,0.9444444378217062,0.6940353371887076,0.6773099009955761,44.44444444444444,0.59375,0.1666666716337204,0.25,0.125,0.981159763384691,0.7252266674156481,53.84615384615385,0.9333333333333333,0.0,0.0,0.0,0.5829184417901083,0.6943360786383549,50.0,0.4666666666666667,0.25,0.1666666716337204,0.5,0.6936191741575977,0.7570332612887463,30.0,0.2,0.0,0.0,0.0,0.7445586672241868,0.6951262126052995,25.0,0.75,0.0,0.0,0.0,0.6940986448318137,0.767155254797396,43.90243902439025,0.55625,0.0,0.0,0.0,0.833902664849484
2,0.8470944483519677,0.6852872466208937,66.95652173913044,0.49861111111111106,0.0,0.0,0.0,0.6054035465186778,73.4375,0.7864583333333334,0.7466991562396288,0.7163690570741892,0.8322916738688946,0.5461767246313559,0.5903206997665585,67.74193548387096,0.6541666666666667,0.3083333373069763,0.2708333358168602,0.4583333358168602,0.6055888409456338,0.6947090696860829,52.94117647058824,0.6611111111111111,0.47863248984018963,0.375,0.6666666666666666,0.9312277272374188,0.6781099513992873,55.55555555555556,0.625,0.20000000298023224,0.5,0.125,0.7215831207251293,0.6928173234749119,61.53846153846154,0.7083333333333333,0.20000000298023224,0.5,0.125,0.7046969684123074,0.6926701424824443,50.0,0.3214285714285714,0.0,0.0,0.0,0.6932548712557804,0.7043446331987135,50.0,0.65625,0.20000000298023224,0.5,0.125,0.7381901321448947,0.7816852662399401,25.0,0.0,0.0,0.0,0.0,0.7019529772168394,0.7045946239240253,51.21951219512195,0.45,0.35555555919806164,0.4166666716337204,0.3253968308369319,0.7837486067264876
3,0.6846971910324021,0.6715907181402768,66.95652173913044,0.5161111111111112,0.0,0.0,0.0,0.6671094246778009,69.53125,0.8291666666666665,0.7423926964402199,0.6511160787194967,0.9357142895460129,0.5581614660206672,0.5490451708065639,77.41935483870968,0.7,0.3916666731238365,0.375,0.4583333358168602,0.5799751314594828,0.6966620790909844,52.94117647058824,0.16666666666666666,0.7715617815653483,0.6666666666666666,1.0,0.714239606832565,0.6741523002503028,55.55555555555556,0.59375,0.8333333432674408,0.75,1.0,0.6939084426563449,0.6688637572510274,53.84615384615385,0.5,0.0,0.0,0.0,0.6859075704132969,0.6944023749591354,21.428571428571427,0.325,0.2678571492433548,0.1666666716337204,0.75,0.7232826035392417,0.9052371405746842,40.0,0.40625,0.0,0.0,0.0,0.6667866932026875,1.3288493167960342,25.0,0.0,0.0,0.0,0.0,0.6899910994296418,0.6988404632516134,36.58536585365854,0.48928571428571427,0.0,0.0,0.0,0.700663790758594
4,0.6244921419553968,0.668496301244622,66.95652173913044,0.48797619047619045,0.0,0.0,0.0,0.5898936352230438,72.65625,0.8322916666666668,0.696942649781704,0.7718750052154064,0.6708333436399698,0.98398942327726,0.49799386641751137,80.64516129032258,0.6,0.4583333432674408,0.4750000014901161,0.5416666716337204,0.2044515336179771,0.6915409952506036,58.82352941176471,0.7444444444444445,0.7929293115933737,0.6964285771052042,1.0,0.6920616104410675,0.650029369547238,44.44444444444444,0.65625,0.0,0.0,0.0,0.5296055359518909,0.7167746816190225,53.84615384615385,0.5729166666666667,0.0,0.0,0.0,0.6566419190507224,0.6817096702718922,78.57142857142857,0.41666666666666663,0.0,0.0,0.0,0.6934395704502796,0.7104503104463182,40.0,0.26666666666666666,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.57098349188951,0.7357553680922243,25.0,0.25,0.0,0.0,0.0,0.6929492206398895,0.7037907389662651,43.90243902439025,0.65,0.0,0.0,0.0,0.6666981339068312
5,0.6935642633182726,0.6843200253967798,66.95652173913044,0.5173809523809524,0.0,0.0,0.0,0.6872685410474886,64.84375,0.8114583333333333,0.5192640814930201,0.7739583365619183,0.44166667107492685,0.40368959476457883,0.44946471529243476,83.87096774193549,0.7202380952380952,0.375,0.5,0.3333333358168602,0.10622660723202966,0.6922476293837322,58.82352941176471,0.7222222222222223,0.7897435824076334,0.6845238109429678,1.0,0.6905612118991502,0.6406813410440945,44.44444444444444,0.65,0.0,0.0,0.0,0.6921208376155391,0.6604781953812181,53.84615384615385,0.4,0.0,0.0,0.0,0.794543821536768,0.6880396672951967,50.0,0.35,0.0,0.0,0.0,0.6819309446038749,0.7219174303241676,40.0,0.5,0.0,0.0,0.0,0.4927575156760635,0.6952670134437101,12.5,0.16666666666666666,0.0,0.0,0.0,0.6875612883870817,0.6924671789255704,48.78048780487805,0.5041666666666667,0.19444443782170615,0.4166666666666667,0.15000000099341074,0.740466913526592
6,0.6865340209461764,0.6776674488602051,58.26086956521739,0.5202777777777778,0.07555555701255798,0.13333333333333333,0.055555556217829385,0.6696933555380122,67.1875,0.8728422619047621,0.5424107201397419,0.84375,0.4552083406597376,0.3635777665306566,0.4793122805939081,80.64516129032258,0.7083333333333334,0.0,0.0,0.0,0.5614336464845168,0.6933318820956861,52.94117647058824,0.4166666666666667,0.7523809572060903,0.6666666666666666,1.0,0.6904991413069971,0.6712482553595069,55.55555555555556,0.5625,0.8333333432674408,0.75,1.0,0.7097182271791457,0.6434149621763015,61.53846153846154,0.65,0.6666666865348816,0.5833333432674408,0.8333333432674408,0.700556299630188,0.8360735228308002,35.714285714285715,0.3666666666666667,0.3888888955116272,0.24285715073347092,1.0,0.7767923995878946,0.7343135754217596,40.0,0.375,0.7000000029802322,0.6666666716337204,0.75,0.7904343082231052,0.6909617508560467,75.0,0.3333333333333333,0.8571428656578064,0.75,1.0,0.6703327851965519,0.6874692386941571,58.536585365853654,0.5965277777777778,0.7323232491811117,0.6428571542104086,0.8833333353201548,0.5086758856136117
7,0.6839186874847563,0.644964376576135,66.95652173913044,0.5989285714285714,0.0,0.0,0.0,0.5886811097030961,71.875,0.8459449404761905,0.6282242238521576,0.7322916686534882,0.5781250074505806,0.5841918906906396,0.4653986945218629,87.09677419354838,0.65,0.4166666716337204,0.4166666716337204,0.4166666716337204,0.501092765398482,0.6919243599478153,70.58823529411765,0.7708333333333334,0.8518518805503845,0.7666666706403097,1.0,0.6933552071740985,0.6901521351466405,55.55555555555556,0.5,0.800000011920929,0.75,0.875,1.063481138563235,0.7509298255107688,46.15384615384615,0.4666666666666667,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.7618807585902111,0.6855822288105564,71.42857142857143,0.625,0.0,0.0,0.0,0.8421591786043763,0.7798664049795118,10.0,0.34375,0.0,0.0,0.0,0.619544077482229,0.742587519182455,25.0,0.25,0.0,0.0,0.0,0.6907671047323136,0.7001543090166993,56.09756097560976,0.5458333333333333,0.7160894672075907,0.6202381054560343,0.8694444497426351,0.7192221476464885
8,0.5306102487950579,0.6618680571715143,66.95652173913044,0.5062698412698413,0.0,0.0,0.0,0.6186289784032659,78.90625,0.8692708333333333,0.778842018917203,0.7842261958867311,0.8145833387970924,0.10181616831843966,0.4056749828497641,87.09677419354838,0.6166666666666666,0.4166666716337204,0.4166666716337204,0.4166666716337204,0.38905017913569623,0.6124874408101676,70.58823529411765,0.8055555555555555,0.5079365173975626,0.4166666666666667,0.6666666666666666,0.6239610336350979,0.6564147547299798,44.44444444444444,0.6875,0.0,0.0,0.0,0.6950865893900477,0.7438210425418527,46.15384615384615,0.5416666666666667,0.0,0.0,0.0,1.1154893046263539,0.6516814194750584,64.28571428571429,0.625,0.25,0.1666666716337204,0.5,0.5643823953703335,0.8130767796177631,40.0,0.46875,0.0,0.0,0.0,0.3866174089127987,0.935143197371773,25.0,0.08333333333333333,0.0,0.0,0.0,0.7031615323089117,0.6857438531118188,43.90243902439025,0.6402777777777777,0.1111111044883728,0.3333333333333333,0.06666666766007741,0.7306255560022086
