,SZ,SZ,SZ,SZ,SZ,SZ,SZ
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,0.3937726259923924,0.5605490570169918,71.09375,0.7668898809523809,0.5596230234950781,0.6697916723787785,0.5427083382382989
1,0.19179942129736816,0.5208817738114708,75.78125,0.8044270833333333,0.6595238149166107,0.7864583358168602,0.6041666734963655
2,0.40441860489357445,1.0332676859752064,72.65625,0.8071056547619048,0.4877976272255182,0.7604166679084301,0.39122024178504944
3,0.11509154647097963,0.6225711027895151,77.34375,0.8312872023809522,0.6857638955116272,0.7895833365619183,0.6822916716337204
4,0.38244089794338226,0.871568196892055,71.875,0.80078125,0.6491186022758484,0.6119791753590107,0.7072916701436043
5,0.00692468685909946,1.0622749779587748,71.875,0.74296875,0.6125000063329935,0.6031250059604645,0.6416666731238365
6,0.38914215602998753,1.0967898027869059,73.4375,0.8439360119047619,0.7040404118597507,0.6434523910284042,0.8739583324640989
7,0.0021399754661099372,0.9937410033870536,72.65625,0.805766369047619,0.6171131059527397,0.5968750063329935,0.6697916705161333
8,0.0007557265499157994,1.1900354596286817,73.4375,0.8427083333333334,0.5962527114897966,0.6989583373069763,0.6083333361893892
9,0.153276145746802,1.5423574693094797,72.65625,0.8099330357142857,0.6493777185678482,0.5968750044703484,0.7718750014901161
10,0.0004137350107023485,1.2342374337354223,77.34375,0.8263020833333333,0.6528003290295601,0.6885416693985462,0.6572916693985462
11,0.00019264122655012384,1.3364342185572848,75.78125,0.8166666666666668,0.6869047749787569,0.7125000078231096,0.7104166727513075
12,0.00014642796329420222,1.428558892504331,75.0,0.8330357142857143,0.6479662749916315,0.7156250039115548,0.6583333369344473
13,0.0006151524522604929,1.4931668449435544,76.5625,0.7758928571428572,0.6464781872928143,0.7187500018626451,0.6500000096857548
14,0.0003096920166391872,1.580673609287109,76.5625,0.8317708333333333,0.6693181842565536,0.7864583358168602,0.6354166697710752
15,0.0003680996583456119,1.5923248795924643,75.78125,0.8098586309523811,0.666062418371439,0.7479166705161333,0.6479166764765978
16,0.00021854624972637862,1.5952159921728712,76.5625,0.7932291666666668,0.6542343124747276,0.7166666723787785,0.6458333414047956
17,2.8975375869813663e-05,1.6019237677497487,75.78125,0.8471354166666666,0.6687500141561031,0.6854166686534882,0.7156250029802322
18,2.498746438678815e-05,1.6119660099696635,75.78125,0.8110491071428573,0.6447916775941849,0.7114583402872086,0.6552083399146795
19,0.00017120686957076403,1.6267823071058307,75.78125,0.787983630952381,0.577205091714859,0.6145833358168602,0.5791666712611914
20,0.00020545511857572425,1.6403767632289592,75.78125,0.7846354166666667,0.6340888328850269,0.6947916690260172,0.6463541742414236
21,0.0002815032843387292,1.6532328200486672,75.0,0.7880208333333334,0.6499413903802633,0.7531250007450581,0.6427083369344473
22,8.117987917224125e-05,1.66182290666069,75.78125,0.7866443452380953,0.6364583447575569,0.6906250044703484,0.6489583384245634
23,0.00018648199151677394,1.672065556458493,75.78125,0.8369791666666666,0.675000011920929,0.7489583399146795,0.7000000029802322
24,2.9040142621704096e-05,1.6823181018430602,75.78125,0.8248139880952381,0.6269841380417347,0.7041666731238365,0.6072916742414236
25,1.8705184519902919e-06,1.6965246004473167,75.78125,0.8203125,0.6326885093003511,0.7135416697710752,0.6354166716337204
26,3.595697489377768e-05,1.7060195575033572,76.5625,0.8065476190476192,0.6858315393328667,0.7083333376795053,0.7666666693985462
27,0.00015938773319826042,1.7158188218358963,75.78125,0.8666666666666666,0.690746758133173,0.729166666045785,0.7145833354443312
28,4.9847601058076383e-05,1.7232861304675147,75.78125,0.8179687500000001,0.6911706421524286,0.7302083373069763,0.7072916701436043
