,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,ASD,ASD,ASD,ASD,ASD,ASD,ASD,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.5665995824366035,0.7925531508577208,42.857142857142854,0.2784722222222222,0.0,0.0,0.0,0.6934155303493807,47.08994708994709,0.46989087301587307,0.6274926600356897,0.4729166676600774,1.0,0.693066395416893,0.6437903566307571,68.75,0.30416666666666664,0.0,0.0,0.0,1.3558482579795674,0.6760272312795292,61.111111111111114,0.2888888888888889,0.7350427508354187,0.5833333333333334,1.0,0.6531136533947531,0.7416993189372453,22.22222222222222,0.41666666666666663,0.0,0.0,0.0,0.6725267711277607,0.6842022871925605,53.84615384615385,0.5666666666666667,0.0,0.0,0.0,0.5473732471563939,0.6997239581903089,57.14285714285714,0.3666666666666667,0.0,0.0,0.0,0.6993740703562955,0.7462276851796414,40.0,0.25,0.0,0.0,0.0,0.7151906153042896,0.8041014627484484,37.5,0.4,0.5454545617103577,0.375,1.0,0.5248032582892159,0.6923979836393377,64.65517241379311,0.4672222222222222,0.0,0.0,0.0,0.6946537308883882
1,0.6939622100374426,0.6933131832836971,38.095238095238095,0.2904761904761905,0.27910053730010986,0.3888888955116272,0.23492064078648886,0.6935385060046654,47.08994708994709,0.40959821428571436,0.6239196117967367,0.4791666666666667,1.0,0.6958522625963928,0.6358598029921777,68.75,0.45,0.0,0.0,0.0,0.8312429104235409,0.6935993180591101,38.88888888888889,0.5736111111111111,0.0,0.0,0.0,0.6929963627121344,0.6938387553137693,22.22222222222222,0.375,0.0,0.0,0.0,0.6975629440729453,0.6887730725600952,46.15384615384615,0.7083333333333333,0.6190476417541504,0.45000000298023224,1.0,0.8462759626232558,0.7228785539866234,42.857142857142854,0.5,0.5833333432674408,0.4166666716337204,1.0,0.6930846220425556,0.9604347625491183,40.0,0.25,0.0,0.0,0.0,0.6837076943084398,0.6938514358190928,37.5,0.4,0.5454545617103577,0.375,1.0,0.6939238619615407,0.6910207493787072,64.65517241379311,0.4388492063492063,0.0,0.0,0.0,0.693109171627575
2,0.69367430913885,0.6930208528450423,54.761904761904766,0.5590277777777778,0.7205128322045008,0.6190476268529892,0.9111111164093018,0.6933737216354011,47.08994708994709,0.4910962301587303,0.6223385538905859,0.4729166676600774,1.0,0.6899179754008066,0.6846191282035338,68.75,0.4083333333333333,0.0,0.0,0.0,0.6830759670007293,0.6933595084482785,44.44444444444444,0.5888888888888889,0.09523809949556987,0.3333333333333333,0.055555557211240135,0.6943235633764975,0.6942537434132308,22.22222222222222,0.45833333333333337,0.0,0.0,0.0,0.6906624846965296,0.7484207635460709,53.84615384615385,0.6333333333333333,0.0,0.0,0.0,0.41779100511321293,0.6841145401518905,57.14285714285714,0.7444444444444445,0.0,0.0,0.0,0.6939025954167182,0.8971112829853387,40.0,0.0,0.0,0.0,0.0,0.8239302354691981,0.6941105225620139,37.5,0.4,0.5454545617103577,0.375,1.0,0.6932769450190234,0.6901046046194024,64.65517241379311,0.3590079365079365,0.0,0.0,0.0,0.6903249126160755
3,0.6933935405860481,0.693264565870648,42.857142857142854,0.5861111111111111,0.1111111044883728,0.3333333333333333,0.06666666766007741,0.6937073818693001,47.08994708994709,0.4980902777777778,0.6033808899422487,0.466666666790843,0.9583333333333334,0.686413324260998,0.6800048203881961,59.375,0.6285714285714286,0.3916666731238365,0.3583333417773247,0.5208333358168602,0.690397897021283,0.6931009167699503,55.55555555555556,0.8125,0.3452380994955699,0.5833333333333334,0.3055555572112401,0.6931963153971398,0.8348936687052707,33.33333333333333,0.625,0.1428571492433548,0.5,0.0833333358168602,0.7143282502637062,0.6172868918710622,61.53846153846154,0.9166666666666667,0.722222238779068,0.6428571492433548,1.0,1.1451902359553225,0.6477140239714794,78.57142857142857,0.8222222222222222,0.8035714328289032,0.675000011920929,1.0,0.8179825098674166,0.8838329292702131,40.0,0.25,0.0,0.0,0.0,0.6870628502440536,0.6930457660894229,50.0,0.7333333333333333,0.5999999642372131,0.4285714328289032,1.0,0.6932830323978649,0.6632010807631636,64.65517241379311,0.42047619047619045,0.0,0.0,0.0,0.5364298751199761
4,0.6918594868034946,0.693348046990353,45.23809523809524,0.2965277777777778,0.12222221990426381,0.3333333333333333,0.07500000049670537,0.6925705909235347,53.43915343915344,0.5387400793650793,0.032738095770279564,0.08333333333333333,0.02083333395421505,0.6932657608844564,0.6386878306880501,68.75,0.49583333333333335,0.0,0.0,0.0,1.0675527906732036,0.6940864204207404,38.88888888888889,0.5138888888888888,0.0,0.0,0.0,0.693257289790149,0.6944590653285929,22.22222222222222,0.45833333333333337,0.0,0.0,0.0,0.6932153504042374,0.8111563585030221,46.15384615384615,0.8020833333333333,0.6190476417541504,0.45000000298023224,1.0,0.5679773626366842,0.6786659547424956,50.0,0.8444444444444444,0.6333333253860474,0.4642857164144516,1.0,0.6930937766264232,0.92033971047649,30.0,0.25,0.0,0.0,0.0,0.6892928562101094,0.6925852786339148,62.5,0.5333333333333333,0.0,0.0,0.0,0.6943459694321289,0.6886846356676102,64.65517241379311,0.4429365079365079,0.0,0.0,0.0,0.6824326541051559
5,0.6933632841761512,0.6931892987724074,47.61904761904761,0.5187499999999999,0.3464646538098653,0.43333334227403003,0.2976190547148387,0.6892676341524756,52.38095238095239,0.5348710317460318,0.037500000248352684,0.08333333333333333,0.0243055559694767,0.6903698076279008,0.8437407375350716,68.75,0.4875,0.0,0.0,0.0,0.1297100264480331,0.6942478094557915,38.88888888888889,0.6111111111111112,0.0,0.0,0.0,0.6901801379201415,0.9406169006635134,22.22222222222222,0.39285714285714285,0.0,0.0,0.0,0.6883242655133556,0.7699805020791832,53.84615384615385,0.71875,0.0,0.0,0.0,0.4627779680226836,0.5932469394257291,78.57142857142857,0.90625,0.7750000059604645,0.7083333432674408,0.875,0.6619038005419414,0.8099834008538345,40.0,0.1,0.0,0.0,0.0,0.6478670432538867,0.6929975551070474,50.0,0.4,0.0,0.0,0.0,0.6928674281080572,0.6818237887538731,64.65517241379311,0.41341269841269845,0.0,0.0,0.0,0.660959550888586
6,0.6916885649927402,0.6934687009067427,40.476190476190474,0.3694444444444444,0.19166666766007742,0.3055555572112401,0.16666666915019354,0.6901792902543601,48.148148148148145,0.5274801587301587,0.6241679769009352,0.4699900808433692,0.9791666666666666,0.7151056241988267,0.5773718796546249,68.75,0.7226190476190476,0.5694444626569748,0.5,0.7250000014901161,0.36502602746547386,0.6931891152516872,44.44444444444444,0.888888888888889,0.1111111044883728,0.3333333333333333,0.06666666766007741,0.6933899310130978,0.804667748593982,22.22222222222222,0.41666666666666663,0.0,0.0,0.0,2.4314108440372544,1.3486500123898537,46.15384615384615,0.75,0.6477272808551788,0.48750001192092896,1.0,0.32553468385472795,0.878429154345823,50.0,0.8125,0.6136363744735718,0.45238097012043,1.0,0.6097283447169249,0.8209437635874203,30.0,0.53125,0.0,0.0,0.0,1.1465142302555258,0.6917506243570101,62.5,0.6,0.0,0.0,0.0,0.6996319284704026,0.6500462290712904,64.65517241379311,0.4249603174603174,0.0,0.0,0.0,0.6142757828578302
7,0.6899149895986666,0.6958837396033286,42.857142857142854,0.34375,0.0,0.0,0.0,0.7171282879526926,51.85185185185185,0.5715029761904762,0.6075096366306146,0.49017858132719994,0.8798611139257749,0.7012914602754164,0.5472242725463448,68.75,0.6671130952380953,0.10000000149011612,0.125,0.0833333358168602,0.5376272840932547,0.6955240381208829,38.88888888888889,0.4305555555555555,0.0,0.0,0.0,0.6897567771544388,1.304133796324868,22.22222222222222,0.5,0.0,0.0,0.0,0.6271759175371255,1.0835628853110286,53.84615384615385,0.8083333333333333,0.5833333432674408,0.4571428671479225,1.0,0.05515402493174557,0.5076377085021461,78.57142857142857,0.8541666666666667,0.694444477558136,0.6500000059604645,0.75,0.7391879231492304,0.6970735343666148,40.0,0.46875,0.0,0.0,0.0,0.7648023826736592,0.6949670465421753,62.5,0.4,0.0,0.0,0.0,0.6989025991512499,0.6699367537435081,64.65517241379311,0.4309920634920635,0.0,0.0,0.0,0.697906310753637
8,0.6878379477315382,0.6968106963880553,42.857142857142854,0.3611111111111111,0.0,0.0,0.0,0.6855302067712423,52.910052910052904,0.5485119047619048,0.033333333830038704,0.08333333333333333,0.020833333333333332,0.6704675644904559,0.8270105519152384,71.875,0.4791666666666667,0.125,0.25,0.0833333358168602,0.6365749877100556,0.6943819126899646,38.88888888888889,0.5178571428571429,0.0,0.0,0.0,0.690749400725155,0.851687281444732,22.22222222222222,0.45833333333333337,0.0,0.0,0.0,0.6919921007520218,0.5108423226568971,76.92307692307693,1.0,0.6666666865348816,1.0,0.5,0.323836798772923,0.47779603731636466,78.57142857142857,1.0,0.7083333432674408,0.75,0.800000011920929,0.5417962156794923,0.8023554077034426,30.0,0.0,0.0,0.0,0.0,0.6598722444356679,0.6912155044732406,62.5,0.7333333333333333,0.0,0.0,0.0,0.6970079856658001,0.6684298941036152,64.65517241379311,0.4015873015873016,0.0,0.0,0.0,0.6955929126852747
