,UCLA_CB,UCLA_CB,UCLA_CB,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,0.9538743329880709,0.07707172804588928,44.44444444444444,0.060967214601715725,63.63636363636363,0.8090978246492205,0.059248794447286375,50.0,0.6001962335385942,0.04331527438266261,50.0,0.6906688150431276,0.15256824923503254,37.5,1.2589355028188316,0.08491686545642532,62.5,0.8813763885713856,0.09780991883993796,42.857142857142854,0.6898221192753822,0.0917690429576391,71.42857142857143,0.8212714142398346,0.06933376579921181,40.0,0.6933593101707651,0.08629425762851432,50.0,0.7477785564315088,0.08274520746035936,47.368421052631575,0.7957448512604652,0.0656810921062255,70.0,0.897326466599008,0.0669707386759955,60.0,0.6944955590220842,0.06931849079218802,40.0,0.6934534928510045
1,0.6951127328501401,0.07693618989026058,55.55555555555556,0.06299058007680373,63.63636363636363,0.6933962068386127,0.05988298774146621,50.0,0.7512209294393576,0.04289515890979601,50.0,0.6934860940741034,0.11808424474092274,37.5,0.6149684140402567,0.09483193051052582,37.5,0.6421593680186952,0.10469469582456836,57.14285714285714,0.5884857562923251,0.10035820556398113,71.42857142857143,0.6857068692508994,0.068611788077843,60.0,0.6937221953601354,0.08662769708309859,50.0,0.6930550480595999,0.1016987837976483,52.63157894736842,0.6727962415133611,0.06513174029014582,70.0,0.7170645535263935,0.07744572857378282,40.0,0.6457875407649759,0.06939162539628281,30.0,0.6930928433946872
2,0.6951881470145805,0.07699870161612912,55.55555555555556,0.062013562742369154,63.63636363636363,0.6932101796933575,0.05976827085238576,50.0,0.6850100416475451,0.04343828201157496,50.0,0.6932806133420308,0.09276643236275173,37.5,0.664466642793743,0.08666622684755185,37.5,0.6929141508024536,0.10004766678723465,42.857142857142854,0.664682353212743,0.09903769675002208,28.57142857142857,0.69318382198005,0.06940135064226413,60.0,0.790624596163327,0.08662911034559777,50.0,0.6956020271338371,0.07032341022891665,63.1578947368421,0.692859688197969,0.06459181133583512,70.0,0.7479594218145894,0.06717401729258787,60.0,0.7143146138271617,0.07117594861770463,30.0,1.0981925025384875
3,0.6919658725860929,0.07722354814287286,33.33333333333333,0.058658972898035185,63.63636363636363,0.5978557481291925,0.059650968751941126,50.0,0.6735731134346654,0.0433138445954249,50.0,0.6931253284983442,0.090517340184518,37.5,0.7247242106674373,0.08664491256717749,62.5,0.6587142245120783,0.10105640194713061,57.14285714285714,0.5914022583391356,0.09974694323594031,71.42857142857143,0.6932210240762767,0.06766189950993823,60.0,0.6435922788121659,0.0850163929278321,50.0,0.6929782901827771,0.07191024772432832,63.1578947368421,0.6408495586404084,0.0633919443453507,70.0,0.9272542152119342,0.06838549784170504,60.0,0.6573208938781936,0.06930268071421498,60.0,0.7138814971213668
4,0.6589813694841746,0.07760869900561669,44.44444444444444,0.06333975779233156,63.63636363636363,0.6199355142901726,0.060550265030684246,50.0,0.6702564791042684,0.043312527250427425,62.5,0.6928643264809508,0.1046226422439287,37.5,0.8413744629175105,0.08830729669868707,62.5,1.0069798086287696,0.09524567535221375,57.14285714285714,0.5799559101953699,0.08743811906745853,71.42857142857143,0.7011697033828587,0.06926130774696072,60.0,0.731897560324544,0.08485585495618188,50.0,0.6964722169047105,0.07803669515237528,52.63157894736842,0.49257002977201514,0.06548624847794118,70.0,0.7312887827105258,0.06906929030321193,60.0,0.6595876929543278,0.06926483939096,70.0,0.6931327694321415
5,0.7464680781495698,0.07710422198942446,33.33333333333333,0.058640363780377076,63.63636363636363,0.5577485744579666,0.06355534004357037,25.0,0.7145709633335845,0.04331992091068293,50.0,0.6923746902738366,0.09071391828835411,37.5,0.699961106076481,0.08168342247775878,62.5,0.7395667344836452,0.09745380596298,57.14285714285714,0.5485190051901966,0.09916616663487532,71.42857142857143,0.6644622636648124,0.06971419689181449,60.0,0.6440542199833978,0.08594622933974504,75.0,0.685989323991008,0.08672233544554882,47.368421052631575,0.6662668405027855,0.06421958738661548,70.0,0.6869993347533311,0.06711576078355422,50.0,0.5673567102902581,0.06938646348625438,30.0,0.6929376520413616
6,0.742833888220654,0.08008630913230436,55.55555555555556,0.05551805577909257,63.63636363636363,0.6137284497546434,0.06934689202695472,41.66666666666667,0.7415016141418599,0.04332407288474413,50.0,0.6933574615448905,0.08940949124566877,62.5,0.6996624675048354,0.08629788179826717,50.0,0.6371468218163507,0.1054096732507388,57.14285714285714,0.6122053412069905,0.08810889123451263,71.42857142857143,0.6370161588189206,0.0733704633044315,60.0,0.5433717529706575,0.08271438022116524,50.0,0.6752746413568579,0.09299310141255168,57.89473684210527,0.6252195937883653,0.06235308945141542,70.0,0.6480684247114927,0.08825691232275418,40.0,0.58888917242178,0.06937189576692679,30.0,0.6927674455142371
7,0.4428271148493565,0.10457516150597396,22.22222222222222,0.07358502667818627,36.36363636363637,0.8658423622931978,0.06769944638146765,50.0,0.7643099650040557,0.04333861588132656,50.0,0.6946924027435396,0.0768305539407797,62.5,0.7115816309532954,0.08668049840182383,50.0,0.62092750441127,0.09972547950781245,42.857142857142854,0.610049156110358,0.10110279031641434,57.14285714285714,0.8204890477660416,0.06732949415328342,70.0,0.6687106255141004,0.08679945887668415,50.0,0.5787344271157744,0.0780852651026172,42.10526315789473,0.5968048480040976,0.07807419629578355,30.0,0.9167647040756803,0.06818905323757177,50.0,0.5685979975180399,0.07265038446039715,30.0,0.6395573481865391
8,0.19878768566057253,0.11247706525025368,44.44444444444444,0.05449146826429112,63.63636363636363,0.6505064528997047,0.07139821179524349,50.0,0.6362921829978885,0.0433165861639397,50.0,0.6927565136108955,0.0853709381030098,62.5,0.6777539976431673,0.08523311687141433,62.5,0.5442604798009056,0.09981013867708678,57.14285714285714,0.6475316747636031,0.09592827988106381,71.42857142857143,0.848249789115424,0.07852697510901649,60.0,0.585091993587158,0.08004825085873427,50.0,0.7344930940371763,0.08034614608906417,63.1578947368421,0.31352478027925207,0.062138910816182925,70.0,0.8719534385396037,0.1188017168341092,40.0,0.2947123043486165,0.06921565304956598,60.0,0.6917987864148972
