,UCLA_DS1,UCLA_DS1,UCLA_DS1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,NYU,NYU,NYU,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,146.7986718766,9.119870294344137,0.0,0.7936998115063297,0.0,13.853801398424338,2.6590224816960917,0.0,17.060748566052567,1.7860104066334923,0.0,17.570260058820974,5.968026955240136,0.0,94.31013379177273,115.29104143958187,0.0,658.3629925345865,8.509094360750904,0.0,38.33442321036798,153.3456272636937,0.0,283.0612925935262,8.883677325451032,0.0,279.82492713302315,55.06072423998423,0.0,307.2829879300858,76.11068132933902,0.0,619.0259792640624,198.0113585870346,0.0,948.0796376001673,24.749842644980568,0.0,214.2132016530716,2.730575965851509,0.0,25.145047886611614,49.43394002077255,0.0,336.52509930626263
1,173.95036718917473,8.207880406023136,0.0,1.0754191323137952,0.0,24.249598213472012,3.1810686453922674,0.0,24.123608229460086,3.980302394887148,0.0,7.246517041807337,0.7280747768845921,0.0,9.437017799750846,48.80713525512865,0.0,207.06313333070332,9.268516670305107,0.0,14.944628290029499,50.04463506039227,0.0,373.72252088580467,83.27537279071791,0.0,165.37523048507373,14.090095860086407,0.0,178.04339328933483,9.167791555582445,0.0,58.7083608864759,67.5532718623541,0.0,403.73103015674906,21.236593179255443,0.0,55.530147937901866,5.721014989819403,0.0,100.84428268992428,9.030569123760499,0.0,71.19479373155454
2,67.82164578066657,13.51079115847787,0.0,3.098466928022769,0.0,3.9651149071839167,0.44536702131107936,0.0,1.8767838695806096,1.6591514592718695,0.0,9.152166099718002,1.8084965478843853,0.0,5.219035239588154,42.8711509581864,0.0,338.8118525591753,6.996727048948098,0.0,81.31461188408142,19.636201553183955,0.0,316.9828530786153,10.007046800396154,0.0,108.34551019926707,12.344638302056449,0.0,71.43162783333791,11.505860889158738,0.0,23.283566975715516,77.95620599324903,0.0,731.8170550823473,15.72043165706594,0.0,27.775531827097698,2.1466133667970766,0.0,1.3431877854958347,3.2056221227316626,0.0,26.32989256829038
3,7.868058062784702,14.277805952756841,0.0,0.3083677416596883,0.0,4.734041758581014,1.201592106265669,0.0,3.8781150338565364,1.59771577810332,0.0,5.639255623984078,0.19160031324519125,0.0,5.447597721789733,41.02499897078863,0.0,319.6972782862276,7.673868041387507,0.0,36.672913432407015,43.27491306322952,0.0,81.63714260700588,5.8310053323678375,0.0,119.84228543504398,19.24644198926807,0.0,103.74358494858153,19.166029673460486,0.0,41.888954006885776,37.65050917882563,0.0,112.36910514549288,10.641590987800122,0.0,294.8445446037903,3.6679372207000145,0.0,19.960474557039955,4.130889763950312,0.0,45.597949548632826
4,77.074768046545,16.14448897491809,0.0,5.24266334666633,0.0,4.461334466509968,1.257717553686337,0.0,13.381321153672447,2.1298551565180848,0.0,4.617627774499382,0.22107746975714582,0.0,5.8337820185324984,46.62941011938495,0.0,337.6257779748345,6.144460202688609,0.0,5.314762418977903,45.215913330430425,0.0,13.453865691069167,3.2243860815957706,0.0,75.29244334164704,32.097161621312345,0.0,71.52206551474886,15.918236730960604,0.0,263.74240996260926,56.20894041604466,0.0,211.45648585617116,10.3252740906346,0.0,82.43989396727422,2.170057848151013,0.0,10.449540277127566,8.007331613102552,0.0,18.698234963193794
5,92.18057464754058,13.025863481659647,0.0,3.072884183409219,0.0,0.29875207298450107,0.4391374988365054,0.0,1.7204788836900344,3.581697397563233,0.0,8.974677379161294,0.15270975309328058,0.0,1.5671514974988991,34.99068863592707,0.0,357.6004968300286,7.574426130550894,0.0,30.19636913513784,17.77244049499074,0.0,0.21492980464493402,47.3073568193782,0.0,46.46027148708787,11.91899236625929,0.0,92.85566228085001,11.510544529696762,0.0,12.34304554885109,65.0864851776984,0.0,417.3614764057611,9.206210870327556,0.0,74.44113461902616,13.415416240303976,0.0,31.37441540424362,7.865652124174308,0.0,30.513015057693345
6,39.49277026123195,13.544699513682106,0.0,0.9016253194939846,0.0,2.949542915623448,0.5467211718763937,0.0,0.8490467347522449,2.443858307833545,0.0,13.266190987096072,0.8841975912854171,0.0,20.794784480628085,43.49195693632905,0.0,206.72778662778973,5.3844833361144975,0.0,1.7387833905682355,20.24780861399157,0.0,1.3352016754175595,4.155612285898344,0.0,22.24640148251288,18.2077793862832,0.0,83.66403486252659,22.636017269974694,0.0,22.83078470136744,27.760997159424562,0.0,204.97842110130284,6.720074746817122,0.0,40.142201047735696,6.070982260797942,0.0,14.095067816010978,8.878053622832061,0.0,23.404665760980166
7,101.42676783040952,22.369977701452353,0.0,1.4967873148929132,0.0,6.536487347655286,1.3535719550478846,0.0,3.200799717371228,3.80543495844218,0.0,3.975998664016566,1.1916330398279718,0.0,8.964151116195902,65.99914113144193,0.0,90.2346231898541,9.863237262098023,0.0,36.824020591200664,25.896209748217736,0.0,132.52114637279985,6.996341739485181,0.0,39.76723078515442,25.636686689407856,0.0,150.3368163476881,21.863755987361653,0.0,11.21292486694901,52.79084885419002,0.0,117.02038058999388,6.014346896648357,0.0,227.3890601578006,2.5164055059869215,0.0,39.14444753144914,15.249678408233988,0.0,27.26216389463619
8,48.496344159118884,15.52343344309328,0.0,2.308906865735278,0.0,7.967574999050286,0.628024257015951,0.0,2.507270146720267,1.5807582060824223,0.0,6.821804655596177,0.22553542318485925,0.0,3.632101032964427,35.00254287740908,0.0,208.54964341906302,4.870162357463225,0.0,23.119570211988634,19.883858046624205,0.0,12.11814229547466,12.506194504658481,0.0,84.49778006945242,10.57671176979335,0.0,106.55109564085305,21.801455080403368,0.0,57.76910354513351,35.50965945324255,0.0,117.1322658984351,4.656560987108129,0.0,10.076990295367763,3.850476097192029,0.0,40.76015373985681,7.33440697775606,0.0,47.240021210034385
