,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6944083917314208,0.6935835522677551,40.0,0.6666666666666666,0.0,0.0,0.0,0.6923858214119509,63.63636363636363,0.25,0.6785714328289032,0.5416666716337204,1.0,0.6937049551664459,0.6999169670957598,50.0,0.2,0.0,0.0,0.0,0.7008746507057173,0.6931386153724133,50.0,0.36666666666666664,0.6573426723480225,0.5,1.0,0.6925553953858863,0.6931213992588962,62.5,0.4666666666666667,0.4000000059604645,0.5,0.3333333432674408,0.6930250050741742,0.6959421709326346,12.5,0.13333333333333333,0.222222238779068,0.25,0.20000000298023224,0.6958464406594176,0.6873770000156577,57.14285714285714,0.5,0.0,0.0,0.0,0.6935207606938829,0.6514867822747179,71.42857142857143,0.4,0.0,0.0,0.0,0.6714420930202188,0.6931456572019798,60.0,0.5,0.3636363744735718,0.2857142984867096,0.5,0.6934963117246499,0.6930288094558301,55.55555555555556,0.5625,0.8333333432674408,0.75,1.0,0.6939995710718286,0.6961931138172228,52.63157894736842,0.5444444444444444,0.0,0.0,0.0,0.6498046102210737,0.6935443767281834,30.0,0.7916666666666667,0.0,0.0,0.0,0.6937591226799383,0.6931134033830932,50.0,0.125,0.6666666865348816,0.5833333432674408,0.8333333432674408,0.6944738323089718
1,0.6933142862424322,0.6764326374180356,60.0,0.7666666666666666,0.7179487347602844,0.5625,1.0,0.6476832511951517,63.63636363636363,0.75,0.46666666865348816,0.4375,0.5,0.5698841593828495,0.6928545090867543,58.333333333333336,0.78125,0.7000000178813934,0.5833333432674408,0.875,0.6929752772578316,0.6930764127709632,50.0,0.625,0.6285714358091354,0.5,1.0,0.6942562598407518,0.6932981823548358,37.5,0.6,0.5454545617103577,0.375,1.0,0.7073465130947845,0.6609915292021002,62.5,0.4,0.7692307829856873,0.625,1.0,0.6511574771291401,0.7276165693557815,57.14285714285714,0.4166666666666667,0.0,0.0,0.0,0.6570895166504753,0.6599653087746562,71.42857142857143,0.8,0.0,0.0,0.0,0.6951301556095855,0.6879301338900914,60.0,0.3333333333333333,0.6666666865348816,0.5,1.0,0.6699569486321465,0.6932752915456177,44.44444444444444,0.4375,0.0,0.0,0.0,0.7399200895566076,0.6936955634491051,52.63157894736842,0.5486111111111112,0.0,0.0,0.0,0.6618005878818408,0.6921987671955752,70.0,0.41666666666666663,0.8846153914928436,0.8125,1.0,0.6934420554815904,0.6936928160588705,30.0,0.7916666666666667,0.0,0.0,0.0,0.6738333219830723
2,0.6540989328815299,0.7136462560107295,40.0,0.3333333333333333,0.0,0.0,0.0,0.6919454479918206,63.63636363636363,0.8,0.7846153974533081,0.6458333432674408,1.0,0.6910211070382708,0.6933575914428753,50.0,0.125,0.0,0.0,0.0,0.6924080643875427,0.6930654069618247,56.25,0.7666666666666666,0.3333333432674408,0.375,0.30000001192092896,0.693198513838621,0.7348831690964411,62.5,0.06666666666666667,0.0,0.0,0.0,0.6823841821631925,0.6931914104377641,50.0,0.5333333333333333,0.3333333134651184,1.0,0.20000000298023224,0.6920886560706113,0.6792172651934909,57.14285714285714,0.5,0.0,0.0,0.0,0.8107292911316714,0.6936826102662597,71.42857142857143,0.7,0.0,0.0,0.0,1.8358459979862913,0.7149649170995663,60.0,0.16666666666666666,0.0,0.0,0.0,0.7466903671776094,0.696803773015135,44.44444444444444,0.375,0.0,0.0,0.0,0.6931687189573621,0.6992431123381406,52.63157894736842,0.6180555555555555,0.0,0.0,0.0,0.6137271337650146,0.6869099849510734,70.0,0.3833333333333333,0.8846153914928436,0.8125,1.0,0.743713568632164,0.5938243086790103,70.0,0.5833333333333333,0.8846153914928436,0.8125,1.0,0.6419034449777975
3,0.6448951581777695,0.6812758429932643,50.0,0.5625,0.7727272510528564,0.7142857164144516,0.875,0.6784150211189943,63.63636363636363,0.5833333333333333,0.6785714328289032,0.5416666716337204,1.0,1.003050508065973,0.6927788559052592,50.0,0.7333333333333334,0.701298713684082,0.5625,1.0,0.6963438128264701,0.6952194469511703,50.0,0.6,0.6573426723480225,0.5,1.0,0.601504389156464,0.6922270935719519,62.5,0.7333333333333333,0.0,0.0,0.0,0.7628227480078568,0.6665526267931893,62.5,0.4,0.7692307829856873,0.625,1.0,0.8059226244508108,0.6841326431441939,57.14285714285714,0.5,0.0,0.0,0.0,0.7968713708374309,0.6673382736394851,42.857142857142854,0.9,0.5,0.3333333432674408,1.0,0.5828743021686044,0.6676138426290312,60.0,0.71875,0.0,0.0,0.0,0.7063218688382017,0.6946984340364335,44.44444444444444,0.3833333333333333,0.0,0.0,0.0,0.6477827472408311,0.7114094293974799,47.368421052631575,0.4222222222222222,0.6048951148986816,0.4444444477558136,1.0,0.6767707410572475,0.693627809939327,30.0,0.875,0.0,0.0,0.0,0.6990574694184613,0.68927937425334,60.0,0.3333333333333333,0.3636363744735718,0.4000000059604645,0.3333333432674408,0.6541872159186949
4,0.5352778096470114,0.8951257472258461,40.0,0.5625,0.0,0.0,0.0,0.6398180161664836,63.63636363636363,0.8,0.7846153974533081,0.6458333432674408,1.0,0.46493602273792006,0.6807789786171803,50.0,0.7,0.5846153944730759,0.4375,1.0,0.6933846416123146,0.6931373576648365,50.0,0.4666666666666667,0.6573426723480225,0.5,1.0,0.6927376422454258,0.7806941031629476,25.0,0.0,0.4000000059604645,0.2857142984867096,0.6666666865348816,0.7125109690316297,0.6925634619849199,62.5,0.4666666666666667,0.7692307829856873,0.625,1.0,0.7795937918983558,0.6912027839169819,42.857142857142854,0.8333333333333334,0.5999999642372131,0.4285714328289032,1.0,0.8037945394686213,0.6932051200621518,42.857142857142854,0.7,0.5,0.3333333432674408,1.0,0.532401791901617,0.6822109994184871,60.0,0.41666666666666663,0.0,0.0,0.0,0.6223322251141271,0.7417877910815674,44.44444444444444,0.46875,0.0,0.0,0.0,0.7421534023254683,0.6804736987710496,57.89473684210527,0.41944444444444445,0.13333333532015482,0.3333333333333333,0.08333333333333333,0.6167940005529666,0.6922390573384205,70.0,0.35,0.8846153914928436,0.8125,1.0,0.6929108854636118,0.6576896870996627,70.0,0.75,0.761904776096344,0.625,1.0,0.7180970910132212
5,1.3302003800461515,1.3589473600471411,40.0,0.53125,0.0,0.0,0.0,0.6086359273771366,63.63636363636363,0.9,0.7846153974533081,0.6458333432674408,1.0,0.6208094240813483,0.6647133917543062,50.0,0.7333333333333334,0.0,0.0,0.0,0.6886493841743699,0.7374236205993308,50.0,0.40625,0.6666666865348816,0.5,1.0,0.689519651443878,0.8582988378550997,37.5,0.0,0.0,0.0,0.0,0.8008530598793492,0.6922135990891353,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.6782792335063083,0.6712868928585992,57.14285714285714,0.5,0.0,0.0,0.0,0.7551363260642399,0.5138946050280669,71.42857142857143,0.8,0.0,0.0,0.0,0.4798402235160827,0.6633517968145105,60.0,0.5,0.0,0.0,0.0,0.701593637493421,0.6931226266564852,44.44444444444444,0.59375,0.30000001192092896,0.25,0.375,0.6181263989658773,0.6762688756408194,52.63157894736842,0.75,0.1111111044883728,0.3333333333333333,0.06666666766007741,0.8287912001837247,0.6930128697753806,70.0,0.55,0.8333333432674408,0.875,0.800000011920929,0.6938492103569179,0.6637188164495574,50.0,0.7916666666666667,0.30000001192092896,0.375,0.25,0.535082795037018
6,0.4204520428640801,0.8142565752528347,60.0,0.65625,0.3333333432674408,0.5,0.25,0.630068465679739,63.63636363636363,0.9333333333333333,0.7846153974533081,0.6458333432674408,1.0,0.14223278549404658,0.6908486088932424,66.66666666666666,0.5,0.6285714358091354,0.625,0.6666666716337204,0.6945435290001909,0.7055121309684815,50.0,0.43333333333333335,0.6573426723480225,0.5,1.0,0.8476340119365646,0.8361620370281969,37.5,0.0,0.0,0.0,0.0,0.815174718801213,0.6911498144359807,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.5133119179857893,0.7426890156016818,57.14285714285714,0.5,0.0,0.0,0.0,0.5762698131322179,0.6109409214263108,71.42857142857143,0.5,0.0,0.0,0.0,0.6462982442421206,0.7297261756374508,60.0,0.7666666666666666,0.0,0.0,0.0,0.6339091552276396,0.7330985743484926,55.55555555555556,0.46875,0.20000000298023224,0.5,0.125,0.6045197417043602,0.8159273603385234,52.63157894736842,0.5,0.0,0.0,0.0,0.4639634389782588,0.6906393285176978,70.0,0.41666666666666663,0.8846153914928436,0.8125,1.0,0.6925214692620536,0.6144375552696225,50.0,0.5833333333333333,0.6333333551883698,0.800000011920929,0.550000011920929,1.2778698593372417
7,0.36201263519346716,0.682305930817557,50.0,0.53125,0.7727272510528564,0.7142857164144516,0.875,0.6749964853116537,63.63636363636363,0.9166666666666667,0.6785714328289032,0.5416666716337204,1.0,0.39752162643111993,0.7356032225647496,50.0,0.8666666666666667,0.0,0.0,0.0,0.5292010650990228,0.6926993527446207,50.0,0.7,0.5833333432674408,0.48571430146694183,0.7333333492279053,0.6922376491538892,0.8384210232829963,62.5,0.13333333333333333,0.0,0.0,0.0,0.6980232621827832,0.6929107397535967,62.5,0.4666666666666667,0.7692307829856873,0.625,1.0,1.074496575279075,0.7371538274434286,57.14285714285714,0.4166666666666667,0.0,0.0,0.0,0.661471232765304,0.5817328708870325,71.42857142857143,0.5,0.0,0.0,0.0,0.4538569305174829,0.6682201001257916,60.0,0.36666666666666664,0.2857142686843872,0.25,0.3333333432674408,0.7531717903654015,0.7178663853952918,44.44444444444444,0.53125,0.0,0.0,0.0,0.6854934426039015,0.7178498265010589,52.63157894736842,0.7555555555555555,0.0,0.0,0.0,0.5905934517241644,0.6917814682533129,70.0,0.625,0.761904776096344,0.625,1.0,0.8738972138195108,0.584158800143057,70.0,0.7916666666666667,0.75,0.6666666567325592,0.9166666567325592,0.6518345356281681
8,0.4007575855997096,1.5563052862552855,40.0,0.3333333333333333,0.0,0.0,0.0,0.595362456212349,63.63636363636363,0.9333333333333333,0.7846153974533081,0.6458333432674408,1.0,0.5533813162537972,0.6950313887533522,50.0,0.4,0.3636363744735718,0.3333333432674408,0.4000000059604645,0.4394176507035965,0.6888991639993894,50.0,0.5625,0.6666666865348816,0.5,1.0,0.7213280746291143,0.6964513155480185,62.5,0.26666666666666666,0.0,0.0,0.0,0.6175041554189536,0.6552044050960821,62.5,0.6,0.7692307829856873,0.625,1.0,0.4840919090080739,0.6703016157979338,57.14285714285714,0.75,0.6666666865348816,0.5,1.0,0.5986668396854424,0.5867339690218724,71.42857142857143,0.5,0.0,0.0,0.0,0.5516895223573322,0.7670379916151544,60.0,0.7666666666666666,0.0,0.0,0.0,0.5718662612271392,0.7003693912208039,55.55555555555556,0.41666666666666663,0.38461539149284363,0.3125,0.5,0.7727444758002138,0.9586806106352374,52.63157894736842,0.44166666666666665,0.0,0.0,0.0,0.43262314418987496,0.6919842430453305,70.0,0.375,0.761904776096344,0.625,1.0,0.6935106307425422,0.6981154801365687,60.0,0.5833333333333333,0.6190476417541504,1.0,0.45000000298023224,0.3803753179801854
