,BIP,BIP,BIP,BIP,BIP,BIP,BIP,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.4728864716292472,0.49590459296536843,80.64516129032258,0.5625,0.0,0.0,0.0,0.6930057971965922,50.0,0.61484375,0.0,0.0,0.0,0.6929790859977976,0.6930584163445366,50.79365079365079,0.539905753968254,0.6577219236642122,0.5062500002483526,1.0,0.6862006277737763,0.7720251257235582,52.94117647058824,0.39999999999999997,0.467532475789388,0.375,0.6666666666666666,0.9663348266572219,0.7897709021034357,44.44444444444444,0.55,0.0,0.0,0.0,0.7236469868582066,0.6931662302430445,46.15384615384615,0.7166666666666667,0.6477272808551788,0.48750001192092896,1.0,0.6931057737739647,1.8421634470862285,21.428571428571427,0.125,0.34285715222358704,0.2083333358168602,1.0,0.4882002241950455,0.6928593867172387,60.0,0.375,0.4285714328289032,0.375,0.5,0.713900786975612,0.6531394171612521,66.95652173913044,0.49134920634920637,0.0,0.0,0.0,0.6716189727879314,0.6927127910145119,56.09756097560976,0.4708333333333334,0.6043956180413564,0.4791666666666667,0.8333333333333334,0.6919757355409857
1,0.46862931294423626,0.4904193725743183,80.64516129032258,0.5392857142857143,0.0,0.0,0.0,0.6824793245249389,60.15625,0.7065104166666667,0.3218749985098839,0.578125,0.25312500074505806,0.4949723238766906,0.6931063192600776,50.264550264550266,0.5140873015873015,0.6320050396025181,0.5045138920346895,0.9465277791023254,0.6931855021237721,0.6780208989827998,52.94117647058824,0.7291666666666666,0.7777777910232544,0.6666666666666666,1.0,0.6941535110943883,0.6883612241778561,55.55555555555556,0.6166666666666667,0.38461539149284363,0.3125,0.5,0.6390882137965379,0.6929687614013376,69.23076923076923,0.59375,0.625,0.625,0.625,0.6893215556700745,0.8974530869994363,21.428571428571427,0.225,0.34285715222358704,0.2083333358168602,1.0,0.6740860760878781,0.6992997568032453,50.0,0.6,0.6666666865348816,0.5357142984867096,0.9000000059604645,0.7671718363878886,0.6650758735081059,66.95652173913044,0.49,0.0,0.0,0.0,0.7294667632346193,0.6935222820066742,46.34146341463415,0.545138888888889,0.06666666766007741,0.16666666666666666,0.041666666666666664,0.694693886935995
2,1.3892486534541024,0.5007903868875457,83.87096774193549,0.5958333333333334,0.1666666716337204,0.25,0.125,0.7125463073160243,50.78125,0.6419270833333334,0.06369047611951828,0.1875,0.03854166716337204,0.6471080127388923,0.6930236542449754,50.79365079365079,0.5884920634920635,0.6205736435949802,0.5162698471297821,0.8493055564661821,0.6933263134116158,0.6747196231841298,52.94117647058824,0.7708333333333334,0.7777777910232544,0.6666666666666666,1.0,0.6933282993809436,0.6997762103076682,55.55555555555556,0.4375,0.8333333432674408,0.75,1.0,0.9719859674557894,0.6930007863428459,61.53846153846154,0.49166666666666664,0.1666666567325592,0.5,0.10000000149011612,0.6925483982894715,1.0119931667601192,21.428571428571427,0.33035714285714285,0.3611111119389534,0.2291666716337204,1.0,0.7143245354680486,0.694914226391184,60.0,0.375,0.8333333432674408,0.75,1.0,0.6325168054076542,0.693286265709043,49.56521739130435,0.5163095238095239,0.35089947779973346,0.31333333551883696,0.47888889014720915,0.6936459122242471,0.6866921688497579,43.90243902439025,0.5651785714285714,0.16984127461910248,0.3333333333333333,0.12500000248352686,0.6935754125095356
3,0.3172114897497454,0.47514251534251567,80.64516129032258,0.6,0.0,0.0,0.0,0.6923341923263377,66.40625,0.7851562500000001,0.7111354097723961,0.5982887027785182,0.9385416693985462,0.3825489226728836,0.6936193684571755,49.2063492063492,0.4923363095238096,0.0,0.0,0.0,0.6983704602991032,0.6268982121526389,52.94117647058824,0.8333333333333334,0.47863248984018963,0.375,0.6666666666666666,0.7515222741421668,0.7300541008375059,55.55555555555556,0.46875,0.8333333432674408,0.75,1.0,0.6752904812283366,0.6929803931776728,53.84615384615385,0.5583333333333333,0.5846153944730759,0.4375,1.0,0.6943991620639459,1.193739579293752,21.428571428571427,0.21428571428571427,0.3611111119389534,0.2291666716337204,1.0,0.6094271032389864,0.7199538684621578,40.0,0.5,0.0,0.0,0.0,0.7156410411479306,0.645063897670857,66.95652173913044,0.4428968253968255,0.0,0.0,0.0,0.8087550216587684,0.687661766331634,46.34146341463415,0.6486111111111111,0.2365079422791799,0.375,0.22222222636143366,0.6918540187811237
4,0.6355923497767728,0.533147260424498,77.41935483870968,0.7559523809523809,0.2916666716337204,0.25,0.375,0.9148380645147842,58.59375,0.7528645833333333,0.31934524327516556,0.59375,0.2406250024214387,0.9080381942395123,0.693089398582563,48.148148148148145,0.5571180555555556,0.0,0.0,0.0,0.695023983746867,0.5673870125254259,58.82352941176471,0.8333333333333334,0.7929293115933737,0.6964285771052042,1.0,0.6116486054257726,0.735019902978193,55.55555555555556,0.40625,0.8333333432674408,0.75,1.0,0.28909027543896065,0.6930927436593178,46.15384615384615,0.625,0.0,0.0,0.0,0.6551004160435904,1.3251932513855942,21.428571428571427,0.25,0.34285715222358704,0.2083333358168602,1.0,0.6198684599732895,0.7064556976861057,40.0,0.3,0.0,0.0,0.0,0.5375610700438554,0.6840498034554985,57.391304347826086,0.47349206349206346,0.18904762069384257,0.2777777810891469,0.16333333551883697,0.6185028960174165,0.682047342237343,56.09756097560976,0.4916666666666667,0.566305915514628,0.7222222238779068,0.5103174671530724,0.6650817658568788
5,0.5815012466988185,0.5721139500305145,70.96774193548387,0.7166666666666667,0.4047619104385376,0.3125,0.5833333358168602,0.6697438296882201,68.75,0.8022693452380952,0.7276286352425814,0.6139880958944559,0.9385416693985462,0.4907332776621624,0.7011696910311498,55.026455026455025,0.5805307539682539,0.6426018513739109,0.5298115145415068,0.8787698447704315,0.6947363332523624,0.6388196816969562,94.11764705882352,0.8333333333333334,0.9333333373069763,0.8888888955116272,1.0,0.694137875930444,0.6673109222474859,66.66666666666666,0.625,0.8636363744735718,0.7857142984867096,1.0,1.0318663532049424,0.6927989487977663,46.15384615384615,0.65625,0.6190476417541504,0.45000000298023224,1.0,0.6901620946965932,1.6908570972236738,21.428571428571427,0.0625,0.3611111119389534,0.2291666716337204,1.0,0.585834318307724,0.7491061835076864,40.0,0.3,0.0,0.0,0.0,0.6114233337712387,0.6972243002529397,51.30434782608696,0.5218650793650793,0.4188167452812195,0.36285715103149413,0.6055555582046509,0.691848727821861,0.6936365457315383,56.09756097560976,0.6437499999999999,0.6996337125698725,0.6351190507411957,0.8611111144224802,0.5167325998290649
6,0.7746244414464513,0.45820329395059245,80.64516129032258,0.6934523809523809,0.20000000298023224,0.1666666716337204,0.25,0.5992592761486873,72.65625,0.8320312500000001,0.7092262022197247,0.8083333391696215,0.6770833386108279,0.3481964567939262,0.6909822993687473,57.14285714285714,0.6522569444444445,0.6583550808330377,0.5664186589419842,0.8572420676549276,0.47211934469111605,0.5641411342820897,94.11764705882352,0.8333333333333334,0.9629629850387573,0.9333333373069763,1.0,0.6534380805220817,0.749817727773312,44.44444444444444,0.4375,0.1666666716337204,0.25,0.125,0.8344163489131994,0.6930051422549851,53.84615384615385,0.36666666666666664,0.5833333432674408,0.4571428671479225,1.0,0.6929263537545197,1.2354888977964709,21.428571428571427,0.20833333333333334,0.34285715222358704,0.2083333358168602,1.0,0.6001802359740902,0.7437003689070995,50.0,0.16666666666666666,0.1666666567325592,0.5,0.10000000149011612,0.6357188318281629,0.6762514111588431,52.17391304347826,0.5386904761904762,0.2917460322380066,0.37111111283302306,0.3511111150185267,0.629719083876975,0.6482449007618157,63.41463414634146,0.686111111111111,0.5703463306029638,0.5293650850653648,0.6611111064751943,0.7502574192931805
7,0.2173806200196429,0.44122255380133474,77.41935483870968,0.7291666666666666,0.125,0.25,0.0833333358168602,0.79649613427286,59.375,0.7622395833333334,0.302529763430357,0.5260416679084301,0.22812500409781933,0.5134903480037214,0.6916978924411833,57.67195767195767,0.6356150793650793,0.37277236953377724,0.5937500012417635,0.30525794190665084,0.6955178331040162,0.46275702233504235,88.23529411764706,0.8111111111111112,0.5820106069246928,0.6666666666666666,0.5166666706403097,0.5297809270753904,0.7482089702214609,55.55555555555556,0.4375,0.8333333432674408,0.75,1.0,1.0378298375712942,0.6927161235870438,53.84615384615385,0.6458333333333333,0.0,0.0,0.0,0.6926506118269558,0.5381684712597419,78.57142857142857,0.6388888888888888,0.25,0.5,0.1666666716337204,0.551070049052473,0.7096115149405602,40.0,0.2,0.0,0.0,0.0,0.6512534728406354,0.6670498505786508,66.95652173913044,0.5794047619047619,0.16666666666666666,0.22222222288449606,0.17777777910232545,0.45214105247413405,0.7158175070828414,51.21951219512195,0.5415674603174603,0.3365079462528229,0.5083333353201548,0.27023810396591824,0.5417993634149777
8,0.1461989635090762,0.4235094262914666,83.87096774193549,0.7785714285714286,0.2916666716337204,0.375,0.25,0.5739731078793452,71.875,0.8533854166666667,0.6186237540096045,0.7479166705161333,0.5489583360031247,0.5518640872870855,0.6838957537381932,58.201058201058196,0.6348958333333333,0.5175264663994312,0.6256944524745146,0.5291666736205419,0.6909391797013469,0.5169025591560935,88.23529411764706,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.5333333412806193,0.6478662310950286,0.7053625784338615,55.55555555555556,0.48333333333333334,0.38461539149284363,0.3125,0.5,0.8454948958179321,0.6937265285283682,46.15384615384615,0.5833333333333333,0.5357142984867096,0.45000000298023224,0.75,0.6934810346720702,0.9037669378323697,35.714285714285715,0.5166666666666666,0.1428571343421936,0.125,0.1666666716337204,0.5946300755076267,0.7925597480788001,40.0,0.26666666666666666,0.0,0.0,0.0,0.6970707078217525,0.6650655053899034,66.95652173913044,0.508888888888889,0.0,0.0,0.0,0.2856568620297577,0.6788573905912392,53.65853658536586,0.5777777777777778,0.3333333432674408,0.350000003973643,0.3222222328186035,0.7218214730614058
