,NYU,NYU,NYU,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,63.94902022710301,26.035514365934915,0.0,2.906567046668842,0.0,31.931926099787777,2.5129985911487123,0.0,41.354871422838926,14.787337905886021,0.0,4.182785995431226,1.3835691148509843,0.0,9.501566739474233,120.32699720391554,0.0,1159.416241824698,46.75208351414559,0.0,1098.8480898662187,88.00675380577036,0.0,462.3571362399218,132.33388737308096,0.0,918.823775263487,25.67632885711931,0.0,499.0559430816887,312.4682653761837,0.0,480.89318662621235,115.19386234681389,0.0,667.1132314621431,3.046631591776065,0.0,119.82020481251179,22.912401953790994,0.0,356.9021332534315,659.0843054188869,0.0,2888.717231472837,552.9737636234327,0.0,3581.4710270378405,317.70961386620576,0.0,2846.284697173531,79.21245892999934,0.0,443.69280308700286
1,18.20595572885087,16.75618760311541,0.0,0.42059313988030134,0.0,8.334095785973597,8.44144512107875,0.0,56.349937725987196,6.559935564308668,0.0,13.30482412969767,5.717666104009765,0.0,79.01627887414612,41.723805053808164,0.0,427.368311678001,94.09753995234477,0.0,493.01499292203476,16.5388144858739,0.0,47.45978397624413,45.91808549444437,0.0,447.14296906676714,10.283436417769625,0.0,104.27056562175945,49.3154070386449,0.0,318.82197263311076,30.801774629727515,0.0,139.90314881716426,19.722996328798363,0.0,18.268870149027947,21.364463676091873,0.0,55.690439221849125,149.38696796864542,0.0,1429.7762058513365,42.18370586975812,0.0,770.147182845641,50.162216054162045,0.0,565.1563833859337,78.62879696126917,0.0,459.2925767144165
2,24.9440785684172,20.635491165247803,0.0,1.0465693253284878,0.0,9.546381213135936,0.8772934690127728,0.0,11.139937881126773,3.008499458908278,0.0,9.653868214706659,3.1005353270682,0.0,2.6045967494732216,63.40091391461655,0.0,413.9318379111915,15.10313754714984,0.0,352.4329092130596,17.772434138493203,0.0,58.67836891678012,8.91599692755442,0.0,172.7547075255464,8.624709053701414,0.0,214.01929824594356,39.05068254281672,0.0,599.8852663400511,26.564728009551146,0.0,52.856754144714046,15.608135353051644,0.0,0.0005926824954670647,18.12560546860857,0.0,70.90587745602706,69.29791780547232,0.0,252.74298705848358,37.2979740168746,0.0,124.73335453241152,24.373668750280693,0.0,371.9113183437385,15.696288833830563,0.0,76.19433734673213
3,25.18565927242257,9.641223082648267,0.0,0.41943791686312387,0.0,1.5127774549509787,0.3510161096274149,0.0,3.514185416961764,1.3821930220025784,0.0,15.122714147307367,0.4039052552597138,0.0,1.3881055818624861,51.08094779678612,0.0,448.2742520130046,17.701260702888405,0.0,0.16823448888595455,11.527839267432082,0.0,76.71754873667348,15.059881757573779,0.0,64.7086975198827,11.166271966430612,0.0,50.557947961798064,48.157827068456434,0.0,213.239243246074,33.58046815833895,0.0,29.954593834913048,2.5546725148849685,0.0,4.222992021406608,11.15100985895647,0.0,144.32664202043796,31.941732259021467,0.0,90.98539862094022,15.939199873943332,0.0,63.08827429962531,57.87682139528793,0.0,76.93241263537745,7.649961531907526,0.0,94.62998637696987
4,9.693681203483129,9.862934935630664,0.0,1.2212193725857419,0.0,9.676053430908892,0.2728049948117871,0.0,4.849668528919434,2.3752514001768485,0.0,8.230974392661023,0.3235375276873957,0.0,4.03019975153587,24.341507458649584,0.0,470.03763656837015,12.332280592454294,0.0,201.84994631603132,17.934555815896925,0.0,100.82225043228628,13.681343227850363,0.0,85.07243403426519,9.171773774318485,0.0,106.59132796570805,66.18071696634748,0.0,281.6147753429057,19.10329233806202,0.0,56.93529808333814,5.560487179239697,0.0,18.10243034243752,12.230187531425106,0.0,82.02766455192778,20.1194520842595,0.0,61.98701092943703,18.104555781604308,0.0,46.2947823477289,26.607528913560408,0.0,102.32632193721582,11.348560689248915,0.0,49.99532499010164
5,6.836616390577261,9.08844608196119,0.0,0.40243403419836987,0.0,25.866572143921115,0.26802535805893046,0.0,8.208007710495032,1.0475269968269516,0.0,4.361718986600862,0.7161709371969482,0.0,3.131818267519504,39.41230968272501,0.0,174.8546747788037,11.39505762045439,0.0,0.5605727724112362,8.982198774373874,0.0,42.15771201418335,14.987791798614557,0.0,172.31874206413596,12.461258967307106,0.0,27.901620896459427,52.693579187825414,0.0,238.85591617854422,20.170031900489544,0.0,68.3866869928842,4.001876110874441,0.0,6.959622320740936,13.113312941016272,0.0,33.924225861192,31.27697548672281,0.0,102.21923005088875,9.444446729983762,0.0,22.744721266714258,25.235367989504137,0.0,64.93855652657646,7.78946515495725,0.0,46.837192027850605
6,5.305828531837762,11.980008691230676,0.0,0.2586699875389394,0.0,9.307557881911345,0.3960799220145051,0.0,2.8647052376493165,0.9893949264252745,0.0,38.59979510475352,0.24815225864692453,0.0,26.77552998544207,27.703743127678166,0.0,183.38226307183814,5.708350331098519,0.0,0.6249936278844219,6.60687042390433,0.0,52.688183146037304,12.215788889279255,0.0,100.73361559361966,8.315532612891008,0.0,105.25566650963087,49.18289783859872,0.0,150.62508820441576,16.026080940438103,0.0,51.49330541187499,3.1134671568492944,0.0,96.75230797332343,10.739051909331181,0.0,7.80565634565244,14.722855219327105,0.0,125.97894338439858,8.606691554970709,0.0,23.29738477162517,48.92865360999582,0.0,119.79944820045777,6.481501148167681,0.0,39.32281392104445
7,70.11543159475804,8.95963742469256,0.0,0.612826547924092,0.0,12.077412513953279,0.4347639829260131,0.0,6.214738755356605,1.1359597273140087,0.0,3.173724229564658,0.16213423289784268,0.0,1.986825301557168,20.624250639662282,0.0,108.76836707901089,4.638845518985049,0.0,22.566640531818646,7.793711862232852,0.0,65.27489796607652,10.319642228270629,0.0,83.9330370443674,6.61292229479245,0.0,168.34010194593964,89.07991276239581,0.0,145.0848693980461,20.14653079717145,0.0,56.83082348466287,15.428641963367305,0.0,1.2659060345693283,13.099941547559656,0.0,33.76364085619247,10.637831608939798,0.0,95.04512485367013,25.92543509201716,0.0,19.463276552531802,29.137457986109233,0.0,171.24259289217122,8.342667873115905,0.0,39.36466601703525
8,21.296171387014297,9.606101072921112,0.0,0.4478120812955408,0.0,0.9274876229203185,4.914062231652546,0.0,6.7422589070327685,1.143617678535659,0.0,8.402747346984679,0.17785863350176412,0.0,9.833694925716376,20.956816224660724,0.0,58.82517676215503,46.75315354988761,0.0,6.124948840265292,4.852381034422878,0.0,30.896930076117837,12.75786869695834,0.0,39.57211892731554,7.299463294193325,0.0,68.20313416899783,35.185800166873335,0.0,146.34485635568086,12.485542502347663,0.0,35.35080518355656,4.242960340532586,0.0,12.64104021534883,7.3463549764590566,0.0,4.102326003013522,11.97521925241357,0.0,99.71449526960568,14.809407779289677,0.0,46.61831407567366,32.14864375375764,0.0,140.64910449758543,7.677580009894786,0.0,9.321702976277468
