,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.6932411741206782,0.08661792884727718,50.0,0.13233836941319402,50.0,0.8051089308200028
1,0.6922689527827415,0.08658092145370369,50.0,0.1544658970566875,50.0,1.0041067955795204
2,0.6937297793178061,0.0866001234717375,50.0,0.1334289543413315,50.0,0.6836971168023145
3,0.692464517562151,0.08659293642715578,50.0,0.1482035476448002,50.0,0.6057684657455273
4,0.6912429204275699,0.08658336600799578,50.0,0.13868489781671572,50.0,0.6841271713773466
5,0.6920780867270458,0.08657504131769869,50.0,0.13864503329681888,50.0,0.6908185421524615
6,0.6927212858181361,0.08655789416072035,50.0,0.13850573708465527,60.0,0.6916424096043087
7,0.6926779150036391,0.08653081097519619,50.0,0.13853201954822686,70.0,0.6910709096835654
8,0.6944101982367047,0.08646680263506709,50.0,0.13838120809385496,60.0,0.6904354800823477
9,0.6913398818410496,0.08643994071918189,50.0,0.13839457512435957,70.0,0.68985898632502
10,1.0698477916678635,0.10207565795143911,50.0,0.13838258637426146,50.0,0.6940313038006058
11,0.6617839421358037,0.08436444265034893,50.0,0.1379890346550304,50.0,0.6943465416305026
12,0.6395995316535252,0.0841051383808418,62.5,0.25151287234449893,50.0,0.6515614016837854
13,0.6338058250070918,0.07435037222271818,62.5,0.13370402515188373,50.0,0.6045145498612285
14,0.6082107779228383,0.08012259782388959,81.25,0.13688393734359086,50.0,0.5619379865197632
15,0.3353788490457201,0.08862141017046767,56.25,0.15592455324799806,50.0,0.4341387353506226
16,0.5217658613304115,0.042332916063899155,87.5,0.1477840526691485,50.0,1.3418864074864085
17,0.3806804805093182,0.16469967311793823,50.0,0.13445579595922036,60.0,0.3078367175765273
18,0.11394036757359112,0.1824351066936274,50.0,0.13390729874724994,60.0,0.14703081270474128
19,0.05972152699963722,0.0630073570602219,75.0,0.1302676812142904,70.0,0.2200037788319485
