,DEL1q21_1,DEL1q21_1,DEL1q21_1,BIP,BIP,BIP
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.7924501560152548,0.18853719142025754,60.0,0.101444762070715,31.25,1.2422353807629167
1,1.3481292230979163,0.28854128651601113,40.0,0.0896624913526344,68.75,0.5783344329735188
2,0.6368774874890514,0.23455661002335698,60.0,0.1618609835773513,31.25,1.214910112163081
3,0.7646747721734243,0.223482059519205,60.0,0.13878644724005543,34.375,1.6670805581184518
4,1.3854078367511375,0.21900754002184614,50.0,0.07919467002262838,65.625,0.27024727092881606
5,0.48338809051431125,0.2018619379874697,60.0,0.08915593486507,68.75,0.5819650286780469
6,1.2596195391867315,0.23935947424464693,70.0,0.06039569034233033,68.75,0.39353398423852587
7,0.15975328996814303,0.1990621954280155,60.0,0.08501765030258245,71.875,1.1630383502104047
8,0.6814347262233624,0.4399333456589069,30.0,0.10299462739293956,75.0,0.0018126545765920741
9,0.023990682250431654,0.156842902376303,40.0,0.09357131127290619,59.375,0.1156645451451783
10,0.02221255957029704,0.5028724915788892,30.0,0.06826452089448,78.125,0.13837815611682208
11,0.0093973704267555,0.7370446289142576,30.0,0.20411071490413285,71.875,3.9786450927363295e-05
12,0.13486941784950218,0.6842451664790206,30.0,0.25917324320226137,71.875,3.0233397840046905
13,0.0899153969522395,0.15534010835862835,70.0,0.07307050400473357,75.0,0.1314099974281734
14,0.21945414469426175,0.1369500654517853,70.0,0.07582253630286462,75.0,0.0777214134544792
15,0.02288232211626322,0.32111845305141423,60.0,0.06353989818674366,75.0,0.014577650489022409
16,0.015167792662291752,0.19184135458223467,60.0,0.10245362516949452,81.25,0.3681591442181688
17,0.011760510432830934,1.0819932101002903,30.0,0.09999905366738907,71.875,0.968276339784164
18,0.000790746050861996,0.6560350231983737,30.0,0.10838846772380714,81.25,0.08632858559563258
19,1.3797780520644927,1.030499418570121,50.0,0.07366642900117117,78.125,0.002491559711105022
20,0.3148752024930771,1.3321288585414195,30.0,0.07721395195150199,75.0,0.0015194757192280178
21,0.0010609752106954394,0.7133107756640995,50.0,0.0958911146167201,75.0,0.008465612708441943
22,0.0015517157758305504,0.343991319451761,50.0,0.2968059354741972,50.0,1.5587942634644962
23,0.0005053585163562273,0.34252682177121974,50.0,0.11189861609373561,81.25,0.016922834387827563
24,0.00040912373446968457,0.822378487148909,50.0,0.1421260704261405,65.625,0.06371237021466437
25,0.0003724640706623041,0.7100508482225208,50.0,0.12040496221187146,81.25,0.010377155235874014
26,0.0004582572343264092,0.38866027658198793,50.0,0.0952801530073708,71.875,0.016509452887159222
27,0.0002999704837831118,0.3924795425546343,50.0,0.09321487815685281,81.25,0.000615189834866977
28,0.00019955108522943152,0.42134231111494,50.0,0.12318096482559704,81.25,4.726755420594777e-05
29,0.00017314201349723235,0.7853461383055632,50.0,0.20162933261907928,59.375,0.0005475320529591579
30,0.00016517210996959967,1.1803775266838759,50.0,0.16829269843466294,81.25,0.07093049372690372
31,9.679450211712222e-05,0.8095385504793644,50.0,0.11791388293826797,78.125,0.017803181949764844
32,0.00013921440731611709,0.7997825192721393,50.0,0.10373304321371442,75.0,0.0007465571654327359
33,5.162115580789512e-05,1.008588596093693,50.0,0.10478129678216551,71.875,3.330414542610136e-05
34,4.485577148121456e-05,1.0344083207842878,50.0,0.10010190133532182,78.125,0.0004164438923410004
35,8.83773149204931e-05,0.6488540701299335,50.0,0.10194564882220003,75.0,0.0016828654268547477
36,2.0729025282610682e-05,0.9566798113515315,50.0,0.12977279466648178,78.125,0.001607095971065123
37,4.999112078855676e-05,0.9198360009241033,50.0,0.10678699278717489,71.875,0.000294187515505038
38,3.672885627183648e-05,1.1280221601822502,50.0,0.10166732030623815,78.125,5.445083641955205e-05
39,5.673659442546393e-05,0.9043768699802825,50.0,0.10594722642739206,71.875,0.00016323896188973297
40,3.545400805606827e-05,1.033762131731794,50.0,0.1041850643748948,75.0,0.0011722483168562108
41,2.6178085839082454e-05,0.5611092668357484,50.0,0.10528995326536683,75.0,8.7074723472809e-05
42,3.154298204673668e-05,0.9446489732880791,50.0,0.1052074167260659,75.0,0.00017020941051148954
43,1.7636276821619374e-05,0.9462508583066285,50.0,0.10730087071320177,71.875,0.00027576056469270953
44,2.3659054762043893e-05,0.7617349199835115,50.0,0.10421239010958414,78.125,0.00043571263840792537
45,2.598734486417072e-05,1.4575369010169734,50.0,0.1069492395832161,71.875,0.00023698359533976055
46,1.9738929804343338e-05,0.5956562298300592,50.0,0.10530084917870722,78.125,0.0002486604358465045
47,2.1406686766524466e-05,1.5065222900484208,50.0,0.10734118717855508,71.875,0.000526230397784872
