,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.7454812601370503,0.8069815213962159,45.45454545454545,0.31666666666666665,0.38461539149284363,0.3125,0.5,0.6960071195994483,36.36363636363637,0.2,0.0,0.0,0.0,0.7011133398823809,0.6924453779794053,50.0,0.53125,0.6666666865348816,0.5,1.0,0.7270053111390634,0.6930082424772717,50.0,0.5,0.0,0.0,0.0,0.694032223417817,0.6925927925980043,62.5,0.4,0.7692307829856873,0.625,1.0,0.6943454033381423,0.6933332893147548,50.0,0.2222222222222222,0.6666666865348816,0.5,1.0,0.6917376690221525,0.6765982049849386,60.0,0.625,0.0,0.0,0.0,0.5859112062298788,0.6933116736571169,42.857142857142854,0.5,0.5999999642372131,0.4285714328289032,1.0,0.6938361145666212,0.6922096421200208,55.55555555555556,0.6166666666666667,0.38461539149284363,0.3125,0.5,0.6906997640682275,0.6929921774805166,52.63157894736842,0.5625,0.0,0.0,0.0,0.6942086788197953,0.6924126783612758,50.0,0.15625,0.0,0.0,0.0,0.7307781219088128,0.7012753436018948,40.0,0.6875,0.0,0.0,0.0,0.7797378473984196,0.6927760654767807,60.0,0.6875,0.8333333432674408,0.75,1.0,0.6941006817802708
1,1.0627114289902095,0.9350444722474788,27.27272727272727,0.0625,0.45000000298023224,0.3333333432674408,0.75,0.6939333098860522,36.36363636363637,0.40625,0.0,0.0,0.0,0.6935743878430324,0.7365880439482977,50.0,0.41666666666666663,0.6285714358091354,0.5,1.0,0.6531744788875213,0.6901036599024574,50.0,0.625,0.0,0.0,0.0,0.8325152322813507,0.658151869007108,62.5,0.4666666666666667,0.7692307829856873,0.625,1.0,0.8845070097133725,0.6931207863596792,50.0,0.6666666666666666,0.0,0.0,0.0,0.6902658360394742,0.6824922209953013,60.0,0.3333333333333333,0.0,0.0,0.0,0.934865337458068,0.6930050150012742,57.14285714285714,0.75,0.5714285373687744,0.5,0.6666666865348816,0.6934552721370526,0.6911943789214724,55.55555555555556,0.6166666666666667,0.38461539149284363,0.3125,0.5,0.6927595794765449,0.6926465743046885,52.63157894736842,0.4583333333333333,0.0,0.0,0.0,0.6880073468704576,0.7772997527452848,50.0,0.9375,0.6666666865348816,0.5,1.0,0.6506387012251105,0.6919703499272175,60.0,0.5,0.7179487347602844,0.5625,1.0,0.6944467249519001,0.6534364602358036,60.0,0.9666666666666667,0.7179487347602844,0.5625,1.0,0.6893203108338641
2,1.2780680326081786,0.897388650164766,18.181818181818183,0.03125,0.25,0.1666666716337204,0.5,0.6912826431002131,63.63636363636363,0.875,0.6785714328289032,0.5416666716337204,1.0,0.6909153824068056,0.6982407358481815,50.0,0.6333333333333333,0.6573426723480225,0.5,1.0,0.6779173059378434,0.6927917757836719,50.0,0.4375,0.0,0.0,0.0,0.6934868293050556,0.693181313946489,37.5,0.6,0.2857142984867096,0.5,0.20000000298023224,0.6935319928453919,0.6932719974709567,50.0,0.4444444444444444,0.0,0.0,0.0,0.7010589246065192,0.6726574599883606,60.0,0.6666666666666667,0.0,0.0,0.0,0.6625360187852591,0.691630408419866,71.42857142857143,0.8333333333333334,0.75,0.6000000238418579,1.0,0.6853578290003794,0.6918685742339117,55.55555555555556,0.6833333333333333,0.38461539149284363,0.3125,0.5,0.6954547066971091,0.6928500296254103,52.63157894736842,0.5444444444444444,0.0,0.0,0.0,0.6922814330308805,0.6921221961740276,50.0,0.6166666666666667,0.38461539149284363,0.3125,0.5,0.7222340956031936,0.6922255542350422,70.0,1.0,0.7500000298023224,0.6071428656578064,1.0,0.6921131958750275,0.690973410706831,60.0,0.9333333333333333,0.7179487347602844,0.5625,1.0,0.6968146389951128
3,0.9326441328942885,0.9953146885751142,54.54545454545454,0.9333333333333333,0.0,0.0,0.0,0.6915233091519918,63.63636363636363,0.7166666666666667,0.7846153974533081,0.6458333432674408,1.0,0.6952024538113246,0.6988981231536182,43.75,0.6,0.6060606241226196,0.4732142984867096,0.9000000059604645,0.8989436950590438,0.6943696981161382,50.0,0.5625,0.0,0.0,0.0,0.7576857263714839,0.6359615919198918,62.5,0.7333333333333333,0.7692307829856873,0.625,1.0,0.6403815509412653,0.7170166730500339,50.0,0.3333333333333333,0.0,0.0,0.0,0.5136201993836346,0.7134060295728221,60.0,0.23333333333333334,0.0,0.0,0.0,0.7537179507051154,0.6871954949673901,42.857142857142854,0.8333333333333334,0.5999999642372131,0.4285714328289032,1.0,0.7290706946748962,0.6936847374504603,44.44444444444444,0.55,0.0,0.0,0.0,0.6915662235889737,0.6929049635254206,52.63157894736842,0.5416666666666666,0.0,0.0,0.0,0.6893397823707166,0.758870811884333,50.0,0.65625,0.25,0.25,0.25,0.6298554173283466,0.6324406911630445,60.0,0.625,0.8333333432674408,0.75,1.0,0.799104309886803,0.6541441204994805,60.0,0.9,0.7179487347602844,0.5625,1.0,0.6722582131407893
4,0.7639927468973766,1.5993021685174307,45.45454545454545,0.0,0.5833333432674408,0.4166666716337204,1.0,0.6893415909767241,63.63636363636363,0.65,0.7846153974533081,0.6458333432674408,1.0,0.6930324578456833,0.7301873015028346,43.75,0.7333333333333334,0.6060606241226196,0.4732142984867096,0.9000000059604645,0.755877228323454,0.8885714532022646,50.0,0.5,0.0,0.0,0.0,0.421021160927108,0.6914223155688327,62.5,0.9333333333333333,0.7692307829856873,0.625,1.0,0.6867978258913718,0.6936984710519112,50.0,0.3333333333333333,0.0,0.0,0.0,0.6893688967818463,0.6979854173315317,60.0,0.6333333333333333,0.0,0.0,0.0,0.6669483310527804,0.7874674612890651,42.857142857142854,0.5833333333333334,0.5999999642372131,0.4285714328289032,1.0,0.678566122151717,0.6924411915550183,66.66666666666666,0.65,0.4166666865348816,0.3571428656578064,0.5,0.697008402944283,0.6925591284288777,52.63157894736842,0.5444444444444444,0.0,0.0,0.0,0.6868412576347529,1.3654487191454465,50.0,0.65,0.7727272808551788,0.6875,1.0,0.38533369652871713,0.632840433063717,60.0,0.6666666666666667,0.4285714328289032,0.375,0.5,0.6774209216406842,0.6478728451868552,60.0,0.43333333333333335,0.7179487347602844,0.5625,1.0,0.6921205503357228
5,0.7063679792624125,0.9909550633094671,45.45454545454545,0.2,0.6727272868156433,0.5208333432674408,1.0,0.6632568767703753,63.63636363636363,0.4166666666666667,0.6785714328289032,0.5416666716337204,1.0,0.6595183080388131,1.1012239474040606,50.0,0.41666666666666663,0.0,0.0,0.0,2.5968187176313227,0.6921047340673357,50.0,0.5,0.0,0.0,0.0,0.6898668264733349,0.9100900067817554,37.5,0.4666666666666667,0.0,0.0,0.0,0.6905279633148073,0.8260369762868364,50.0,0.4444444444444444,0.0,0.0,0.0,0.6952830376906747,0.8917818581622058,60.0,0.375,0.0,0.0,0.0,0.5285109128116615,0.6924868080189271,57.14285714285714,0.5,0.0,0.0,0.0,0.7395227337724691,0.694115527874939,44.44444444444444,0.48333333333333334,0.0,0.0,0.0,0.6891678558765502,0.7181922848647155,52.63157894736842,0.5555555555555556,0.0,0.0,0.0,0.6907561280198354,1.149678920959376,50.0,0.09375,0.0,0.0,0.0,1.8375562584925604,1.1303092154209078,40.0,0.71875,0.0,0.0,0.0,0.5927852860134165,0.6891677685061705,40.0,0.75,0.0,0.0,0.0,0.6917346861055349
6,1.1177612096296827,0.8889249481219136,63.63636363636363,0.53125,0.20000000298023224,0.5,0.125,0.6975090625335884,63.63636363636363,0.3833333333333333,0.7846153974533081,0.6458333432674408,1.0,0.6860269118411613,0.6965753197302337,50.0,0.625,0.5079365074634552,0.533333346247673,0.5,1.2872778020778004,0.6844480319801924,50.0,0.5625,0.0,0.0,0.0,0.6893880236287223,0.7109070460492722,62.5,0.8666666666666667,0.7692307829856873,0.625,1.0,0.6207524185660539,0.7316326769500394,50.0,0.3333333333333333,0.0,0.0,0.0,0.5951216587803655,0.8262226194553433,60.0,0.6333333333333333,0.0,0.0,0.0,0.4775955826907669,0.6850640392142758,42.857142857142854,0.9166666666666666,0.5999999642372131,0.4285714328289032,1.0,0.6317335447743405,0.6915874511360106,44.44444444444444,0.5625,0.0,0.0,0.0,0.9427637619962641,0.681217987120522,52.63157894736842,0.4083333333333334,0.0,0.0,0.0,0.6534607653152191,0.81885917891267,50.0,0.5166666666666666,0.38461539149284363,0.3125,0.5,0.5439965189950344,0.5682851973574569,80.0,0.5,0.5,0.5,0.5,0.5766759459942572,0.5879121813727164,60.0,0.9666666666666667,0.7179487347602844,0.5625,1.0,0.44660001142774264
7,0.81961923537679,0.6723533792533735,45.45454545454545,0.6333333333333333,0.6727272868156433,0.5208333432674408,1.0,0.8008652496602349,63.63636363636363,0.8333333333333333,0.7846153974533081,0.6458333432674408,1.0,0.1366078675037171,0.8689274302756558,50.0,0.4583333333333333,0.0,0.0,0.0,0.7650948509497846,0.6923965165716088,62.5,0.5625,0.5714285373687744,0.6666666865348816,0.5,0.6900752743708527,0.6930600621400104,50.0,0.6,0.3333333134651184,1.0,0.20000000298023224,0.6796881824414609,0.8149810255706122,50.0,0.4444444444444444,0.0,0.0,0.0,1.5676837998945918,0.6937806884818981,50.0,0.7333333333333334,0.5833333432674408,0.45000000298023224,0.8333333432674408,0.9411794506961614,0.6953174446253761,42.857142857142854,0.8333333333333334,0.5999999642372131,0.4285714328289032,1.0,0.6924456911231167,0.6938256804590721,44.44444444444444,0.5,0.0,0.0,0.0,0.6914338576160954,0.6935795729147098,42.10526315789473,0.3666666666666667,0.5527065694332123,0.4305555572112401,0.777777781089147,0.6919580601161872,0.7555558878043728,50.0,0.41666666666666663,0.7727272808551788,0.6875,1.0,0.5882677910698925,0.6309754605911733,50.0,0.9333333333333333,0.1666666567325592,0.5,0.10000000149011612,0.535049798608989,0.6452400518180303,60.0,0.75,0.4285714328289032,0.375,0.5,0.639567518194744
8,0.39791463070317923,0.9634047992237688,63.63636363636363,0.625,0.20000000298023224,0.5,0.125,0.8248283860295973,63.63636363636363,0.55,0.7846153974533081,0.6458333432674408,1.0,0.26080750104422895,0.69647044309681,62.5,0.65625,0.7000000178813934,0.5833333432674408,0.875,0.5736578454697737,0.776891489674375,50.0,0.5,0.0,0.0,0.0,0.7269696888993319,0.8886911298739388,62.5,0.9333333333333333,0.7692307829856873,0.625,1.0,0.6818704454112989,0.76294309600326,50.0,0.5555555555555556,0.0,0.0,0.0,0.4590916001783083,0.7651883294605979,60.0,0.23333333333333334,0.0,0.0,0.0,0.40179203013266024,0.6716588641209984,42.857142857142854,0.8333333333333334,0.5999999642372131,0.4285714328289032,1.0,0.69377421951371,0.694139079681269,44.44444444444444,0.4375,0.0,0.0,0.0,0.6909273102557556,0.6997908228640434,52.63157894736842,0.5555555555555555,0.0,0.0,0.0,0.47107949746734107,1.0702930921115468,50.0,0.71875,0.6666666865348816,0.5,1.0,0.5054708629672419,0.5317571186362862,70.0,1.0,0.8846153914928436,0.8125,1.0,0.6558728619364487,0.6057922774570821,60.0,0.71875,0.8333333432674408,0.75,1.0,0.927517945951673
