,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,NYU,NYU,NYU,NYU,NYU,NYU,NYU,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,993.3368596760209,66.15268679635209,0.0,0.0,0.0,0.0,0.0,5.21590277204815,0.0,0.0,0.0,0.0,0.0,14.496403540412349,10.048871419536914,0.0,0.0,0.0,0.0,0.0,14.015370372465782,3.7540279817420172,0.0,0.0,0.0,0.0,0.0,11.71704593585261,5.110451754129941,0.0,0.0,0.0,0.0,0.0,8.327360811852927,115.66147848116009,0.0,0.0,0.0,0.0,0.0,1019.6498963447767,9.781749210179063,0.0,0.0,0.0,0.0,0.0,278.49065864000886,89.17012173432809,0.0,0.0,0.0,0.0,0.0,512.924059335318,103.1128505334222,0.0,0.0,0.0,0.0,0.0,730.0841665710028,84.84985268869154,0.0,0.0,0.0,0.0,0.0,532.7263202211986,311.64947864893355,0.0,0.0,0.0,0.0,0.0,834.7538913664995,1.4921560272027024,0.0,0.0,0.0,0.0,0.0,226.98660434003295,5.593116806640582,0.0,0.0,0.0,0.0,0.0,151.82469669234334,26.526312558065868,0.0,0.0,0.0,0.0,0.0,203.34837685634258,478.5042434120589,0.0,0.0,0.0,0.0,0.0,2273.6215215487937,622.7697166265098,0.0,0.0,0.0,0.0,0.0,3303.7559728371934,701.0414973918197,0.0,0.0,0.0,0.0,0.0,3368.7057289086597
1,617.3009389972271,19.663214599469207,0.0,0.0,0.0,0.0,0.0,3.423863866045276,0.0,0.0,0.0,0.0,0.0,12.58115047424842,15.16521705247879,0.0,0.0,0.0,0.0,0.0,127.28929907954962,7.7121151308557225,0.0,0.0,0.0,0.0,0.0,23.34708270147391,0.7986227036526542,0.0,0.0,0.0,0.0,0.0,3.582761824749805,64.93996304476724,0.0,0.0,0.0,0.0,0.0,150.80713226487526,14.405570446371105,0.0,0.0,0.0,0.0,0.0,194.89776933275408,41.07134428729875,0.0,0.0,0.0,0.0,0.0,76.76838912087145,54.89264219316357,0.0,0.0,0.0,0.0,0.0,12.44715165157355,25.480634292118417,0.0,0.0,0.0,0.0,0.0,93.13188204846202,158.90844154073582,0.0,0.0,0.0,0.0,0.0,1039.7836183675722,18.01123251410153,0.0,0.0,0.0,0.0,0.0,87.2691970946623,7.619509938463748,0.0,0.0,0.0,0.0,0.0,58.04004435274738,16.322487393385742,0.0,0.0,0.0,0.0,0.0,45.786523604614636,108.58260998086425,0.0,0.0,0.0,0.0,0.0,673.1824752143432,601.0108311156466,0.0,0.0,0.0,0.0,0.0,2493.619760985134,247.12532388462373,0.0,0.0,0.0,0.0,0.0,1995.7588110967083
2,8.965574154800303,31.311530764566328,0.0,0.0,0.0,0.0,0.0,12.223397691292618,0.0,0.0,0.0,0.0,0.0,4.738647574709916,4.016157882053151,0.0,0.0,0.0,0.0,0.0,40.18207687702724,1.2948707283095413,0.0,0.0,0.0,0.0,0.0,25.038065258259934,1.4680235343692989,0.0,0.0,0.0,0.0,0.0,12.477062950730646,33.338081548163956,0.0,0.0,0.0,0.0,0.0,377.8781740588584,4.262120520728158,0.0,0.0,0.0,0.0,0.0,51.544263953394434,48.80336156904793,0.0,0.0,0.0,0.0,0.0,144.57203842507786,27.60179439276666,0.0,0.0,0.0,0.0,0.0,14.436667597398085,21.252899646392,0.0,0.0,0.0,0.0,0.0,97.55725626426259,46.00693276773956,0.0,0.0,0.0,0.0,0.0,387.5547389288627,42.893095072208496,0.0,0.0,0.0,0.0,0.0,43.517203613267824,15.620036406696657,0.0,0.0,0.0,0.0,0.0,12.933986906054649,30.008856859363732,0.0,0.0,0.0,0.0,0.0,164.67410657173295,145.3254750404782,0.0,0.0,0.0,0.0,0.0,363.0938223066269,281.97665055793124,0.0,0.0,0.0,0.0,0.0,1384.916660196906,81.34341522650868,0.0,0.0,0.0,0.0,0.0,568.1791685437324
3,50.04861229162523,16.329890718046336,0.0,0.0,0.0,0.0,0.0,1.3920558160279024,0.0,0.0,0.0,0.0,0.0,2.210227919430462,0.724921572022934,0.0,0.0,0.0,0.0,0.0,6.6765600601362936,1.1000724500463097,0.0,0.0,0.0,0.0,0.0,17.183329349344348,0.1088733799777668,0.0,0.0,0.0,0.0,0.0,3.7991922161802925,26.19374789354607,0.0,0.0,0.0,0.0,0.0,386.2843642413978,1.9695629047553318,0.0,0.0,0.0,0.0,0.0,16.106262948995976,40.44338056969703,0.0,0.0,0.0,0.0,0.0,170.52584021807775,23.861262319174003,0.0,0.0,0.0,0.0,0.0,555.4359936692507,18.261955069496757,0.0,0.0,0.0,0.0,0.0,52.514930179630085,81.23140455627669,0.0,0.0,0.0,0.0,0.0,86.8470336170707,10.423588994333144,0.0,0.0,0.0,0.0,0.0,295.767086583537,4.001122864963165,0.0,0.0,0.0,0.0,0.0,76.68068001209663,12.615047045220065,0.0,0.0,0.0,0.0,0.0,202.75193168503483,65.4905376514191,0.0,0.0,0.0,0.0,0.0,247.95087253495814,169.25036838341578,0.0,0.0,0.0,0.0,0.0,947.814877009394,63.16041696724311,0.0,0.0,0.0,0.0,0.0,255.42495033258734
4,10.434465101487495,11.91808636062741,0.0,0.0,0.0,0.0,0.0,0.6779712159613338,0.0,0.0,0.0,0.0,0.0,1.0288049087411637,1.3221760537935194,0.0,0.0,0.0,0.0,0.0,2.0177921594095247,5.8206997837229135,0.0,0.0,0.0,0.0,0.0,10.236139286943175,0.23673797667059387,0.0,0.0,0.0,0.0,0.0,1.8486330136870648,19.38646894195096,0.0,0.0,0.0,0.0,0.0,325.1028135773425,5.179020027897015,0.0,0.0,0.0,0.0,0.0,28.489803848145375,33.38353107377141,0.0,0.0,0.0,0.0,0.0,56.10586706158618,20.87605140074823,0.0,0.0,0.0,0.0,0.0,205.2772825636524,13.3397431121487,0.0,0.0,0.0,0.0,0.0,144.60009867752876,52.09616032923749,0.0,0.0,0.0,0.0,0.0,202.09860466851714,12.508069852594618,0.0,0.0,0.0,0.0,0.0,56.36904185199696,4.49154504490683,0.0,0.0,0.0,0.0,0.0,18.160603765969302,12.592396893801164,0.0,0.0,0.0,0.0,0.0,36.509880069913926,64.52937768560238,0.0,0.0,0.0,0.0,0.0,116.43062753505497,67.21715323038866,0.0,0.0,0.0,0.0,0.0,437.04180562129886,48.36819139151389,0.0,0.0,0.0,0.0,0.0,217.05798978035776
5,23.559607322257524,6.8560308190106705,0.0,0.0,0.0,0.0,0.0,0.7443034320407982,0.0,0.0,0.0,0.0,0.0,0.6059746248079159,4.195795346148005,0.0,0.0,0.0,0.0,0.0,3.902482860301518,2.3946775445768917,0.0,0.0,0.0,0.0,0.0,29.527875479294078,1.5614103371499104,0.0,0.0,0.0,0.0,0.0,12.658405603704159,18.566138315840195,0.0,0.0,0.0,0.0,0.0,416.79534327888683,3.413485236488358,0.0,0.0,0.0,0.0,0.0,49.893791890162035,26.725041896445575,0.0,0.0,0.0,0.0,0.0,209.44033152576583,14.399658576374597,0.0,0.0,0.0,0.0,0.0,304.0788874117217,17.684146365578957,0.0,0.0,0.0,0.0,0.0,43.80533792342364,26.541785196800774,0.0,0.0,0.0,0.0,0.0,122.6205764664619,6.157127926621368,0.0,0.0,0.0,0.0,0.0,127.02427910438442,2.383946154478495,0.0,0.0,0.0,0.0,0.0,12.374616396272922,11.092145968367657,0.0,0.0,0.0,0.0,0.0,126.54038677589209,30.61015011766982,0.0,0.0,0.0,0.0,0.0,231.0364828124978,62.682099885961335,0.0,0.0,0.0,0.0,0.0,218.8763122490412,31.312263567044926,0.0,0.0,0.0,0.0,0.0,96.63555386152902
6,21.31925787964432,6.436455828305927,0.0,0.0,0.0,0.0,0.0,0.4652475967694799,0.0,0.0,0.0,0.0,0.0,4.831048965858177,0.5561773874603743,0.0,0.0,0.0,0.0,0.0,3.544265075489199,0.8124455034299581,0.0,0.0,0.0,0.0,0.0,6.2668447578360515,0.45775250857614413,0.0,0.0,0.0,0.0,0.0,1.5739184429026951,13.54473233500155,0.0,0.0,0.0,0.0,0.0,318.06807755250173,3.5125034378854916,0.0,0.0,0.0,0.0,0.0,46.11163846786122,23.11754123669636,0.0,0.0,0.0,0.0,0.0,130.6832645504287,16.972685686423294,0.0,0.0,0.0,0.0,0.0,36.12670946740598,13.743386213493979,0.0,0.0,0.0,0.0,0.0,25.132325002640066,30.838894070756243,0.0,0.0,0.0,0.0,0.0,247.22269364951507,10.380189502299487,0.0,0.0,0.0,0.0,0.0,125.21350096211165,2.343849742735093,0.0,0.0,0.0,0.0,0.0,5.2479552377890855,13.415471665539537,0.0,0.0,0.0,0.0,0.0,105.25366825988142,13.87191508201576,0.0,0.0,0.0,0.0,0.0,42.56753749741535,11.78979159063148,0.0,0.0,0.0,0.0,0.0,60.35823074456948,30.30452840131669,0.0,0.0,0.0,0.0,0.0,55.263272079305295
7,31.57404322093649,7.527227671782555,0.0,0.0,0.0,0.0,0.0,0.8954889789360212,0.0,0.0,0.0,0.0,0.0,3.269874678323485,1.039739209747394,0.0,0.0,0.0,0.0,0.0,7.452176200397297,1.3043204257860646,0.0,0.0,0.0,0.0,0.0,9.544684157314164,1.0080696260228224,0.0,0.0,0.0,0.0,0.0,6.188762372165904,12.796814879384643,0.0,0.0,0.0,0.0,0.0,291.1888668048351,4.056663723391285,0.0,0.0,0.0,0.0,0.0,87.05116970476327,21.260798686342266,0.0,0.0,0.0,0.0,0.0,41.588804043217095,13.506284452060529,0.0,0.0,0.0,0.0,0.0,8.914013990433645,12.067995781255561,0.0,0.0,0.0,0.0,0.0,62.45477545509399,62.6280257494858,0.0,0.0,0.0,0.0,0.0,272.90095763907084,7.134773428195233,0.0,0.0,0.0,0.0,0.0,219.97564308985224,3.817365814206793,0.0,0.0,0.0,0.0,0.0,9.562554421577042,11.898425454945333,0.0,0.0,0.0,0.0,0.0,116.68989143706108,11.268929250919623,0.0,0.0,0.0,0.0,0.0,103.43676073875403,9.795963513058869,0.0,0.0,0.0,0.0,0.0,46.467094195627624,27.367459950801276,0.0,0.0,0.0,0.0,0.0,57.1347680101382
8,62.280455911414734,8.10584019520492,0.0,0.0,0.0,0.0,0.0,0.40949638200217475,0.0,0.0,0.0,0.0,0.0,11.986481451287144,1.195539442947424,0.0,0.0,0.0,0.0,0.0,7.126959453520766,0.8986613133898902,0.0,0.0,0.0,0.0,0.0,9.856384202260264,0.7498687670893652,0.0,0.0,0.0,0.0,0.0,6.991663245565508,14.850191975979422,0.0,0.0,0.0,0.0,0.0,94.29607739472058,6.233779273135072,0.0,0.0,0.0,0.0,0.0,69.61279291169221,18.119307625422103,0.0,0.0,0.0,0.0,0.0,84.63204639061107,11.862655430689337,0.0,0.0,0.0,0.0,0.0,102.53626092590189,9.029790323100386,0.0,0.0,0.0,0.0,0.0,40.4522132870428,41.48908869622289,0.0,0.0,0.0,0.0,0.0,115.53415504083908,13.00441263063495,0.0,0.0,0.0,0.0,0.0,37.334049999964805,3.4472391773369306,0.0,0.0,0.0,0.0,0.0,41.06667688010691,10.740412801871358,0.0,0.0,0.0,0.0,0.0,50.05075329352839,18.20714054774651,0.0,0.0,0.0,0.0,0.0,85.5501391098292,18.644998146267362,0.0,0.0,0.0,0.0,0.0,95.36721601428795,40.020326787228704,0.0,0.0,0.0,0.0,0.0,75.12483887342981
