,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,0.6944061844337932,0.7296647025984929,33.33333333333333,0.59375,0.3333333432674408,0.25,0.5
1,0.6821217863095572,0.7231554723351795,33.33333333333333,0.6,0.47272728383541107,0.3125,1.0
2,0.5943419807621352,0.797577477845068,33.33333333333333,0.7916666666666667,0.533333346247673,0.375,1.0
3,0.4807935675271098,0.79891477074512,33.33333333333333,0.9,0.47272728383541107,0.3125,1.0
4,0.6823309019775592,0.712034632065938,50.0,0.9333333333333333,0.533333346247673,0.375,1.0
5,0.5034604477250209,0.7391551188912713,66.66666666666666,0.8,0.6666666865348816,0.5,1.0
6,0.30179725148940206,0.30684904568386284,91.66666666666666,1.0,0.8333333432674408,1.0,0.75
7,1.060447312924806,3.5591684041883522,41.66666666666667,0.5333333333333333,0.5227272808551788,0.3541666716337204,1.0
8,0.03037111081546006,0.9623128733217233,75.0,0.9166666666666667,0.7857142984867096,0.7000000029802322,1.0
9,0.18488656076315155,0.5812095874125407,75.0,1.0,0.7000000029802322,0.625,1.0
10,0.019775512083232652,0.19399291019411327,100.0,1.0,1.0,1.0,1.0
11,0.022376955276751608,2.1892254921320338,41.66666666666667,0.625,0.3333333432674408,0.25,0.5
12,0.0012946198285058285,2.0498041614096176,58.333333333333336,0.7333333333333334,0.5833333432674408,0.4166666716337204,1.0
13,0.0021547940718406222,0.15623676310447523,100.0,1.0,1.0,1.0,1.0
14,0.061163808910860054,1.9539506355630305,66.66666666666666,0.8333333333333333,0.6857143044471741,0.533333346247673,1.0
15,0.003001531755988733,0.5138421081199399,75.0,0.75,0.444444477558136,0.4000000059604645,0.5
16,0.00041312729095949684,0.6605319926273171,75.0,1.0,0.7083333432674408,0.550000011920929,1.0
17,0.00023331921814127952,1.3212092827731452,66.66666666666666,0.9666666666666667,0.625,0.46666668355464935,1.0
18,0.00036659249262430675,1.8159842724813384,66.66666666666666,0.8,0.625,0.46666668355464935,1.0
19,2.1056937083714864e-05,1.8019204443578039,66.66666666666666,0.8666666666666667,0.625,0.46666668355464935,1.0
20,0.00013877941187874498,1.6391498253153107,66.66666666666666,0.6875,0.4000000059604645,0.3333333432674408,0.5
21,0.00017598105910557798,1.5078905069472128,66.66666666666666,0.9583333333333333,0.6857143044471741,0.533333346247673,1.0
22,0.00011686755695321417,1.464820899143555,66.66666666666666,0.9166666666666667,0.6857143044471741,0.533333346247673,1.0
23,0.000125539802742484,1.4978155594233742,66.66666666666666,0.75,0.6857143044471741,0.533333346247673,1.0
24,8.41088800463716e-05,1.56466491816027,66.66666666666666,0.6875,0.4000000059604645,0.3333333432674408,0.5
25,0.00011159465237933061,1.5783927660563215,66.66666666666666,0.8333333333333333,0.625,0.46666668355464935,1.0
26,3.4968195387020624e-05,1.54379346080026,66.66666666666666,0.9166666666666667,0.6857143044471741,0.533333346247673,1.0
27,2.072035629100703e-05,1.5267196414134958,66.66666666666666,1.0,0.6285714358091354,0.5,1.0
28,0.00010423271404533076,1.5137432246036748,66.66666666666666,1.0,0.6666666567325592,0.6000000014901161,1.0
29,6.8369465799448816e-06,1.5177942159136553,66.66666666666666,0.9583333333333333,0.6666666865348816,0.5,1.0
30,8.657937429687946e-06,1.5197333818738743,66.66666666666666,0.9583333333333333,0.6857143044471741,0.533333346247673,1.0
31,8.288492424716045e-06,1.5491261389480142,66.66666666666666,1.0,0.625,0.46666668355464935,1.0
32,2.4457853537767344e-05,1.5427658877977908,66.66666666666666,1.0,0.625,0.46666668355464935,1.0
33,7.52709462849902e-05,1.510922832217361,66.66666666666666,1.0,0.6857143044471741,0.533333346247673,1.0
34,1.1522645447436927e-05,1.5196837529725018,66.66666666666666,0.9666666666666667,0.625,0.46666668355464935,1.0
35,4.472797655845167e-05,1.513565400458823,66.66666666666666,0.9666666666666667,0.625,0.46666668355464935,1.0
36,5.3080140721434764e-06,1.51072799443459,66.66666666666666,0.9666666666666667,0.6666666865348816,0.5,1.0
37,4.5843013875828e-05,1.5157689618334311,66.66666666666666,0.875,0.6857143044471741,0.533333346247673,1.0
38,2.0845589690279016e-05,1.4930376738935012,66.66666666666666,0.75,0.4000000059604645,0.3333333432674408,0.5
39,3.87883275393744e-05,1.4913644822656025,66.66666666666666,1.0,0.6857143044471741,0.533333346247673,1.0
40,2.2051491352271813e-05,1.5141555042242028,66.66666666666666,0.75,0.4000000059604645,0.3333333432674408,0.5
41,1.6504100122016487e-06,1.4922989115400274,66.66666666666666,1.0,0.6666666567325592,0.6000000014901161,1.0
42,6.101661758481254e-06,1.4915291518025027,66.66666666666666,0.9583333333333333,0.6666666865348816,0.5,1.0
43,4.7629312356734133e-07,1.4795035184924084,66.66666666666666,0.9666666666666667,0.625,0.46666668355464935,1.0
44,2.748025488174295e-05,1.4833519761086162,66.66666666666666,0.75,0.444444477558136,0.4000000059604645,0.5
45,2.1668829354611127e-05,1.501638719621586,66.66666666666666,0.9583333333333333,0.6666666865348816,0.5,1.0
46,1.7252750266621955e-05,1.5076559397059512,66.66666666666666,0.75,0.444444477558136,0.4000000059604645,0.5
47,7.490950230145816e-06,1.487265645854243,66.66666666666666,0.875,0.6666666865348816,0.5,1.0
48,5.108583828237699e-05,1.482880086344198,66.66666666666666,0.71875,0.4000000059604645,0.3333333432674408,0.5
49,5.023451011244178e-06,1.5200169379508488,66.66666666666666,0.71875,0.3636363744735718,0.2857142984867096,0.5
50,1.0463224124043315e-05,1.5286366008456491,66.66666666666666,1.0,0.6666666567325592,0.6000000014901161,1.0
51,1.2160728695808823e-05,1.5158987421550059,66.66666666666666,1.0,0.625,0.46666668355464935,1.0
52,9.846552624948591e-06,1.4813119788354296,66.66666666666666,0.9583333333333333,0.75,0.6666666716337204,1.0
53,1.6748062868510412e-05,1.4795340945968556,66.66666666666666,0.71875,0.4000000059604645,0.3333333432674408,0.5
54,2.321678367889457e-05,1.4731333496193155,66.66666666666666,1.0,0.6666666865348816,0.5,1.0
55,9.197870304202688e-06,1.4740536540604932,66.66666666666666,0.9666666666666667,0.625,0.46666668355464935,1.0
56,1.1724091304425915e-05,1.4931659997981839,66.66666666666666,0.9666666666666667,0.625,0.46666668355464935,1.0
57,1.5240487510540539e-05,1.4970037039971926,66.66666666666666,1.0,0.6285714358091354,0.5,1.0
58,6.375849707264802e-06,1.528096382250314,66.66666666666666,1.0,0.6857143044471741,0.533333346247673,1.0
59,3.7241351532737606e-06,1.5284774753143686,66.66666666666666,0.9583333333333333,0.75,0.6666666716337204,1.0
60,1.0096385477938093e-05,1.5162477499442344,66.66666666666666,0.9583333333333333,0.6857143044471741,0.533333346247673,1.0
61,1.1784817212539199e-05,1.5174171375989622,66.66666666666666,1.0,0.75,0.6666666716337204,1.0
62,7.834829739243782e-06,1.5126242305848028,66.66666666666666,0.875,0.6857143044471741,0.533333346247673,1.0
63,3.281265934364529e-06,1.4993981147515623,66.66666666666666,1.0,0.6666666865348816,0.5,1.0
64,1.2464038020879469e-05,1.4804174349913695,66.66666666666666,1.0,0.6666666865348816,0.5,1.0
65,4.900476569557561e-06,1.5188487457351176,66.66666666666666,0.8333333333333333,0.6285714358091354,0.5,1.0
66,6.858813850829166e-06,1.5496612506852443,66.66666666666666,1.0,0.6285714358091354,0.5,1.0
67,1.0889467432073517e-05,1.5543136749769941,66.66666666666666,0.9583333333333333,0.75,0.6666666716337204,1.0
68,1.1440427296559818e-05,1.5676459466386163,66.66666666666666,0.71875,0.4000000059604645,0.3333333432674408,0.5
69,3.105204639338883e-06,1.54111361740509,66.66666666666666,1.0,0.6666666865348816,0.5,1.0
70,4.49532471616632e-06,1.5081387642972715,66.66666666666666,0.9583333333333333,0.6666666865348816,0.5,1.0
71,2.131417178422244e-05,1.5159308986999942,66.66666666666666,1.0,0.6857143044471741,0.533333346247673,1.0
72,1.3237556725707398e-05,1.5427526332555115,66.66666666666666,1.0,0.6666666865348816,0.5,1.0
73,1.0765585769556232e-05,1.5382752223791165,66.66666666666666,0.9583333333333333,0.6857143044471741,0.533333346247673,1.0
74,1.0544003555675315e-05,1.5392021481551537,66.66666666666666,1.0,0.6857143044471741,0.533333346247673,1.0
75,4.141020545916212e-06,1.5855943695632166,66.66666666666666,1.0,0.625,0.46666668355464935,1.0
76,1.0855273069044194e-05,1.5921412922229303,66.66666666666666,0.9666666666666667,0.6666666865348816,0.5,1.0
77,1.3405533521634576e-06,1.5558941547160845,66.66666666666666,1.0,0.6666666865348816,0.5,1.0
78,1.1602412895780446e-06,1.551902304993436,66.66666666666666,0.9666666666666667,0.6666666865348816,0.5,1.0
79,5.9913736701130056e-06,1.536643002446051,66.66666666666666,1.0,0.625,0.46666668355464935,1.0
80,1.850315522212236e-05,1.5690913313199122,66.66666666666666,0.9583333333333333,0.75,0.6666666716337204,1.0
81,6.067164233137469e-06,1.5198273172029173,66.66666666666666,1.0,0.6285714358091354,0.5,1.0
82,5.912021279416935e-07,1.5217912294708416,66.66666666666666,1.0,0.6666666567325592,0.6000000014901161,1.0
83,9.641771905911341e-06,1.549851967696214,66.66666666666666,0.9666666666666667,0.7999999821186066,0.7142857164144516,1.0
84,4.458996221330151e-06,1.5435909842737006,66.66666666666666,1.0,0.6666666567325592,0.6000000014901161,1.0
85,1.0658728733884514e-05,1.55172195779124,66.66666666666666,0.9666666666666667,0.6666666865348816,0.5,1.0
86,8.354066089303192e-06,1.5976185603328945,66.66666666666666,0.9666666666666667,0.6666666865348816,0.5,1.0
87,7.609505296191195e-06,1.608185790288972,66.66666666666666,0.9666666666666667,0.6666666865348816,0.5,1.0
88,8.81241248192296e-06,1.5636469337968733,66.66666666666666,0.9583333333333333,0.6857143044471741,0.533333346247673,1.0
89,9.039520481890542e-06,1.5668058691589872,66.66666666666666,0.9666666666666667,0.6285714358091354,0.5,1.0
90,3.702111524017026e-06,1.599923526718625,66.66666666666666,0.71875,0.4000000059604645,0.3333333432674408,0.5
91,4.80627655064305e-06,1.5917235043511664,66.66666666666666,0.9583333333333333,0.6857143044471741,0.533333346247673,1.0
92,1.855963213431748e-06,1.6044959367500817,66.66666666666666,0.9666666666666667,0.625,0.46666668355464935,1.0
93,2.740704531162225e-06,1.5979474890703649,66.66666666666666,1.0,0.625,0.46666668355464935,1.0
94,1.9029233873809379e-06,1.5784644267319177,66.66666666666666,0.9666666666666667,0.6666666865348816,0.5,1.0
95,6.973013483934894e-06,1.5582748861186637,66.66666666666666,1.0,0.6857143044471741,0.533333346247673,1.0
96,1.1723975875558048e-06,1.574578281009395,66.66666666666666,0.8333333333333333,0.625,0.46666668355464935,1.0
97,6.4215577833617884e-06,1.5953397727550858,66.66666666666666,0.875,0.6857143044471741,0.533333346247673,1.0
98,6.520302789344417e-07,1.58252172135853,66.66666666666666,1.0,0.6666666865348816,0.5,1.0
99,5.073958248683416e-06,1.5792308675948796,66.66666666666666,0.9583333333333333,0.75,0.6666666716337204,1.0
