,SZ6,SZ6,SZ6,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,SZ3,SZ3,SZ3,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,0.5549545383139735,0.09759682041093817,57.14285714285714,0.11981362951499258,72.72727272727273,0.8249640181223872,0.12093786408471836,50.0,0.7424911408842257,0.08786476710239735,37.5,0.7550120052726486,0.10111244892210433,50.0,0.7024408840274308,0.07891405736900522,75.0,0.8098144538621705,0.09874407873951115,57.14285714285714,0.6930979917332009,0.12701314135640912,60.0,0.6730771511983269,0.11278026703134059,37.5,0.6661413595409481,0.15593057555598633,55.55555555555556,0.7032030934670802,0.1077460441104124,57.89473684210527,0.6931899648939609,0.086643346271197,56.99999999999999,0.6928756181805439,0.08032505784680842,60.5,0.641033845248713,0.08527181850828948,59.0,0.6894457588855836
1,0.4417257422916829,0.08063516244247482,71.42857142857143,0.11406797056770879,72.72727272727273,0.5544310793305546,0.1195136902921186,50.0,0.7389174514466907,0.08698244708159361,43.75,0.7691281375316799,0.08024756419511893,50.0,1.2817356166827332,0.0703278741664133,75.0,0.6497271971653243,0.09177939605407474,42.857142857142854,0.8765044399055316,0.15670485642939838,30.0,0.8109792696825222,0.08029800890753279,62.5,1.176827723321809,0.18360437101639945,55.55555555555556,0.8099767890656235,0.10145611426027785,57.89473684210527,0.7947830310311502,0.05542246579837405,78.5,0.5110745245646696,0.05680791522849196,76.5,0.6377034410016741,0.06525109590752254,74.0,0.5151273650283427
2,0.49505588369489617,0.08513060976278387,57.14285714285714,0.11399675613368206,72.72727272727273,0.7106868084782332,0.13304016291735996,50.0,0.5680101300071112,0.0920608110544334,37.5,0.650436298134675,0.08094495706731292,50.0,0.6802496147702675,0.07041768649747233,75.0,0.9257062160489801,0.07311388361684341,71.42857142857143,0.5386259635043318,0.1272489176620406,60.0,0.5036448103137934,0.10710544418740964,37.5,0.7392024809887459,0.19978608697858224,55.55555555555556,0.6928112654000167,0.0982430531431224,63.1578947368421,0.44103498316919737,0.046636132655157224,85.5,0.2621719678507522,0.04966356699282195,81.0,0.19642643414448285,0.054181483186311025,82.0,0.4734843452639774
3,0.6854337805607829,0.09281404592163511,57.14285714285714,0.10668839496376782,72.72727272727273,0.634903758796253,0.11840876055106216,50.0,0.6652170712422005,0.08929573247242625,37.5,0.7424852612414112,0.08488108697792851,50.0,0.6750492440325265,0.06406056119706302,75.0,0.6781825292498106,0.07298459443346886,85.71428571428571,0.6811406826873407,0.1435783120628966,70.0,0.5301891207258844,0.08543577639898028,62.5,0.8052465976985993,0.15361944676750527,55.55555555555556,0.5388618658138041,0.10749474138751389,52.63157894736842,0.6067507780831064,0.0660357345282509,81.0,0.19294550122780982,0.0527907288289403,80.5,0.4800176372620065,0.09016286928123787,69.0,0.8950875584668609
4,0.3040927822837178,0.08099024096449071,71.42857142857143,0.0899136825354371,72.72727272727273,0.5933697984909844,0.11567413921937393,41.66666666666667,0.6931203530947627,0.0874788830547066,50.0,0.6714753766543924,0.08471473788706986,50.0,0.693195669809635,0.05985716215939031,75.0,0.5748434613501908,0.08485757004979137,57.14285714285714,0.6083932673815854,0.1447606963914847,60.0,0.39943478868318416,0.08566967117856619,62.5,0.6932324601527965,0.1538272132303455,55.55555555555556,0.6902731456337348,0.12023099155617967,63.1578947368421,0.719576277220808,0.05559689506598619,82.5,0.36315478702689324,0.036775069450922834,88.0,0.07470416169893927,0.056871398787829625,81.0,0.7222888802575195
5,0.23440930642946944,0.06409131759513495,85.71428571428571,0.08827192609778828,72.72727272727273,0.34703159499006037,0.13499070907748234,41.66666666666667,0.5349408173487666,0.08652921678642864,56.25,0.6712791113344148,0.0879093737868994,50.0,1.2003906978630858,0.06735400797883295,75.0,0.3365166272107068,0.06740793228082735,85.71428571428571,0.685901757131107,0.15230236545552023,60.0,0.5405774774263991,0.09349663668050308,37.5,0.5973310824411722,0.1515847893889131,44.44444444444444,0.7137297208854168,0.10661586113076432,78.94736842105263,0.9064598458661037,0.049638728585645754,85.5,0.09005335933064368,0.04567706797172979,86.5,0.6532342432444909,0.051461889490343464,81.5,0.3777105556291002
6,0.36026416650712156,0.06052294675313171,85.71428571428571,0.11799294183592482,72.72727272727273,0.5100669762666428,0.1360611641821362,50.0,0.586925273692138,0.08897250437618442,37.5,0.7530567342251231,0.08640787183180565,62.5,0.6779781150244629,0.05952405998756205,87.5,0.579546916358448,0.04690428561539293,85.71428571428571,0.803907540246619,0.1652531818389916,60.0,0.49143745636958786,0.10825052536979243,37.5,0.47913573575120255,0.1531182344116185,55.55555555555556,0.6928101114323886,0.11523618286655288,68.42105263157895,1.0993467995849686,0.0514027123626835,86.0,0.03075278978616477,0.03312195527205255,90.5,0.1103563735114258,0.04655696464161672,85.5,0.09840693543236081
7,0.7613583712000842,0.08562482824102209,57.14285714285714,0.10806417102411495,54.54545454545454,0.5251895039034906,0.1411190711318415,33.33333333333333,0.5539026676344835,0.08857099537909686,50.0,0.6911098574602297,0.08342609613975902,62.5,0.6318940751999474,0.06252413800565193,75.0,0.6982866745704001,0.04957253417533725,85.71428571428571,0.6866547732943478,0.18992017131280364,50.0,1.0161538469722615,0.06769980951700982,75.0,1.3948463068409873,0.15146650870495476,55.55555555555556,0.6922478692629659,0.11605930230270531,63.1578947368421,0.13368035517869023,0.07708703072328524,78.5,0.7295009929110944,0.07178182666937959,77.5,0.2515381784760434,0.0973134467483835,73.0,0.31108217984877207
8,0.1021743342079804,0.17613095843687665,57.14285714285714,0.12584557364184856,63.63636363636363,0.8346899106611381,0.1204076097908799,50.0,0.8323752703057432,0.09508555106268662,37.5,0.6643681779739086,0.0854617162591853,50.0,0.6334920596780254,0.04811482801237604,100.0,0.30930577294232,0.06435214075504907,85.71428571428571,0.4455501148783955,0.13713674569249437,60.0,0.5797698741044952,0.09515164674238737,25.0,0.6355246092210514,0.16034342262399878,44.44444444444444,0.6927785950201457,0.12391045979821307,78.94736842105263,0.5784407258265061,0.049012232093402296,85.0,0.19966774836870668,0.03238095470676779,86.5,0.05377859896005003,0.05835194371951483,78.5,0.42761763197589464
