,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6934488641791593,0.6803194961133827,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.6937502346018575,36.36363636363637,0.45833333333333337,0.0,0.0,0.0,0.6923749228072579,0.6930796247373555,50.0,0.8,0.5846153944730759,0.4375,1.0,0.6932166208880735,0.6931751575384812,50.0,0.4,0.0,0.0,0.0,0.6937066039329771,0.7943805374148643,37.5,0.3333333333333333,0.5454545617103577,0.375,1.0,0.6600643446180445,0.6935401376166672,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.6770092129814499,0.6917443138347318,71.42857142857143,0.4,0.0,0.0,0.0,0.6931305087276731,0.6898103107534417,60.0,0.40625,0.0,0.0,0.0,0.7158417490135395,0.6931315706628813,50.0,0.625,0.6666666865348816,0.5,1.0,0.6931596847055445,0.8020956555349454,44.44444444444444,0.35,0.0,0.0,0.0,0.8484930270678976,0.6933724355174614,47.368421052631575,0.3125,0.6111111243565878,0.4444444477558136,1.0,0.6909800209198318,0.7344369758166145,70.0,0.31666666666666665,0.8846153914928436,0.8125,1.0,1.2378122260074633,0.6929071065209492,60.0,0.7,0.7179487347602844,0.5625,1.0,0.6933332788504871,0.6924944343764731,70.0,0.6071428571428572,0.46666666865348816,0.4375,0.5,0.6951182524576213
1,0.6931027124368884,0.6927563673346804,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.6927687582157079,63.63636363636363,0.59375,0.8333333432674408,0.75,1.0,0.6932286964729378,0.7418135891989254,50.0,0.16666666666666666,0.0,0.0,0.0,0.7328223396018494,0.6931414836066994,62.5,0.5625,0.5416666716337204,0.625,0.5,0.6929717322610374,0.7205097311632406,37.5,0.4,0.5454545617103577,0.375,1.0,0.7693152037421854,0.6928537216208996,57.14285714285714,0.4166666666666667,0.0,0.0,0.0,0.6872402150194747,0.693217810918328,42.857142857142854,0.0,0.0,0.0,0.0,0.6934605016757507,0.683826744224542,60.0,0.5,0.0,0.0,0.0,0.7395175167757909,0.7536802616176613,50.0,0.375,0.6666666865348816,0.5,1.0,0.6413375013482092,0.6887737322045395,55.55555555555556,0.5833333333333333,0.38461539149284363,0.3125,0.5,0.9429488148829719,0.6926325915504085,52.63157894736842,0.3111111111111111,0.0,0.0,0.0,0.8507705670763249,0.6653149248807461,70.0,0.5833333333333333,0.8846153914928436,0.8125,1.0,0.8439199710323789,0.7035331933479094,40.0,0.5,0.1666666716337204,0.25,0.125,0.6899678492388166,0.6937661399673575,30.0,0.4166666666666667,0.0,0.0,0.0,0.6931623632121975
2,0.6930128649385866,0.7367908990994437,37.5,0.4,0.0,0.0,0.0,0.6651067533251246,63.63636363636363,0.5,0.8333333432674408,0.75,1.0,0.6875149812016644,0.7284450739385514,50.0,0.6,0.0,0.0,0.0,0.6777884019349124,0.6931845761906321,50.0,0.34375,0.6666666865348816,0.5,1.0,0.6933329973362505,0.6936454019555963,37.5,0.0,0.5454545617103577,0.375,1.0,0.6928717999875799,0.7528010328078814,42.857142857142854,0.75,0.5999999642372131,0.4285714328289032,1.0,0.6532647167481892,0.6926351384575412,71.42857142857143,0.2,0.0,0.0,0.0,0.692353613359258,0.6785089132192151,60.0,0.36666666666666664,0.0,0.0,0.0,0.6687863326514295,0.7227359716140882,50.0,0.4375,0.6666666865348816,0.5,1.0,0.7849467442694376,0.6876212406329846,55.55555555555556,0.5833333333333333,0.38461539149284363,0.3125,0.5,1.0261916392776604,0.7065605315268417,47.368421052631575,0.6666666666666666,0.47863248984018963,0.375,0.6666666666666666,0.7987951416311033,0.6923466740518907,70.0,0.125,0.761904776096344,0.625,1.0,0.6926973193715562,0.871362263741271,40.0,0.3333333333333333,0.0,0.0,0.0,1.0267193432430977,0.6932874886051132,30.0,0.7083333333333334,0.0,0.0,0.0,0.6931760448533688
3,0.6935354278918936,0.6931850073750792,37.5,0.6,0.0,0.0,0.0,0.6909825441781025,63.63636363636363,0.7666666666666666,0.7846153974533081,0.6458333432674408,1.0,0.6908561938770784,0.7014950948424161,50.0,0.0625,0.0,0.0,0.0,0.681732437657832,0.6933516932451617,50.0,0.5625,0.0,0.0,0.0,0.6917567578981305,0.6957348368732537,37.5,0.4666666666666667,0.5454545617103577,0.375,1.0,0.6937887971010505,0.7036497429087915,57.14285714285714,0.4166666666666667,0.0,0.0,0.0,0.6685677376757749,0.6098024141463162,71.42857142857143,0.6,0.0,0.0,0.0,0.6933806743866786,0.6922390937049745,60.0,0.16666666666666666,0.0,0.0,0.0,0.8077204085074706,0.7140194050927021,50.0,0.5,0.6666666865348816,0.5,1.0,0.8066333378951293,1.2311815940612467,44.44444444444444,0.35,0.0,0.0,0.0,0.7245767277404553,0.6929957140944094,47.368421052631575,0.5069444444444444,0.4523809353510539,0.4722222288449605,0.4444444477558136,0.6926941855710953,0.6491671421266327,70.0,0.31666666666666665,0.8846153914928436,0.8125,1.0,0.6483882930891112,0.6829425271208481,60.0,0.45833333333333337,0.4285714328289032,0.375,0.5,0.6319088198328329,0.6931910811632573,40.0,0.41666666666666663,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.6932276159710546
4,0.6931189800179821,0.6931517462201741,50.0,0.4,0.6666666865348816,0.5714285969734192,0.800000011920929,0.6576729759453711,63.63636363636363,0.3,0.7846153974533081,0.6458333432674408,1.0,1.0527686682928963,0.8446912425881056,50.0,0.16666666666666666,0.0,0.0,0.0,0.576811976802823,0.6975219125389035,50.0,0.5,0.0,0.0,0.0,0.6923724702503986,0.7893438380737079,37.5,0.2,0.5454545617103577,0.375,1.0,0.6783383327342747,0.727720314766701,42.857142857142854,0.6666666666666666,0.5999999642372131,0.4285714328289032,1.0,0.7298156716001041,0.6115085448198092,71.42857142857143,0.5,0.0,0.0,0.0,0.562223763232615,0.6910967805565702,60.0,0.5,0.1666666716337204,0.25,0.125,0.6928465079756966,0.6933337098180048,50.0,0.1875,0.6666666865348816,0.5,1.0,0.6836736492609852,0.7166576680398963,33.33333333333333,0.41666666666666663,0.27272728085517883,0.25,0.30000001192092896,0.6835082621143308,0.6931976445036214,47.368421052631575,0.6416666666666667,0.670707086722056,0.5138888955116272,1.0,0.6883510574084367,0.6543619679481939,70.0,0.5833333333333333,0.8846153914928436,0.8125,1.0,0.6819785310355335,0.8050197641314425,40.0,0.6666666666666666,0.0,0.0,0.0,0.5583312274550053,0.6947109915847658,30.0,0.3333333333333333,0.0,0.0,0.0,0.6925298966356663
5,0.6931258517705184,0.6929227851941375,62.5,0.6,0.7692307829856873,0.625,1.0,0.6577627729638914,63.63636363636363,0.8,0.7846153974533081,0.6458333432674408,1.0,0.6285985560396082,0.7695222311588997,41.66666666666667,0.21875,0.0,0.0,0.0,0.8423417432292951,0.7209410619477703,50.0,0.4375,0.0,0.0,0.0,0.6983163435167359,0.7057851655650381,37.5,0.26666666666666666,0.5454545617103577,0.375,1.0,0.6926120323662319,0.6997971124577493,57.14285714285714,0.4166666666666667,0.0,0.0,0.0,0.782886644120136,0.5779172653124813,71.42857142857143,1.0,0.0,0.0,0.0,0.7415772924495547,0.6874263168268397,60.0,0.625,0.0,0.0,0.0,0.6900800223992073,0.7285860330667636,50.0,0.25,0.6666666865348816,0.5,1.0,0.7232930482515583,0.7582470103367358,33.33333333333333,0.4375,0.1428571343421936,0.1666666716337204,0.125,0.6801924712634,0.690796109787935,57.89473684210527,0.43472222222222223,0.2777777810891469,0.5,0.1944444477558136,0.6667580858117069,0.6366467750665629,70.0,0.45,0.8846153914928436,0.8125,1.0,0.7470049424992872,0.7313681685214322,40.0,0.625,0.0,0.0,0.0,0.6838405487226514,0.6932628110376544,40.0,0.7916666666666667,0.1428571492433548,0.5,0.0833333358168602,0.6934108312502064
6,0.6931365312413517,0.6938965879286147,37.5,0.4,0.0,0.0,0.0,0.6499588491671128,63.63636363636363,0.9333333333333333,0.7846153974533081,0.6458333432674408,1.0,0.5020884604557795,0.6931251697769709,50.0,0.5,0.7000000029802322,0.625,1.0,0.6933642784285438,0.6936523904958171,50.0,0.40625,0.0,0.0,0.0,0.7186655968087091,0.6942531853952754,37.5,0.4,0.5454545617103577,0.375,1.0,0.6924204951693539,0.7308735767846984,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.6627306413312857,0.5592380075920989,71.42857142857143,1.0,0.0,0.0,0.0,1.3596782913061325,0.6825117398533297,80.0,0.7333333333333334,0.75,1.0,0.6666666716337204,0.6449000440146639,0.7108818143445669,25.0,0.1875,0.0,0.0,0.0,0.6832665342795502,0.9322111926977671,44.44444444444444,0.25,0.0,0.0,0.0,1.0024519110187389,0.6947460214867948,47.368421052631575,0.6277777777777778,0.6564102669556936,0.5138888955116272,1.0,0.6467944104395033,0.6929381149506948,50.0,0.48333333333333334,0.6428571492433548,0.75,0.6000000014901161,0.7217585277009507,0.6693389096140093,60.0,0.7333333333333334,0.7179487347602844,0.5625,1.0,0.6832143391559115,0.6208819628945353,70.0,0.65,0.8846153914928436,0.8125,1.0,0.9224140665964226
7,1.1406404514942976,0.7902781770602006,62.5,0.4666666666666667,0.7692307829856873,0.625,1.0,0.995174474607851,63.63636363636363,0.4,0.7846153974533081,0.6458333432674408,1.0,1.147607717441362,0.9193233758032945,50.0,0.21875,0.0,0.0,0.0,0.6920213594128759,0.6887520878267703,31.25,0.4666666666666667,0.34285715222358704,0.3928571492433548,0.4333333447575569,0.7391235778270527,0.6949174793873722,37.5,0.6,0.5454545617103577,0.375,1.0,0.8126123852665242,0.7070810390984985,42.857142857142854,0.5833333333333334,0.5999999642372131,0.4285714328289032,1.0,0.7114091875145282,0.6704227806658994,71.42857142857143,0.9,0.6666666865348816,0.5,1.0,0.6187362665440195,0.7568905676374694,40.0,0.59375,0.3333333432674408,0.25,0.5,0.6709553373885098,0.7396346004572176,50.0,0.375,0.6666666865348816,0.5,1.0,0.6909643109038899,0.6934111708472723,44.44444444444444,0.5833333333333333,0.0,0.0,0.0,0.6945377510786106,0.6893677267806726,47.368421052631575,0.5347222222222222,0.3174603184064229,0.3611111144224803,0.2833333412806193,1.0247983536535317,0.6743277897465566,70.0,0.3833333333333333,0.8846153914928436,0.8125,1.0,0.6880864409983279,1.2717358291328826,40.0,0.5,0.0,0.0,0.0,0.48826818245643283,0.6984749811794394,30.0,0.5833333333333333,0.0,0.0,0.0,0.7436896015960994
8,0.6951043482423545,0.6933018837599156,25.0,0.5333333333333333,0.0,0.0,0.0,0.6577960851501455,63.63636363636363,0.8,0.7846153974533081,0.6458333432674408,1.0,0.8284245883702003,0.6979731756878641,41.66666666666667,0.53125,0.6060605943202972,0.4642857164144516,0.875,0.6737580148066786,0.6935944918614878,50.0,0.2,0.0,0.0,0.0,0.6907482132411225,0.7047490512793615,37.5,0.4,0.5454545617103577,0.375,1.0,0.6952246973102343,0.7490151375579526,42.857142857142854,0.5,0.5999999642372131,0.4285714328289032,1.0,0.6835585597610978,0.5279409240807053,71.42857142857143,0.9,0.0,0.0,0.0,0.49266886942321075,0.8511938385797599,60.0,0.6666666666666666,0.0,0.0,0.0,0.5351012540860746,0.6933067356645158,50.0,0.4375,0.6666666865348816,0.5,1.0,0.7126586092595402,0.8269124991315242,44.44444444444444,0.35,0.0,0.0,0.0,0.5557208288614819,0.6828319599438754,57.89473684210527,0.611111111111111,0.6814815203348795,0.5841269989808401,0.9333333373069763,0.6629663944813781,0.6459091047574338,70.0,0.041666666666666664,0.761904776096344,0.625,1.0,0.7330674792666834,0.9576871819404396,40.0,0.53125,0.0,0.0,0.0,0.5342784610825786,0.6490672418075223,70.0,0.7916666666666667,0.761904776096344,0.625,1.0,0.7166924877332786
