,ASD,ASD,ASD,SZ,SZ,SZ,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,0.6942517454734696,0.08802789926446933,49.2063492063492,0.0865439765145378,50.0,0.6925036513880457,0.14506767805123683,80.64516129032258,0.6253175106145082,0.12222208271777264,47.05882352941176,0.6945334643578018,0.15408204160499614,66.66666666666666,0.6952132241671224,0.10661075883445331,53.84615384615385,0.6948593627684289,0.09892457741026586,78.57142857142857,0.6934114135243132,0.13331746094819166,60.0,1.2053990599039632,0.08645760989231388,75.0,1.0731697637092559
1,0.694262092784058,0.08801548874900653,50.79365079365079,0.09060472304633475,50.78125,0.6824102579072019,0.0880841487089736,80.64516129032258,0.6863862954662676,0.1223592742501815,47.05882352941176,0.694688692223348,0.15464618954111176,55.55555555555556,0.9616126669015754,0.1068249461060368,46.15384615384615,0.6939754328943758,0.0994898183609676,21.428571428571427,0.6922375192638491,0.1479174548033862,60.0,0.6917745851597843,0.08662489579717551,50.0,0.6938104462799451
2,0.6931473896368352,0.08802107360003766,49.2063492063492,0.08663677904691398,50.0,0.6908061077160926,0.07426288930312133,80.64516129032258,1.4529285490979833,0.12238938902059496,47.05882352941176,0.693065638588176,0.15538233000348084,44.44444444444444,0.6947123454028539,0.10663742619411568,46.15384615384615,0.7031992386048636,0.10132476914639767,21.428571428571427,0.6898592909327701,0.15422470163858995,40.0,2.1285764354623824,0.08633410251018221,75.0,0.6946900576846803
3,0.693410800051965,0.08801379917361257,51.32275132275132,0.08641892257519153,50.0,0.6675395122326807,0.0706435869110497,80.64516129032258,0.5863664705872879,0.12211346321475564,47.05882352941176,0.6939123601575828,0.15130064653389982,44.44444444444444,0.6920427500257196,0.10668492034206604,46.15384615384615,0.6946280948119816,0.09927461911871667,21.428571428571427,0.695421405790783,0.1386289921174993,40.0,0.6934028626746546,0.08648802953475261,75.0,0.6929421474431224
4,0.6927532892684398,0.0880106384403565,50.264550264550266,0.08614771169142782,64.0625,0.6827297828615192,0.07614979547609041,80.64516129032258,0.689491566146491,0.12235264767380147,47.05882352941176,0.6919087278060324,0.15460306981405955,44.44444444444444,0.698727973307502,0.10667485001956091,46.15384615384615,0.6930440898326081,0.11106482470570711,21.428571428571427,0.6897547649072179,0.13943571757389947,40.0,0.689941349754805,0.14210489307078156,75.0,5.291747852318566
5,0.693845773626721,0.08801322460062071,50.264550264550266,0.08692689459261388,50.78125,0.5463993139485065,0.06460504208970837,80.64516129032258,0.4055563427753506,0.12233143186086914,47.05882352941176,0.6955367718357491,0.15364816116425595,44.44444444444444,0.6925233330761111,0.10679378853178988,46.15384615384615,0.6946955844750371,0.10080857477786886,21.428571428571427,0.6951643615400196,0.13986605789936207,40.0,0.6843708587597614,0.0985180290611056,75.0,0.624798053483269
6,0.6931097693484222,0.0880121673857962,53.43915343915344,0.09104625082700418,55.46875,0.7089198335720948,0.07005421499090972,80.64516129032258,1.1096200122225521,0.12459987282947109,52.94117647058824,0.6995360342392605,0.15499453450706568,44.44444444444444,0.6901278685015434,0.10653957281681176,46.15384615384615,0.7000072786572135,0.09921492641930121,21.428571428571427,1.6573787736712005,0.1385002323528277,40.0,0.6721935556971417,0.08431985175543329,75.0,0.6882516150051582
7,0.6909752843823229,0.08801620363939895,49.2063492063492,0.13533546725729845,50.78125,0.4957383805210333,0.06334734395046514,80.64516129032258,0.2848385485807354,0.11417391005733953,47.05882352941176,0.691144572396427,0.15339836980377422,44.44444444444444,0.6946289543111486,0.4870624992998947,46.15384615384615,0.6669042471349965,0.10104075655855572,21.428571428571427,0.6937803006111674,0.1397985007612623,40.0,0.692573984656724,0.08566495578559075,75.0,0.6939679844277219
8,0.693617819987695,0.0879756294623203,50.79365079365079,0.08091512060777428,75.0,0.5571838710252088,0.08095731282639095,80.64516129032258,0.609634329495229,0.12206997367080247,52.94117647058824,0.6943736414627495,0.15390645277107284,44.44444444444444,0.6936583764326688,0.10489504408972605,46.15384615384615,0.6819513304125522,0.10310605586768137,21.428571428571427,0.6637772058053909,0.16276561875206325,40.0,0.6673852732801064,0.08724803215377666,25.0,0.7291579586845724
