,SZ1,SZ1,SZ1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,NYU,NYU,NYU,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,1214.6734119331193,65.81496504533823,0.0,4.776390442535897,0.0,37.65736754411548,3.432138550618349,0.0,38.041504735642505,11.371582312114903,0.0,34.35283909460028,1.0530611259532363,0.0,32.97518655083719,150.60485396482983,0.0,758.13318143844,35.7434153128307,0.0,168.8241645601442,83.80716269924677,0.0,367.1602342792948,150.1069560736662,0.0,1077.8335060434915,11.790911081600047,0.0,80.61676105793416,282.3185109031573,0.0,1446.3933366237798,46.07252772549607,0.0,1024.5355824210733,29.908287244406456,0.0,171.09066687363122,20.01959071859281,0.0,331.9644192710244,561.226248026569,0.0,3473.881120606986,324.0169164066315,0.0,2148.0448928643686,262.2959160319523,0.0,1801.081207116236,78.61785118555981,0.0,675.2878758829617
1,83.5801555316382,36.58551828021779,0.0,0.7388568055123987,0.0,8.163115642868839,1.2491100871417529,0.0,19.123226076312783,2.168083475864814,0.0,24.028298406806744,0.5888873638342363,0.0,10.986628123113091,70.09589152110186,0.0,250.9449426954643,24.108998233949166,0.0,120.47397379030889,15.21322568787081,0.0,108.5303569138346,72.0890953760724,0.0,460.82353972826775,13.411930343909495,0.0,48.231377900666836,92.17401245089658,0.0,562.7140927684216,28.6074361144304,0.0,408.9337005420136,3.34918546565233,0.0,12.308576990461898,15.79911692093239,0.0,7.836234264291328,126.21451145726391,0.0,1147.978946674102,49.351967500345005,0.0,384.501335390702,47.005369883897714,0.0,397.87605484501955,16.68270187046776,0.0,72.59787280862204
2,247.17981877906718,31.22301811269413,0.0,0.35958854549468683,0.0,16.896936704653015,0.554494223098665,0.0,2.235693316416903,1.3862298486520663,0.0,21.142601421630612,0.3459878727271469,0.0,27.1602197409952,38.14094533466453,0.0,334.3541984234768,13.645326548395454,0.0,28.78145507041741,10.08196092990175,0.0,163.55388693181555,10.895490775352304,0.0,93.4385789967884,8.773928386791157,0.0,103.38995902731338,86.2474247742675,0.0,127.527562940371,22.185483684284605,0.0,74.77949333218922,5.602392312290849,0.0,8.354020323765459,19.771609168795155,0.0,224.43309286443173,39.04369123552574,0.0,159.6117524957471,26.53149314175199,0.0,67.02985208188237,28.127991942926382,0.0,476.39113322998105,16.56241966852043,0.0,40.51245818639411
3,33.65861719642073,11.893279786337825,0.0,0.28418628555219333,0.0,2.0933134017438952,1.2060097807269023,0.0,7.171306343566532,1.429438261881844,0.0,24.785910056346985,1.7222198574849272,0.0,2.73201744415284,31.893623744673274,0.0,235.9646533321548,12.391855868984573,0.0,52.29182409686142,10.090130223647577,0.0,72.58324602237147,11.398037120070084,0.0,76.81513538956636,10.447067779982783,0.0,147.72093686358824,67.96105286145374,0.0,216.6873872555957,21.366399059875192,0.0,36.3607945459464,3.9768528609108813,0.0,2.9800659733605364,11.11245663599393,0.0,306.50160489031856,25.987698426228896,0.0,205.0444369444644,5.4693302151807455,0.0,256.82514490257773,29.663822826419995,0.0,40.958799696391715,9.905151526885513,0.0,50.084243575539524
4,65.04790059588069,50.577824209152716,0.0,0.6977299585315162,0.0,0.3869862382885882,3.9791984267994263,0.0,2.854351916444625,1.1936990364284163,0.0,7.802939321265102,0.4815534682029525,0.0,2.2113073322176886,37.834472722695075,0.0,209.93298686197872,9.574859831165409,0.0,66.36504101740348,5.214392072455031,0.0,93.62304928255642,8.302752816130466,0.0,88.8406168703453,9.884081349558823,0.0,96.3775296394906,79.6499032198536,0.0,244.5070284048953,19.0366902053571,0.0,126.99707759450932,6.707026366644183,0.0,9.295053185325175,12.72604470284118,0.0,50.33351514362456,10.319862461869592,0.0,54.949775062518654,20.71792907974331,0.0,41.253352570060215,26.652583141581374,0.0,66.1568338223362,17.756862832355615,0.0,89.68377567055691
5,70.4707227872415,8.933159529830684,0.0,0.6903787516184962,0.0,4.428678471035931,3.2505683719541376,0.0,9.858308050241174,1.6058277802964138,0.0,27.922941801604356,1.0249242604956201,0.0,8.364904358114583,36.19234462687327,0.0,337.3337830174028,7.908282612802698,0.0,110.56819553517579,8.067716000271085,0.0,56.294498333584485,11.05132468526973,0.0,94.07739475701202,7.47609463172828,0.0,6.575525601210707,85.42821859515735,0.0,248.86094728073138,20.63409314442886,0.0,46.90168504995555,5.251033714572935,0.0,44.00904026961473,11.1782189709723,0.0,9.934837558158218,16.540940561148737,0.0,78.12635262854458,8.35209700437507,0.0,156.17576286954198,62.25425082930101,0.0,106.37072127330529,6.526522046783753,0.0,76.908124157676
6,4.645162636179602,28.474903404778235,0.0,0.624643667849137,0.0,5.981418484971633,0.7090126460089091,0.0,2.4651739125988645,1.2719754905950618,0.0,5.796579368134357,0.24524308282724108,0.0,1.6905845161653563,19.044013570563926,0.0,194.27451834899756,11.499693102083695,0.0,89.46621449453508,5.380896845228213,0.0,96.93650776338588,8.265553742589331,0.0,93.17797824532552,22.117572443398814,0.0,8.565565467215816,59.30278237714831,0.0,213.50228590064162,16.28248451242858,0.0,184.45134234860546,3.0420036769873473,0.0,45.64904493146175,16.09600913907164,0.0,40.69941328263374,9.861006464938397,0.0,361.9816073439219,21.805258314887503,0.0,111.15203889421662,49.5220227498701,0.0,166.81096443555248,5.8467468817930035,0.0,24.613312367632936
7,161.59721453034857,11.302943748331097,0.0,0.7698972023261593,0.0,1.097056108544541,0.368087967987528,0.0,1.9733531989976174,1.724781271798621,0.0,0.7791086072168316,2.808102234403866,0.0,9.361879781720996,37.3284206093801,0.0,156.52986289636388,8.561641781481004,0.0,87.53090044535926,3.3074529192872717,0.0,92.0181104076352,11.290334985281318,0.0,66.36025104105221,7.454867474668694,0.0,21.39997476088606,65.63357995473685,0.0,69.93980900976531,20.707523583118245,0.0,199.78363924966186,2.7874620042153277,0.0,25.13618139743086,9.997437638406575,0.0,15.72935748959506,13.992816035133927,0.0,53.2944175737688,7.219465771257137,0.0,57.246831381621405,29.66905766888467,0.0,105.47332122852198,6.25051912403363,0.0,21.753027211192308
8,169.7002973988752,8.962292460722747,0.0,0.5888257349999159,0.0,6.0477419378672055,0.7323471324788149,0.0,9.147266318295667,4.272903194466905,0.0,17.576249935237094,0.7299723823230068,0.0,10.293476557898876,57.190862496410034,0.0,273.4306216959773,8.413910928012223,0.0,13.162092290492117,3.2983751483025348,0.0,64.58328636612578,9.45044437873295,0.0,47.91756494869401,7.893618530031333,0.0,177.8300999958514,38.96612182813818,0.0,82.89185485591865,15.859917012149118,0.0,31.79869020698353,2.4797537256036075,0.0,32.867047463180185,14.754105262640044,0.0,5.430917257113939,30.401915736817443,0.0,19.064325645320316,10.626518424707115,0.0,63.96710597029564,53.57868799367524,0.0,84.06071625993832,4.966915810803876,0.0,74.13150757944386
9,117.01889527250572,6.517753492990059,0.0,9.682504848011082,0.0,2.6453966205584085,0.5838397670952903,0.0,0.5298855014930698,2.101222475175844,0.0,3.2093847144526793,0.7624636957689552,0.0,2.1079354199712297,29.23514702962542,0.0,175.01899414851053,8.589353087076224,0.0,26.933084887423295,14.699226980586609,0.0,56.16241028493074,15.377477025251375,0.0,33.721191906275024,10.570703931555496,0.0,84.94663506137056,67.81887758186319,0.0,126.87084526007133,25.270349014734304,0.0,69.11470035600027,2.1654511646524175,0.0,16.6302338113189,17.899273115565595,0.0,0.6852478243519903,29.33097978539155,0.0,29.23834768192665,7.1189526294963015,0.0,18.875316371179473,24.943668659641624,0.0,144.23662099703506,4.500235883582202,0.0,15.918897742808362
10,6.218691891530008,10.946474735166008,0.0,0.33492873445631394,0.0,1.0683742339102509,0.8820585127075998,0.0,0.2762094659072619,0.9078494135302287,0.0,3.983622475668463,2.314154745296923,0.0,6.576466627350524,44.25852145919826,0.0,247.02570903087482,7.947599455148101,0.0,7.7670507733958285,8.83900604282703,0.0,23.613486857200968,14.399334746077956,0.0,61.01419003173383,9.462959563178725,0.0,101.59791571749368,37.15615452427431,0.0,16.939560468548933,19.33360046070655,0.0,10.807851486282733,3.4463646626771074,0.0,16.058349884912722,10.988555107532196,0.0,33.13814736598165,49.74275486332421,0.0,36.78752453523767,8.117555043344527,0.0,68.48520077413953,20.66484970823309,0.0,255.13305822527323,9.324366103598063,0.0,26.85638734019538
11,98.68504102161485,14.834342027050658,0.0,2.07073709300227,0.0,3.578298709300617,1.545944961482317,0.0,4.631288058141152,1.1818236709129206,0.0,8.893544312094098,3.7126837636766745,0.0,2.0641164692671965,16.76728908866553,0.0,174.30177684709898,8.698977621650311,0.0,12.360706799498974,12.25105331216858,0.0,109.52415616598651,9.935157835736579,0.0,40.0452651846638,10.664983213646039,0.0,53.53569453585607,27.113865591812335,0.0,49.12142901821981,14.787384846554188,0.0,16.446649192223056,2.6807547752502963,0.0,1.7794073398338803,14.488144580589703,0.0,32.13482406593475,21.310571183264976,0.0,92.08638740243653,25.3069501921589,0.0,57.485348698176594,31.39195035276315,0.0,65.65075533736992,13.23832570300968,0.0,22.822762368109572
12,41.00077222332351,15.966774126765358,0.0,0.3422394254638342,0.0,11.873579466515688,0.8318171031329422,0.0,4.011067481578829,0.9884228943042659,0.0,7.789192304131779,1.2699251643563683,0.0,6.271514191775337,43.76298359216993,0.0,66.62841611247082,9.881947319421366,0.0,8.494182803801067,2.9647580306852626,0.0,86.21116788733472,12.797970817278241,0.0,11.39071623749589,5.238574289790296,0.0,43.76399668844429,48.69561054951549,0.0,41.07164925933622,15.543077519173808,0.0,63.636680045913124,1.7421746232738986,0.0,6.986277355327373,12.678894837608627,0.0,55.01351592771133,11.766160259773855,0.0,40.366548434121924,9.23581243951661,0.0,55.76785358793128,38.45423974940718,0.0,44.65727320351468,14.627194007511887,0.0,7.649783545177324
13,0.936725235266355,16.54224209916468,0.0,0.2318019550317945,0.0,0.8229344300492367,0.42610807655557914,0.0,2.182635540353453,1.0109485712895627,0.0,11.992509160064298,0.919253651241509,0.0,2.5494036037065686,29.919833241619664,0.0,31.86587156252217,9.816506838212854,0.0,6.823737560501969,11.765392617533259,0.0,17.715393692413016,14.162308794681135,0.0,88.12414748583453,4.677737257592662,0.0,54.69798361967199,49.077463484246515,0.0,53.79750423826493,9.923963531649616,0.0,9.393051565267358,9.653552558816074,0.0,5.982092315149003,9.79328161731718,0.0,79.1709291875603,14.593205823586691,0.0,77.70016517696193,18.78238010284352,0.0,41.4105059291753,16.03515384494411,0.0,48.97645550975344,6.710267080251163,0.0,35.1756998210151
14,171.94390418143763,12.722057432579847,0.0,0.43764516387649993,0.0,8.090953129440097,0.31112080660635205,0.0,4.822156281224683,1.0802402246742469,0.0,2.990554066832862,1.8751636807747196,0.0,2.4779776847065733,38.273766519628495,0.0,75.74016548600696,7.863513121961799,0.0,39.266834621421026,3.786801752667469,0.0,44.81487682333304,11.873579167302598,0.0,12.103932907910899,6.38021015346323,0.0,45.68195825230042,45.23445690389959,0.0,27.1890081243974,11.382089145446487,0.0,31.935446792707396,2.7033917127132034,0.0,5.783379665747078,9.668211009213076,0.0,78.27345210894002,7.253806957825816,0.0,36.35119270071756,9.21339829457662,0.0,53.22313394500981,24.38522516136507,0.0,79.69689759969083,4.850170051848413,0.0,20.87852736217909
15,68.5356016374769,9.41455821744095,0.0,1.2252241815461369,0.0,4.940413187747999,0.3320312464054911,0.0,1.532047686460463,3.5391105673120205,0.0,12.41648003134222,0.4818258574191637,0.0,4.677224141722098,23.228308255837465,0.0,10.097370758361796,8.131968724509301,0.0,27.265657289723897,22.22519187348618,0.0,19.569786098247405,17.78309600104617,0.0,19.093528539344767,8.813304785045371,0.0,17.427815582033038,70.77535153341958,0.0,61.79617165472075,10.574606049216667,0.0,11.982854100307414,1.7957395645218368,0.0,1.8064977433466298,11.619419875823649,0.0,95.85545981181765,22.800226609432872,0.0,107.72646166331879,5.566780754897575,0.0,87.06579510936604,17.728672530724193,0.0,107.2133308595603,8.57129733467958,0.0,42.31592096212175
16,1.3548252192540147,13.012166611437321,0.0,0.9316390196948796,0.0,11.997386510777124,1.502563474994006,0.0,9.469262125929252,5.482118348555986,0.0,1.497563103782787,0.4049415364559551,0.0,4.955299221620343,30.70262407269351,0.0,48.95141359836301,9.303192756439111,0.0,7.673682626478452,12.036654826412011,0.0,4.056471274518314,20.315319807327743,0.0,41.288667803787355,7.852147511506564,0.0,86.26646926123355,61.95049647829346,0.0,5.105590238143161,15.127999495198244,0.0,32.70907116953049,1.7427463023878436,0.0,77.01459001023396,19.173837013278813,0.0,34.10632812657223,42.14264952528135,0.0,39.80917511904553,25.728231195115473,0.0,30.50333846880397,41.4572245936064,0.0,39.00510012282596,12.77211485494265,0.0,51.77327179947632
17,33.5178393876727,15.926496609706469,0.0,1.1991016800689498,0.0,10.314470551872034,2.5456592508779514,0.0,10.403477090107893,1.2830509017616012,0.0,8.643366204502524,0.2586398258985858,0.0,4.53265324984998,20.653121070665467,0.0,44.93557923823164,7.237937928182798,0.0,3.0507470841244104,3.3088263095291217,0.0,17.659171253066972,19.505267670151884,0.0,30.170881492664567,8.872900778282434,0.0,12.735054407223153,26.52985761418472,0.0,38.68524243554176,8.719763554114218,0.0,40.09303310598213,1.5362172558121463,0.0,30.709920338687464,6.837128053600955,0.0,49.635830819706996,14.502774407944367,0.0,134.7680133792456,12.050368443136225,0.0,10.055222977414559,18.848333353127167,0.0,19.54522979118248,7.2350691998514485,0.0,152.7584019551519
18,57.120692932745214,14.220183130393401,0.0,0.29021395477922146,0.0,1.1053241060169274,0.5612219299889073,0.0,1.249546839096443,3.965433048814189,0.0,3.884892528189566,0.3034124292696583,0.0,2.08700834667536,17.89286363442074,0.0,160.548813165423,8.86095075372842,0.0,13.043947620999656,4.06702195441936,0.0,6.778022174160154,16.649118334966655,0.0,23.430443968584683,5.734157149693013,0.0,41.534830186126484,43.29795194046176,0.0,34.21960976570302,8.040548784202825,0.0,110.62858375736627,5.214317541850202,0.0,3.4448121157551785,10.90767807716407,0.0,10.623982489703282,11.18180547456522,0.0,172.23905898951622,8.964925555756498,0.0,24.718684628075792,21.371216053317788,0.0,39.93588317635566,5.981064095457474,0.0,5.3056062076875214
19,4.107523316565894,25.033819649297413,0.0,0.2901612546492545,0.0,1.1564733747023836,0.788600456393775,0.0,0.08318719989849212,1.2183322340932423,0.0,6.543793594287576,1.0214986092914966,0.0,2.4377018284171674,25.556724727240656,0.0,17.99482345793542,8.562763009964463,0.0,0.7779299513913562,21.950908700887876,0.0,16.956301175796536,15.18020102654623,0.0,29.546247490857862,20.81941840053778,0.0,18.160264865440325,38.129457897355095,0.0,27.499951272615306,7.912040343862749,0.0,31.968410636453264,11.495274009055908,0.0,113.81313365028532,10.755556594440067,0.0,78.93840457777794,26.41763344000418,0.0,220.25795159836633,12.99294033068809,0.0,74.57180777240598,34.14174922103956,0.0,59.84564026941343,12.741635086752067,0.0,5.9534900675434255
20,137.26641902994098,45.28291411345475,0.0,0.5369132526925235,0.0,1.0079134803060574,0.22825984663219426,0.0,0.21733935732803844,1.4324743025714195,0.0,1.542264587973658,1.7854002414495198,0.0,1.639059572125544,17.3206981494103,0.0,67.27585974420116,7.5056937914427095,0.0,45.47975982532691,11.011829726645155,0.0,30.103181482472603,25.581064570708794,0.0,19.983564618435828,4.941461027998952,0.0,18.6424322263821,30.62310438534667,0.0,24.220859617953177,8.451043989949612,0.0,18.936747246813162,2.846861593565945,0.0,1.7040705477811655,6.777718899733263,0.0,18.10292857420105,9.591470722145969,0.0,27.87930643538459,17.539256710633662,0.0,106.33841553789888,38.938453635957714,0.0,62.954865536221064,6.447490177563257,0.0,34.73085096571031
21,103.78176007457745,9.86561209557636,0.0,0.41174005921159595,0.0,20.897729121421616,2.721142317840711,0.0,16.947933792838597,1.1201890485939439,0.0,30.109352271658548,1.5413197866632757,0.0,1.499666063461388,18.674819765251964,0.0,76.15436657074507,6.669485075160303,0.0,50.60623241971628,7.294921390876967,0.0,458.61560330202934,18.258259964872604,0.0,37.455522457233315,4.944860717547214,0.0,147.6399653494743,17.291536605994004,0.0,26.143119215867042,7.161932576551356,0.0,143.94608041175107,1.1135576929360131,0.0,30.46421168972192,11.977778275798851,0.0,183.4068553359099,9.057568420133062,0.0,30.188403086450627,12.887111898582045,0.0,123.50021510945302,30.753460993877717,0.0,413.2576096683453,6.19483240181686,0.0,8.886600193190882
