,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,743.3591703052352,118.9627621203175,0.0,0.0,0.0,0.0,0.0
1,550.9430237434328,90.67473056642801,0.0,0.0,0.0,0.0,0.0
2,344.0238313476773,64.59159226749657,0.0,0.0,0.0,0.0,0.0
3,129.9585571703469,41.73649188711892,0.0,0.0,0.0,0.0,0.0
4,484.05501613632026,24.34583071510689,0.0,0.0,0.0,0.0,0.0
5,186.7995590416433,14.242380824416383,0.0,0.0,0.0,0.0,0.0
6,237.13543524303276,12.356865965276567,0.0,0.0,0.0,0.0,0.0
7,54.509144654303626,13.687328906727023,0.0,0.0,0.0,0.0,0.0
8,116.85745277662897,14.62420452713762,0.0,0.0,0.0,0.0,0.0
9,114.4806270167989,13.33761724654014,0.0,0.0,0.0,0.0,0.0
10,26.440094288746014,12.714624861270561,0.0,0.0,0.0,0.0,0.0
11,117.0126425674888,12.13574839118832,0.0,0.0,0.0,0.0,0.0
12,87.678893038848,11.972009199249273,0.0,0.0,0.0,0.0,0.0
13,14.684696002684534,11.955453320662254,0.0,0.0,0.0,0.0,0.0
14,95.23005820134145,11.897162878324695,0.0,0.0,0.0,0.0,0.0
15,93.87325240538385,11.825966289697586,0.0,0.0,0.0,0.0,0.0
16,24.01131848715567,11.885922084210106,0.0,0.0,0.0,0.0,0.0
17,110.77065580274197,11.90903294358518,0.0,0.0,0.0,0.0,0.0
18,82.98444643282849,11.919089270896606,0.0,0.0,0.0,0.0,0.0
19,59.01871236644531,11.849812099408377,0.0,0.0,0.0,0.0,0.0
20,28.28352309689108,11.872968548046135,0.0,0.0,0.0,0.0,0.0
21,34.56931552390322,11.933416928725444,0.0,0.0,0.0,0.0,0.0
22,77.72665094552559,12.013088584157328,0.0,0.0,0.0,0.0,0.0
23,91.25781929304348,12.03935291855083,0.0,0.0,0.0,0.0,0.0
24,35.7132333702999,12.220388439714254,0.0,0.0,0.0,0.0,0.0
25,47.8532609225433,12.167027256273299,0.0,0.0,0.0,0.0,0.0
26,5.449012998836332,12.365796043083053,0.0,0.0,0.0,0.0,0.0
27,64.85219273396726,12.213923066762222,0.0,0.0,0.0,0.0,0.0
28,56.17955913126594,12.241803623722623,0.0,0.0,0.0,0.0,0.0
29,17.900428845203564,12.229602988436245,0.0,0.0,0.0,0.0,0.0
30,45.06676701769382,12.27277437088147,0.0,0.0,0.0,0.0,0.0
31,70.5447507533935,12.242662562894822,0.0,0.0,0.0,0.0,0.0
32,31.445096169058424,12.297004816365952,0.0,0.0,0.0,0.0,0.0
33,24.513140726681463,12.346682873487973,0.0,0.0,0.0,0.0,0.0
34,41.31006247320275,12.28213789243357,0.0,0.0,0.0,0.0,0.0
35,9.772727721522998,12.439549984590858,0.0,0.0,0.0,0.0,0.0
36,8.877625067004876,12.31437902054168,0.0,0.0,0.0,0.0,0.0
37,10.388034145671238,12.360607265842258,0.0,0.0,0.0,0.0,0.0
38,7.26624858478883,12.41723336773527,0.0,0.0,0.0,0.0,0.0
39,44.68315601633815,13.32843684250237,0.0,0.0,0.0,0.0,0.0
40,13.261551378719595,12.95837050602287,0.0,0.0,0.0,0.0,0.0
41,9.310973664812195,12.358571969376383,0.0,0.0,0.0,0.0,0.0
42,4.548722287523539,12.473327235245169,0.0,0.0,0.0,0.0,0.0
43,35.311934961816576,12.260095735802025,0.0,0.0,0.0,0.0,0.0
44,14.91492465031735,12.01141368311655,0.0,0.0,0.0,0.0,0.0
45,7.562017630580339,12.268740574204179,0.0,0.0,0.0,0.0,0.0
46,7.485274180109306,12.350600685716387,0.0,0.0,0.0,0.0,0.0
47,8.44737025949631,12.476434201843562,0.0,0.0,0.0,0.0,0.0
48,2.869455008539081,12.164308352919637,0.0,0.0,0.0,0.0,0.0
