,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,NYU,NYU,NYU,NYU,NYU,NYU,NYU,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM,USM,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,74.96463357318048,32.69871247855901,0.0,0.0,0.0,0.0,0.0,14.498155458206366,0.0,0.0,0.0,0.0,0.0,3.5653466908006166,2.8381138149969574,0.0,0.0,0.0,0.0,0.0,20.429857399717395,3.6118883276627862,0.0,0.0,0.0,0.0,0.0,22.809844036816315,1.5062199962539846,0.0,0.0,0.0,0.0,0.0,9.59307516480637,17.827438603700053,0.0,0.0,0.0,0.0,0.0,4.566849051883958,114.59313178255141,0.0,0.0,0.0,0.0,0.0,521.3253991718718,141.4808009318084,0.0,0.0,0.0,0.0,0.0,807.330463859704,162.7796541085484,0.0,0.0,0.0,0.0,0.0,990.1717677662641,119.7426483408472,0.0,0.0,0.0,0.0,0.0,983.8498870700971,127.94179657776715,0.0,0.0,0.0,0.0,0.0,736.3873345582998,39.26566774658069,0.0,0.0,0.0,0.0,0.0,285.6060073037748,67.61055433391601,0.0,0.0,0.0,0.0,0.0,1231.4911670119207,487.3985380838295,0.0,0.0,0.0,0.0,0.0,3288.183504934612,729.1947657452832,0.0,0.0,0.0,0.0,0.0,4508.515341463078,483.7666790009358,0.0,0.0,0.0,0.0,0.0,3962.040583306545,21.005925140059794,0.0,0.0,0.0,0.0,0.0,245.43405746083806
1,92.67555745142587,25.24494067325462,0.0,0.0,0.0,0.0,0.0,0.7052033635438086,0.0,0.0,0.0,0.0,0.0,16.257330569702432,3.107985475803367,0.0,0.0,0.0,0.0,0.0,11.440966753615976,4.564773853921601,0.0,0.0,0.0,0.0,0.0,22.132532470417694,1.253562727304835,0.0,0.0,0.0,0.0,0.0,7.4536878240457725,15.911938086894068,0.0,0.0,0.0,0.0,0.0,159.88832523492673,30.72136407104601,0.0,0.0,0.0,0.0,0.0,542.5396647900983,29.008081300316764,0.0,0.0,0.0,0.0,0.0,318.1631596687682,146.8765881282962,0.0,0.0,0.0,0.0,0.0,902.5880494965093,11.24490827864383,0.0,0.0,0.0,0.0,0.0,116.7378969971758,39.678057970721326,0.0,0.0,0.0,0.0,0.0,260.3727957215286,13.813557390144318,0.0,0.0,0.0,0.0,0.0,4.386829053825141,19.162218236167025,0.0,0.0,0.0,0.0,0.0,70.9089623815375,216.89058391995087,0.0,0.0,0.0,0.0,0.0,984.7907886261485,350.4606737747185,0.0,0.0,0.0,0.0,0.0,2199.389012359271,150.02435370179612,0.0,0.0,0.0,0.0,0.0,950.3501682415617,19.084923955388003,0.0,0.0,0.0,0.0,0.0,46.656274400956946
2,56.226954550085495,24.154375152093337,0.0,0.0,0.0,0.0,0.0,1.0543041747417992,0.0,0.0,0.0,0.0,0.0,19.40581371968008,2.113389958493166,0.0,0.0,0.0,0.0,0.0,6.740527022105857,2.600357667715781,0.0,0.0,0.0,0.0,0.0,7.648162259746205,0.532355594671027,0.0,0.0,0.0,0.0,0.0,5.584983591381176,17.943509483741302,0.0,0.0,0.0,0.0,0.0,39.94126936411507,43.083917121730195,0.0,0.0,0.0,0.0,0.0,648.7504590144451,30.307008073143873,0.0,0.0,0.0,0.0,0.0,139.38477574988923,72.10694462429315,0.0,0.0,0.0,0.0,0.0,561.2606461569283,14.123663598327584,0.0,0.0,0.0,0.0,0.0,216.49163087661847,34.29929075911189,0.0,0.0,0.0,0.0,0.0,290.2643643167967,6.05328863871539,0.0,0.0,0.0,0.0,0.0,35.173687562510494,16.406074174196583,0.0,0.0,0.0,0.0,0.0,99.6781278362247,85.91327386318567,0.0,0.0,0.0,0.0,0.0,290.5255634392214,157.07507080923477,0.0,0.0,0.0,0.0,0.0,730.1426107925479,51.02607519418659,0.0,0.0,0.0,0.0,0.0,485.40245482841135,16.565560730605036,0.0,0.0,0.0,0.0,0.0,65.5278699144376
3,372.5596320695078,21.766067821150436,0.0,0.0,0.0,0.0,0.0,0.5204536545102703,0.0,0.0,0.0,0.0,0.0,6.925962901184253,0.4978853231648519,0.0,0.0,0.0,0.0,0.0,7.093825803893074,1.62979118471277,0.0,0.0,0.0,0.0,0.0,7.30865890400152,0.5999069072062067,0.0,0.0,0.0,0.0,0.0,3.830987676491186,12.895330926934403,0.0,0.0,0.0,0.0,0.0,35.063392102334156,16.505883250468134,0.0,0.0,0.0,0.0,0.0,95.4941975977224,16.843844416161815,0.0,0.0,0.0,0.0,0.0,201.4090184439987,49.042506411983425,0.0,0.0,0.0,0.0,0.0,287.465159163222,11.131359710432408,0.0,0.0,0.0,0.0,0.0,85.28929439892111,44.43971184765155,0.0,0.0,0.0,0.0,0.0,317.05571088762605,5.764208769396806,0.0,0.0,0.0,0.0,0.0,21.015546828493047,18.669017814977938,0.0,0.0,0.0,0.0,0.0,105.17269120609753,44.76672220434236,0.0,0.0,0.0,0.0,0.0,361.044168951594,42.74358487425859,0.0,0.0,0.0,0.0,0.0,423.9673868851408,40.26411274293091,0.0,0.0,0.0,0.0,0.0,322.531730311016,12.41407642850723,0.0,0.0,0.0,0.0,0.0,39.586263672464845
4,50.56921731472729,20.559862632211946,0.0,0.0,0.0,0.0,0.0,0.292822723566413,0.0,0.0,0.0,0.0,0.0,6.777601747806305,0.27206889535948603,0.0,0.0,0.0,0.0,0.0,4.356743970389918,1.2562252814508814,0.0,0.0,0.0,0.0,0.0,11.14678495627123,0.5772866014078233,0.0,0.0,0.0,0.0,0.0,1.032381735716309,9.886487169209996,0.0,0.0,0.0,0.0,0.0,120.75679359775103,10.469835792919433,0.0,0.0,0.0,0.0,0.0,31.817182120224203,9.97342993945235,0.0,0.0,0.0,0.0,0.0,48.92117168401447,30.610725723908416,0.0,0.0,0.0,0.0,0.0,79.06498225715386,8.102249861008342,0.0,0.0,0.0,0.0,0.0,97.01114316276293,70.38032983207407,0.0,0.0,0.0,0.0,0.0,184.28326127673753,11.403048017700131,0.0,0.0,0.0,0.0,0.0,25.298383392512264,10.87779181329538,0.0,0.0,0.0,0.0,0.0,224.8611132167464,32.527999905120055,0.0,0.0,0.0,0.0,0.0,85.23063519835881,19.22398960188289,0.0,0.0,0.0,0.0,0.0,56.26594944787682,26.395606232991675,0.0,0.0,0.0,0.0,0.0,122.51595430648541,9.253433591269701,0.0,0.0,0.0,0.0,0.0,13.922372353809198
5,48.31198295633869,20.766338493251066,0.0,0.0,0.0,0.0,0.0,0.5365098395146407,0.0,0.0,0.0,0.0,0.0,11.01176906152329,0.2629974186473964,0.0,0.0,0.0,0.0,0.0,2.600155141525636,1.2008709845184344,0.0,0.0,0.0,0.0,0.0,5.469212681320486,2.227212525831378,0.0,0.0,0.0,0.0,0.0,15.673601007053065,9.676106374784169,0.0,0.0,0.0,0.0,0.0,13.80168443618905,13.013003384415702,0.0,0.0,0.0,0.0,0.0,11.688119125413305,11.653965849510033,0.0,0.0,0.0,0.0,0.0,75.23996104259251,16.350668170544573,0.0,0.0,0.0,0.0,0.0,162.13156729582445,8.525150257790669,0.0,0.0,0.0,0.0,0.0,77.98978268263338,55.88482912344299,0.0,0.0,0.0,0.0,0.0,171.5983528892584,2.976591311553931,0.0,0.0,0.0,0.0,0.0,53.03547259053424,11.209293179604336,0.0,0.0,0.0,0.0,0.0,94.09351432304852,17.700196365530264,0.0,0.0,0.0,0.0,0.0,87.54672637248052,32.70212594775175,0.0,0.0,0.0,0.0,0.0,46.72506506175367,68.93217965176468,0.0,0.0,0.0,0.0,0.0,90.94115432408434,7.7824911931162815,0.0,0.0,0.0,0.0,0.0,37.23933277236581
6,113.15571845409826,22.893118840739646,0.0,0.0,0.0,0.0,0.0,1.3767101087355293,0.0,0.0,0.0,0.0,0.0,5.605842766913621,0.8998289441877733,0.0,0.0,0.0,0.0,0.0,6.127590749196539,1.3021905665764204,0.0,0.0,0.0,0.0,0.0,7.415992361756406,0.524719358714686,0.0,0.0,0.0,0.0,0.0,1.1551386985942926,8.43929550808998,0.0,0.0,0.0,0.0,0.0,28.985689490458572,8.747888358683706,0.0,0.0,0.0,0.0,0.0,80.64666052877962,16.780781488227742,0.0,0.0,0.0,0.0,0.0,28.4041910183398,12.903074438842964,0.0,0.0,0.0,0.0,0.0,89.99861951541627,6.896611789366392,0.0,0.0,0.0,0.0,0.0,91.3683027347935,49.58428167842381,0.0,0.0,0.0,0.0,0.0,136.09928720175392,3.89015272220068,0.0,0.0,0.0,0.0,0.0,19.568716387606507,13.782666104712252,0.0,0.0,0.0,0.0,0.0,49.70922433544595,13.72159248088666,0.0,0.0,0.0,0.0,0.0,39.79163711999594,19.23308223575136,0.0,0.0,0.0,0.0,0.0,108.38665247744197,28.434411612115536,0.0,0.0,0.0,0.0,0.0,244.456118455747,7.363679147272891,0.0,0.0,0.0,0.0,0.0,32.6276574982583
7,96.66936296484636,18.51323847707132,0.0,0.0,0.0,0.0,0.0,1.4636191608170834,0.0,0.0,0.0,0.0,0.0,4.909058257859216,0.4557164273401238,0.0,0.0,0.0,0.0,0.0,1.6981069198853591,1.1651646009538146,0.0,0.0,0.0,0.0,0.0,8.819848275083444,0.4170114106146206,0.0,0.0,0.0,0.0,0.0,8.520403674782013,6.510251695816288,0.0,0.0,0.0,0.0,0.0,111.51518289423566,7.067319135190918,0.0,0.0,0.0,0.0,0.0,42.38059260093823,10.40548294641922,0.0,0.0,0.0,0.0,0.0,113.61410431385632,8.743131099450098,0.0,0.0,0.0,0.0,0.0,79.55067345262816,7.839398251162748,0.0,0.0,0.0,0.0,0.0,37.01949955000845,47.836649358692114,0.0,0.0,0.0,0.0,0.0,290.1912873584797,2.9552465287663807,0.0,0.0,0.0,0.0,0.0,12.128633113313866,10.463185402850007,0.0,0.0,0.0,0.0,0.0,202.97928683996574,12.39499180233961,0.0,0.0,0.0,0.0,0.0,19.785163508426294,18.58414185020994,0.0,0.0,0.0,0.0,0.0,34.417734536499125,50.470413758537575,0.0,0.0,0.0,0.0,0.0,130.51187344323972,7.030464876464976,0.0,0.0,0.0,0.0,0.0,93.7290985403555
8,73.0292558739693,16.397558048895185,0.0,0.0,0.0,0.0,0.0,2.1112044767273153,0.0,0.0,0.0,0.0,0.0,0.26400577448220264,0.5552653019460331,0.0,0.0,0.0,0.0,0.0,15.52179503261699,0.9919949747632544,0.0,0.0,0.0,0.0,0.0,14.43474071298285,0.322574939344424,0.0,0.0,0.0,0.0,0.0,15.051736091980006,7.576066477070406,0.0,0.0,0.0,0.0,0.0,62.25220223132228,22.020651500394685,0.0,0.0,0.0,0.0,0.0,795.4187087833718,7.403400799442955,0.0,0.0,0.0,0.0,0.0,75.6729452464527,8.088219740751251,0.0,0.0,0.0,0.0,0.0,50.29391669689275,10.737615361396362,0.0,0.0,0.0,0.0,0.0,73.73602686063334,56.81580414896955,0.0,0.0,0.0,0.0,0.0,28.514894695537436,1.8869522625348414,0.0,0.0,0.0,0.0,0.0,23.456523881471277,10.849482572117413,0.0,0.0,0.0,0.0,0.0,33.55590617326589,14.990512733723111,0.0,0.0,0.0,0.0,0.0,107.82552230677902,30.52484522538582,0.0,0.0,0.0,0.0,0.0,62.75826686239334,52.949423104163806,0.0,0.0,0.0,0.0,0.0,120.10758822696292,9.816772868615507,0.0,0.0,0.0,0.0,0.0,52.78365963982649
