,Svip1,Svip1,Svip1
,Loss/train,Loss/test,Accuracy/test
0,0.6931527952771684,0.13855773739493354,60.0
1,0.6922591222094091,0.1421956550967,60.0
2,0.6419448914810725,0.12205664731392393,60.0
3,0.7760728135650772,0.1425958412312564,60.0
4,0.7282353020932532,0.11534675666648038,60.0
5,0.5250048718969723,0.12517544051742793,60.0
6,0.5705915068050429,0.12885120211335074,60.0
7,0.6834156012528823,0.16711815439421537,60.0
8,0.11915351030631062,0.16033964703375128,60.0
9,0.2968660325706411,0.23723194823102514,60.0
10,0.39997686103357716,0.13212755972616969,60.0
11,0.36606594209968973,0.274827419496904,60.0
12,0.12208408668581487,0.1271337128928946,60.0
13,0.06643096805649547,0.12903920727761173,70.0
14,0.1406562114236998,0.7460486686174138,60.0
15,0.11002506480485358,0.1852561879665367,60.0
16,1.027922815091033,0.4284637684760254,40.0
17,0.042498402406740576,0.4867538807743297,60.0
18,0.00998914286063052,0.32215082457518596,60.0
19,0.01962608596011363,0.20843584637557142,60.0
20,0.02178634296678811,0.2639077422547567,60.0
21,0.029635485424935992,0.447472749430678,60.0
22,0.020924337200638663,0.25749553057186836,60.0
23,0.00797188720933189,0.44780854929705266,60.0
24,0.0031760149819479687,0.5843733850651305,60.0
25,0.006030237888265313,0.23326351066088225,60.0
26,0.0012594758098885945,0.25587412516309815,60.0
27,0.00047997476518009684,0.2930375218879112,60.0
28,0.003964120469663521,0.6223152479140278,60.0
29,0.0014789604306266657,0.3850962100091298,60.0
30,0.0013935022606649582,0.2707275907746661,60.0
31,0.0003306934865068818,0.6540116900901751,60.0
32,0.0008141349572345431,0.30260872848845083,60.0
33,0.000940291246467982,0.2883338670817587,60.0
34,0.0014654382106146621,0.28606669152059466,60.0
35,0.0006753834245797062,0.29256484951346184,60.0
36,0.0003252835838864619,0.31161087639510415,60.0
37,0.0007184320005896653,0.3083696115725022,60.0
38,0.00024613750424095314,0.6663427410285583,60.0
39,0.0005517092384364544,0.30452420634099653,60.0
40,0.0006223997382731245,0.6413846290499062,60.0
41,0.0005216266321950949,0.3119603647319187,60.0
42,0.0004691797055787332,0.4358613418460928,60.0
43,0.0004588655687882881,0.6847117411437565,60.0
44,0.00031542870666807326,0.42854633750825233,60.0
45,0.000303257774596852,0.7568830702373391,60.0
46,0.0003058423601928404,0.3198067649219118,60.0
47,0.00014029361322582891,0.3258964546404426,60.0
48,0.0002203318492865953,0.4000421202764546,60.0
49,0.00040264482364663745,0.7766571130438745,60.0
50,0.00024889729825477286,0.448605531697755,60.0
51,0.00015895159910735363,0.32675481786060734,60.0
52,0.0001490085887875579,0.7897100140134824,60.0
53,0.00012704065582938844,0.7222311880568167,60.0
54,0.0002201177411526016,0.33746798475587714,60.0
55,0.00013623375698246237,0.33564025121046004,60.0
56,0.0001363153990979771,0.725339418990384,60.0
57,9.430390142862626e-05,0.7229368540375913,60.0
58,9.902091953309367e-05,0.4258257655168549,60.0
59,0.0001505501594465827,0.4667828939443025,60.0
60,0.0001784917158683093,0.3453232583912046,60.0
61,0.00011835516278566098,0.7483976787732685,60.0
62,0.00010933179216051737,1.1451798684182304,60.0
63,0.0001292993281145357,0.3430581510158832,60.0
64,0.0001186980193763774,0.474929592967098,60.0
65,0.0001874385655038744,0.7603616192813707,60.0
66,0.00014876218957015277,0.7519004704144301,60.0
67,0.00015982879606624197,0.34971737352383203,60.0
68,8.582309228143211e-05,0.35781664076132425,60.0
69,0.00011691608896609003,0.8874944435746827,60.0
70,7.06471152551767e-05,0.35314201404911205,60.0
71,8.637425580951522e-05,0.3564364896283642,60.0
72,7.329194288231715e-05,0.36002262503750304,60.0
73,3.949456473804237e-05,0.48848924564957086,60.0
74,4.83092829780157e-05,0.4900058963540378,60.0
75,0.0001224495708965615,0.4885259150774667,60.0
76,8.140870146291513e-05,0.8702420672343114,60.0
77,7.785210021684875e-05,0.3621541129237093,60.0
78,9.895362745062314e-05,0.3631332276751451,60.0
79,6.915320771887612e-05,0.7870666284538486,60.0
80,3.956193830275244e-05,0.36693857845264344,60.0
81,5.1589868938403785e-05,0.791888529297289,60.0
82,6.193006667422525e-05,0.37161617113385703,60.0
83,8.211975279070976e-05,0.8890264795238878,60.0
84,5.129157930693886e-05,0.3729130653269753,60.0
85,6.38853967255229e-05,0.8069755527699277,60.0
86,8.731264326437617e-05,0.8140407199877536,60.0
87,2.8499794681494474e-05,0.3716966373856716,60.0
88,7.268204020146736e-05,0.8050352063530705,60.0
89,7.190113058391864e-05,0.3758032070548668,60.0
90,5.177858552307064e-05,0.610193843291529,60.0
91,2.745870893300564e-05,0.3750058803094439,60.0
92,2.0151391870244473e-05,0.37900154946711617,60.0
93,3.746747648139316e-05,0.5184965883745687,60.0
94,5.303819671177051e-05,0.3833670940051893,60.0
95,4.134979788918657e-05,0.5200145304862239,60.0
96,4.604636292821887e-05,0.5181629301323688,60.0
97,3.4182344254341815e-05,0.519482294494592,60.0
98,6.42425488176951e-05,0.8269770174326478,60.0
99,5.690336069947554e-05,0.3844067766311853,60.0
