,ASD,ASD,ASD,ASD,ASD,ASD,ASD,SZ,SZ,SZ,SZ,SZ,SZ,SZ,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6933821402136068,0.6931322918941071,52.38095238095239,0.5009176587301586,0.5279757318397363,0.5869047672798237,0.5442460390428702,0.6243443037379734,66.40625,0.7235863095238096,0.21765872836112976,0.4791666679084301,0.14702381193637848,0.5659204674251801,0.5630338790000724,75.0,0.675,0.0,0.0,0.0,0.7864881684271025,0.6799027045798873,47.05882352941176,0.5763888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.700987606658172,0.6932277057367124,44.44444444444444,0.48333333333333334,0.7727272808551788,0.6875,1.0,0.68951139068418,0.8442404796368053,23.076923076923077,0.41666666666666663,0.0,0.0,0.0,0.6990227094945299,0.692508643702156,71.42857142857143,0.6,0.8391608595848083,0.7291666567325592,1.0,0.6963579337382156,0.7001075696027248,50.0,0.625,0.0,0.0,0.0,0.6920115052243666,0.6908547723783605,55.65217391304348,0.47638888888888886,0.0,0.0,0.0,0.76000739257631,0.6996758469199578,48.78048780487805,0.47222222222222215,0.5437895556290945,0.4166666666666667,0.8333333333333334,0.6771829800387845
1,0.6531560981996047,0.6911320594583235,53.96825396825397,0.4993055555555555,0.6860035931070646,0.5406250009934107,1.0,0.604000441098301,67.1875,0.7303943452380952,0.527299789711833,0.5812500026077032,0.5440476257354021,0.3073680077514006,0.5550737283113125,75.0,0.6827380952380953,0.0,0.0,0.0,0.4377202720832539,0.6715051425092983,52.94117647058824,0.7222222222222222,0.3571428656578064,0.5555555621782938,0.26666667064030963,0.5842384248889815,0.6888373410959898,55.55555555555556,0.4375,0.3636363744735718,0.2857142984867096,0.5,0.6942847479173576,0.6830517476223575,53.84615384615385,0.5833333333333333,0.5873016268014908,0.75,0.5000000074505806,0.9545411552728447,0.6833573511198113,71.42857142857143,0.16666666666666666,0.8391608595848083,0.7291666567325592,1.0,0.6928087492799966,0.805951928777257,50.0,0.3833333333333333,0.0,0.0,0.0,0.6757055553334327,0.7191333740246262,55.65217391304348,0.48444444444444446,0.0,0.0,0.0,0.6404091966484478,0.6989427519251926,51.21951219512195,0.4527777777777778,0.0,0.0,0.0,0.6946457568189958
2,0.692734985848427,0.6937510346635357,46.03174603174603,0.4397817460317461,0.07539682586987813,0.22916666666666666,0.04583333432674408,0.6124237902870988,64.84375,0.7276041666666667,0.5503472313284874,0.5750000029802322,0.6218750057742,0.5254586131480147,0.5242334500119932,75.0,0.796875,0.0,0.0,0.0,0.5251172332923341,0.6234420843063521,70.58823529411765,0.6777777777777777,0.5594405730565389,0.4861111044883728,0.6666666666666666,0.7687123093607477,0.685340923448455,33.33333333333333,0.375,0.222222238779068,0.20000000298023224,0.25,0.756935126895388,0.7243891905103926,53.84615384615385,0.6666666666666666,0.5499999821186066,1.0,0.380952388048172,0.6291282202075226,0.6988446343316451,50.0,0.3333333333333333,0.6222222447395325,0.6666666865348816,0.6666666716337204,0.692792157134648,0.6924333519922459,50.0,0.75,0.0,0.0,0.0,0.6917486996839898,0.7254124388028947,55.65217391304348,0.5727777777777777,0.0,0.0,0.0,0.3312953703095752,0.6931298169391884,43.90243902439025,0.5340277777777778,0.24523809552192688,0.3055555572112401,0.21388889104127884,0.701586691735362
3,0.6923773135060555,0.694800970210655,46.56084656084656,0.471875,0.2887896920243899,0.45763889079292613,0.2216269876807928,0.838735163907772,53.125,0.7541666666666667,0.5960386954247952,0.45639881771057844,0.9385416693985462,0.6559038887284833,0.5242441651727046,84.375,0.75,0.5833333432674408,0.75,0.5,0.8279529258306028,0.5646060221924942,70.58823529411765,0.6388888888888888,0.4743589758872986,0.4523809552192688,0.5,0.5960416416129555,0.6896581939592341,44.44444444444444,0.65,0.7727272808551788,0.6875,1.0,0.5821080791265015,0.7928221559143946,23.076923076923077,0.3333333333333333,0.0,0.0,0.0,0.654832475624256,0.7857457318761648,28.57142857142857,0.375,0.0,0.0,0.0,0.6911627929131315,0.7039564361132007,50.0,0.48333333333333334,0.0,0.0,0.0,0.7819756950479968,0.71586226925622,55.65217391304348,0.5622222222222223,0.0,0.0,0.0,0.7390182770391873,0.6934711876014278,48.78048780487805,0.4055555555555556,0.5286380300919215,0.4107142885526021,0.777777781089147,0.6949315675970091
4,0.8071584420998736,0.7028832126975828,43.386243386243386,0.48430059523809516,0.22500000894069672,0.3958333345750968,0.18055555721124014,0.5787261260924932,70.3125,0.7828869047619047,0.5955041572451591,0.5833333395421505,0.6677083354443312,0.38364078150645087,0.534508659988816,75.0,0.594047619047619,0.2916666716337204,0.5,0.2083333358168602,0.4454050366814563,0.573240214188244,70.58823529411765,0.7222222222222222,0.4629629850387573,0.5555555621782938,0.4000000059604645,0.496103556145548,0.69255940627597,55.55555555555556,0.3125,0.0,0.0,0.0,0.693530418275267,0.7437516646985167,30.76923076923077,0.7916666666666667,0.20000000298023224,0.5,0.125,0.8302464409748967,0.7564452758621564,28.57142857142857,0.5,0.0,0.0,0.0,0.7431702594274118,0.6790319439340247,50.0,0.6833333333333333,0.0,0.0,0.0,0.6020668541658812,0.6732843703652226,55.65217391304348,0.6853968253968254,0.0,0.0,0.0,0.761255492150855,0.6949424221654062,48.78048780487805,0.48194444444444445,0.5648148208856583,0.5861111159125963,0.5722222278515497,0.5934761141805552
5,0.5517642179035342,1.0305212711752085,53.43915343915344,0.517733134920635,0.6759051276991764,0.5367559567093849,0.9729166676600774,0.704498827207813,71.875,0.8121651785714287,0.708847414702177,0.6315476261079311,0.8937500044703484,0.5842247081067388,0.662954311533771,65.625,0.7261904761904762,0.4630952477455139,0.5416666679084301,0.6666666716337204,0.8362783234925825,0.8099405692602915,52.94117647058824,0.75,0.2285714348157247,0.6666666666666666,0.13888889054457346,0.5419548504919081,0.7145562975881361,44.44444444444444,0.28125,0.3333333432674408,0.25,0.5,0.6934780753522651,1.2453621842419234,23.076923076923077,0.5,0.0,0.0,0.0,0.7185316143007269,0.6661353185604789,42.857142857142854,0.5,0.5750000029802322,0.625,0.5416666716337204,0.7094231431445566,0.6830164456870478,50.0,0.40625,0.0,0.0,0.0,0.6352107122060315,0.6595316794090605,55.65217391304348,0.6723412698412699,0.0,0.0,0.0,0.9007623180983103,0.7731065149803173,51.21951219512195,0.46388888888888885,0.0,0.0,0.0,0.6009855935648933
6,0.6933389921089095,0.7199741459558527,49.735449735449734,0.4810763888888889,0.4085768448809783,0.46805555870135623,0.38194444837669533,0.6457841389587684,70.3125,0.7661830357142857,0.5100198518484831,0.6510416679084301,0.45520833879709244,0.43583205218268745,0.6023708044896785,78.125,0.6642857142857143,0.1428571492433548,0.25,0.10000000149011612,0.9172858118666367,0.7108436095160937,58.82352941176471,0.7388888888888889,0.3333333333333333,0.6666666666666666,0.22222222884496054,0.543435284928117,0.7170981625980708,44.44444444444444,0.31666666666666665,0.7727272808551788,0.6875,1.0,0.716439011440755,0.8554806295824678,23.076923076923077,0.5833333333333333,0.0,0.0,0.0,0.41534560247465513,0.7217506075106064,42.857142857142854,0.4666666666666667,0.4285714477300644,0.75,0.30000000447034836,0.7248983531982671,0.6716553554355682,50.0,0.5166666666666666,0.0,0.0,0.0,0.6021098409582815,0.6531421788211403,55.65217391304348,0.7241666666666666,0.0,0.0,0.0,0.6513842284468081,0.7044533132649096,48.78048780487805,0.47430555555555554,0.3809523830811183,0.4000000059604645,0.4027777860562007,0.6928237567673167
7,1.206940064914052,0.6966726927480423,55.55555555555556,0.5819444444444445,0.6604520517090956,0.5554067523529133,0.8548611104488373,0.6978963836071568,55.46875,0.8002604166666667,0.6179924383759499,0.4757440537214279,0.9510416686534882,0.5942795079159754,0.6049212846434856,62.5,0.8191964285714286,0.5208333283662796,0.40416667237877846,0.9375,0.45051647658694743,0.4901160486653421,82.35294117647058,0.6944444444444445,0.5743589798609415,0.5079365173975626,0.6666666666666666,0.17653318047105926,0.7457571520268522,44.44444444444444,0.46875,0.3333333432674408,0.25,0.5,0.6331683655223596,0.7191501672970129,23.076923076923077,0.7083333333333333,0.0,0.0,0.0,0.38613234050464457,0.8402054245199333,28.57142857142857,0.5333333333333333,0.0,0.0,0.0,0.6462217056975874,0.6767039126672385,50.0,0.8125,0.0,0.0,0.0,0.7553579977982948,0.6825782315517382,51.30434782608696,0.5269444444444444,0.5372631231943766,0.46650794247786204,0.6955555617809296,0.7301204535472713,0.6934463535519212,43.90243902439025,0.34851190476190474,0.6450401470065117,0.5555555522441864,0.9523809552192688,0.7336258134508518
8,0.4748861730272047,0.7075914368771224,55.55555555555556,0.5867807539682539,0.6072947978973389,0.5900793758531412,0.6854166736205419,0.6333193293284181,70.3125,0.8153645833333333,0.6674468033015728,0.635416672565043,0.7906250059604645,0.8437236565515444,0.5862546659496928,68.75,0.6354166666666666,0.3511904701590538,0.3541666716337204,0.375,0.5810956061161323,0.5602186389791405,64.70588235294117,0.7611111111111111,0.8111110925674438,0.7539682487646738,0.9444444378217062,1.0259393113967445,0.7044117902218153,44.44444444444444,0.41666666666666663,0.7727272808551788,0.6875,1.0,0.5176476734795527,0.781217209867047,23.076923076923077,0.5166666666666666,0.0,0.0,0.0,0.693577037202069,0.7331448823864274,35.714285714285715,0.41666666666666663,0.533333346247673,0.550000011920929,0.5416666716337204,0.7091620942282346,0.8798423790904385,50.0,0.5166666666666666,0.0,0.0,0.0,0.8084840806689969,0.9605268788487332,56.52173913043478,0.5955555555555555,0.02222222089767456,0.06666666666666667,0.013333333532015483,0.10044591932473249,0.8127637117144123,51.21951219512195,0.39999999999999997,0.0,0.0,0.0,1.7515526612891414
