,UKBB11027,UKBB11027,UKBB11027,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,0.6875071280757931,0.06909933303092881,70.0,0.060083157781092876,63.63636363636363,0.6648639383871826,0.05775603695654024,58.333333333333336,0.8069910119076549,0.04332558309312637,50.0,0.6926833724444795,0.09097904625488434,37.5,0.6907884664909989,0.08287237103460489,62.5,0.6687963905512856,0.09810570583143964,57.14285714285714,0.6918974344400292,0.09917711286096116,28.57142857142857,0.7135360136640895,0.08240802058142668,60.0,2.4429322539794893,0.11041634809318476,50.0,1.100286692114661,0.07691623793160468,55.55555555555556,0.691996048873359,0.07497123262526317,47.368421052631575,0.9525450710843415,0.06971042553393947,40.0,0.6966422771407738,0.06930260185097244,60.0,0.6930288913329747
1,0.6937647042072512,0.06917823582162863,70.0,0.06082327245591375,63.63636363636363,0.565657594992193,0.05774626923519228,50.0,0.6928505057133308,0.04802668551116754,50.0,0.8121005928542779,0.0865133678201513,62.5,0.6926956037277328,0.08399290258226617,62.5,0.6712781957565976,0.10181202871463754,42.857142857142854,0.6649844268669487,0.09918145862519966,28.57142857142857,0.6938006116850111,0.06994761451828889,60.0,0.6638838029927328,0.09404976002778143,50.0,0.6894358016538078,0.07692019769935504,55.55555555555556,0.6970386002370417,0.07297524308673162,47.368421052631575,0.6939482257361761,0.06529119173290797,70.0,0.7660896181352317,0.06930903365085514,70.0,0.6925757489694097
2,0.6931462675803647,0.06930444853591909,50.0,0.0591089588735191,63.63636363636363,0.6701231117798843,0.057756097304573956,50.0,0.6931503055194423,0.04332240520286442,50.0,0.6937761830360141,0.08680990485662922,37.5,0.6954564251776939,0.08245871888532864,62.5,0.6513577935530038,0.09823164295463757,57.14285714285714,0.7213850410685926,0.09892073271170462,71.42857142857143,0.6928894739035604,0.070665805784115,60.0,0.6501751657157785,0.09381421620036766,50.0,0.6122570464513644,0.07836371404577197,55.55555555555556,0.6341262187540662,0.07298712734422681,52.63157894736842,0.6921727903299149,0.07018952348091723,40.0,0.6650132349805021,0.06932745643119277,40.0,0.692365271805074
3,0.6931575601672807,0.06923290067538017,70.0,0.05966120729583335,63.63636363636363,0.7218586187133279,0.05776722915478652,41.66666666666667,0.6931489376908381,0.04331822467859507,50.0,0.69301679596847,0.08658406553940029,62.5,0.6928510247455152,0.08997580652063789,62.5,0.7670828051518102,0.09889570895494174,57.14285714285714,0.7304125416785213,0.09904649936252562,28.57142857142857,0.6934339534081518,0.07499487275380042,60.0,0.5742621110863576,0.086630313061115,62.5,0.7234875489610452,0.07850642056106168,44.44444444444444,0.9019542216616688,0.07316008057213656,47.368421052631575,0.6929048950978154,0.06405944080689605,70.0,0.8365628753670799,0.06928782108219136,50.0,0.6926822513877103
4,0.6930937324892849,0.06923872622658074,70.0,0.06084579793106725,63.63636363636363,0.6631122652889908,0.0577568508470639,50.0,0.6931474169036625,0.043613717162133914,50.0,0.7119178988425255,0.08669300196446643,37.5,0.6929204543674644,0.08112931661997905,62.5,0.6613186316964976,0.09898077047661515,57.14285714285714,0.6647882101141149,0.09891047536682039,71.42857142857143,0.6928819271342143,0.07238963171287435,60.0,0.6119269797342066,0.08622459307752106,62.5,0.6926476086159986,0.07724724074646945,55.55555555555556,0.6716305161691651,0.07294182206337171,57.89473684210527,0.6931352915111493,0.06364234246794846,70.0,0.6622615664579717,0.06928994926164903,70.0,0.6932396636264564
5,0.6911387628794263,0.07211279870833809,30.0,0.06159913120287519,63.63636363636363,0.5842833505212206,0.05772652337743462,50.0,0.6932591737187151,0.04331644000814039,50.0,0.6737264912201248,0.08792945317686113,37.5,0.6926578260262886,0.08460368427922406,62.5,0.6718491577147373,0.10152387153449437,57.14285714285714,0.6907438876954856,0.0991034275078795,28.57142857142857,0.6931875379263975,0.07229377218764094,40.0,0.6913365926871889,0.08662782592141449,50.0,0.7003492662456764,0.07698120070730513,55.55555555555556,0.6941615215281167,0.07263772894475923,47.368421052631575,0.6939468552943714,0.06547829012794404,70.0,0.6934834323932354,0.06930131016061666,50.0,0.6930201408603525
6,0.6930252214442538,0.06926009028325517,70.0,0.05986820527184951,63.63636363636363,0.7106244247285685,0.057757010487815424,50.0,0.7009519121849738,0.04297884600469819,56.25,0.6840844328712888,0.08476408396622342,75.0,0.7347523966094033,0.08501411517263695,62.5,0.6500130853218179,0.0976187341633447,42.857142857142854,0.6917813626533971,0.0990678574962186,28.57142857142857,0.6931087277486746,0.06931610953355619,60.0,0.6931058303491368,0.08621464529820692,50.0,0.7015980509248233,0.07700622829444011,55.55555555555556,0.6932430663169631,0.07209417910986791,52.63157894736842,0.6846163445757883,0.06519800338660611,70.0,0.6784821038208794,0.06933272341489123,50.0,0.695363166683085
7,0.6922442840059072,0.06923885069635452,90.0,0.06177042009122882,63.63636363636363,0.7709278645865774,0.057740479617862245,50.0,0.6933369040165736,0.043305845279200575,50.0,0.6943179961520572,0.08774209740675065,37.5,0.7633280457829643,0.10221180630939403,62.5,0.6462886180529496,0.0920640909037062,85.71428571428571,0.6813276853235142,0.09921471700993265,28.57142857142857,0.693107423670268,0.1001953968260048,60.0,0.5428149056705154,0.09349191870061628,50.0,0.6237996429084689,0.07840349968071458,44.44444444444444,0.6695578517898895,0.07296851697554028,63.1578947368421,0.6927919174178273,0.07099543985007087,40.0,0.5624490777324208,0.06929756230417718,60.0,0.6925934509761288
8,0.6924227489748292,0.06921287436499413,70.0,0.06081366996824638,63.63636363636363,0.7590454544203774,0.05771152702229887,66.66666666666666,0.6936258736228224,0.04331973648741661,50.0,0.6928163319489958,0.09510774656460594,37.5,0.704050115740299,0.08157070501304287,62.5,0.6442983976646696,0.09066279958811321,57.14285714285714,0.7311643987776962,0.0990974078070259,28.57142857142857,0.6938285023611049,0.08397182786022235,60.0,0.47724639462806334,0.10678291666347565,50.0,0.9826708980414568,0.08255845465806996,55.55555555555556,0.5639873713592258,0.07295766536953648,52.63157894736842,0.6927397071260484,0.06284126537094517,70.0,0.6495320741626496,0.06938715271376641,40.0,0.6925264384619141
9,0.6937386752776455,0.06936094723821389,30.0,0.05943242276890162,63.63636363636363,0.6869487213056957,0.05775660870625013,50.0,0.693336400390518,0.04332100059081376,50.0,0.6924265859174528,0.08671915818579026,37.5,0.6930472713726826,0.08110055666697374,62.5,0.5265371546375133,0.08873367051273588,57.14285714285714,0.8069796146738777,0.09902158786711089,42.857142857142854,0.6931418642968646,0.07031845195348166,60.0,0.6367656833370671,0.08775540432017229,50.0,0.7645305746376575,0.07643163199661736,44.44444444444444,0.6940650044746406,0.07298652541278375,52.63157894736842,0.6926087812561872,0.06229531134383194,70.0,0.8951685638245145,0.0693298803744715,60.0,0.6915251440104304
10,0.6724421143975329,0.0727321364409167,30.0,0.07214016675703144,63.63636363636363,0.5583084496665219,0.05773964049248693,66.66666666666666,0.6939387625923469,0.04332866481807091,43.75,0.6930871156227211,0.08637651819931946,62.5,0.6926213397372881,0.08270358282244776,62.5,0.6131915113223954,0.0850390241108225,57.14285714285714,0.7010559113129963,0.09874438835952999,71.42857142857143,0.6918935029293906,0.07119014713587629,60.0,0.6507300854534791,0.09918380502379263,50.0,0.605807900078171,0.07893969476770396,44.44444444444444,1.035616262679456,0.07289928440887239,52.63157894736842,0.6906032227483556,0.06237955842872783,70.0,0.5118443858161967,0.06948841214344746,40.0,0.6934197091060829
11,0.6935259007807428,0.06933750087183939,40.0,0.05927571488813701,63.63636363636363,0.5686203549947085,0.05776387761058661,50.0,0.6925418243943054,0.04331583226432406,50.0,0.6860559705577155,0.07408795634753432,62.5,0.647086131496972,0.08713922254398898,62.5,0.5777466247644365,0.11399094715954174,57.14285714285714,0.786036760443335,0.08536563896509054,71.42857142857143,0.6003008151217604,0.09508932824477664,60.0,0.33112357025249334,0.08516623560649947,75.0,0.7387489930731337,0.07695890676744838,55.55555555555556,0.925919411717598,0.07624303473943661,57.89473684210527,0.8089601307389376,0.06028367486338956,70.0,1.1567327440490929,0.06954891022371709,40.0,0.6930026963555367
