,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,347.87691564688566,107.86653685323937,0.0,0.0,0.0,0.0,0.0
1,436.68258701647244,97.2115929287011,0.0,0.0,0.0,0.0,0.0
2,1194.2281002607665,73.57996123711098,0.0,0.0,0.0,0.0,0.0
3,886.617516502246,37.58424794217208,0.0,0.0,0.0,0.0,0.0
4,135.0002630962409,17.595034555334543,0.0,0.0,0.0,0.0,0.0
5,595.4875257415456,52.665714577554624,0.0,0.0,0.0,0.0,0.0
6,280.62137622200555,64.70342738403984,0.0,0.0,0.0,0.0,0.0
7,104.80711869592808,35.187745605333994,0.0,0.0,0.0,0.0,0.0
8,41.1576141841955,18.465717156771493,0.0,0.0,0.0,0.0,0.0
9,18.365753123649178,17.288649317114015,0.0,0.0,0.0,0.0,0.0
10,241.3378839878491,16.978690543527723,0.0,0.0,0.0,0.0,0.0
11,217.2872781238696,19.41932851153596,0.0,0.0,0.0,0.0,0.0
12,245.4303019652582,21.775710053091665,0.0,0.0,0.0,0.0,0.0
13,62.63274674584087,20.345505410210478,0.0,0.0,0.0,0.0,0.0
14,114.6937730364983,17.711869071958066,0.0,0.0,0.0,0.0,0.0
15,147.80422592816566,15.805584790373441,0.0,0.0,0.0,0.0,0.0
16,65.74648013427279,16.32855229914021,0.0,0.0,0.0,0.0,0.0
17,7.312870461616496,14.899630591307465,0.0,0.0,0.0,0.0,0.0
18,35.24059859174882,14.995356563624231,0.0,0.0,0.0,0.0,0.0
19,30.32078083057644,15.219239665148283,0.0,0.0,0.0,0.0,0.0
20,21.791561530957146,14.986366797510792,0.0,0.0,0.0,0.0,0.0
21,5.207646013480554,14.821943904484357,0.0,0.0,0.0,0.0,0.0
22,37.826563608255825,15.246211553757748,0.0,0.0,0.0,0.0,0.0
23,9.015701788678486,14.396107934667599,0.0,0.0,0.0,0.0,0.0
24,4.085265349277291,15.799649289204172,0.0,0.0,0.0,0.0,0.0
