,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6918333133748922,0.6931987874113985,50.0,0.375,0.0,0.0,0.0,0.8370679065657068,36.36363636363637,0.53125,0.0,0.0,0.0,1.0413254313408666,0.6933406119155263,33.33333333333333,0.13333333333333333,0.222222238779068,0.25,0.20000000298023224,0.6929040598603846,0.6956448387032511,37.5,0.4666666666666667,0.5454545617103577,0.375,1.0,0.6967315481662534,0.894938751737242,37.5,0.5333333333333333,0.0,0.0,0.0,0.8007103847207391,0.6932490375882409,42.857142857142854,0.6666666666666666,0.5999999642372131,0.4285714328289032,1.0,0.6940249489184839,0.6168302494086836,71.42857142857143,0.5,0.0,0.0,0.0,1.2384500928310453,0.693693280470891,40.0,0.36666666666666664,0.6060606241226196,0.4375,1.0,0.6945682160964184,0.6932658585940799,55.55555555555556,0.3833333333333333,0.1666666567325592,0.5,0.10000000149011612,0.7192666361911918,0.6930720562162047,52.63157894736842,0.39999999999999997,0.0,0.0,0.0,0.6934327621126487,0.6903282564952443,70.0,0.08333333333333333,0.761904776096344,0.625,1.0,1.8981396368556531,0.7037685622951784,40.0,0.5,0.0,0.0,0.0,0.6910243955592522,0.6945953529652243,30.0,0.375,0.0,0.0,0.0,0.6973868912183478
1,0.6929459437913359,0.6932482797612876,50.0,0.4375,0.6666666865348816,0.5,1.0,0.6863752169634864,72.72727272727273,0.8333333333333333,0.8636363744735718,0.8333333432674408,0.9000000059604645,1.1774560787857224,0.703463201815813,50.0,0.53125,0.6666666865348816,0.5,1.0,0.9680833843709894,0.6951412690316766,37.5,0.4666666666666667,0.5454545617103577,0.375,1.0,0.6904671689757879,0.6663602868693601,62.5,0.4,0.7692307829856873,0.625,1.0,0.6935103528287972,0.6932126968646509,42.857142857142854,0.75,0.5999999642372131,0.4285714328289032,1.0,0.6929521626024255,0.5878265717734397,71.42857142857143,0.7,0.0,0.0,0.0,0.4559657613275908,0.6930619611632387,60.0,0.7666666666666666,0.0,0.0,0.0,0.693474404666769,0.6935400370599576,44.44444444444444,0.35,0.0,0.0,0.0,0.6946086659834196,0.6931091606373861,52.63157894736842,0.6,0.0,0.0,0.0,0.6930960503744051,0.6516862427493584,70.0,0.5416666666666666,0.761904776096344,0.625,1.0,0.5319320699435102,0.6947197082530362,40.0,0.6666666666666666,0.0,0.0,0.0,0.6888785922261228,0.6929253425001001,70.0,0.16666666666666666,0.761904776096344,0.625,1.0,0.6906324037926793
2,0.7011353825449929,0.7027454565405769,50.0,0.5,0.6666666865348816,0.5,1.0,0.6925236515366162,63.63636363636363,0.43333333333333335,0.7846153974533081,0.6458333432674408,1.0,0.6921412221701799,0.6928376861561341,50.0,0.7333333333333334,0.701298713684082,0.5625,1.0,0.7552936547858431,0.6940342271375788,37.5,0.13333333333333333,0.5454545617103577,0.375,1.0,0.7510169370950147,0.6600464661631588,62.5,0.4666666666666667,0.7692307829856873,0.625,1.0,0.958115982211806,0.6947439809971766,42.857142857142854,0.8333333333333334,0.5999999642372131,0.4285714328289032,1.0,0.693822616645033,0.6801518711143794,42.857142857142854,0.7,0.5,0.3333333432674408,1.0,0.6774828811588574,0.6902568871344427,40.0,0.8,0.0,0.0,0.0,0.6512212959795992,0.6868848984838558,55.55555555555556,0.59375,0.8333333432674408,0.75,1.0,0.6145779344404962,0.6931231130042182,36.84210526315789,0.6666666666666666,0.49663299322128296,0.38730159401893616,0.75,0.6929236209244096,0.6663597092134299,70.0,0.35,0.8846153914928436,0.8125,1.0,0.6869641032236827,0.6894478762833817,60.0,0.3333333333333333,0.7179487347602844,0.5625,1.0,0.7090451429902567,0.7065700638877027,30.0,0.75,0.0,0.0,0.0,0.693555661982391
3,0.693413378784271,0.6912412248252501,50.0,0.625,0.0,0.0,0.0,0.6931821767449752,27.27272727272727,0.25,0.0,0.0,0.0,0.6940526213776032,0.8099531011953868,50.0,0.16666666666666666,0.0,0.0,0.0,0.5980701784453931,0.6939236187198371,37.5,0.4,0.5454545617103577,0.375,1.0,0.6922027765286728,0.6571393784800016,62.5,0.6666666666666666,0.7692307829856873,0.625,1.0,0.7370224155750363,0.6914257207432969,42.857142857142854,0.5833333333333334,0.5999999642372131,0.4285714328289032,1.0,0.6919352120375925,0.5795989776329202,71.42857142857143,0.8,0.0,0.0,0.0,0.36841121821732487,0.6932305698245074,40.0,0.53125,0.3333333432674408,0.25,0.5,0.7347747993669288,0.7356646707253929,44.44444444444444,0.40625,0.0,0.0,0.0,0.6489199257608049,0.6932862050964105,47.368421052631575,0.625,0.6111111243565878,0.4444444477558136,1.0,0.6960622924105775,0.6621027149579659,70.0,0.16666666666666666,0.761904776096344,0.625,1.0,0.7323890468218105,0.693022595262313,60.0,0.375,0.8333333432674408,0.75,1.0,0.692575749196967,0.6932716902686232,30.0,0.5166666666666666,0.0,0.0,0.0,0.6933429536295087
4,0.6818425325187101,0.6859616931600085,50.0,0.6875,0.0,0.0,0.0,0.8155890485075681,36.36363636363637,0.6666666666666666,0.0,0.0,0.0,0.7151690290322078,0.8123639199320595,50.0,0.3125,0.0,0.0,0.0,0.6379964793017947,0.6925510387645819,62.5,0.5333333333333333,0.0,0.0,0.0,0.6924727658857774,0.6936678046997621,62.5,0.4,0.7692307829856873,0.625,1.0,0.6042749730898402,0.6925315174861204,57.14285714285714,0.5,0.0,0.0,0.0,0.6927424008235928,0.5480701182648796,71.42857142857143,1.0,0.0,0.0,0.0,0.2754985370665856,0.6933600178559214,60.0,0.16666666666666666,0.0,0.0,0.0,0.5759139755611232,0.8119596400344828,55.55555555555556,0.375,0.20000000298023224,0.5,0.125,0.790149400560066,0.6933467047507027,47.368421052631575,0.3333333333333333,0.6111111243565878,0.4444444477558136,1.0,0.6967626984365208,0.6556825249018765,70.0,0.125,0.761904776096344,0.625,1.0,0.6507693027634491,0.7231233790465778,40.0,0.5625,0.0,0.0,0.0,0.691111355420864,0.6929878689338256,70.0,0.55,0.8846153914928436,0.8125,1.0,0.748294110235962
5,0.6297820153179304,0.6633614351335573,50.0,0.8125,0.0,0.0,0.0,0.69286153136286,63.63636363636363,0.625,0.8333333432674408,0.75,1.0,0.699604189803685,0.6971552357878606,50.0,0.59375,0.6666666865348816,0.5,1.0,0.7013765839792638,0.6944960190453096,37.5,0.0,0.5454545617103577,0.375,1.0,0.6926684148685097,0.6843640012686036,62.5,0.4,0.7692307829856873,0.625,1.0,0.8203231848837665,0.6882719878890519,57.14285714285714,0.6666666666666666,0.0,0.0,0.0,0.6935743632749549,0.5413905731165325,71.42857142857143,0.9,0.5,0.5,0.5,0.41178298586409506,0.7268541936979381,60.0,0.5,0.0,0.0,0.0,0.5991113644562641,0.7334253747488557,33.33333333333333,0.46875,0.27272725105285645,0.2142857164144516,0.375,0.5333758673115261,0.6930771664503151,52.63157894736842,0.6611111111111111,0.0,0.0,0.0,0.692658837661074,0.6324992446099553,70.0,0.39285714285714285,0.46666666865348816,0.4375,0.5,0.6190111186926373,0.6983901414334297,40.0,0.5416666666666667,0.0,0.0,0.0,0.6765905637530466,0.6933520983395497,30.0,0.20833333333333334,0.125,0.25,0.0833333358168602,0.6934753514654429
6,0.6006047842601188,0.9962759775100499,50.0,0.625,0.0,0.0,0.0,0.693355779036918,45.45454545454545,0.53125,0.25,0.5,0.1666666716337204,0.6929109443916888,0.8068852986116507,50.0,0.06666666666666667,0.0,0.0,0.0,0.5364500112094307,0.6950506268352251,37.5,0.0,0.5454545617103577,0.375,1.0,0.6935909883427598,0.7194413028194518,50.0,0.26666666666666666,0.6666666865348816,0.5714285969734192,0.800000011920929,0.46436735942805507,0.6932333901241013,42.857142857142854,0.5,0.5,0.4000000059604645,0.6666666865348816,0.6961217987335503,0.9042945263980978,42.857142857142854,0.8,0.5,0.3333333432674408,1.0,0.40541967044032745,0.6607908873148027,60.0,0.8333333333333333,0.0,0.0,0.0,0.6619879959101155,0.9089879400658991,55.55555555555556,0.46875,0.8333333432674408,0.75,1.0,0.4292638379291405,0.6931943192125187,47.368421052631575,0.4041666666666666,0.670707086722056,0.5138888955116272,1.0,0.6939786111247038,0.6709357459263676,70.0,0.2916666666666667,0.761904776096344,0.625,1.0,0.6849680642289668,1.2486180909118763,40.0,0.7333333333333334,0.0,0.0,0.0,1.4178674898786296,0.6622073821954246,70.0,0.41666666666666663,0.8846153914928436,0.8125,1.0,0.7013564017211386
7,0.6939074070634621,0.6724051909838293,50.0,0.75,0.0,0.0,0.0,0.6599837083470219,63.63636363636363,0.55,0.7846153974533081,0.6458333432674408,1.0,0.6918185575533222,1.0001105063759532,50.0,0.46875,0.6666666865348816,0.5,1.0,1.7955093627900633,0.6928568683913835,50.0,0.8,0.5999999642372131,0.4285714328289032,1.0,0.6506335623177337,0.7165186706738917,25.0,0.3333333333333333,0.25,0.3333333432674408,0.20000000298023224,0.6292297852146888,0.7225101467944628,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.689576300015952,0.5433907668336232,71.42857142857143,0.9,0.5,0.5,0.5,0.7456041997238434,0.9496494812379559,60.0,0.46875,0.0,0.0,0.0,0.4487809235251526,0.7312169605734096,33.33333333333333,0.4375,0.222222238779068,0.20000000298023224,0.25,0.6469389084276669,0.692840193721333,52.63157894736842,0.5375,0.0,0.0,0.0,0.6912627863381404,0.6434131033401005,70.0,0.625,0.761904776096344,0.625,1.0,0.6467041256294169,0.791258293112398,40.0,0.5,0.0,0.0,0.0,0.5790245284358774,0.6930698195389395,50.0,0.6666666666666666,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.8040297388018091
8,1.2137516720865527,0.611247887306906,50.0,0.875,0.0,0.0,0.0,0.6927021741115454,63.63636363636363,0.9,0.7846153974533081,0.6458333432674408,1.0,0.6951916085444475,0.7853507749382947,41.66666666666667,0.28125,0.0,0.0,0.0,0.6831827818892996,0.6947917853917961,0.0,0.0,0.0,0.0,0.0,0.6934992328285071,0.7765700593526471,62.5,0.3333333333333333,0.7692307829856873,0.625,1.0,0.47664535841810096,0.6976251436053431,57.14285714285714,0.8333333333333334,0.6666666865348816,0.5,1.0,0.6515476800851232,0.34863912989831586,85.71428571428571,1.0,0.6666666865348816,1.0,0.5,0.38076605717976586,0.657511934547409,60.0,0.5625,0.0,0.0,0.0,0.59223821929245,1.009514527103389,22.22222222222222,0.3833333333333333,0.20000001788139343,0.20000000298023224,0.20000000298023224,0.3814366049586168,0.6932190349945297,42.10526315789473,0.6666666666666666,0.5185185174147288,0.4365079353253047,0.7777777711550394,0.692663348961512,0.6287981024925534,70.0,0.6666666666666666,0.761904776096344,0.625,1.0,0.6729600338846263,0.7316884014475257,50.0,0.7666666666666666,0.1666666567325592,0.5,0.10000000149011612,0.5696766527271839,0.6932239202809227,40.0,0.5833333333333333,0.1666666567325592,0.5,0.10000000149011612,0.722349466722675
