,SZ,SZ,SZ,DEL1q21_1,DEL1q21_1,DEL1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.6510144989364816,0.08316063103066608,70.3125,0.13195242807490382,50.0,0.6735340431720996
1,0.7536418200515062,0.07738410953619411,68.75,0.1364245325598305,40.0,0.8069877792050335
2,0.6877383537978724,0.06947165213393902,72.65625,0.1508388831272485,50.0,0.9762982287373045
3,0.4203088274608581,0.06635702490909284,72.65625,0.1340293651973247,60.0,0.7490862283562834
4,0.3459978071689294,0.06251678710435853,73.4375,0.23246529544369582,60.0,0.9021061008995275
5,0.6049217277396882,0.05940980533740736,74.21875,0.15044800377491402,50.0,0.683025925652532
6,0.4200714819845341,0.05876553052624915,77.34375,0.12102973911657626,50.0,0.6428662947146813
7,0.4594716600365292,0.0724784861193787,76.5625,0.12159163670652476,50.0,0.6223714336456115
8,0.7244800285478807,0.06933399834835013,69.53125,0.13217637293171888,60.0,0.6311753962903924
9,1.3595668622624633,0.08022549158911323,78.90625,0.12887207221572755,50.0,0.7425342771045909
10,0.05183690244587389,0.09194109306515062,71.875,0.1338522585942461,50.0,0.6208977228417534
11,1.025247304812621,0.13266679834034334,64.84375,0.18278592406349542,60.0,0.5520963778751355
12,0.4223223251518455,0.06120449003648197,82.03125,0.16004314279980666,50.0,0.6794355070103294
13,0.17419840729839212,0.1362301849066766,71.09375,0.13116337535415282,50.0,0.6546269071408086
14,0.031239454318075333,0.08475294314785148,75.78125,0.17080788064723412,50.0,0.5343208371575493
15,0.38774438629463054,0.09236986035262128,82.8125,0.12557049480084517,50.0,0.6925803343855382
16,0.0028652416255899593,0.08501028074579754,82.8125,0.10716303968453367,50.0,0.6945088081617141
17,0.02139154464589445,0.10554761505212736,83.59375,0.1941872584304961,50.0,0.6280596077715631
18,0.2941360920158815,0.09992314860828512,75.78125,0.15845806224265463,60.0,0.6074999625306707
19,0.6378818872790297,0.18182878927416388,74.21875,0.13016215671653839,60.0,0.6339611246893808
20,0.14134919295713544,0.10379107737104983,80.46875,0.1407797440440095,60.0,0.5878970049089008
21,0.002062614219728906,0.18056537977300727,75.78125,0.2620263099437906,50.0,0.52268489131605
22,0.0867122935577211,0.10573504622306647,82.03125,0.13297929785263435,50.0,0.44958961899904193
23,0.00037184542646353857,0.14853835272288662,82.8125,0.24812448456845587,50.0,0.5683446093306922
24,0.02240932398543653,0.11278436476888197,81.25,0.1708858150109534,50.0,0.5179124004234997
25,5.113557055846146e-05,0.16136126873153558,81.25,0.3824126723375558,50.0,0.19976324136340648
26,0.00047659940598374,0.16127528889710266,78.90625,0.22172180184428236,50.0,0.09491654334895142
27,0.0026811984788398155,0.18575637235557485,78.90625,0.233434304325372,40.0,0.35470105703363275
28,0.00047021282574223887,0.21830417862888782,71.875,0.8667073961111482,50.0,0.42810360176935824
29,0.00020826506818926295,0.2143569425143548,74.21875,0.3943021767112149,60.0,0.012261420008523078
30,1.8519906566205624,0.14867148084927184,80.46875,0.2550023065882052,50.0,0.16548552854544737
31,0.02464608907845617,0.10307291530433292,82.03125,0.7355083126035316,50.0,0.12467182624550133
32,0.0007654855283013582,0.14289558110996745,81.25,0.3187060633835567,60.0,1.5663423693551874
33,0.011498050392335432,0.13335329182576192,76.5625,0.21053311187901086,40.0,0.07069868076965999
34,0.0039052784085230933,0.15156810799849962,79.6875,0.5236447491688894,50.0,0.40063723084895925
35,0.0005374136566927834,0.18796305775668878,78.125,0.6560991153258345,60.0,0.25714309708738414
36,0.00046245610118937473,0.20186638278344182,78.125,0.4545140706311609,60.0,0.03563277948611015
37,1.3840125104516885,0.23906628715907222,65.625,0.23784593916670355,50.0,0.15871829397161044
38,0.03666436297986494,0.226189010917302,80.46875,0.6625201194416201,60.0,0.015041386548201214
39,0.019190482865227346,0.12513668699561786,76.5625,0.24731774091258368,60.0,0.07583334911625303
40,0.001208494866913507,0.1632746343341111,82.8125,1.0694869524875141,60.0,0.017638857282142584
41,0.0025417178718378343,0.1489602986442851,80.46875,0.24541263109166778,70.0,0.046881518780979084
42,0.0009689437590925249,0.20891166153708268,67.96875,0.36108259124833025,60.0,0.7220813886173322
43,0.00046662013704090673,0.17981540148085665,80.46875,0.30886346579826407,60.0,0.01715962652703989
44,0.0011978737546051415,0.17883956788432903,75.78125,0.48673852523243993,70.0,0.001763640269522467
45,2.2929659866856615e-05,0.21030184242733863,73.4375,0.46989749899967814,50.0,0.0041787550589079715
46,1.390060506035617,0.19242826579105146,80.46875,0.9231088451323322,60.0,4.082835137059554e-05
47,0.12944373749732987,0.14412168483453597,80.46875,1.1963890705337543,40.0,0.4583568946573124
48,0.04845736826707081,0.15143410736337717,81.25,0.5080372533409946,60.0,0.014107832841073916
49,0.05930849159005158,0.165037416980407,82.03125,1.2845277162672049,50.0,0.0016983049086103114
50,0.0003069629792755879,0.17832034627808685,81.25,1.2752531194810437,50.0,0.0005590615257208844
51,9.75055453463056e-07,0.23219086752441875,82.03125,0.4429270005268958,60.0,0.00015447915151261984
52,3.6172155265515083e-06,0.24585122873481027,82.8125,0.9955345759940706,60.0,1.3879794304758201e-05
53,5.1504106083656804e-06,0.2517227808176424,82.8125,0.7636930648477256,60.0,5.173240581756129e-05
54,3.217322042172671e-08,0.25668128610583746,82.8125,0.4479579318093877,60.0,1.1406674651435512e-05
55,1.5390648680306008e-06,0.26021952698483775,82.03125,0.45127220297253245,60.0,4.0003496410585736e-05
56,1.5167256819637152e-07,0.26313622616396454,82.03125,0.7632516709462758,60.0,0.00023911679109928799
57,5.938139543417027e-07,0.26475635349885795,82.03125,0.7728815164210585,60.0,0.00010969478790933104
58,1.1294832530219909e-05,0.2677484643300608,82.03125,0.4583408138386689,60.0,3.848334331152851e-06
59,2.038538709049511e-07,0.26911243154142434,82.03125,0.6224835211400135,60.0,1.0749047115113111e-05
60,1.3474840244086482e-05,0.27100194051826737,82.03125,0.46397958534818684,60.0,1.0323540028981832e-05
61,1.129221043087853e-05,0.2731063862287157,82.03125,1.0420057975519745,60.0,3.87775151593893e-06
62,5.230875310109174e-06,0.27482900932928844,82.03125,0.8064580562574204,60.0,4.579203114077023e-05
63,1.05387019930653e-06,0.27646595458228157,82.03125,0.8100938137651298,60.0,8.236315416216353e-06
64,6.711241134512861e-07,0.27798751012314776,82.03125,1.055266204851113,60.0,3.607925852801349e-06
65,2.390055796196486e-06,0.27942036823339833,82.03125,1.1566802052015002,60.0,5.182184959774914e-06
66,7.632980660573389e-06,0.2808102032637002,82.03125,0.8140948027936791,60.0,3.065456247407898e-05
67,1.1829617336701083e-07,0.28189758598148906,82.03125,1.069208775833534,60.0,1.5679498924988804e-06
68,3.4583588388127703e-07,0.28315048263580483,82.03125,0.9605939425799555,60.0,2.6498224136856762e-05
69,1.599333039646995e-07,0.2842579274584588,82.03125,0.47710254213555564,60.0,7.072564501069188e-05
70,1.1188845217288251e-07,0.28579684621718854,82.03125,0.60316385335452,60.0,3.0390481137645186e-05
71,1.246272168821199e-07,0.2869656167501577,82.03125,1.2064025923985227,60.0,2.0476601488385244e-05
72,1.0907701997721836e-06,0.2882637152830974,82.03125,0.8345215036482341,60.0,4.123073097488109e-06
73,2.579675027142324e-06,0.28924102665090184,82.03125,0.5919859184868106,60.0,1.3257350100832032e-06
74,5.460627421270609e-06,0.2903959525527239,82.03125,0.9465933465517885,60.0,7.82557560057623e-06
75,3.347033089409539e-07,0.29118550744942673,82.03125,0.482148144792768,60.0,4.675780932184564e-06
76,8.680518019724842e-07,0.292635973062966,82.03125,0.4814082074230995,60.0,7.2336071662987405e-06
77,3.025490536871277e-07,0.29359812500023114,82.03125,0.580026974501694,60.0,7.823525267069782e-06
78,1.99726356461431e-06,0.2945283927855916,82.03125,0.9449325223656517,60.0,1.3320588028368602e-05
79,2.8470759223610828e-08,0.2958082673990838,82.03125,0.48279941586741204,60.0,5.359825509301107e-06
80,4.906069902380846e-06,0.2963880612823614,82.03125,0.5737334236905036,60.0,3.324336106150604e-05
81,6.616465999432978e-07,0.2980956054623477,82.03125,0.8578554923529029,60.0,3.601362916410706e-05
82,1.869063006654157e-07,0.2991666728199773,82.03125,0.8616693428426034,60.0,9.438164795892227e-07
83,2.173671150063663e-06,0.30111512959180503,82.03125,0.8594597004705697,60.0,7.407603838802009e-06
84,8.665515516091655e-07,0.30323278430941447,82.03125,0.48732691578989373,60.0,5.486356242278676e-06
85,2.308953360387996e-06,0.3050566618563933,82.03125,0.4892886711400707,60.0,4.7818521576513005e-06
86,1.4498924681123204e-07,0.30670162236096377,82.03125,0.49219613317246685,60.0,4.2103898074127424e-07
87,2.017095283629326e-06,0.30840101315289353,82.03125,0.4937545205307835,60.0,3.6760564451867637e-06
88,9.498522956155322e-07,0.3096481544491075,82.03125,0.4982672411870673,60.0,1.767502644061804e-05
89,1.1409902972980584e-07,0.31088312864656337,82.8125,0.9190602251688993,60.0,4.527771278085567e-06
90,4.892594923345688e-07,0.31328470773888384,82.03125,0.5464604048616347,60.0,1.758415560930126e-05
91,3.8405362229986534e-07,0.3146960273227993,82.03125,0.8976311923355912,60.0,1.3908361064041763e-05
92,4.805782935363848e-08,0.31659618856825655,82.03125,0.5583537106356038,60.0,1.61275157933304e-05
93,5.1805265517107964e-08,0.31842006764473807,82.03125,1.6209803434769274,60.0,1.916798994945928e-06
94,1.1448726125337109e-08,0.3199683010545915,82.8125,1.6027153043488198,60.0,2.211820058304485e-06
95,4.2885414116804924e-07,0.3221309094657682,82.03125,0.5684859746939313,60.0,1.0434279681319051e-06
96,6.055598662973063e-08,0.32431900121285023,82.03125,0.5262526844797174,60.0,2.018431821177456e-07
97,2.9564033313887413e-07,0.32592909479667176,82.03125,0.9385296006699047,60.0,2.692681194874523e-06
98,2.7973002230147387e-08,0.3279205545481125,82.03125,0.5788667891737165,60.0,9.831660896492627e-06
99,1.6965905032227665e-08,0.3295370117669954,82.03125,0.9892353835264004,60.0,8.295882547993146e-06
