,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,NYU,NYU,NYU,NYU,NYU,NYU,NYU,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM,USM,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,3513.701318483034,785.4896269611861,0.0,0.0,0.0,0.0,0.0,5.4199231627820925,0.0,0.0,0.0,0.0,0.0,34.39749647015313,9.02347575595342,0.0,0.0,0.0,0.0,0.0,52.75538025651127,9.685448371359211,0.0,0.0,0.0,0.0,0.0,108.28389416808447,143.23713383708417,0.0,0.0,0.0,0.0,0.0,1212.4450599245938,12.243633110390318,0.0,0.0,0.0,0.0,0.0,11.430441530094551,87.18024388137289,0.0,0.0,0.0,0.0,0.0,258.21290927423325,47.25721966588627,0.0,0.0,0.0,0.0,0.0,922.5972180085836,90.62356879226547,0.0,0.0,0.0,0.0,0.0,288.2567399722892,38.87696417973945,0.0,0.0,0.0,0.0,0.0,307.3777460170295,443.50896113055103,0.0,0.0,0.0,0.0,0.0,1173.6317246959684,57.3777247675955,0.0,0.0,0.0,0.0,0.0,253.21270489765183,22.276507806243416,0.0,0.0,0.0,0.0,0.0,362.2438457030415,27.73969924308007,0.0,0.0,0.0,0.0,0.0,64.3411356418115,425.38585643158797,0.0,0.0,0.0,0.0,0.0,1630.6001134571216,824.6998158702538,0.0,0.0,0.0,0.0,0.0,2831.0574333756813,113.56100062415392,0.0,0.0,0.0,0.0,0.0,324.24451581105285
1,2758.3614463108615,552.0238683016447,0.0,0.0,0.0,0.0,0.0,1.6055996391595964,0.0,0.0,0.0,0.0,0.0,14.471752155434375,1.8251888226218662,0.0,0.0,0.0,0.0,0.0,1.573228625907447,4.1452976499696685,0.0,0.0,0.0,0.0,0.0,77.63554179266954,101.63328060517206,0.0,0.0,0.0,0.0,0.0,1165.4603770181977,11.492101940291601,0.0,0.0,0.0,0.0,0.0,21.34501184615415,34.025753267209,0.0,0.0,0.0,0.0,0.0,116.268938670442,20.134017667630303,0.0,0.0,0.0,0.0,0.0,84.65042873603979,86.65902066704581,0.0,0.0,0.0,0.0,0.0,236.1464629121641,13.343254539039934,0.0,0.0,0.0,0.0,0.0,34.663707562204465,187.5403636264503,0.0,0.0,0.0,0.0,0.0,1315.2443354697084,57.32170408841968,0.0,0.0,0.0,0.0,0.0,554.6618909657298,7.865389358565358,0.0,0.0,0.0,0.0,0.0,117.77595873671892,28.240749586018,0.0,0.0,0.0,0.0,0.0,11.567418196763166,205.55374305486194,0.0,0.0,0.0,0.0,0.0,1208.7867178235188,455.0734336227354,0.0,0.0,0.0,0.0,0.0,2012.5773565821237,74.78495962988784,0.0,0.0,0.0,0.0,0.0,186.57090016293134
2,1367.465112595437,363.321430774442,0.0,0.0,0.0,0.0,0.0,3.0141050333330592,0.0,0.0,0.0,0.0,0.0,17.442833804611386,2.0980225815681974,0.0,0.0,0.0,0.0,0.0,10.639667776552136,4.343835564254651,0.0,0.0,0.0,0.0,0.0,10.725757476293044,49.67162199562448,0.0,0.0,0.0,0.0,0.0,222.43635404303177,13.001545652351975,0.0,0.0,0.0,0.0,0.0,110.81240936658256,28.153319649617348,0.0,0.0,0.0,0.0,0.0,320.14117463592504,12.624821903477592,0.0,0.0,0.0,0.0,0.0,0.8749373922216477,90.90926149427436,0.0,0.0,0.0,0.0,0.0,544.5535119111169,21.568429478832027,0.0,0.0,0.0,0.0,0.0,43.06005253754127,218.67902273513462,0.0,0.0,0.0,0.0,0.0,1196.1325424606878,39.80004411335927,0.0,0.0,0.0,0.0,0.0,557.8532624505813,1.2050147205601205,0.0,0.0,0.0,0.0,0.0,18.178379294158955,27.558306140079946,0.0,0.0,0.0,0.0,0.0,112.05461629030304,126.39507234554954,0.0,0.0,0.0,0.0,0.0,912.5433687128008,213.84592501140872,0.0,0.0,0.0,0.0,0.0,1203.1287911462841,43.01097051610182,0.0,0.0,0.0,0.0,0.0,86.20180308760021
3,310.46002923072973,129.87970201345175,0.0,0.0,0.0,0.0,0.0,3.059272542275181,0.0,0.0,0.0,0.0,0.0,30.787374799089335,1.313472679035913,0.0,0.0,0.0,0.0,0.0,8.99551822662359,0.9838389847451366,0.0,0.0,0.0,0.0,0.0,6.787879813081808,32.675907173668335,0.0,0.0,0.0,0.0,0.0,389.82868000988935,9.642264743442,0.0,0.0,0.0,0.0,0.0,102.0367671192229,42.97398849880916,0.0,0.0,0.0,0.0,0.0,445.13488106179614,9.760680218394983,0.0,0.0,0.0,0.0,0.0,364.8736959266606,56.36069610830619,0.0,0.0,0.0,0.0,0.0,259.5823878779074,25.950463949923595,0.0,0.0,0.0,0.0,0.0,58.88550814043929,137.02427237215076,0.0,0.0,0.0,0.0,0.0,483.28328395130546,8.002229577609457,0.0,0.0,0.0,0.0,0.0,295.01742689724097,7.617448678390117,0.0,0.0,0.0,0.0,0.0,102.0000600549731,23.3179178963743,0.0,0.0,0.0,0.0,0.0,29.282980732884354,24.202033081644473,0.0,0.0,0.0,0.0,0.0,84.66508121611287,42.01847480899154,0.0,0.0,0.0,0.0,0.0,196.21349352454712,22.90401453955963,0.0,0.0,0.0,0.0,0.0,51.31636492656198
4,199.07252501353227,56.921505434596085,0.0,0.0,0.0,0.0,0.0,1.0268149264219093,0.0,0.0,0.0,0.0,0.0,2.535986519157111,0.6553296323193222,0.0,0.0,0.0,0.0,0.0,2.8953660905502483,0.9743684545018726,0.0,0.0,0.0,0.0,0.0,6.683985569006195,34.19291638402071,0.0,0.0,0.0,0.0,0.0,707.5263420731961,12.667420551363792,0.0,0.0,0.0,0.0,0.0,46.28944544855689,23.016712687142476,0.0,0.0,0.0,0.0,0.0,92.04847149858527,8.009044847712058,0.0,0.0,0.0,0.0,0.0,43.53074163265582,34.16106768112015,0.0,0.0,0.0,0.0,0.0,387.06088645312036,13.265304305218521,0.0,0.0,0.0,0.0,0.0,50.86107716236932,33.36833821441982,0.0,0.0,0.0,0.0,0.0,192.168236012302,3.717383353976512,0.0,0.0,0.0,0.0,0.0,314.4957540543223,3.036985648393375,0.0,0.0,0.0,0.0,0.0,53.198816105909,21.771611292634294,0.0,0.0,0.0,0.0,0.0,258.18159482426194,24.819768026467443,0.0,0.0,0.0,0.0,0.0,414.1870909149544,36.28657414184289,0.0,0.0,0.0,0.0,0.0,174.29083307040258,19.655026555574896,0.0,0.0,0.0,0.0,0.0,71.30741847125579
5,225.160225709506,57.39052804957487,0.0,0.0,0.0,0.0,0.0,0.6601735683340102,0.0,0.0,0.0,0.0,0.0,1.6775101922989795,2.0221000865150986,0.0,0.0,0.0,0.0,0.0,5.207808352747,0.20462915905342416,0.0,0.0,0.0,0.0,0.0,6.177261111326094,26.539007759185115,0.0,0.0,0.0,0.0,0.0,418.91441692326714,8.138758288439123,0.0,0.0,0.0,0.0,0.0,13.613032282896793,18.76533416640042,0.0,0.0,0.0,0.0,0.0,21.62598312774583,7.724829713167379,0.0,0.0,0.0,0.0,0.0,52.86551473466442,20.40409175431913,0.0,0.0,0.0,0.0,0.0,554.1865280667445,13.562768588184072,0.0,0.0,0.0,0.0,0.0,99.2286565001475,34.40294202663436,0.0,0.0,0.0,0.0,0.0,510.06532079884397,4.065358164343125,0.0,0.0,0.0,0.0,0.0,334.30897032809935,1.1220396454733925,0.0,0.0,0.0,0.0,0.0,65.30533399154972,24.433957350639364,0.0,0.0,0.0,0.0,0.0,85.69913985129432,15.82831123911617,0.0,0.0,0.0,0.0,0.0,77.380951760574,28.815598130587556,0.0,0.0,0.0,0.0,0.0,158.0105745244316,22.261575454648053,0.0,0.0,0.0,0.0,0.0,68.19459807743117
6,205.6421598829264,24.854511490491827,0.0,0.0,0.0,0.0,0.0,3.3996528726965183,0.0,0.0,0.0,0.0,0.0,1.1534082383341933,0.6870334893962361,0.0,0.0,0.0,0.0,0.0,3.038596659158904,0.5790750621449153,0.0,0.0,0.0,0.0,0.0,16.400467316524413,21.671546611583047,0.0,0.0,0.0,0.0,0.0,207.96315346811147,7.3198637248035405,0.0,0.0,0.0,0.0,0.0,41.4393009641861,18.930736860235804,0.0,0.0,0.0,0.0,0.0,34.91070194749133,19.34846104272836,0.0,0.0,0.0,0.0,0.0,1.2479004559636262,11.932299080988804,0.0,0.0,0.0,0.0,0.0,271.95842148071023,19.714093597087505,0.0,0.0,0.0,0.0,0.0,95.48555820876241,67.09248814740343,0.0,0.0,0.0,0.0,0.0,321.94850751806206,8.319698358431502,0.0,0.0,0.0,0.0,0.0,61.79273853021099,2.507008329897229,0.0,0.0,0.0,0.0,0.0,12.070739957088398,44.798304889479596,0.0,0.0,0.0,0.0,0.0,69.3354992339056,32.44201284930983,0.0,0.0,0.0,0.0,0.0,371.01449972584794,15.852514029181801,0.0,0.0,0.0,0.0,0.0,134.6229336834425,15.332187074623464,0.0,0.0,0.0,0.0,0.0,52.353928632999455
7,141.76275698118056,30.228979262788368,0.0,0.0,0.0,0.0,0.0,0.35120807270231746,0.0,0.0,0.0,0.0,0.0,2.63331110408912,0.5803159065675276,0.0,0.0,0.0,0.0,0.0,0.7609820296258396,0.23560956136130917,0.0,0.0,0.0,0.0,0.0,3.5033228506253846,21.52296083923399,0.0,0.0,0.0,0.0,0.0,325.1795408718952,7.6028049843447585,0.0,0.0,0.0,0.0,0.0,10.453607580099927,19.707026834451888,0.0,0.0,0.0,0.0,0.0,45.10198792220938,7.621950299467369,0.0,0.0,0.0,0.0,0.0,40.89984727463665,11.498482792013332,0.0,0.0,0.0,0.0,0.0,226.22079898132546,12.86489904591409,0.0,0.0,0.0,0.0,0.0,14.790393886429579,25.777282140854126,0.0,0.0,0.0,0.0,0.0,69.88534790602807,7.465698282748851,0.0,0.0,0.0,0.0,0.0,248.08088735377373,1.5857047972303104,0.0,0.0,0.0,0.0,0.0,11.854281742387334,15.531501964783528,0.0,0.0,0.0,0.0,0.0,105.49781703034081,13.638200242914897,0.0,0.0,0.0,0.0,0.0,49.14776021917312,26.627463118976216,0.0,0.0,0.0,0.0,0.0,132.55622226271004,19.81426826625014,0.0,0.0,0.0,0.0,0.0,26.558644307221208
8,108.971291331749,33.32237575424987,0.0,0.0,0.0,0.0,0.0,1.7945405211530898,0.0,0.0,0.0,0.0,0.0,12.701248418412284,0.6931225713485278,0.0,0.0,0.0,0.0,0.0,4.283746624440359,1.3179753739997695,0.0,0.0,0.0,0.0,0.0,5.243942057615246,19.709289690323715,0.0,0.0,0.0,0.0,0.0,215.10401686753943,8.14390227629943,0.0,0.0,0.0,0.0,0.0,16.74763766155224,25.087835414380553,0.0,0.0,0.0,0.0,0.0,146.5136349493369,8.07446651570284,0.0,0.0,0.0,0.0,0.0,10.572347017836815,10.403988103291484,0.0,0.0,0.0,0.0,0.0,7.5942729523898045,13.01990016789064,0.0,0.0,0.0,0.0,0.0,39.01271568045311,25.05443455974845,0.0,0.0,0.0,0.0,0.0,486.5493207283894,3.3819861031308656,0.0,0.0,0.0,0.0,0.0,100.11975576928799,1.9500173251477846,0.0,0.0,0.0,0.0,0.0,2.4148771009651626,28.224106807320343,0.0,0.0,0.0,0.0,0.0,58.55183020537195,55.997954022984246,0.0,0.0,0.0,0.0,0.0,33.992014312129896,30.67947346854431,0.0,0.0,0.0,0.0,0.0,52.07162737416665,17.21180471450048,0.0,0.0,0.0,0.0,0.0,18.508586927513324
