,Svip2,Svip2,Svip2,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,NYU,NYU,NYU,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,530.4542159112791,62.87993151126272,0.0,6.977597766674903,0.0,31.970736495941036,1.5269219049708989,0.0,30.045519153890584,3.2217048603177205,0.0,34.449238863680094,1.0166719441770777,0.0,17.29704717545592,152.75434421333816,0.0,887.395973672936,10.502951484841736,0.0,77.78072963072066,62.77041226499711,0.0,148.6724893894112,85.72467869546935,0.0,949.2224727088317,114.60962768894015,0.0,1260.0841302613871,80.463184556075,0.0,930.7177818936544,135.6939841184451,0.0,931.3621965063802,22.176377320381423,0.0,85.04806402512298,22.09956266359485,0.0,298.2904737258378,427.44973165775673,0.0,4395.229423548709,285.49229065254065,0.0,3717.5678355084397,310.17661233149823,0.0,3866.6585383690162,24.356008279900166,0.0,377.0253018028416
1,107.24520285830795,38.405912445844535,0.0,6.219639683096151,0.0,152.46648201420928,1.103865324663132,0.0,16.36843797938639,1.4294109011831162,0.0,38.38079010414826,0.9976302300421492,0.0,14.150250286304418,71.61602177055323,0.0,730.7332889481971,12.928361928164085,0.0,122.02772817808501,21.11364571428443,0.0,855.1919232110085,34.935444295629516,0.0,509.985297274651,66.40864146496617,0.0,581.4267064301059,39.468052247101824,0.0,522.1513118494748,73.36126756622016,0.0,851.4555511283679,6.292374336338939,0.0,7.329849909224334,9.73049313227761,0.0,137.19124538346003,331.74806792591784,0.0,3767.315159379006,174.57321335062053,0.0,2491.682719969734,179.49333556338507,0.0,1938.2684399138147,23.223321841263814,0.0,57.630918367962934
2,193.53560785501168,28.208380708850093,0.0,0.4691922498318386,0.0,14.5792236333637,0.9114233756357747,0.0,14.230325682912559,4.315796446645485,0.0,54.978811699075585,0.7938209974733468,0.0,22.30828239852051,61.27053196665375,0.0,484.18205598188274,8.46523750529154,0.0,19.806258892620296,16.539801673712745,0.0,18.845874795655764,15.672993623266258,0.0,175.74919038667778,43.92367625719745,0.0,239.8160028049518,20.28647643967944,0.0,222.34879728052908,36.58786538229735,0.0,312.9302198428525,7.8726627572583885,0.0,20.007070511612298,8.047227744816855,0.0,94.6957461467392,210.97328417806384,0.0,2557.8767630794705,99.22225746657456,0.0,1504.3965459045476,90.79978491738906,0.0,1304.8452432737888,16.992423320052193,0.0,210.43190842208884
3,155.8791460922886,25.65641115042797,0.0,1.1024438838338737,0.0,37.73577304598598,0.966395915393655,0.0,8.545220298084754,1.7966139536829075,0.0,40.50721263180138,0.6721649481564306,0.0,12.160027966507663,70.25690845049763,0.0,285.2804928051013,15.649893604860091,0.0,100.99857219713275,17.983225582856456,0.0,181.7052065055288,11.890168920704841,0.0,113.75355543742695,23.897060472613905,0.0,272.436851514137,15.047922592307312,0.0,88.81832615856952,21.021403155565274,0.0,272.6148251485527,2.1589222544664506,0.0,84.33837884351992,12.809165441056047,0.0,187.90699243476362,93.39699343744162,0.0,1284.0011101886817,20.82679885921019,0.0,460.5729496180077,21.792313190991194,0.0,621.067573004173,14.802628300540372,0.0,50.06576457332038
4,169.68502312996097,23.68205706488103,0.0,2.320692258291304,0.0,4.5484605257707456,0.3672869952855147,0.0,22.876818513726093,2.3759069089208618,0.0,23.003324269789974,0.8261515961320532,0.0,17.051985797405834,49.119893176574976,0.0,326.699982535732,5.788156106647057,0.0,22.151506787134085,10.132380530662363,0.0,3.8171707264675976,8.879011175615055,0.0,136.96551873638487,7.812701303099816,0.0,99.91618331041757,7.4799236844269785,0.0,70.05643056863651,21.082888876186537,0.0,278.24945157106504,4.061009652268938,0.0,32.46155027941275,11.036158950451755,0.0,53.30598693096874,30.940349565921345,0.0,358.1788764793461,27.230099260508645,0.0,280.1578995930206,19.556930109488523,0.0,223.0510022257851,28.425089558832624,0.0,121.77039531590606
5,60.537179413800516,23.632668481664894,0.0,0.199414269574149,0.0,23.825910373496868,0.36129668545257404,0.0,5.48789124048675,0.6749619837832107,0.0,10.21128384673015,2.4528638762217714,0.0,2.8815593587070834,50.187467981737434,0.0,177.65815519534692,4.64727836803239,0.0,11.794504795920389,11.076661922424709,0.0,0.09480130945997692,6.880230819477104,0.0,102.72734006148379,13.064432082518348,0.0,105.2432240394059,9.75194063543121,0.0,83.63304363192587,25.55916589312028,0.0,274.8871048902635,4.128502693150106,0.0,13.460363383577201,5.1382142771776405,0.0,30.857124799146792,18.802729061943378,0.0,267.49623762971186,9.026929275828701,0.0,45.15810479506405,18.477906548526978,0.0,190.06462696242875,9.376457504218797,0.0,48.71940095286418
6,109.12937820779644,18.314216802136134,0.0,0.6776211104595311,0.0,20.039187503809107,0.6870771179875265,0.0,10.231488153402838,1.3328436135184758,0.0,14.872360770775389,1.0700947433009382,0.0,3.044637374899381,42.163419283573,0.0,186.6896496526484,4.185231505131942,0.0,8.848195898806761,4.276276905262386,0.0,117.78978184355189,3.8335889971169843,0.0,68.95445862344242,10.033805655291298,0.0,118.39323782485417,9.47747278913098,0.0,35.93430432469576,30.675194192178346,0.0,139.73905645057727,3.104650642083351,0.0,25.127626910008477,11.886832050658422,0.0,72.93378805344297,15.368073768640802,0.0,162.89741248385945,3.578433694674085,0.0,168.12142345985887,21.005757102900173,0.0,164.77692772286076,6.039322556762073,0.0,74.45125055447312
7,125.18938101910835,16.801489681362778,0.0,1.9982463436466238,0.0,1.8866895751926591,0.4583837511510747,0.0,7.204218265854512,0.49084830835727417,0.0,21.497258837474646,0.44737290991334183,0.0,2.736856328200507,49.219880648942365,0.0,236.82678214435757,4.63124303595552,0.0,21.393748575732097,5.611245607027679,0.0,153.84359764106804,7.809447932999752,0.0,77.02949034179431,9.495920478088607,0.0,98.81013593553122,9.365939166637721,0.0,63.50682616221502,27.541114259234092,0.0,158.40130305564213,2.5208506232096126,0.0,9.76089869050372,5.289263628339804,0.0,72.61609607564354,11.687359251022267,0.0,127.64903884724171,4.898260951918718,0.0,74.37673605814557,19.290684215246195,0.0,151.87362300060644,7.44800686180869,0.0,66.10134633128554
8,94.1956905228377,16.79635943589752,0.0,0.20842320394934138,0.0,2.664653027850939,1.688329152418027,0.0,4.945271922184475,0.5000111620812906,0.0,20.875550537145752,0.48788034528800844,0.0,4.952297269899887,41.951285959459554,0.0,135.51437185075048,4.469970542493393,0.0,50.97404777070483,6.64979855268518,0.0,8.742248698104579,4.013478814097125,0.0,66.51716257115638,20.993402660849068,0.0,107.21064856301695,8.860848982627953,0.0,65.24337376342537,23.89056390381149,0.0,184.53867538716463,2.13856359575381,0.0,4.2890200952666095,5.3510497172672515,0.0,55.24214837552033,6.896324803883786,0.0,113.04572499550785,6.612341072831692,0.0,197.7061762486067,29.689993197010644,0.0,136.5261354233676,7.100014060343125,0.0,17.080184168889083
