,ASD,ASD,ASD,SZ,SZ,SZ,BIP,BIP,BIP,ADHD,ADHD,ADHD
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,1.1375490644027575,0.10228291364996339,47.87234042553192,0.08003844871204219,65.35433070866141,0.9725068943834528,0.07788470721076438,70.96774193548387,0.864150397371275,0.09524438525391193,64.34782608695652,0.7315440243531498
1,0.8305623983747878,0.08155197452924481,62.76595744680851,0.07013084988240645,70.86614173228347,0.411417563564657,0.0529702429099704,83.87096774193549,0.9457237445197478,0.0856052432263488,60.86956521739131,0.6911385302172962
2,0.6225894807843858,0.07849825543762606,65.95744680851064,0.0693438865992841,72.44094488188976,0.8630095228807046,0.04624755818437497,90.32258064516128,1.3708454702523,0.0844829592868574,54.78260869565217,0.5949506694137462
3,0.9326342821059129,0.10018507728320243,59.04255319148937,0.07599203473040213,69.29133858267717,0.5240741523761169,0.056332191553837264,74.19354838709677,0.8606416935107504,0.11688923281613496,64.34782608695652,0.41212385012698094
4,0.41441290196443753,0.0899710161487775,61.702127659574465,0.06610354835075036,75.59055118110236,0.690918428506662,0.056717620852779614,70.96774193548387,0.49172920392162206,0.11036136019647953,66.08695652173913,0.10779971393861576
5,0.1215293753865752,0.09490794920065061,61.702127659574465,0.0638061827546669,77.95275590551181,0.4745721954552689,0.04388952356415367,87.09677419354838,0.5660092658352761,0.09998534134067347,66.95652173913044,0.7216674677648499
6,0.32648631908741643,0.07611562532771503,64.8936170212766,0.0648005479997046,76.37795275590551,0.36365184379569493,0.041780927922281295,87.09677419354838,0.3087225852044326,0.08248212519998978,62.60869565217392,0.796968886001944
7,0.35459385422244455,0.09008553959357149,63.829787234042556,0.08815626704159747,61.417322834645674,0.2653499433034605,0.06500788744788756,74.19354838709677,0.36520537915979595,0.09587298394552596,61.73913043478261,0.6472889595363238
8,2.339933841653153,0.2870998348572886,46.808510638297875,0.21287164642260936,62.20472440944882,0.6919449250585634,0.18766210827206276,70.96774193548387,0.5157549408599844,0.2639648706581624,64.34782608695652,0.4794075128045644
9,0.6835302244920589,0.08162682529851129,65.42553191489363,0.07455228847739931,74.01574803149606,0.2557460071570549,0.04930057267393432,83.87096774193549,0.2793714062095935,0.08843620161599258,62.60869565217392,0.5397067916568112
10,0.7127008690621351,0.09093430517811281,62.76595744680851,0.07332565764049198,70.07874015748031,0.36459609500111606,0.04836889129046412,87.09677419354838,0.9679873484030154,0.09572174215506643,61.73913043478261,0.5990268883865242
11,0.3670405129254586,0.0862195129670353,69.14893617021278,0.08337129717792187,70.07874015748031,1.0084460545578824,0.0374020645058569,93.54838709677419,0.12071527144824264,0.08784856087659736,63.47826086956522,0.675182646463826
12,1.243191277928972,0.10941300258104626,64.8936170212766,0.1346146474378365,62.99212598425197,0.15627422782095,0.0645265684011938,80.64516129032258,0.3676820965164646,0.11782193733097879,56.52173913043478,0.31729894264310476
13,0.9663349032815144,0.09129440118902982,65.95744680851064,0.09734487597975992,66.92913385826772,0.28857957622509967,0.05390209989379877,90.32258064516128,0.06288984918576106,0.09886006227420086,60.86956521739131,0.36081898100164067
14,0.1628933690599148,0.09583712898923377,65.95744680851064,0.07527709619713019,74.80314960629921,0.3695859009058598,0.033456672440863214,90.32258064516128,0.2986921170369624,0.09318468135307964,65.21739130434783,1.248702811509584
15,0.24634544262092417,0.11300991604983784,67.02127659574468,0.12270300569885689,65.35433070866141,0.1448942519629048,0.062367344319979395,83.87096774193549,0.10346341594852825,0.1320881512585098,59.130434782608695,0.9086014313795726
16,0.6649812510736298,0.09081167295004287,67.5531914893617,0.0699612772882728,77.95275590551181,0.08080927446206163,0.037757925734101104,87.09677419354838,0.07405864466196792,0.09737601987439717,62.60869565217392,1.2013040980555956
17,0.6820410006351184,0.11347927582732516,68.61702127659575,0.12617841270543886,66.14173228346458,0.14246171970823257,0.08894343601731514,74.19354838709677,0.10538580554413175,0.12188082381813162,60.0,0.25908764060522166
18,0.14189225171395412,0.11524878776036149,67.02127659574468,0.07487812671261183,74.80314960629921,0.11276614197870274,0.04845561613709589,77.41935483870968,0.24511532576905745,0.13930790003049207,66.08695652173913,0.9102712355331308
19,0.3478613219862727,0.09566905816187349,70.74468085106383,0.07861329677322197,75.59055118110236,0.21651307814174534,0.04600408762032622,80.64516129032258,0.22974227825998128,0.10614546971223693,61.73913043478261,1.1134269095720895
20,0.41234231013795486,0.12341343046985861,61.702127659574465,0.08480034136370355,74.01574803149606,0.34031989914047195,1.4918877036270417,67.74193548387096,6.458877798150486,0.15487950795735703,66.95652173913044,0.708370013611705
21,0.11547359503650595,0.22675559864125827,54.78723404255319,0.15815650929396816,65.35433070866141,0.20817381184264544,0.08982159524869465,67.74193548387096,0.7116199182701579,0.2471459075705101,65.21739130434783,1.5099596440156786
22,0.2195702313242512,0.09026454015976969,67.5531914893617,0.07920139101107869,74.01574803149606,0.4607023396510391,0.09190452327594063,35.483870967741936,0.7464228892848784,0.10192420635074416,60.0,0.706678854877449
23,0.9449328976931599,0.11093689686997359,66.48936170212765,0.07671433888230948,74.80314960629921,0.07926896854808625,0.08505624539859812,67.74193548387096,0.2521415063737869,0.1263343477142666,66.08695652173913,0.8975998068305101
24,0.26190376782273384,0.11237691854143553,64.8936170212766,0.06946264325296016,80.31496062992126,0.7303577512756837,0.08019720704292453,67.74193548387096,0.5687125888148212,0.12957852382410992,66.08695652173913,1.4488700545761857
25,0.24486887797334977,0.10713315023344121,65.42553191489363,0.11008218210433719,66.92913385826772,0.03640633170711772,0.08043265825775557,67.74193548387096,0.5567782044848517,0.10825880420221579,59.130434782608695,0.3571451179187984
26,0.14615756389257692,0.16996684733603754,62.76595744680851,0.23282588131368617,49.60629921259843,0.08431352845351926,0.07896440358340033,67.74193548387096,0.8925543951442659,0.20369270930972266,45.21739130434783,0.6780307614457429
27,0.15901898336774226,0.1401689583021172,63.297872340425535,0.15737637664459275,57.48031496062992,0.5527722073697056,0.10053036981605064,35.483870967741936,0.7794410994654376,0.1489184714353301,54.78260869565217,0.6066715695293223
28,0.6163949915018093,0.14589810116952553,57.446808510638306,0.07877260339722676,70.86614173228347,0.3839803102670209,0.07827471750536459,67.74193548387096,0.6783385455657659,0.16831357341199862,65.21739130434783,0.4501549099337314
29,0.05125492070442205,0.10357484046059011,69.14893617021278,0.08708215166434345,75.59055118110236,0.5586001518835442,0.08785992720788015,67.74193548387096,0.6831892083729404,0.10811819889730376,65.21739130434783,0.894884554509671
30,0.150412553834837,0.11335142516417561,66.48936170212765,0.07470550462129116,77.16535433070865,0.2643540230358353,0.07297540232256788,70.96774193548387,0.5865451272494823,0.1403508044201778,66.08695652173913,1.8695896651926538
31,0.06884831873460658,0.10815134720924408,67.02127659574468,0.09983777506077553,72.44094488188976,0.288435792873865,0.07663014173921792,67.74193548387096,0.21605909995182096,0.11276848221768568,62.60869565217392,0.07688938837257822
32,0.28411378284662364,0.1305850186281289,64.36170212765957,0.08126497330084444,76.37795275590551,0.029771513742355794,0.08747142685781091,67.74193548387096,0.3014345519257025,0.15217852450195707,66.08695652173913,0.11911730076885349
33,0.5691035537411369,0.11996499193204932,64.36170212765957,0.07920959253163924,75.59055118110236,0.08137125579935896,0.08301854654096366,70.96774193548387,1.7251035229642457,0.14477223557663738,63.47826086956522,0.0982874426134465
34,0.1773930616477325,0.12460542763604386,64.8936170212766,0.08734799532848239,76.37795275590551,0.2666054714980741,0.06488177460196189,70.96774193548387,0.41413082614960084,0.12265784427754647,63.47826086956522,0.34934144080772256
35,1.7156285284244326,0.15686039487449543,63.829787234042556,0.09840571433735926,74.80314960629921,0.6372705950729035,0.0691526959583319,74.19354838709677,0.2733645395937182,0.1987487301137562,63.47826086956522,1.4863939863771816
36,1.3025218010812045,0.1566280106920089,62.76595744680851,0.09506774788957482,76.37795275590551,0.30564932032490544,0.14040457308158746,70.96774193548387,0.06241457549901335,0.17804816808316715,63.47826086956522,0.515562615809089
37,0.17522177747417142,0.18142809730906023,62.23404255319149,0.09953646606071345,77.16535433070865,0.18922938578496648,0.1703277174121459,70.96774193548387,0.16814736123378063,0.22564436248826966,64.34782608695652,0.44408120034912646
