,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,31.34697382567736,19.29226112745329,0.0,0.0,0.0,0.0,0.0
1,30.050279485589975,11.252489491715954,0.0,0.0,0.0,0.0,0.0
2,8.038471939113078,5.376027318387127,0.0,0.0,0.0,0.0,0.0
3,5.808343824636981,6.245772151634546,0.0,0.0,0.0,0.0,0.0
4,0.31344381030101454,2.834406695622932,0.0,0.0,0.0,0.0,0.0
5,1.2412293805075953,1.4340176723987819,0.0,0.0,0.0,0.0,0.0
6,2.0561566460337497,1.547675916399051,0.0,0.0,0.0,0.0,0.0
7,1.582971679752892,1.6450502828509086,0.0,0.0,0.0,0.0,0.0
8,0.4134386380548364,1.8030699788480542,0.0,0.0,0.0,0.0,0.0
9,1.0897397266977018,1.4533691229288002,0.0,0.0,0.0,0.0,0.0
10,0.18799547292637592,1.7603874288636896,0.0,0.0,0.0,0.0,0.0
11,0.24091515748922504,1.791627342685831,0.0,0.0,0.0,0.0,0.0
12,0.7418237934955492,1.7527793434294572,0.0,0.0,0.0,0.0,0.0
13,0.3958448851908107,1.6486041337789936,0.0,0.0,0.0,0.0,0.0
14,0.12587860177561533,1.7054540949731944,0.0,0.0,0.0,0.0,0.0
15,0.25410499583563206,1.8297439666919126,0.0,0.0,0.0,0.0,0.0
16,0.11448096302290411,1.6677627054045863,0.0,0.0,0.0,0.0,0.0
17,0.18613788611328416,1.8806503783734128,0.0,0.0,0.0,0.0,0.0
18,0.06405207429027568,1.6857862872124996,0.0,0.0,0.0,0.0,0.0
19,0.41323593527344854,2.529712476806963,0.0,0.0,0.0,0.0,0.0
20,0.12055267279206602,1.7836510366804554,0.0,0.0,0.0,0.0,0.0
21,0.4949669390164556,2.0609561125699103,0.0,0.0,0.0,0.0,0.0
22,0.5956255658678842,1.7487833237774146,0.0,0.0,0.0,0.0,0.0
23,0.7224825077544329,1.9803913191695812,0.0,0.0,0.0,0.0,0.0
24,0.15800646911161664,2.099094934158582,0.0,0.0,0.0,0.0,0.0
25,0.16121492188402242,1.5856293737926777,0.0,0.0,0.0,0.0,0.0
26,0.1791680234367164,2.2756998519278007,0.0,0.0,0.0,0.0,0.0
27,0.04546669025983656,2.1852278638457268,0.0,0.0,0.0,0.0,0.0
28,0.04625286248435824,2.142501469070091,0.0,0.0,0.0,0.0,0.0
29,0.0406197387524322,1.9835665040469967,0.0,0.0,0.0,0.0,0.0
