,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.9586587192587025,0.7294156826326387,23.076923076923077,0.6166666666666667,0.0,0.0,0.0,0.692509320120936,60.15625,0.6694196428571428,0.0,0.0,0.0,0.6929896815065808,0.702136130458981,46.03174603174603,0.49000496031746027,0.0,0.0,0.0,0.675300084047795,0.5979149883905968,75.0,0.45833333333333337,0.0,0.0,0.0,0.5555388338268934,0.6911434219114858,58.82352941176471,0.5277777777777778,0.5079365173975626,0.4166666666666667,0.6666666666666666,0.6814891791515875,0.721930812678873,44.44444444444444,0.53125,0.3333333432674408,0.25,0.5,0.9161270704889813,0.6932173612596111,28.57142857142857,0.6875,0.0,0.0,0.0,0.6938205232026545,0.7403427663897723,37.5,0.13333333333333333,0.0,0.0,0.0,0.6881472292710956,0.6933087753931566,55.65217391304348,0.4423015873015873,0.0,0.0,0.0,0.6768783584240428,0.6930776445607727,51.21951219512195,0.46527777777777773,0.0,0.0,0.0,0.6938563894101742
1,0.7357061152668641,0.6934063160886659,23.076923076923077,0.8333333333333333,0.0,0.0,0.0,0.6664623533606686,60.9375,0.6716145833333333,0.0208333320915699,0.0625,0.012500000186264515,0.6723256399838263,0.6933961873104532,46.03174603174603,0.4223214285714287,0.0,0.0,0.0,0.6932969565693007,0.5684923473918315,75.0,0.49642857142857144,0.0,0.0,0.0,0.49301424903162205,0.7052459001007602,35.294117647058826,0.38055555555555554,0.564814825852712,0.5777777830759684,0.5666666676600774,0.690666270162607,0.6932344964713644,44.44444444444444,0.46875,0.3333333432674408,0.25,0.5,0.6918718594825194,0.6925702713002406,71.42857142857143,0.3958333333333333,0.8285714387893677,0.7083333432674408,1.0,0.6929679765577575,0.6944517790966936,37.5,0.4,0.0,0.0,0.0,0.6959214877780919,0.6852873805290882,55.65217391304348,0.6366666666666667,0.0,0.0,0.0,0.8203573411578459,0.6930753022749779,53.65853658536586,0.5729166666666666,0.06666666766007741,0.16666666666666666,0.041666666666666664,0.6932331093662215
2,0.6896563510090014,0.6930340032819461,61.53846153846154,0.75,0.6166666597127914,0.9166666567325592,0.5416666567325592,0.6249263274612082,65.625,0.7155133928571428,0.18452381156384945,0.375,0.12500000279396772,0.5827292403925943,0.6937275571655493,46.03174603174603,0.49352678571428577,0.0,0.0,0.0,0.6880403300622221,0.6295943358001735,75.0,0.4758928571428572,0.0,0.0,0.0,0.46840211705089213,0.7863349192420478,41.17647058823529,0.5555555555555555,0.0,0.0,0.0,0.7871975272846023,0.6932904945697148,44.44444444444444,0.45,0.7727272808551788,0.6875,1.0,0.6941241634564473,0.6931269710158078,71.42857142857143,0.7083333333333333,0.7333333492279053,1.0,0.5833333432674408,0.6926006894156045,0.697063978143382,37.5,0.2,0.0,0.0,0.0,0.6949111219691626,0.6996986550369932,55.65217391304348,0.5641666666666667,0.0,0.0,0.0,0.5612477906342022,0.7128451294936313,48.78048780487805,0.4226190476190476,0.6823361938198408,0.5625,1.0,1.2146670486004414
3,0.8404966929841571,0.8195202456512022,23.076923076923077,0.5238095238095238,0.0,0.0,0.0,0.6088659412782222,63.28125,0.7168526785714286,0.11250000074505806,0.1875,0.08541666809469461,0.9337883835125645,0.6936395642809646,46.03174603174603,0.5098214285714285,0.0,0.0,0.0,0.6880108131866696,0.53142168872944,75.0,0.48333333333333334,0.0,0.0,0.0,0.4187987339586966,0.7167544179559406,58.82352941176471,0.40277777777777773,0.811965823173523,0.7083333333333334,1.0,0.6900834181993603,0.7008847855948527,44.44444444444444,0.4375,0.3333333432674408,0.25,0.5,0.7617348293952105,0.6921253941122953,71.42857142857143,0.4166666666666667,0.8285714387893677,0.7083333432674408,1.0,0.6942531158151757,1.1179860810205724,37.5,0.06666666666666667,0.0,0.0,0.0,0.4723819103118417,0.693464676701639,55.65217391304348,0.6228968253968253,0.0,0.0,0.0,0.7034862927494352,0.6931484064925543,53.65853658536586,0.4513888888888889,0.08333333333333333,0.16666666666666666,0.055555557211240135,0.692916656823748
4,0.6922469484623702,0.6885278419136291,84.61538461538461,0.9166666666666667,0.9285714328289032,0.875,1.0,0.7418563388521519,64.0625,0.7458705357142857,0.12648809887468815,0.25,0.0875000013038516,0.29912275012314204,0.7466609884275482,46.03174603174603,0.469890873015873,0.0,0.0,0.0,0.4842773952905607,0.7051235777668221,71.875,0.7601190476190477,0.0,0.0,0.0,0.6083929630571148,0.7328112720379695,47.05882352941176,0.7222222222222223,0.1111111044883728,0.3333333333333333,0.06666666766007741,0.5546500834754184,0.6933710669736147,44.44444444444444,0.3125,0.27272725105285645,0.2142857164144516,0.375,0.693872636858507,0.6946392823133852,28.57142857142857,0.7083333333333333,0.0,0.0,0.0,0.6934662560035745,0.6966625853330726,37.5,0.3333333333333333,0.0,0.0,0.0,0.7278267025086795,0.7253511267338146,55.65217391304348,0.5225396825396825,0.0,0.0,0.0,1.025402878054838,0.6984708201563528,48.78048780487805,0.5291666666666667,0.5468975603580475,0.4166666666666667,0.8333333333333334,0.7218506085586331
5,0.7111830693007337,0.7578265194462153,30.76923076923077,0.5238095238095238,0.222222238779068,0.5,0.1428571492433548,0.5978567051060952,67.96875,0.760342261904762,0.638974579051137,0.6052083410322666,0.7718750033527613,0.5060443868621048,0.7054250767875517,51.32275132275132,0.47452876984126985,0.5397322637339433,0.5643849273522695,0.5713293751080831,0.6939939773925339,0.6612578051594205,75.0,0.6738095238095239,0.32500000298023224,0.2916666716337204,0.375,0.6521787219228095,0.5492456769672763,70.58823529411765,0.6777777777777777,0.5030303200085958,0.47777777910232544,0.5333333412806193,0.4863328045605564,0.6931025919515692,44.44444444444444,0.5,0.27272725105285645,0.2142857164144516,0.375,0.6929423022818538,0.652250275453036,50.0,0.9166666666666667,0.45000000298023224,1.0,0.2916666716337204,0.7064843297860648,0.6274322433054903,75.0,0.8,0.8333333730697632,0.7142857313156128,1.0,0.7981153199609393,0.6645062687247341,55.65217391304348,0.7087698412698413,0.0,0.0,0.0,0.8792518949179348,0.6886166508180409,51.21951219512195,0.5833333333333334,0.5262811382611593,0.4335317437847455,0.75,0.6694019175794473
6,0.6915942220722898,0.6813582273765332,76.92307692307693,0.5833333333333333,0.7166666686534882,0.75,0.6875,0.612785081214519,68.75,0.7975074404761904,0.6353174671530724,0.6145833376795053,0.7541666720062494,0.41054681762534884,0.7583382428997595,50.264550264550266,0.4928571428571428,0.26752645522356033,0.4722222251196702,0.19751984315613905,0.38637940945146676,0.7099022640082883,75.0,0.7291666666666666,0.25,0.25,0.25,0.9235240707760368,0.6517072717719492,58.82352941176471,0.6833333333333332,0.577777773141861,1.0,0.4833333343267441,0.6825182755695758,0.6929512886647841,55.55555555555556,0.6166666666666667,0.0,0.0,0.0,0.5845436500607717,0.6944451800439551,35.714285714285715,0.6333333333333333,0.1666666567325592,0.5,0.10000000149011612,0.6961084100650956,0.7064895833398251,50.0,0.6,0.5,0.6666666865348816,0.4000000059604645,0.6908232156082934,0.6986270720229324,55.65217391304348,0.5717063492063492,0.0,0.0,0.0,0.7747117136772721,0.6871614669439795,48.78048780487805,0.5208333333333334,0.6821733911832174,0.5625,1.0,0.6932031183761002
7,0.6930759721135171,0.6723101590923692,38.46153846153847,0.625,0.34285715222358704,1.0,0.2083333358168602,0.5883201427260427,72.65625,0.7734002976190476,0.571875000372529,0.6302083358168602,0.5677083376795053,0.4295452092600979,0.6988372971534673,51.85185185185185,0.5742063492063493,0.3997775427997112,0.5944444487492243,0.3284722256163756,0.6513481892136599,0.6614156729007672,78.125,0.6934523809523809,0.2916666716337204,0.375,0.3333333358168602,0.5001285254114778,0.5610122622413486,64.70588235294117,0.7444444444444445,0.4523809552192688,0.5555555621782938,0.38333333532015484,0.38197395380003435,0.712783487880093,44.44444444444444,0.5833333333333333,0.7727272808551788,0.6875,1.0,0.6474366326677703,0.6713582768813321,57.14285714285714,0.59375,0.533333346247673,1.0,0.375,0.6935457990940997,0.6523655308427115,62.5,0.8,0.7692307829856873,0.625,1.0,0.6886417205516393,0.661186167657498,52.17391304347826,0.6738888888888889,0.1679365078608195,0.2444444457689921,0.13555555740992228,0.5286520538877514,0.738040424939738,48.78048780487805,0.5159722222222222,0.5524475673834482,0.4166666666666667,0.8333333333333334,0.49757297651436827
8,0.6348000877461587,0.6329176911496522,46.15384615384615,0.6166666666666667,0.5357142984867096,0.8333333432674408,0.4000000059604645,0.6612558186059034,69.53125,0.7672247023809524,0.3805059567093849,0.5833333358168602,0.29791667126119137,0.5517703448540997,0.7813818292670459,51.32275132275132,0.5675347222222221,0.24613095199068388,0.4930555572112401,0.19345238246023655,0.7098059426483392,0.8400493355418237,75.0,0.550595238095238,0.125,0.25,0.0833333358168602,0.9413896487150144,0.6685531202673208,58.82352941176471,0.7888888888888889,0.3015873034795125,0.6666666666666666,0.20000000298023224,0.5620501979089062,0.6966751545193203,44.44444444444444,0.3833333333333333,0.7727272808551788,0.6875,1.0,0.6956160232385799,0.6946898645351619,35.714285714285715,0.7,0.1666666567325592,0.5,0.10000000149011612,0.6920019268556468,0.7026378074239111,37.5,0.5333333333333333,0.2857142984867096,0.5,0.20000000298023224,0.6635868322050493,0.6958810225375117,55.65217391304348,0.6058333333333332,0.02222222089767456,0.06666666666666667,0.013333333532015483,0.6919936871689809,0.6896267601538322,48.78048780487805,0.576388888888889,0.5397491504748663,0.4166666666666667,0.8333333333333334,0.5809359541753392
