,ASD,ASD,ASD,SZ,SZ,SZ,BIP,BIP,BIP,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,0.6924296743704117,0.08800110504565192,52.910052910052904,0.08659005128410853,50.0,0.7775776524109133,0.08160891873575854,68.75,0.6908818979988448,0.08975723548163442,35.3448275862069,0.6930788969763038,0.09890094537722206,57.14285714285714,0.6928344699276432,0.11558241207751498,38.88888888888889,0.6929408549520643,0.15891777161888013,22.22222222222222,0.6921360675471497,0.10651711238806512,53.84615384615385,0.6918067888302074,0.09930972255063848,42.857142857142854,0.6944414816286262,0.13805045272986116,60.0,0.693207363389659,0.08712993727516888,37.5,0.7108856293398477
1,0.567748855743899,0.08792557467122183,52.910052910052904,0.0858818043128258,50.0,0.6318743602381699,0.09076289695587052,68.75,0.3340079463060269,0.08827996681284396,64.65517241379311,0.7265692825590633,0.09889957502683126,57.14285714285714,0.6931709452273426,0.1305406314591526,38.88888888888889,0.6867381064568908,0.15594944135722416,22.22222222222222,0.6911759979252792,0.10661338391395395,46.15384615384615,0.6927714615751244,0.10616257176317781,42.857142857142854,1.2699163150149821,0.14128663287952548,40.0,0.6907651686567798,0.08657882620156306,62.5,0.6934562568282686
2,0.6871375358172208,0.08791293511888564,52.910052910052904,0.08393353233628034,50.0,0.6949114724366018,0.0736063134785945,68.75,0.3756411658768339,0.08557717315832648,64.65517241379311,0.5877131735784261,0.0990449390911866,42.857142857142854,0.6933231077801372,0.11599231296417391,38.88888888888889,0.6933311444386103,0.15376090748073232,22.22222222222222,0.6946206565474712,0.10681609377231235,46.15384615384615,0.6920803565566273,0.09900272937182387,64.28571428571429,0.6952781822488008,0.14191290738053358,40.0,0.688277733599162,0.0867585528491718,37.5,0.6932337551502661
3,0.6872100230579639,0.08797274910097608,53.43915343915344,0.0825798139164234,57.03125,0.7277876562702673,0.08542542507144707,68.75,0.6767444028513055,0.08501714001509011,64.65517241379311,0.8482630816940572,0.0990108278998078,57.14285714285714,1.0737220115616517,0.11551246734639628,38.88888888888889,0.7172188791872838,0.15405886271041347,22.22222222222222,0.6986905707034987,0.10690002615476263,46.15384615384615,0.6816266565899892,0.09900672663468825,64.28571428571429,0.6941957247416443,0.14269731527347457,40.0,0.6891478357737637,0.08702764799603435,37.5,0.7017312573714629
4,0.6947521317043102,0.08799952329675388,53.96825396825397,0.08682275744721936,56.25,0.750131564836313,0.07710625393971195,68.75,0.5271272537735927,0.08612413344532234,64.65517241379311,0.7798204878731837,0.09901514132408822,47.61904761904761,0.6929965152888556,0.11589599452093315,38.88888888888889,0.7461614798754732,0.15301151975294155,22.22222222222222,0.6892915377726198,0.10662922522434734,46.15384615384615,0.690573642060944,0.09904234196731765,42.857142857142854,0.6940871205239535,0.1457263921864285,40.0,0.6748745032229226,0.08922554339774653,37.5,0.6904219173313447
5,0.6915196143501957,0.08797178964366778,52.910052910052904,0.0771398990800233,61.71875,0.4507668426451814,0.08416764563108088,68.75,0.669001014541959,0.08486511900579942,64.65517241379311,0.5521246011242154,0.098914489246764,57.14285714285714,0.6925414414881973,0.11603479048839144,38.88888888888889,0.691187418476886,0.16487754894033801,22.22222222222222,0.6780141264971175,0.10655723594624024,46.15384615384615,0.700778346034129,0.09905573675851884,42.857142857142854,0.6921919508440961,0.14303594405013015,40.0,0.7236298776105469,0.3162851730881497,37.5,0.6639631888729348
6,0.6922927870350135,0.08799174575229075,54.4973544973545,0.07951961452873614,60.15625,0.3670242407170732,0.06888088762012425,68.75,0.3519779603469484,0.08566658239131036,64.65517241379311,0.6965368589945882,0.0990216389469909,42.857142857142854,0.6944222104078224,0.11554420761781209,44.44444444444444,0.6928877940651377,0.16376888476715376,22.22222222222222,0.8147946845218863,0.14147844806508708,53.84615384615385,0.6946332667950811,0.09905938351311981,42.857142857142854,0.6963950737075065,0.1510983791462192,40.0,0.7074638902355339,0.08739531287354857,37.5,0.6855237348014582
7,0.6937302595122021,0.08797514188698219,60.317460317460316,0.09487592460108775,64.0625,0.32232414758993033,0.34620894473413,68.75,0.25647729673870096,0.0842434765566795,64.65517241379311,0.4873025707996627,0.09904190477517634,42.857142857142854,0.6928492959567198,0.11560874773966884,38.88888888888889,0.7749599110695298,0.17786532771877997,22.22222222222222,0.663569472379432,0.10660221796996729,46.15384615384615,0.7011570649886031,0.09899761242837792,64.28571428571429,0.6935200425201193,0.19653786262571465,40.0,0.6079539304013647,0.08838159568519495,37.5,0.6753729491758956
8,0.6836843305793274,0.08793059625276539,52.910052910052904,0.07478420570359146,69.53125,0.6729479917690496,0.08501089137360582,68.75,0.34451147085020317,0.08431852803204203,64.65517241379311,0.7347371560494207,0.09923280870311979,42.857142857142854,0.6930241451905894,0.1347642391205708,38.88888888888889,0.5443381903609731,0.18955904009659302,22.22222222222222,0.6392978951105062,0.9030657995545964,46.15384615384615,0.6721517365753065,0.09915812581994257,42.857142857142854,1.7371797463759289,0.16074387650805955,40.0,0.6379340358181653,0.08734199639458924,37.5,0.6883634997289617
9,0.6936819261112912,0.08795190379549292,53.96825396825397,0.07392329475356259,64.0625,0.5744111426489256,0.08773107145544637,68.75,0.2870122725802971,0.08555650747172194,64.65517241379311,0.605268321701874,0.09933551601386285,42.857142857142854,0.6929355528544793,0.1153961589430751,61.111111111111114,1.2530476324679969,0.1649718274547069,22.22222222222222,0.8056323577288861,0.10672881837964124,46.15384615384615,0.6869550481252955,0.09925383231797788,42.857142857142854,0.6970742104577787,0.15155983582885496,30.0,0.6451698999918383,0.08740837864210792,37.5,0.6886551970754757
10,0.6931712335267417,0.08786522021763762,53.96825396825397,0.07935381938337485,64.0625,0.37020651506345126,0.07660296618269573,68.75,0.5366500646373659,0.08665991681913711,64.65517241379311,0.679871093513237,0.09922627754620966,42.857142857142854,0.7241237634813171,0.1154872480614789,61.111111111111114,0.6934377964465964,0.1677086401057337,22.22222222222222,0.6676874546441902,0.10826568595560178,46.15384615384615,0.6775007207336405,0.09917764705355021,42.857142857142854,0.7045202489852375,0.15656324826033768,20.0,0.6748422784555268,0.08861618210335859,37.5,0.6851113462655456
