,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6324919681148069,0.7515897310439421,50.0,0.84375,0.6666666865348816,0.5,1.0,0.6951216545652051,36.36363636363637,0.53125,0.0,0.0,0.0,0.6942185511319195,0.6933855212719956,36.36363636363637,0.0,0.0,0.0,0.0,0.6930504338118618,0.7013368317467995,50.0,0.5625,0.6666666865348816,0.5,1.0,0.691108500072703,0.676064201120099,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.6710136268230362,0.6931965883528856,50.0,0.2222222222222222,0.6666666865348816,0.5,1.0,0.6956054192282181,0.6258304443087106,71.42857142857143,0.2,0.0,0.0,0.0,1.240482660206904,0.6930509641206352,50.0,0.5,0.0,0.0,0.0,0.6928643335576594,0.6849049581438776,57.14285714285714,0.4166666666666667,0.0,0.0,0.0,0.7712353028255933,0.7895738858451692,44.44444444444444,0.35,0.0,0.0,0.0,1.0465369840894136,0.69476658943446,52.63157894736842,0.39444444444444443,0.0,0.0,0.0,0.6931806461303488,0.6929799401497746,60.0,0.375,0.8333333432674408,0.75,1.0,0.6934261092676463,0.6647147188519863,60.0,0.8,0.7179487347602844,0.5625,1.0,0.4765013189613603
1,0.7199882965575246,0.6950220649316339,50.0,0.25,0.6666666865348816,0.5,1.0,0.6933656655126039,36.36363636363637,0.0,0.0,0.0,0.0,0.6940362841295132,0.6886981147652491,54.54545454545454,0.9333333333333333,0.0,0.0,0.0,0.9093483359839901,0.717065575611423,50.0,0.5625,0.0,0.0,0.0,0.812434535817509,0.6760778575927396,62.5,0.4,0.7692307829856873,0.625,1.0,0.6574661242691434,0.7027923711855072,50.0,0.4444444444444444,0.0,0.0,0.0,0.7205662767515766,0.6110792347728413,71.42857142857143,0.2,0.0,0.0,0.0,0.616707446507603,0.6930187107170654,60.0,0.7666666666666666,0.0,0.0,0.0,0.6926160109121269,0.8077697517935973,42.857142857142854,0.5,0.5999999642372131,0.4285714328289032,1.0,0.6747119484662456,0.6799772973527204,55.55555555555556,0.65625,0.8333333432674408,0.75,1.0,0.6958019580670274,0.7532797508203174,47.368421052631575,0.4458333333333333,0.670707086722056,0.5138888955116272,1.0,0.6916780792131444,0.6932861588222317,40.0,0.5833333333333333,0.0,0.0,0.0,0.6927140069682048,0.7545269664796153,40.0,0.41666666666666663,0.0,0.0,0.0,0.8053292475600391
2,0.672325784558423,0.7398763762804026,50.0,0.84375,0.6666666865348816,0.5,1.0,0.7013003766360808,36.36363636363637,0.1,0.0,0.0,0.0,0.6940636049175652,0.7432816954952327,45.45454545454545,0.0,0.5833333432674408,0.4166666716337204,1.0,0.701309406494898,0.6939579353439443,50.0,0.625,0.6666666865348816,0.5,1.0,0.671696084375875,0.6832993169687804,62.5,0.4,0.7692307829856873,0.625,1.0,0.6762066104137429,0.6961654997138039,50.0,0.5555555555555556,0.0,0.0,0.0,0.6945247771663604,0.6103734820056708,71.42857142857143,1.0,0.0,0.0,0.0,0.9041594111491756,0.6925339304446763,60.0,0.06666666666666667,0.0,0.0,0.0,0.6811597195999193,0.692804084091114,57.14285714285714,0.4166666666666667,0.0,0.0,0.0,0.6891350414309142,0.7147765879924368,33.33333333333333,0.375,0.0,0.0,0.0,0.7061213875445753,0.6931036668914793,52.63157894736842,0.6388888888888888,0.0,0.0,0.0,0.7345114198290661,0.6981596456802099,60.0,0.16666666666666666,0.7179487347602844,0.5625,1.0,0.8450149405178423,0.653719909551501,60.0,0.6666666666666667,0.4285714328289032,0.375,0.5,0.6691490669298086
3,0.6646198825906585,0.7137397079585502,50.0,0.28125,0.6666666865348816,0.5,1.0,0.6929793450259298,54.54545454545454,0.5833333333333333,0.6346153914928436,0.5625,0.75,0.693186913725817,0.6943334631844174,36.36363636363637,0.0,0.5227272510528564,0.380952388048172,0.875,0.6919260301103736,0.7211743324831751,50.0,0.625,0.6666666865348816,0.5,1.0,0.7237679885372256,0.6862203401137591,62.5,0.5333333333333333,0.7272727489471436,0.6666666865348816,0.800000011920929,0.8405912714259652,0.6919077885435491,50.0,0.5555555555555556,0.6666666865348816,0.5,1.0,0.93160825880866,0.6224724574572098,71.42857142857143,1.0,0.0,0.0,0.0,0.6674421744112703,0.6833788455621311,60.0,0.1,0.0,0.0,0.0,0.6493502464461981,0.6918361471898639,71.42857142857143,0.3333333333333333,0.5,1.0,0.3333333432674408,0.8389330282667784,0.6874372348542092,55.55555555555556,0.55,0.38461539149284363,0.3125,0.5,0.5895669229068567,0.6932129536561442,47.368421052631575,0.3531746031746032,0.09523809949556987,0.3333333333333333,0.055555557211240135,0.6924759878232929,0.679914822366556,60.0,0.8333333333333333,0.7179487347602844,0.5625,1.0,0.7738881758836429,0.6525839011661526,60.0,0.9,0.7179487347602844,0.5625,1.0,0.6409516697892064
4,0.4918207142865119,0.7519080435995379,50.0,0.28125,0.6666666865348816,0.5,1.0,0.7465659515551891,36.36363636363637,0.59375,0.0,0.0,0.0,0.6882838263505763,0.7687791822467702,27.27272727272727,0.25,0.27272728085517883,0.25,0.30000001192092896,0.7641827252463764,0.6804411966599679,50.0,0.625,0.0,0.0,0.0,0.6497770812977729,0.6883753822748048,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.7111548194532337,0.6931761882612473,66.66666666666666,0.4444444444444444,0.5,1.0,0.3333333432674408,0.6928634179342059,0.5175934105364284,71.42857142857143,1.0,0.0,0.0,0.0,0.5474931828725383,0.6719374856577083,60.0,0.9,0.0,0.0,0.0,0.5854712801254541,0.7458959832556834,28.57142857142857,0.4166666666666667,0.2857142686843872,0.25,0.3333333432674408,0.657188952772671,0.8231491162918183,44.44444444444444,0.34375,0.0,0.0,0.0,0.5299026765780197,0.6931618832397273,52.63157894736842,0.3958333333333333,0.0,0.0,0.0,0.6932232004675535,0.6481086254494635,70.0,0.8666666666666667,0.7500000298023224,0.6071428656578064,1.0,0.6933138397775888,0.7077105595106232,50.0,0.7666666666666666,0.6428571492433548,0.75,0.6000000014901161,0.5551235777967977
5,0.667946436119151,0.7654375159883792,40.0,0.21875,0.6060605943202972,0.4642857164144516,0.875,0.6920548401913684,63.63636363636363,0.8,0.7846153974533081,0.6458333432674408,1.0,0.6948290477464573,1.2222400292476567,45.45454545454545,0.0,0.6727272868156433,0.5208333432674408,1.0,0.6623372834661441,0.6973847061739651,50.0,0.625,0.0,0.0,0.0,0.6433765225926559,0.6418902572160304,62.5,0.6,0.7692307829856873,0.625,1.0,0.6310791628920694,0.6932511131447785,50.0,0.2222222222222222,0.4000000059604645,0.5,0.3333333432674408,0.6916941766313165,0.5301280697704669,71.42857142857143,1.0,0.0,0.0,0.0,1.0656087482965564,0.6737952212026456,60.0,0.45833333333333337,0.0,0.0,0.0,0.5440777401258053,0.9048764891959566,42.857142857142854,0.4166666666666667,0.5999999642372131,0.4285714328289032,1.0,0.6495359703848125,0.6675175578104908,55.55555555555556,0.48333333333333334,0.38461539149284363,0.3125,0.5,0.6346093928987556,0.6938135606998539,36.84210526315789,0.48888888888888893,0.48737374941507977,0.40000000099341076,0.6444444557030996,0.6935729878132503,0.6932425228015765,40.0,0.5625,0.0,0.0,0.0,0.6918206900524893,0.7225673433117964,60.0,0.3,0.2857142984867096,0.5,0.20000000298023224,0.559385279428535
6,0.6682431775533841,0.768561189991472,30.0,0.5166666666666666,0.222222238779068,0.1666666716337204,0.3333333432674408,0.6927448479693138,63.63636363636363,0.8666666666666667,0.8333333432674408,0.7857142984867096,0.9000000059604645,0.693681120296849,0.9201039823815992,45.45454545454545,0.0,0.6727272868156433,0.5208333432674408,1.0,0.6523137208303501,0.6596334295067644,62.5,0.75,0.5714285373687744,0.6666666865348816,0.5,0.5960448849015435,0.7187629526818606,50.0,0.5333333333333333,0.3333333134651184,1.0,0.20000000298023224,0.5509623631123419,0.693396599665594,50.0,0.2222222222222222,0.4000000059604645,0.5,0.3333333432674408,0.6959057427985381,0.4864474029141604,71.42857142857143,1.0,0.0,0.0,0.0,0.4185374827054194,0.6826910416543118,60.0,0.6333333333333333,0.0,0.0,0.0,0.5883407711843481,0.7417108846421534,28.57142857142857,0.4166666666666667,0.2857142686843872,0.25,0.3333333432674408,0.881237439532835,0.6738777770524474,55.55555555555556,0.5625,0.8333333432674408,0.75,1.0,0.8731016176405868,0.6988135087405507,52.63157894736842,0.3833333333333333,0.0,0.0,0.0,0.6940167006605661,0.6923138525114692,70.0,0.8666666666666667,0.8333333432674408,0.875,0.800000011920929,0.6856634481470124,0.6525397749584968,70.0,0.5416666666666667,0.4615384638309479,0.4285714328289032,0.5,0.6184471561517829
7,0.4926296741248142,0.974682154737884,50.0,0.45,0.38461539149284363,0.3125,0.5,0.6920041622640455,63.63636363636363,0.75,0.7846153974533081,0.6458333432674408,1.0,0.6891300276841625,0.6941413727268245,45.45454545454545,0.53125,0.5833333432674408,0.4166666716337204,1.0,0.6927780505878994,0.9113827480962358,50.0,0.75,0.6666666865348816,0.5,1.0,0.6601212825967189,0.6866257334324865,37.5,0.5333333333333333,0.444444477558136,0.5,0.4000000059604645,0.7673660786020736,0.8052916525857877,50.0,0.5555555555555556,0.6666666865348816,0.5,1.0,0.5244989551934881,0.5312506997540203,71.42857142857143,1.0,0.0,0.0,0.0,0.49529017057245783,0.7255629754903371,60.0,0.3,0.0,0.0,0.0,0.7054978035987253,0.7381793400144977,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.313625247748757,0.7834541802158035,55.55555555555556,0.6166666666666667,0.38461539149284363,0.3125,0.5,1.2849736701026104,0.7929246162759146,52.63157894736842,0.3958333333333333,0.0,0.0,0.0,0.7798875740389799,0.6625291614305803,60.0,0.5625,0.8333333432674408,0.75,1.0,0.6549948568610211,0.6493148434236752,70.0,0.53125,0.8636363744735718,0.7857142984867096,1.0,0.7321871475905087
8,0.5066569632242743,0.8712155037589685,40.0,0.5833333333333333,0.5555555820465088,0.6666666716337204,0.5833333432674408,0.6929664017063459,54.54545454545454,0.7,0.722222238779068,0.75,0.7000000029802322,0.6932176573005231,0.8346222405997629,18.181818181818183,0.31666666666666665,0.0,0.0,0.0,0.6537609465052873,0.6471514011441614,75.0,0.6875,0.75,0.75,0.75,0.7801416089636665,0.6664283820082912,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.5435528123082768,0.6930611046296332,50.0,0.4444444444444444,0.4000000059604645,0.5,0.3333333432674408,0.6916699909113219,0.41970724660672676,71.42857142857143,1.0,0.0,0.0,0.0,0.4466194199880531,0.6959236551501128,60.0,0.40625,0.0,0.0,0.0,0.690896864078454,0.7909626594819221,28.57142857142857,0.3333333333333333,0.2857142686843872,0.25,0.3333333432674408,0.536923753017778,0.7034510325404064,44.44444444444444,0.48333333333333334,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.6419362494273211,0.7171195383240727,52.63157894736842,0.7333333333333334,0.0,0.0,0.0,0.6626199898631894,0.6435597978718948,80.0,0.8666666666666667,0.9000000357627869,0.9000000059604645,0.9000000059604645,0.6642569353977681,0.643775508337385,60.0,0.8,0.6969697177410126,0.5833333432674408,0.9000000059604645,0.42586741509241993
