,DEL16p11_2,DEL16p11_2,DEL16p11_2
,Loss/train,Loss/test,Accuracy/test
0,0.6707874214207009,0.09186750376957346,91.66666666666666
1,0.3994320815178771,0.08745902899598434,66.66666666666666
2,0.22985132693410548,0.06300852661558203,83.33333333333334
3,0.2341357798048481,0.1427795241191118,50.0
4,0.01107958810500175,0.030207487477737705,100.0
5,0.05016999763756995,0.13882325666705675,50.0
6,0.01704256225159505,0.09615698532300637,75.0
7,0.005865177280352306,0.21064344630574452,58.333333333333336
8,0.012893423224092058,0.11991466851269712,75.0
9,0.002794172689190872,0.12097551857089174,75.0
10,0.003046927877112488,0.13860519876349195,75.0
11,0.003343146781110951,0.11896747356372188,75.0
12,0.0012953215348131871,0.13416606883009688,75.0
13,0.001599006364892704,0.13217163321941292,75.0
14,0.00036636202623739595,0.09661377221793344,75.0
15,0.0010252707875310818,0.14342317506088986,75.0
16,0.0006308831601835823,0.1359316599321211,75.0
17,0.000925288777780093,0.17298652876744725,75.0
18,0.0008037083161008736,0.12130057483180885,75.0
19,0.0006954541099600212,0.13844267496111948,75.0
20,0.00030749449918764343,0.16153851297778013,75.0
21,0.00021405121762067264,0.16980878670827373,75.0
22,0.0009146558582029643,0.1367850638670766,75.0
23,0.0003043970647435026,0.18284484105486087,75.0
24,0.00029610280776373683,0.1185622497173562,75.0
25,0.00019242171973128287,0.1560632732907867,75.0
26,0.0003923751748502521,0.15698449451694219,75.0
27,0.0006196498352873519,0.15797295857572713,75.0
28,0.000179840115041736,0.14936620937101994,75.0
29,0.00034239800948495584,0.18648621655031647,75.0
30,0.00042437658274987826,0.12373485455869199,75.0
31,0.00030097180021776063,0.13944309829566515,75.0
32,0.00020099650122845658,0.15414629095516688,75.0
33,0.00032159449215694814,0.11696486665502066,75.0
34,0.00019936996557890928,0.15485853561431795,75.0
35,0.00014677883374834946,0.18242451555930198,75.0
36,0.0003970859274795136,0.19849604350500175,75.0
37,0.0004336473670161063,0.15614657236921614,75.0
38,0.0005237174864994118,0.1765324818355769,75.0
39,0.0003687004957677861,0.14019445907013398,75.0
40,0.0002451850665329191,0.1885854839128045,75.0
41,0.0001390232316311174,0.18331181868254157,75.0
42,0.00018102806749662723,0.18724911119297002,75.0
43,0.00026656821869307186,0.16668553884260687,75.0
44,0.0001334189116024281,0.1219526347636065,75.0
45,9.304312030410946e-05,0.1193802960537989,75.0
46,0.00013558794025240426,0.166209634827404,75.0
47,0.0001396580965238277,0.18167253684159343,75.0
48,0.0003058385376481228,0.16862293814527696,75.0
49,0.00015485770033185812,0.20959761519227862,75.0
50,0.00015019418835640744,0.16107540246829033,75.0
51,0.00010150908388823992,0.1307662690030194,75.0
52,0.00013137781359059083,0.16342637163564142,75.0
53,0.00012158446715278092,0.21697309800536335,75.0
54,0.00011273997349709247,0.1615849837404699,75.0
55,8.67762984743371e-05,0.1266707650628002,75.0
56,2.8910723289798588e-05,0.12409239122402582,75.0
57,0.00017768147049532877,0.18567870710542247,75.0
58,0.0001470825818769767,0.20011670992391997,75.0
59,0.00011861936297879097,0.1727066796511526,75.0
60,4.887699736993171e-05,0.21608005994983012,75.0
61,0.0001009889012465928,0.13529152183696647,75.0
62,2.130527928427947e-05,0.16054411390120962,75.0
63,0.00014866453421712896,0.13462270348109592,75.0
64,0.00011269190753516642,0.19017446954931352,75.0
65,0.00012157368139130741,0.16982871157774146,75.0
66,6.776473037217146e-05,0.15657281119287528,75.0
67,3.913547644215908e-05,0.21183127206202457,75.0
68,4.830547574125277e-05,0.159899266897611,75.0
69,9.273110615163053e-05,0.2130545212963024,75.0
70,6.88675429281359e-05,0.1797840839277324,75.0
71,7.9454171378489e-05,0.16023198402203606,75.0
72,9.010528618087089e-05,0.18292430133553347,75.0
73,7.383431473139878e-05,0.17325770394988982,75.0
74,0.00010200494234528383,0.17202446590496842,75.0
75,7.302710727590455e-05,0.1851580286764343,75.0
76,0.00010697310657357964,0.1569167970739462,75.0
77,5.167920803106749e-05,0.19302012905125934,75.0
78,9.39339319690842e-05,0.186457506569929,75.0
79,1.6808890154786713e-05,0.20778022634069537,75.0
80,7.115322029280043e-05,0.16354865037702473,75.0
81,1.2360247138525118e-05,0.1869836214213089,75.0
82,0.00013401683141382064,0.1632696011372124,75.0
83,6.520577898045352e-05,0.1959137966453843,75.0
84,2.2941619452413578e-05,0.13212895972728014,75.0
85,4.2351195215539245e-05,0.21165133338676548,75.0
86,9.032847062001108e-05,0.1772256513517315,75.0
87,7.090446199843256e-05,0.13323541163060956,75.0
88,5.11078677473987e-05,0.22288895366586733,75.0
89,7.608861920349109e-05,0.13383773235929405,75.0
90,4.8316223063289725e-05,0.17665539020259594,75.0
91,4.315793601875284e-05,0.16416397232210653,75.0
92,1.5150609134638599e-05,0.14140239485830744,75.0
93,4.391028843270492e-05,0.16206996684624408,75.0
94,8.02777099229013e-05,0.22974714554789008,75.0
95,4.299696062508724e-05,0.16658136260917736,75.0
96,1.4277844140979526e-05,0.2032504043331207,75.0
97,5.589321412804173e-05,0.18020507263692365,75.0
98,6.0028576276583285e-05,0.21827417629074394,75.0
99,3.174067815817648e-05,0.22515699651789878,75.0
