,SZ,SZ,SZ,BIP,BIP,BIP
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.5771566194458805,0.07995139559868329,64.84375,0.08537146645142757,75.0,0.690206974336235
1,0.7423026752798078,0.12159905647941764,57.03125,0.06903765340545029,75.0,1.3152145087042315
2,0.5769188132143422,0.07214964875133213,69.53125,0.08662093715528466,75.0,0.025155052062150185
3,2.4111912034548832,0.12187305137996278,65.625,0.11445650601661442,75.0,0.24235107241947906
4,0.2198970918419144,0.09780865523265142,67.96875,0.07349717214618398,81.25,0.022639324462270807
5,0.09045255887272434,0.0793236684023778,76.5625,0.07616591489127117,68.75,0.4548598850670401
6,0.5302165871178995,0.09396263952380171,71.875,0.07684091809833768,75.0,0.37773698060579214
7,0.0386352510410854,0.07717488405392771,71.09375,0.11126619512688225,75.0,0.4342859678778739
8,0.04816038320467963,0.13387543849026654,68.75,0.0971831137612332,71.875,0.2789285002524814
9,0.5872292860424062,0.12847533110790516,71.09375,0.11540002507270511,68.75,1.9730512817038186
10,0.02107829812749144,0.09664101364153653,71.09375,0.10903480184393805,71.875,0.8053487616740757
11,0.40446154485477076,0.11588169518805574,71.09375,0.10925873113693589,75.0,0.3059815675937153
12,0.13532662593148614,0.11043478667980018,70.3125,0.10341118610655707,68.75,0.12153039872133245
13,0.9164654620216571,0.29806296356754036,54.6875,0.26539680122295856,46.875,0.01864826891250671
14,0.38617277296377367,0.1312515948959663,60.15625,0.09854398800399577,62.5,0.24226859974488782
15,0.10729151534958171,0.16320977532062078,71.09375,0.11175666963729734,71.875,0.1534737788962617
16,0.00045604562063467037,0.15256115454311964,71.09375,0.13620631191236368,78.125,0.28024281551807245
17,0.4638201304242704,0.11904906091012502,75.78125,0.11106057414633952,75.0,0.0253944588793035
18,0.04747224340230447,0.1662679646138927,72.65625,0.17689310912131126,75.0,0.050830517057231836
19,0.0006441782900242985,0.17182936155146228,75.0,0.18475240624269115,75.0,0.011238672960612957
20,0.5064367483547779,0.24400198926439146,66.40625,0.1389321998648857,71.875,0.03460677567338653
21,0.5995365347555349,0.1366624089811572,75.0,0.16513514105903512,75.0,0.000577119206837778
22,0.009471415001961286,0.1494239146468998,73.4375,0.1499139674611453,78.125,0.016288877464773966
23,0.0006210482159524909,0.19438668468993772,73.4375,0.1485952673370259,71.875,0.006551027560718192
24,0.0038886123139779886,0.20020109749977832,71.09375,0.16108137191304653,75.0,0.001501381374335241
25,0.0001652863692505011,0.20779693350168557,73.4375,0.1426623777105059,78.125,0.002846992898935525
26,0.17976344618684145,0.188353639020075,73.4375,0.15606604621314796,78.125,0.0028411270550269684
27,0.019878986305655603,0.16475877149251522,74.21875,0.16623881783497502,75.0,0.014379695700244142
28,0.0687871770770787,0.1821777749717198,73.4375,0.1602559508280898,78.125,0.0010599268577781026
29,0.014037101307888267,0.21163364853963718,72.65625,0.23624148115946367,75.0,0.009741803008621305
30,0.52768312520495,0.23288421499616446,72.65625,0.17084504402334344,78.125,0.0007594694948842295
31,0.7101163973085449,0.18549434651064362,71.09375,0.20322409517565349,75.0,0.0013358284604804726
32,0.011008163876734695,0.20479917445693824,74.21875,0.18665501377998045,78.125,0.002816642882553501
33,5.000205108253179e-05,0.23117231658677984,73.4375,0.2564668808254922,75.0,0.003170764433882653
34,0.0003438120458598066,0.21782589558786267,76.5625,0.2289418284863287,75.0,0.00011610105137382164
35,7.344900109808447e-05,0.23271704040298655,73.4375,0.21624793969853334,78.125,3.573744901018604e-05
36,0.016967504630174126,0.27409778342525276,74.21875,0.22477613663782686,75.0,0.0014709301368237677
37,0.0019598803027805534,0.28122554572646663,72.65625,0.21305519003037338,78.125,9.484447425120835e-05
38,0.08176960217793211,0.28795064914640384,72.65625,0.32503967682149815,75.0,7.658905607499207e-05
39,0.05075892627087811,0.31581013132821856,71.875,0.192614331466268,81.25,0.007124386445692975
40,5.6771456795572406e-05,0.2840179490514336,73.4375,0.2173846740696857,75.0,1.0410985498850258
41,9.381755477804208e-05,0.26875121609209723,71.09375,0.2256593941285885,78.125,0.0021003917801296354
42,3.957564012470516e-05,0.3168234248383524,73.4375,0.2638947430415181,75.0,0.0007465098988519196
43,0.0006389955879739217,0.29105300323259087,72.65625,0.32556193663415783,75.0,5.4528083531850215e-06
44,1.0840035490988507,0.28975238775109574,72.65625,0.2994701044417654,78.125,0.00025217492064523765
45,0.00025869811848442954,0.3158879314416181,71.875,0.3399533127405017,75.0,9.941554613536925e-05
46,0.00013544337401633793,0.261139920751554,73.4375,0.2703215440191016,78.125,0.009343497675535928
47,0.0009820047479803084,0.3062000276587241,72.65625,0.3604041658932777,75.0,1.0513217546641544e-06
48,0.00047368233827784476,0.2715391202802903,74.21875,0.30528361058058695,75.0,3.0503233917239605e-05
49,0.7892047227729179,0.3072058639782592,72.65625,0.3279951553219579,78.125,0.00070001680066889
50,1.429749189346699e-06,0.4375449535823285,69.53125,0.20446389897120798,78.125,9.89459387211326e-05
51,0.0006677874154056629,0.28769422206824424,75.0,0.2387393773992179,78.125,0.004012133001654356
52,1.7566017297677536e-05,0.3311053772886888,75.0,0.3515315964393071,78.125,1.8809983840758018e-06
53,0.3412830990752566,0.435348886243808,71.875,0.228543612935579,81.25,1.1375376448493819e-05
54,3.9676513714118456e-05,0.30908555796248244,74.21875,0.2961790954988356,78.125,4.2814142122096806e-05
55,0.00026450071264636296,0.2624601974765195,73.4375,0.29485012216833606,75.0,0.006900599594972851
56,1.538518908573431e-05,0.32427056684486605,75.78125,0.28952786871625386,78.125,1.9564492219679147e-05
57,5.481738515471359e-06,0.32201892613580585,73.4375,0.3190836569050286,78.125,6.591389647856129e-06
58,0.005161440984845873,0.3682196679398929,72.65625,0.3401356136269065,75.0,1.2082313040067853e-05
59,3.86520442943391e-05,0.35789926970175656,73.4375,0.31663263367613476,75.0,6.004317553129462e-05
60,0.00026786789750473267,0.273011118587603,72.65625,0.24193620038645153,75.0,0.052568952445801044
61,0.0037492403791753496,0.2926327221484399,71.09375,0.2570410066942065,78.125,0.0003390951354777329
62,0.00028103906139420945,0.28978161967789035,73.4375,0.3054143400389485,75.0,0.0046699961416401805
63,0.006011706969310179,0.29367542719287637,75.78125,0.3054112913326931,78.125,0.00029659514736766134
64,2.156041874082877e-05,0.3161557025296375,72.65625,0.3613148949432993,75.0,1.8316965944695506e-05
65,0.00041171965059726015,0.33763757516714804,76.5625,0.3120527130912703,75.0,2.0090818726071738e-07
66,0.0026236561884124096,0.3172271607679732,71.875,0.3276572091753989,75.0,4.108127868467955e-06
