,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
0,0.7696612656595975,0.13198800716257278,66.66666666666666,0.11964488216470943,28.57142857142857,0.6229024376146619
1,0.384812215173223,0.17992274502634065,44.44444444444444,0.07708637078264845,85.71428571428571,0.6367855213628156
2,0.7142519889778121,0.15804642930315016,44.44444444444444,0.06451184276105658,78.57142857142857,0.44172431036155924
3,0.11322758286242945,0.17780341397167557,44.44444444444444,0.0826398172232284,64.28571428571429,0.18604252626530896
4,0.28605585223415014,0.3032748750804847,44.44444444444444,0.04500336066269282,92.85714285714286,0.2023248252982328
5,0.05995626102045385,0.16972560042692475,33.33333333333333,0.03320275122013946,100.0,0.10583438779270009
6,0.2180140187799348,0.32276377653149396,33.33333333333333,0.04418199149100125,78.57142857142857,0.03208111128343327
7,0.08136727243339578,0.4198630010655322,44.44444444444444,0.029914227456518165,92.85714285714286,0.012294134768978693
8,0.005927733856605275,0.6444584992366655,33.33333333333333,0.03098822560570182,92.85714285714286,0.009539559044290186
9,0.007269352265993512,0.5153951812755463,33.33333333333333,0.029608371184738615,92.85714285714286,0.0036163734219107446
10,0.0014660201743203402,0.3336998202488074,33.33333333333333,0.029782406327435045,92.85714285714286,0.003710004803343784
11,0.0027779891309059924,0.2150449876469831,33.33333333333333,0.02632328631966719,92.85714285714286,0.0023702141634547474
12,0.004525047600125169,0.2263757051760238,33.33333333333333,0.02889351239537391,92.85714285714286,0.0015682727832200879
13,0.0018449816726175303,0.21813449485875683,22.22222222222222,0.029192106224236864,92.85714285714286,0.0015574434539374624
14,0.000618365363474721,0.4098600193637448,33.33333333333333,0.031138396854533124,92.85714285714286,0.0008367825635109513
15,0.0013910290201779106,0.3357709208771542,33.33333333333333,0.029210984796915845,92.85714285714286,0.0012535014758357228
16,0.00150864375240693,0.3453800597627426,33.33333333333333,0.029368545985669934,92.85714285714286,0.0005883807142155187
17,0.000711467947064479,0.2454943669012471,33.33333333333333,0.026517271579446864,92.85714285714286,0.0011753013841722872
18,0.0009361960532861057,0.4647961431982175,33.33333333333333,0.028794567333040033,92.85714285714286,0.0010538273176418562
19,0.0005376140518656157,0.24156904949656977,33.33333333333333,0.029512550702456845,92.85714285714286,0.001059306854513128
20,0.0011852010830775439,0.35261822937223425,33.33333333333333,0.028437874122074495,92.85714285714286,0.0008937422062524137
21,0.0010970243358275793,0.903969811045437,33.33333333333333,0.029812273702283423,92.85714285714286,0.00039807736647958224
22,0.0004692682331151744,0.2859125358915559,33.33333333333333,0.029223235530365488,92.85714285714286,0.0007886692652122859
23,0.00035990085156904083,0.2860325222123054,33.33333333333333,0.026525392213923284,92.85714285714286,0.0005115309441333443
24,0.00030798741431705665,0.49252743165658697,33.33333333333333,0.03140623998520114,92.85714285714286,0.0003502775671746685
25,0.00012033469279095514,0.4545577183686916,33.33333333333333,0.02771577944822177,92.85714285714286,0.00046969867050641526
26,0.0004303774124195601,0.5953075055335454,33.33333333333333,0.03092694345971871,92.85714285714286,0.0006205245288980905
27,0.0003963550430892598,0.36459968764666983,33.33333333333333,0.027672993882141363,92.85714285714286,0.00028310773952705325
28,0.00045359667873895085,0.4691587600438623,33.33333333333333,0.027136801902872182,92.85714285714286,0.0004422821441952752
29,0.00046501913362925735,0.9540051972977704,33.33333333333333,0.025956180357037475,92.85714285714286,0.0002986875229718305
30,0.0003963644412342708,0.6254548966455192,33.33333333333333,0.029310898312901876,92.85714285714286,0.0002949676832418147
31,0.000395518870651581,0.6235676497338903,33.33333333333333,0.026273621598929688,92.85714285714286,0.00018839435606215213
32,0.0002656718476816702,0.48001861805362506,33.33333333333333,0.02767780135809728,92.85714285714286,0.00012688744581661312
33,0.0003042639576996327,0.39044860932239206,33.33333333333333,0.0273978754570038,92.85714285714286,0.00024391489990469584
34,0.0003628238681059254,0.4963399153891803,33.33333333333333,0.02601058292613594,92.85714285714286,0.00017410464402086207
35,5.591488958960471e-05,0.5060745124444478,33.33333333333333,0.029393430746223033,92.85714285714286,0.00021005235443291012
36,0.00027567233869411553,0.2714030614023804,33.33333333333333,0.027516121050327646,92.85714285714286,9.137971402757557e-05
37,0.00027389300695348026,0.27436966019874875,33.33333333333333,0.031225858516423708,92.85714285714286,0.0002449293429786937
38,0.0002786338035271219,0.4282352754599632,33.33333333333333,0.028884697282930336,92.85714285714286,0.00016279988046020164
39,0.0002627065323359901,0.5038546170703775,33.33333333333333,0.030275051950126454,92.85714285714286,8.746124181713706e-05
40,0.000175389831243598,0.31376472747566475,33.33333333333333,0.0276303073629931,92.85714285714286,0.00014224511342945403
41,0.00010643639158486398,0.4421944106478996,33.33333333333333,0.029897483465997902,92.85714285714286,0.0001726153567219075
42,0.0002529620585678839,0.40370050361214116,33.33333333333333,0.02790653079115646,92.85714285714286,0.00013658361591665464
43,0.0002834353850893917,1.0527826439820889,33.33333333333333,0.028383034225496206,92.85714285714286,0.00011496285310212619
44,0.00010115410336376969,0.5191087659405313,33.33333333333333,0.02639807955112511,92.85714285714286,0.0001280900783471637
45,0.00011226754947351702,0.2845914124118269,33.33333333333333,0.03304727307021245,92.85714285714286,0.00012683565696674362
46,0.00021167273642467218,0.4202706395562571,33.33333333333333,0.029567150286967,92.85714285714286,0.00014178665631198935
47,0.0001700690137745222,1.0610401875294917,33.33333333333333,0.031013139653546788,92.85714285714286,0.0001310632952616427
48,0.00018719678091524264,0.4104236151433398,33.33333333333333,0.02653659589467511,92.85714285714286,0.00010446977622243665
49,0.00021471611950664213,0.6785661499014513,33.33333333333333,0.032489117494350225,92.85714285714286,0.00011550757848307698
50,0.00021788867280733495,0.4045268853680326,33.33333333333333,0.03130145197120067,92.85714285714286,0.00011111379236643403
51,0.00012104569483174831,0.29497496907594445,33.33333333333333,0.03414210173617666,92.85714285714286,0.00010001709283363926
52,4.223180079688377e-05,0.29148706782613526,33.33333333333333,0.030799962831014733,92.85714285714286,0.00010060277768470691
53,3.639072373885324e-05,0.5474333204596845,33.33333333333333,0.028147697204764312,92.85714285714286,8.438376772315785e-05
54,0.00017363077733105266,0.529657982265245,33.33333333333333,0.03299246795594911,92.85714285714286,0.00010541280388220082
55,0.00015345562797830533,0.4167260139674044,33.33333333333333,0.03452191512603791,92.85714285714286,7.261085627669127e-05
56,0.00012353838364102357,0.7167605231160343,33.33333333333333,0.028576566837530275,92.85714285714286,9.991962533003851e-05
57,5.014094510677466e-05,0.4679573315203208,33.33333333333333,0.028475597508238807,92.85714285714286,7.825548660595155e-05
58,3.9191200042744825e-05,0.5514499944627175,33.33333333333333,0.028931955773522484,92.85714285714286,9.913427017139329e-05
59,0.00011345542387836633,0.4702159416047669,33.33333333333333,0.02923695139222224,92.85714285714286,9.284180573600572e-05
60,5.4000505651342674e-05,0.5558114209925709,33.33333333333333,0.034837980690505845,92.85714285714286,6.391675370797388e-05
61,8.373048513096314e-05,0.3034890632846427,33.33333333333333,0.02923208438479528,92.85714285714286,7.373526043800386e-05
62,0.00015595809716572356,0.5602345327460707,33.33333333333333,0.03052997507001525,92.85714285714286,7.893352534887309e-05
63,9.300172037032043e-05,0.5663629715827123,33.33333333333333,0.03378654699597704,92.85714285714286,7.37527900295847e-05
64,8.839324951144795e-05,0.555382661087097,33.33333333333333,0.027227278331387234,92.85714285714286,8.450738635132655e-05
65,0.0001257304132926668,1.1368197960579884,33.33333333333333,0.03285625214671393,92.85714285714286,5.6083432150797255e-05
66,5.684667423383845e-05,0.5557993918648245,33.33333333333333,0.03292679787516211,92.85714285714286,7.936875481664645e-05
67,0.00011934956310667926,0.5673830256659724,33.33333333333333,0.02804562453026426,92.85714285714286,5.5676786763345086e-05
68,0.00010053404766969866,0.5550560006522309,33.33333333333333,0.03415039630925208,92.85714285714286,2.2399959107790055e-05
69,4.7571733368361036e-05,0.5592866970078447,33.33333333333333,0.02780166041688257,92.85714285714286,8.547578825322436e-05
70,7.281482725637881e-05,0.5712783188432292,33.33333333333333,0.030439032464239762,92.85714285714286,5.4323295705947265e-05
71,4.9485966449798544e-05,0.44290937885082277,33.33333333333333,0.034103976289535036,92.85714285714286,3.300326665533152e-05
72,8.346229793793736e-05,1.1610945667931598,33.33333333333333,0.027607735667321002,92.85714285714286,4.819363014133126e-05
73,6.06289073460989e-05,0.49578005389088414,33.33333333333333,0.03099903144218311,92.85714285714286,5.03599820430635e-05
74,7.07239709756385e-05,0.3112977608930875,33.33333333333333,0.031036006070211824,92.85714285714286,5.61235744150463e-05
75,3.787747353678317e-05,0.49935628599719567,33.33333333333333,0.03443384945100462,92.85714285714286,4.859106096968421e-05
76,7.630548456623267e-05,0.3119746179525007,33.33333333333333,0.02954059186798125,92.85714285714286,3.757528044104121e-05
77,5.084656227521447e-05,0.563944112133507,33.33333333333333,0.029309535550259076,92.85714285714286,3.6464677671183365e-05
78,1.8523797606577914e-05,1.1888074345757669,33.33333333333333,0.034539940604521334,92.85714285714286,6.484959141781557e-05
79,7.455653658913552e-05,0.7623489156480887,33.33333333333333,0.03331504407112815,92.85714285714286,2.8803153893738893e-05
80,4.3852766726081665e-05,0.3176635214957148,33.33333333333333,0.027967914442985884,92.85714285714286,5.132813277554464e-05
81,8.476875355604258e-05,0.5826468469553501,33.33333333333333,0.03146112130373595,92.85714285714286,3.774009366250675e-05
82,6.148639835864261e-05,0.6002607104974355,33.33333333333333,0.03662416913053918,92.85714285714286,5.039314691993015e-05
83,5.281085587063313e-05,0.5125730558466686,33.33333333333333,0.03373512280486891,92.85714285714286,2.8938140555300752e-05
84,3.101902018445777e-05,0.32338752275776866,33.33333333333333,0.028723884149043775,92.85714285714286,1.889122709423981e-05
85,3.323746528047732e-05,0.5807838655342263,33.33333333333333,0.03651744931602407,92.85714285714286,2.890444098818062e-05
86,4.995995805290241e-05,0.7821622307043743,33.33333333333333,0.02837923916563639,92.85714285714286,3.764103756002522e-05
87,2.4557905122977642e-05,0.7887315126468016,33.33333333333333,0.03396358911929185,92.85714285714286,3.126079212829647e-05
88,6.27249179832534e-05,0.5226875299065026,33.33333333333333,0.034114107584449584,92.85714285714286,2.3346020374809563e-05
89,4.567606915051982e-05,0.5241540594809503,33.33333333333333,0.03379162751605293,92.85714285714286,4.239156638538147e-05
90,3.380197162530466e-05,0.7946349187816639,33.33333333333333,0.030414153599871128,92.85714285714286,3.704043773515345e-05
91,3.298904024808262e-05,0.6149762770035018,33.33333333333333,0.028786525972582595,92.85714285714286,3.108821487091133e-05
92,3.401489741771128e-05,0.4617742842678701,33.33333333333333,0.02987818164046385,92.85714285714286,3.609258666501501e-05
93,4.770703147422811e-05,0.45747900753889176,33.33333333333333,0.037589692509510726,92.85714285714286,3.490379584365551e-05
94,1.4893178108872838e-05,0.3583085004926313,33.33333333333333,0.03408835746146898,92.85714285714286,3.395482855540203e-05
95,5.0731439468103475e-05,0.3302178725353202,33.33333333333333,0.034105716823668634,92.85714285714286,2.7254509147933924e-05
96,2.198955645826801e-05,0.8021592187763813,33.33333333333333,0.03767434572892497,92.85714285714286,1.6438133432128293e-05
97,2.056353784220811e-05,1.2473868155782208,33.33333333333333,0.02884029469339164,92.85714285714286,2.1914725085422057e-05
98,2.844111314488767e-05,0.3610158298667876,33.33333333333333,0.036016254213977215,92.85714285714286,2.771455960979506e-05
99,3.69192765753527e-05,0.46306576607970334,33.33333333333333,0.03595467656171551,92.85714285714286,1.763440785908764e-05
