,DEL16p11_2,DEL16p11_2,DEL16p11_2
,Loss/train,Loss/test,Accuracy/test
0,0.692166190286631,0.08674970799576814,33.33333333333333
1,0.6921392596729804,0.08689220710220347,33.33333333333333
2,0.6899161795275729,0.08709642948598327,33.33333333333333
3,0.6918492907640876,0.08750961332116469,33.33333333333333
4,0.6798081083626303,0.08804551671393089,33.33333333333333
5,0.6795064876710126,0.08877196283984613,33.33333333333333
6,0.6551678431451958,0.08927932962177913,33.33333333333333
7,0.6793630441515832,0.09036970166556213,33.33333333333333
8,0.728227721207414,0.09208964441294294,33.33333333333333
9,0.6279099240177314,0.09298713519311215,33.33333333333333
10,0.6440609436368159,0.09453917382577104,33.33333333333333
11,0.5884844400731712,0.09527662606556993,33.33333333333333
12,0.6467340871293625,0.09701649714510897,33.33333333333333
13,0.531693766931965,0.09696452734849942,33.33333333333333
14,0.7662515815981782,0.09898911005830284,33.33333333333333
15,0.6274703160694282,0.09767553332610969,33.33333333333333
16,0.6685984640934564,0.09831737486429858,33.33333333333333
17,0.3754209887246194,0.09824567588117568,33.33333333333333
18,0.4192736562513793,0.10991537107349081,33.33333333333333
19,0.6545761715726597,0.17052273434406018,33.33333333333333
20,0.2094879420580222,0.32881390263852806,33.33333333333333
21,0.862827334697599,0.1871910766550683,33.33333333333333
22,0.4872607763266414,0.08569640700928412,70.83333333333334
23,0.13270527097832502,0.1630327594571742,62.5
24,0.718690397301173,0.1445641210372255,70.83333333333334
25,0.235966084363856,0.14277213433727756,75.0
26,0.0007432996052870093,0.3495639097508862,41.66666666666667
27,0.43969929626682536,0.10875744620285373,83.33333333333334
28,0.0007520620184722814,0.3565363905007591,45.83333333333333
29,0.00017137371357419894,0.1311191727180301,75.0
30,0.004630217083221531,0.5176017424968529,41.66666666666667
31,0.00030942922188447337,0.15464538077563286,79.16666666666666
32,0.00017422899780118555,0.12218698476850202,79.16666666666666
33,0.6443780924667911,0.5182289423069363,41.66666666666667
34,0.00030779274962728216,0.11912938720760467,83.33333333333334
35,0.6483426458868358,0.11358753419816574,83.33333333333334
36,0.13477409829441955,0.41041748361033425,50.0
37,0.0006161789683351656,0.23028631021434984,66.66666666666666
38,0.0007373237854729344,0.12796621458079224,79.16666666666666
39,0.0009327067666007813,0.12554346348535161,79.16666666666666
40,0.00021074975285044763,0.15287600724693443,75.0
41,0.00018041447885581456,0.17636442277979666,75.0
42,0.0004822401975707229,0.1927824394192624,75.0
43,0.0003075641903383694,0.20155736478973504,75.0
44,0.000153210178111296,0.20528075300424742,75.0
45,0.0005291918894249689,0.20637164309091463,75.0
46,0.0003093401631289587,0.20456863460892408,75.0
47,0.00029055234877947966,0.20212063734926963,75.0
48,2.130882601156967e-05,0.1993722865847399,75.0
49,0.00029626794139259687,0.19697730892419538,75.0
50,0.00028664704209787934,0.1949960914972628,75.0
51,2.9471658521606124e-05,0.1929411878540482,75.0
52,0.00015746091221351287,0.1910780657789333,75.0
53,0.00023674759271830298,0.18958597938738472,75.0
54,4.1375398195583375e-05,0.1881300544959359,75.0
55,3.6625316075233216e-05,0.18694362382975646,75.0
56,0.00025394571520803526,0.18611263582718127,75.0
57,4.223601664314329e-05,0.1850702978624014,75.0
58,2.2407125067328287e-05,0.1846179364042697,75.0
59,0.0001467674237790456,0.1841805145299508,75.0
60,0.00011511965918369781,0.18412164132440564,75.0
61,3.232762649616636e-05,0.18417462436711252,75.0
62,3.3703203997019796e-05,0.18420157512087787,75.0
63,3.7072792340802954e-05,0.18423772341092637,75.0
64,0.00019565328572855616,0.18450715257346662,75.0
65,0.0001348195344808212,0.18480868947451531,75.0
66,2.7325399104065968e-05,0.18517308296538515,75.0
67,9.842716256564353e-05,0.18561297152905723,75.0
68,0.00011913635617241593,0.186193647393697,75.0
69,4.030377015590142e-05,0.18672692485098075,75.0
70,0.00012691224824925418,0.1874880522167169,75.0
71,0.00012604894243174248,0.18791845214437763,75.0
72,5.118802200086467e-05,0.18859354970627595,75.0
73,3.0592445578660206e-05,0.18924199171758405,75.0
74,0.0001044447065445913,0.18973582650093893,75.0
75,3.2339031283778956e-05,0.1904480164946548,75.0
76,0.00010070113662560132,0.1910461478840145,75.0
77,9.517209414649205e-05,0.1917817517605612,75.0
78,2.2938777745366563e-05,0.19235665270824046,75.0
79,1.8223435500178913e-05,0.1927873782034479,75.0
80,3.7832150118581736e-05,0.19319183816105243,75.0
81,3.132159585045293e-05,0.194115683794064,75.0
82,3.28021545891109e-05,0.19471601249411505,75.0
83,3.824252500097218e-05,0.19515635670206669,75.0
84,6.462252669368008e-05,0.19569882948841846,75.0
85,7.560569149541057e-05,0.1961492314202776,75.0
86,3.457536957968516e-05,0.1967902398601192,75.0
87,3.349160717241977e-05,0.19714463674898539,75.0
88,9.966696652939918e-06,0.1976865141443073,75.0
89,4.811635858756251e-05,0.19831369254527176,75.0
90,1.6634540917498195e-05,0.1986887925294807,75.0
91,2.037553153301066e-05,0.19914739686052138,75.0
92,6.413942901680345e-05,0.19954886677165717,75.0
93,3.3384847406338206e-05,0.19984016342318187,75.0
94,4.568601253694934e-05,0.2002621881160629,75.0
95,3.0611951750834103e-06,0.20061829507460618,75.0
96,1.5286922746057443e-05,0.20107564345247078,75.0
97,3.954884990344644e-05,0.20147944484404093,75.0
98,1.489544474982921e-05,0.20170180628105935,75.0
99,2.1939462825684937e-05,0.20201920195871426,75.0
