,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6892398769765755,0.6874597400941197,54.6875,0.59296875,0.1294642835855484,0.3125,0.08333333488553762,0.6930245523930579,47.08994708994709,0.5155753968253968,0.6268821594615778,0.4729166676600774,1.0,0.6942014918817887,0.6933309718344344,44.44444444444444,0.5625,0.09523809949556987,0.3333333333333333,0.055555557211240135,0.7019238380154746,1.029101370023783,22.22222222222222,0.5416666666666667,0.0,0.0,0.0,0.722375846692532,0.6889550636765767,53.84615384615385,0.6333333333333333,0.0,0.0,0.0,0.6933861834461492,0.7377745296176909,42.857142857142854,0.5555555555555556,0.6060606241226196,0.4375,1.0,0.6364416600911129,0.8834362997409786,40.0,0.25,0.0,0.0,0.0,0.8516537305976857,0.7873184265308271,37.5,0.4,0.5454545617103577,0.375,1.0,0.9422470141828289,0.6732784882800493,64.65517241379311,0.6028968253968253,0.0,0.0,0.0,0.6747398904660987,0.6938596270247525,45.23809523809524,0.2527777777777778,0.047619049747784935,0.16666666666666666,0.027777778605620067,0.6927033828759435
1,0.5048862610693517,0.6115686141182914,64.84375,0.7622395833333334,0.46130952797830105,0.7500000018626451,0.3510416680946946,0.7434184753082533,52.910052910052904,0.5830853174603173,0.0,0.0,0.0,0.6674854767940724,0.6590983575057964,61.111111111111114,0.673611111111111,0.7301587462425232,0.5833333333333334,1.0,0.6094183166982569,1.8647870446674863,22.22222222222222,0.75,0.0,0.0,0.0,0.8535846362395844,0.7054786986447034,46.15384615384615,0.8125,0.6190476417541504,0.45000000298023224,1.0,1.2372544982816303,0.6915919407793764,57.14285714285714,0.5333333333333333,0.0,0.0,0.0,0.6896863561094301,0.44040739202740686,70.0,1.0,0.7500000298023224,0.6071428656578064,1.0,0.6735494423476134,0.7391445129492296,37.5,0.4,0.5454545617103577,0.375,1.0,1.2939045318577018,0.6926648049861227,48.275862068965516,0.6122619047619048,0.495091583331426,0.37865079641342164,0.8555555542310079,0.7179792618095155,0.6923973546132951,57.14285714285714,0.7574404761904763,0.6984127114216486,0.5625,1.0,0.69334967193213
2,0.6116439459148202,0.5979807026764533,63.28125,0.8171502976190477,0.6896308548748493,0.5950892958790064,0.8965773824602365,0.6920668941070273,49.2063492063492,0.5864583333333334,0.6307754901548227,0.485565481086572,0.9777777791023254,0.6931001693888437,0.6720796967619299,66.66666666666666,0.6468253968253969,0.7925926049550375,0.7202380994955698,1.0,0.8716868765894208,0.5668314681137498,77.77777777777779,0.5416666666666667,0.9285714328289032,0.875,1.0,0.7489950302907435,0.6637142282507723,69.23076923076923,0.625,0.6444444805383682,0.5666666775941849,0.75,0.972322645151317,0.6851136168542783,42.857142857142854,0.71875,0.5833333432674408,0.4166666716337204,1.0,0.6921682751170385,0.6926853834374305,70.0,0.625,0.4166666567325592,0.4166666567325592,0.4166666567325592,0.6931895630079398,0.7220037529579109,25.0,0.3333333333333333,0.25,0.20000000298023224,0.3333333432674408,0.7672069020733923,0.6567942771991127,64.65517241379311,0.5198015873015873,0.0,0.0,0.0,0.6365223709780995,0.6929497042154127,59.523809523809526,0.5317460317460317,0.6139194071292877,0.5148809552192688,0.8095238109429678,0.6932649568115066
3,0.20278522507211602,0.6210705082812665,64.84375,0.8380208333333334,0.7108849585056305,0.6025297697633505,0.9250000007450581,0.6890337436243162,51.85185185185185,0.5460069444444444,0.6416440146664778,0.4992559601863225,0.9555555582046509,0.6177562062562462,0.6321578148728016,50.0,0.4305555555555556,0.4040404160817464,0.40000001589457196,0.4166666666666667,0.9121313495650674,0.5787984353626304,77.77777777777779,0.5416666666666667,0.9285714328289032,0.875,1.0,0.43316315449397863,0.693448136150216,46.15384615384615,0.8333333333333333,0.5512820482254028,0.4125000014901161,1.0,0.5810489826762245,0.6865263379340318,57.14285714285714,0.75,0.6500000059604645,0.5000000149011612,1.0,0.6691030353539158,0.654115081732391,70.0,1.0,0.7500000298023224,0.6071428656578064,1.0,0.6899577730759233,0.6599026422761793,62.5,0.8,0.0,0.0,0.0,0.5931334145987909,0.6689403428647183,64.65517241379311,0.6837301587301587,0.0,0.0,0.0,0.8101348073083925,0.6930363641559987,57.14285714285714,0.576388888888889,0.7376068482796351,0.6339285771052042,0.9666666686534882,0.7132260757108315
4,0.5498544434357553,0.5573535009673669,75.0,0.7908854166666667,0.7374122533947229,0.7849702425301075,0.7645833361893892,0.6813665409049128,54.4973544973545,0.5469742063492063,0.5770683139562607,0.5173115146656831,0.7196428639193376,0.6213729568213109,0.7189840324988409,61.111111111111114,0.6888888888888888,0.7350427508354187,0.5833333333333334,1.0,0.5216013863990693,0.6160626606736663,66.66666666666666,0.75,0.8333333432674408,1.0,0.75,0.8205256183785261,0.7194935733061898,53.84615384615385,0.5666666666666667,0.25,0.5,0.1666666716337204,0.4787050223053822,0.7153694323773517,42.857142857142854,0.5222222222222221,0.6060606241226196,0.4375,1.0,0.6760444539317625,0.7906783689270235,40.0,0.3333333333333333,0.0,0.0,0.0,0.6358632122746866,0.7361282146593866,37.5,0.3333333333333333,0.5454545617103577,0.375,1.0,0.6475726430087664,0.6696168760618761,64.65517241379311,0.43952380952380943,0.0,0.0,0.0,0.6236679262782577,0.7078757685528932,42.857142857142854,0.44930555555555557,0.0,0.0,0.0,0.6905004685384108
5,0.5687661586148512,0.8520356907882409,64.0625,0.7991443452380952,0.453440660610795,0.8312500007450581,0.34077381528913975,0.7183514240484911,55.55555555555556,0.5845734126984128,0.1831349233786265,0.375,0.1263888906687498,0.4347059480603124,0.6853456048493791,50.0,0.5277777777777778,0.3888888955116272,0.5333333412806193,0.3611111144224803,0.26289377381194795,0.9860986230799331,22.22222222222222,0.6785714285714286,0.0,0.0,0.0,0.6896697881570889,0.6495505466350944,46.15384615384615,0.7083333333333333,0.1428571492433548,0.25,0.10000000149011612,0.9209144605883203,0.681177241337806,57.14285714285714,0.9666666666666667,0.5416666567325592,0.6000000014901161,0.800000011920929,0.772425834540464,0.7019477659805242,40.0,0.8,0.0,0.0,0.0,0.6856302535538704,0.744562598705868,62.5,0.26666666666666666,0.4000000059604645,0.5,0.3333333432674408,0.6375008329571638,0.6965245084917334,64.65517241379311,0.5111111111111111,0.0,0.0,0.0,0.5141457682793978,0.6940647090811412,40.476190476190474,0.5326388888888889,0.0,0.0,0.0,0.6738872595598306
6,0.15924582903936144,0.6752727468971579,69.53125,0.8481398809523809,0.5661706458777189,0.875,0.474702388048172,0.7176711171785813,56.613756613756614,0.553422619047619,0.5159872646133105,0.5159722262372574,0.5756944480041662,0.5556787304739356,0.6778275943843275,55.55555555555556,0.5513888888888889,0.579365074634552,0.7777777910232544,0.46666666865348816,0.30150242811849537,0.697829338708994,55.55555555555556,0.75,0.3333333432674408,0.5,0.25,0.6276850616995179,0.6900515669173289,53.84615384615385,0.7666666666666666,0.0,0.0,0.0,1.0079621601440902,0.693141801664751,50.0,0.5833333333333333,0.6222222447395325,0.4761904925107956,1.0,0.6915636260056689,0.530115128074403,80.0,0.71875,0.761904776096344,1.0,0.625,1.2100046712437384,0.654784639378466,62.5,0.9333333333333333,0.0,0.0,0.0,0.7666076029349179,0.6631283902767671,64.65517241379311,0.6090079365079364,0.0,0.0,0.0,0.820354884037622,0.6928363602230907,59.523809523809526,0.4548611111111111,0.6227272897958755,0.6083333392937978,0.6833333373069763,0.6934578101748953
7,0.022433180852963457,1.460554954680992,57.8125,0.7699032738095238,0.25669643096625805,0.53125,0.19851190689951181,0.7547242043247894,56.613756613756614,0.6536458333333334,0.14742063482602438,0.3333333333333333,0.09583333507180214,0.3767509418431501,0.656890239462633,66.66666666666666,0.6277777777777778,0.6666666865348816,0.8888888955116272,0.5555555621782938,0.468647994126343,1.6296885152430332,22.22222222222222,0.7083333333333333,0.0,0.0,0.0,0.49406384860145974,0.6147850219687803,69.23076923076923,0.7333333333333334,0.6969697177410126,0.5833333432674408,0.9000000059604645,0.3054678624693647,0.677578616409403,42.857142857142854,0.6222222222222222,0.6060606241226196,0.4375,1.0,0.6327016045328435,0.7275079529104544,40.0,0.5333333333333333,0.0,0.0,0.0,0.7373945321966091,0.9260033082507074,25.0,0.4,0.4000000059604645,0.2857142984867096,0.6666666865348816,0.6485426713073047,0.6619759426259751,64.65517241379311,0.5566269841269841,0.0,0.0,0.0,0.7959129888970174,0.694204348856277,40.476190476190474,0.4166666666666667,0.0,0.0,0.0,0.6940330962256223
8,0.27146836154186765,0.5686180856345067,75.0,0.7541666666666668,0.664700586348772,0.7416666708886623,0.6333333402872086,0.6841731346026741,56.613756613756614,0.6424355158730158,0.5459431931376457,0.496081355959177,0.675694448252519,0.5977545367885215,0.653189382612522,66.66666666666666,0.48888888888888893,0.5090909401575724,0.4888888994852702,0.5333333412806193,0.32955408528869945,0.8294751881190422,55.55555555555556,0.625,0.75,1.0,0.6666666716337204,0.5259226001829284,0.623251270583869,61.53846153846154,0.7916666666666667,0.533333346247673,0.75,0.625,0.6184430435305834,0.6948659898330892,42.857142857142854,0.6777777777777778,0.6060606241226196,0.4375,1.0,0.882639634844627,0.6673746633441539,40.0,0.59375,0.0,0.0,0.0,0.4006926338982107,0.5917860246806808,62.5,0.8666666666666667,0.0,0.0,0.0,0.642933883325484,0.6518643064363212,64.65517241379311,0.6165079365079366,0.0,0.0,0.0,0.5098927101661999,0.6925892099868528,61.904761904761905,0.5201388888888888,0.5646464824676514,0.6111111243565878,0.5527777870496114,0.6934719765715605
