,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM,USM,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,58.866044208144444,34.74536305570721,0.0,0.0,0.0,0.0,0.0,13.582945992158551,0.0,0.0,0.0,0.0,0.0,8.952829757475547,17.651448082704693,0.0,0.0,0.0,0.0,0.0,126.5142171602675,75.21378926603364,0.0,0.0,0.0,0.0,0.0,94.16482564335615,198.29858569916047,0.0,0.0,0.0,0.0,0.0,605.9397156089083,256.08700452827566,0.0,0.0,0.0,0.0,0.0,119.3212005811108,66.59123608843544,0.0,0.0,0.0,0.0,0.0,126.79124194734389,848.122652009678,0.0,0.0,0.0,0.0,0.0,731.2127244279116,105.83557938507934,0.0,0.0,0.0,0.0,0.0,57.374127817383695,311.994170684376,0.0,0.0,0.0,0.0,0.0,220.21606286394788,55.171046577726884,0.0,0.0,0.0,0.0,0.0,155.52046043612677,41.469118850703225,0.0,0.0,0.0,0.0,0.0,42.704175107880616,176.87958988147275,0.0,0.0,0.0,0.0,0.0,29.455725648741403,2242.1669622963136,0.0,0.0,0.0,0.0,0.0,1924.459906472458,2140.3576358275577,0.0,0.0,0.0,0.0,0.0,2327.8273894023782,3791.259262780647,0.0,0.0,0.0,0.0,0.0,3726.9110587185364,233.64646390935437,0.0,0.0,0.0,0.0,0.0,174.5484890554968
1,25.564406753014467,21.087702766402593,0.0,0.0,0.0,0.0,0.0,6.400307033047029,0.0,0.0,0.0,0.0,0.0,1.3877930986483953,12.646142757478605,0.0,0.0,0.0,0.0,0.0,8.220401831160238,11.149813185827568,0.0,0.0,0.0,0.0,0.0,12.426852289781374,189.20743327959246,0.0,0.0,0.0,0.0,0.0,598.485665230566,296.49256726751787,0.0,0.0,0.0,0.0,0.0,421.96145381677167,80.19639028679636,0.0,0.0,0.0,0.0,0.0,80.2382986431873,430.32680540732923,0.0,0.0,0.0,0.0,0.0,245.60467161780318,80.44821075184814,0.0,0.0,0.0,0.0,0.0,50.899317699298365,247.63168169909125,0.0,0.0,0.0,0.0,0.0,195.26998464996103,41.24081908419188,0.0,0.0,0.0,0.0,0.0,112.14914913494897,13.529970843637027,0.0,0.0,0.0,0.0,0.0,18.673225955596276,217.39469286090514,0.0,0.0,0.0,0.0,0.0,25.806271312738982,2000.9585524329857,0.0,0.0,0.0,0.0,0.0,1687.1738197674254,1659.5491327464867,0.0,0.0,0.0,0.0,0.0,1868.9743780033946,3472.938780260885,0.0,0.0,0.0,0.0,0.0,2255.379641379913,243.9697784425969,0.0,0.0,0.0,0.0,0.0,51.782351221621006
2,21.584401130704112,11.345624375011562,0.0,0.0,0.0,0.0,0.0,5.47952365249018,0.0,0.0,0.0,0.0,0.0,9.484230242608538,2.782706402767639,0.0,0.0,0.0,0.0,0.0,10.488297018584586,28.952242730234033,0.0,0.0,0.0,0.0,0.0,13.440096523023515,189.95010556244722,0.0,0.0,0.0,0.0,0.0,412.8475657144738,200.8125199350393,0.0,0.0,0.0,0.0,0.0,119.22963081660743,63.0908560097338,0.0,0.0,0.0,0.0,0.0,39.52037146094532,123.24152554726994,0.0,0.0,0.0,0.0,0.0,295.5585550126459,116.8620780975515,0.0,0.0,0.0,0.0,0.0,134.39843748249146,169.9680526050748,0.0,0.0,0.0,0.0,0.0,167.92040414846747,108.16643330031015,0.0,0.0,0.0,0.0,0.0,105.4828230781194,8.634814598243157,0.0,0.0,0.0,0.0,0.0,55.013210879057795,146.32374051211775,0.0,0.0,0.0,0.0,0.0,16.96505748425206,1453.5873537872371,0.0,0.0,0.0,0.0,0.0,1184.9119318029602,725.9942187593722,0.0,0.0,0.0,0.0,0.0,520.9906244745754,2619.092578082974,0.0,0.0,0.0,0.0,0.0,2457.088981667549,104.2870667071652,0.0,0.0,0.0,0.0,0.0,52.21145509884474
3,4.875799362444605,5.858483245436234,0.0,0.0,0.0,0.0,0.0,3.1464843721518907,0.0,0.0,0.0,0.0,0.0,1.5084673511247384,3.6106940727798005,0.0,0.0,0.0,0.0,0.0,5.251299177780877,4.075797530676443,0.0,0.0,0.0,0.0,0.0,5.5280982121509235,238.37090377696487,0.0,0.0,0.0,0.0,0.0,387.7032518348488,149.91711863330357,0.0,0.0,0.0,0.0,0.0,98.05428759697503,76.98268944729745,0.0,0.0,0.0,0.0,0.0,3.877888035556069,114.84496685559884,0.0,0.0,0.0,0.0,0.0,227.61786837616336,86.92526605410214,0.0,0.0,0.0,0.0,0.0,44.751140831316995,139.02534119222219,0.0,0.0,0.0,0.0,0.0,204.34961897343484,93.93820218306533,0.0,0.0,0.0,0.0,0.0,71.47279192101428,16.251844619493415,0.0,0.0,0.0,0.0,0.0,23.046639577608236,138.45778343521582,0.0,0.0,0.0,0.0,0.0,81.7291305346414,1029.3381971248768,0.0,0.0,0.0,0.0,0.0,763.725558431933,330.43043044004753,0.0,0.0,0.0,0.0,0.0,309.03753982156854,1811.0544734192742,0.0,0.0,0.0,0.0,0.0,1752.29359951268,80.66045404102957,0.0,0.0,0.0,0.0,0.0,43.76158073964938
4,14.292659861507873,8.319414290435153,0.0,0.0,0.0,0.0,0.0,4.31615970197568,0.0,0.0,0.0,0.0,0.0,1.5728796007006978,2.01893221913392,0.0,0.0,0.0,0.0,0.0,5.580830608093143,6.6859194488935225,0.0,0.0,0.0,0.0,0.0,2.718337887307288,201.81273718909216,0.0,0.0,0.0,0.0,0.0,237.15492027936222,139.4442857107425,0.0,0.0,0.0,0.0,0.0,190.0098814993024,88.37273803786823,0.0,0.0,0.0,0.0,0.0,14.54060676712104,154.6518987672059,0.0,0.0,0.0,0.0,0.0,103.93407074198312,87.25204423403547,0.0,0.0,0.0,0.0,0.0,35.1189166074562,119.47467954241918,0.0,0.0,0.0,0.0,0.0,227.58271636312176,59.939570426113555,0.0,0.0,0.0,0.0,0.0,145.33718095625414,25.545016520548142,0.0,0.0,0.0,0.0,0.0,12.923259540072523,129.17203363000326,0.0,0.0,0.0,0.0,0.0,42.58500502711495,514.0123201838038,0.0,0.0,0.0,0.0,0.0,507.1151027292933,144.80513073995195,0.0,0.0,0.0,0.0,0.0,86.86907169273086,915.908129768085,0.0,0.0,0.0,0.0,0.0,1103.5322429032858,69.06308876490372,0.0,0.0,0.0,0.0,0.0,54.33490918448972
5,10.714905275256237,4.9037886146613685,0.0,0.0,0.0,0.0,0.0,5.052000343500182,0.0,0.0,0.0,0.0,0.0,2.4401012496304,9.40070837305856,0.0,0.0,0.0,0.0,0.0,10.3762301812733,6.363104389428212,0.0,0.0,0.0,0.0,0.0,5.4406890686831915,135.49205500395135,0.0,0.0,0.0,0.0,0.0,180.46713762396712,149.88578946838223,0.0,0.0,0.0,0.0,0.0,50.85246145525701,69.50279378046224,0.0,0.0,0.0,0.0,0.0,44.16791230541262,85.85637620585028,0.0,0.0,0.0,0.0,0.0,4.4645265508982614,115.91699702987435,0.0,0.0,0.0,0.0,0.0,207.99088465384267,109.35756393436736,0.0,0.0,0.0,0.0,0.0,270.8393949253304,24.989323177746154,0.0,0.0,0.0,0.0,0.0,69.78178592637951,29.044551469406088,0.0,0.0,0.0,0.0,0.0,74.54775297035043,139.41171406119398,0.0,0.0,0.0,0.0,0.0,103.36903830367095,258.36908715912807,0.0,0.0,0.0,0.0,0.0,184.73148806205145,132.8087156006759,0.0,0.0,0.0,0.0,0.0,69.17652756602668,480.413845653303,0.0,0.0,0.0,0.0,0.0,500.0946900121238,87.80335614285345,0.0,0.0,0.0,0.0,0.0,20.88598419912281
6,17.233242287445865,8.237031839525345,0.0,0.0,0.0,0.0,0.0,9.684249137892321,0.0,0.0,0.0,0.0,0.0,13.770364972919673,3.353195176338916,0.0,0.0,0.0,0.0,0.0,17.52996670820204,3.7736720247278184,0.0,0.0,0.0,0.0,0.0,2.2333982135054526,119.04555803967438,0.0,0.0,0.0,0.0,0.0,95.21606713296164,137.7089474993221,0.0,0.0,0.0,0.0,0.0,71.2729528987154,77.59210612709217,0.0,0.0,0.0,0.0,0.0,167.86910258270206,58.02918004845264,0.0,0.0,0.0,0.0,0.0,327.28579567593476,96.01069926227864,0.0,0.0,0.0,0.0,0.0,13.062956473664334,90.86303811242516,0.0,0.0,0.0,0.0,0.0,145.14412854054981,21.80229165938232,0.0,0.0,0.0,0.0,0.0,160.13197638955876,26.8418193532925,0.0,0.0,0.0,0.0,0.0,21.88564412271953,124.92355533290629,0.0,0.0,0.0,0.0,0.0,185.6698251837465,209.9594270242773,0.0,0.0,0.0,0.0,0.0,123.79422333608697,122.74809282277997,0.0,0.0,0.0,0.0,0.0,180.0748123929833,183.74908945887475,0.0,0.0,0.0,0.0,0.0,162.0900752726089,109.8555287837384,0.0,0.0,0.0,0.0,0.0,34.56211237808371
7,2.078955590990885,5.920885624974219,0.0,0.0,0.0,0.0,0.0,2.743222133113917,0.0,0.0,0.0,0.0,0.0,2.310220042935916,4.076000281432692,0.0,0.0,0.0,0.0,0.0,8.419023836903484,3.3853338598645144,0.0,0.0,0.0,0.0,0.0,4.114314132297719,100.84337962426022,0.0,0.0,0.0,0.0,0.0,269.7369717025668,140.94156873553226,0.0,0.0,0.0,0.0,0.0,32.03122322041764,81.28903145362582,0.0,0.0,0.0,0.0,0.0,31.46066119040961,58.99066103820146,0.0,0.0,0.0,0.0,0.0,0.015751120401543098,116.95807065135921,0.0,0.0,0.0,0.0,0.0,147.93699597775688,91.35454028154598,0.0,0.0,0.0,0.0,0.0,116.46722700468386,28.082331189650567,0.0,0.0,0.0,0.0,0.0,14.837566476226169,31.40800146920471,0.0,0.0,0.0,0.0,0.0,25.426404908366113,118.84197879099831,0.0,0.0,0.0,0.0,0.0,59.71722612803368,172.2853580021518,0.0,0.0,0.0,0.0,0.0,82.38230463315348,105.08778970441297,0.0,0.0,0.0,0.0,0.0,34.19629669279162,79.97606313048519,0.0,0.0,0.0,0.0,0.0,80.70612359477337,70.72828770585731,0.0,0.0,0.0,0.0,0.0,30.79671351268268
8,6.98962953554696,18.001307205719616,0.0,0.0,0.0,0.0,0.0,4.202991718403083,0.0,0.0,0.0,0.0,0.0,3.050898849857958,11.702269476766725,0.0,0.0,0.0,0.0,0.0,1.982480568503855,17.065266424099345,0.0,0.0,0.0,0.0,0.0,5.244983765549454,86.21972837800674,0.0,0.0,0.0,0.0,0.0,188.29457816406563,136.91849497811415,0.0,0.0,0.0,0.0,0.0,1.7075220253446344,92.73315010355903,0.0,0.0,0.0,0.0,0.0,6.00698894914022,60.22495776242355,0.0,0.0,0.0,0.0,0.0,31.909463197810492,102.50001445707883,0.0,0.0,0.0,0.0,0.0,6.742720732426013,82.5122605075074,0.0,0.0,0.0,0.0,0.0,94.47605633508114,30.36691719798053,0.0,0.0,0.0,0.0,0.0,80.7407858499569,41.8085196855628,0.0,0.0,0.0,0.0,0.0,7.693484049913586,133.699209464307,0.0,0.0,0.0,0.0,0.0,5.960802138754342,117.65229714260195,0.0,0.0,0.0,0.0,0.0,33.525613597561915,102.81982571046122,0.0,0.0,0.0,0.0,0.0,88.88488261536678,64.83160225261182,0.0,0.0,0.0,0.0,0.0,196.45401968650228,70.09761171129846,0.0,0.0,0.0,0.0,0.0,25.330391329303147
