,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,NYU,NYU,NYU,NYU,NYU,NYU,NYU,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,61.88766657122438,35.476758403582316,0.0,0.0,0.0,0.0,0.0,8.443722557180784,0.0,0.0,0.0,0.0,0.0,13.468108345722749,8.259841497717684,0.0,0.0,0.0,0.0,0.0,12.995206448295061,55.987936678061395,0.0,0.0,0.0,0.0,0.0,16.4353176903029,364.34529020561814,0.0,0.0,0.0,0.0,0.0,294.78299253975564,209.09057706829805,0.0,0.0,0.0,0.0,0.0,465.6372715901472,83.58000148353955,0.0,0.0,0.0,0.0,0.0,138.91037860803297,677.2952055558704,0.0,0.0,0.0,0.0,0.0,1410.4553244477254,79.15274298047315,0.0,0.0,0.0,0.0,0.0,84.67964888874603,439.56940921036283,0.0,0.0,0.0,0.0,0.0,579.0738031221879,831.3265999698751,0.0,0.0,0.0,0.0,0.0,1092.2845920414009,762.4462951091939,0.0,0.0,0.0,0.0,0.0,535.3718485807693,402.1462171685901,0.0,0.0,0.0,0.0,0.0,483.5827326859311,248.47534341760849,0.0,0.0,0.0,0.0,0.0,84.44022366936049,3404.043055893024,0.0,0.0,0.0,0.0,0.0,3394.3563458050357,1492.62257617574,0.0,0.0,0.0,0.0,0.0,2234.826614794572,3453.561901626389,0.0,0.0,0.0,0.0,0.0,3349.8438222219834
1,27.558888209372473,7.327172613746872,0.0,0.0,0.0,0.0,0.0,14.382338071931814,0.0,0.0,0.0,0.0,0.0,14.646204014484518,9.3191721402801,0.0,0.0,0.0,0.0,0.0,12.63516739834495,22.273277841098526,0.0,0.0,0.0,0.0,0.0,35.22880064829298,355.64669189895926,0.0,0.0,0.0,0.0,0.0,255.53324130448624,189.1080455466543,0.0,0.0,0.0,0.0,0.0,425.5623045577717,79.96097975092655,0.0,0.0,0.0,0.0,0.0,26.19507973229518,360.69725365491405,0.0,0.0,0.0,0.0,0.0,0.7023445424813837,60.800360474368304,0.0,0.0,0.0,0.0,0.0,22.07865073365629,392.9227600243242,0.0,0.0,0.0,0.0,0.0,1065.088380295865,831.5234966453246,0.0,0.0,0.0,0.0,0.0,1028.3160932216456,551.2150988825977,0.0,0.0,0.0,0.0,0.0,528.9672059278453,388.5793384473054,0.0,0.0,0.0,0.0,0.0,1093.3886950611754,165.73300831094434,0.0,0.0,0.0,0.0,0.0,85.67093309497245,2283.420845228879,0.0,0.0,0.0,0.0,0.0,2012.5018784332174,701.5322587375705,0.0,0.0,0.0,0.0,0.0,518.9041034534923,2814.1890888478565,0.0,0.0,0.0,0.0,0.0,2441.535075900355
2,18.68183627675997,6.447648931487761,0.0,0.0,0.0,0.0,0.0,4.549608833970297,0.0,0.0,0.0,0.0,0.0,2.3740645990259472,3.8674896062399218,0.0,0.0,0.0,0.0,0.0,1.3754031985457245,17.316037082476292,0.0,0.0,0.0,0.0,0.0,37.994430192579394,22.47803215800422,0.0,0.0,0.0,0.0,0.0,22.51961414492777,395.89164376581505,0.0,0.0,0.0,0.0,0.0,713.4263957006899,75.04665742651251,0.0,0.0,0.0,0.0,0.0,9.904073798890883,283.8012976908763,0.0,0.0,0.0,0.0,0.0,131.24906365129692,56.51414256764647,0.0,0.0,0.0,0.0,0.0,110.09669273775623,195.47837654875025,0.0,0.0,0.0,0.0,0.0,865.4355811315494,829.2033202441743,0.0,0.0,0.0,0.0,0.0,1090.0113916181933,363.43351229385985,0.0,0.0,0.0,0.0,0.0,732.0934397733532,284.5165334961395,0.0,0.0,0.0,0.0,0.0,596.5804431542631,196.07246862522175,0.0,0.0,0.0,0.0,0.0,195.1760989189074,1416.5708423231622,0.0,0.0,0.0,0.0,0.0,1041.4302647441743,229.52353855784935,0.0,0.0,0.0,0.0,0.0,198.6481818532031,1376.4626526926309,0.0,0.0,0.0,0.0,0.0,1582.3639621766063
3,10.731236648512777,9.024903382495541,0.0,0.0,0.0,0.0,0.0,2.3934056389158567,0.0,0.0,0.0,0.0,0.0,0.6760511672707507,1.4131158960236812,0.0,0.0,0.0,0.0,0.0,6.46721242004741,16.568896792186752,0.0,0.0,0.0,0.0,0.0,7.531773129384175,1.553036510586045,0.0,0.0,0.0,0.0,0.0,1.2879647179402265,389.30234872458914,0.0,0.0,0.0,0.0,0.0,456.2227142814757,62.93056640428835,0.0,0.0,0.0,0.0,0.0,17.35758762306911,162.7148086113159,0.0,0.0,0.0,0.0,0.0,174.7467541190175,74.19197692673961,0.0,0.0,0.0,0.0,0.0,66.86934449042843,99.76039065477609,0.0,0.0,0.0,0.0,0.0,52.226710823455335,781.7232013637151,0.0,0.0,0.0,0.0,0.0,646.6270435843787,198.79738150290405,0.0,0.0,0.0,0.0,0.0,207.42029266732,91.7087582568886,0.0,0.0,0.0,0.0,0.0,961.9983338299269,137.7179922622144,0.0,0.0,0.0,0.0,0.0,90.13837847631548,921.9175078765566,0.0,0.0,0.0,0.0,0.0,508.14478431125093,115.7911401806726,0.0,0.0,0.0,0.0,0.0,103.02572294288778,646.5042497965455,0.0,0.0,0.0,0.0,0.0,382.7535753482555
4,11.529270325109598,14.720732405003329,0.0,0.0,0.0,0.0,0.0,11.8550550653488,0.0,0.0,0.0,0.0,0.0,4.166529107864236,3.4674739149351215,0.0,0.0,0.0,0.0,0.0,1.4201659382751075,21.359738344967052,0.0,0.0,0.0,0.0,0.0,4.545487937628658,4.995109472065732,0.0,0.0,0.0,0.0,0.0,3.92924017502515,280.2823865648353,0.0,0.0,0.0,0.0,0.0,263.95283090700343,55.36722132417343,0.0,0.0,0.0,0.0,0.0,4.525585394320458,151.62440920222105,0.0,0.0,0.0,0.0,0.0,435.35318930220126,60.10626725193601,0.0,0.0,0.0,0.0,0.0,7.094638534866049,94.59268718861237,0.0,0.0,0.0,0.0,0.0,271.41894207801704,506.0766513931754,0.0,0.0,0.0,0.0,0.0,945.418268510653,178.51399117071952,0.0,0.0,0.0,0.0,0.0,263.8868531296272,28.425185315199233,0.0,0.0,0.0,0.0,0.0,85.49795232290907,137.76387634624155,0.0,0.0,0.0,0.0,0.0,18.676255177821137,515.7231250975308,0.0,0.0,0.0,0.0,0.0,259.11524241094855,84.70188278283705,0.0,0.0,0.0,0.0,0.0,78.42003353942202,295.56049082658666,0.0,0.0,0.0,0.0,0.0,180.96617245035134
5,13.169071077531987,10.982036807854563,0.0,0.0,0.0,0.0,0.0,6.591388617631238,0.0,0.0,0.0,0.0,0.0,0.9507515306792428,3.2357719982170376,0.0,0.0,0.0,0.0,0.0,4.141417161076748,5.4837685587249405,0.0,0.0,0.0,0.0,0.0,11.854636709837846,1.400581019616623,0.0,0.0,0.0,0.0,0.0,5.581967438318635,179.87163192259814,0.0,0.0,0.0,0.0,0.0,91.45167523667124,52.94305488897092,0.0,0.0,0.0,0.0,0.0,63.70028771896013,140.50965493530197,0.0,0.0,0.0,0.0,0.0,178.3471818947085,101.52229780574521,0.0,0.0,0.0,0.0,0.0,17.65574711920743,98.02421385305348,0.0,0.0,0.0,0.0,0.0,151.1533649484199,225.74054937464214,0.0,0.0,0.0,0.0,0.0,212.43607764431192,177.18297912030528,0.0,0.0,0.0,0.0,0.0,391.11278984471255,48.298326884580725,0.0,0.0,0.0,0.0,0.0,87.61302474495719,132.05261902663847,0.0,0.0,0.0,0.0,0.0,87.93805606206824,192.2442015387834,0.0,0.0,0.0,0.0,0.0,100.43632385566971,110.47356583383271,0.0,0.0,0.0,0.0,0.0,189.0247503708263,131.89858048614056,0.0,0.0,0.0,0.0,0.0,88.82096218519098
6,7.994033948466561,12.004725323945072,0.0,0.0,0.0,0.0,0.0,2.1513868242576226,0.0,0.0,0.0,0.0,0.0,1.126733589254421,15.803259521891226,0.0,0.0,0.0,0.0,0.0,23.133213818877316,14.771624689943573,0.0,0.0,0.0,0.0,0.0,2.044250479169035,8.132881120702466,0.0,0.0,0.0,0.0,0.0,12.917922232472048,169.24027823133156,0.0,0.0,0.0,0.0,0.0,228.16792502025058,57.500640110709014,0.0,0.0,0.0,0.0,0.0,63.94222652780712,122.52204162274754,0.0,0.0,0.0,0.0,0.0,28.094505173095023,137.93017376722034,0.0,0.0,0.0,0.0,0.0,25.92464777495694,142.147013479553,0.0,0.0,0.0,0.0,0.0,22.883262078454322,174.34041474478994,0.0,0.0,0.0,0.0,0.0,313.4824960266249,170.58292667756876,0.0,0.0,0.0,0.0,0.0,355.32455901244765,85.11636830495665,0.0,0.0,0.0,0.0,0.0,103.19224369535148,113.92273211641414,0.0,0.0,0.0,0.0,0.0,74.71839678824124,146.5715714525938,0.0,0.0,0.0,0.0,0.0,126.70695897178702,92.17544590988963,0.0,0.0,0.0,0.0,0.0,40.559032526512496,93.18321393303624,0.0,0.0,0.0,0.0,0.0,109.20517108650657
7,43.73504295146233,11.128435796595584,0.0,0.0,0.0,0.0,0.0,1.7654506015528524,0.0,0.0,0.0,0.0,0.0,2.7385210477226867,1.815073725261473,0.0,0.0,0.0,0.0,0.0,1.208965022798202,9.424647793573138,0.0,0.0,0.0,0.0,0.0,11.870222355193254,34.51299976986183,0.0,0.0,0.0,0.0,0.0,1.1585664588347429,149.871484113058,0.0,0.0,0.0,0.0,0.0,72.4464734661175,48.04718176694504,0.0,0.0,0.0,0.0,0.0,5.99942659464264,124.00479465457495,0.0,0.0,0.0,0.0,0.0,8.765328108420903,80.1735307643086,0.0,0.0,0.0,0.0,0.0,34.23402193973617,80.29649929718026,0.0,0.0,0.0,0.0,0.0,186.980063753977,122.92867156244515,0.0,0.0,0.0,0.0,0.0,165.47567240739335,176.81706266724186,0.0,0.0,0.0,0.0,0.0,147.27468795631032,51.856723660226585,0.0,0.0,0.0,0.0,0.0,127.89827748246384,112.40854349070483,0.0,0.0,0.0,0.0,0.0,21.10006278775448,169.824259081195,0.0,0.0,0.0,0.0,0.0,110.97970939857973,99.5420934412276,0.0,0.0,0.0,0.0,0.0,32.39831529823753,99.92177723614307,0.0,0.0,0.0,0.0,0.0,36.033138183620004
8,0.6037263299001618,20.010405667186184,0.0,0.0,0.0,0.0,0.0,3.8691084336463106,0.0,0.0,0.0,0.0,0.0,4.534785507492436,5.020965773512676,0.0,0.0,0.0,0.0,0.0,1.8204436277213638,5.514778213652082,0.0,0.0,0.0,0.0,0.0,4.239440531844554,1.7800504738233234,0.0,0.0,0.0,0.0,0.0,2.957853876930714,133.1208389375277,0.0,0.0,0.0,0.0,0.0,106.76498043607835,67.90617773509985,0.0,0.0,0.0,0.0,0.0,106.56112635286054,151.67161466659707,0.0,0.0,0.0,0.0,0.0,153.42231699342744,73.49976056978838,0.0,0.0,0.0,0.0,0.0,87.24036567747609,47.738262128618686,0.0,0.0,0.0,0.0,0.0,133.36780172682555,87.8741113831677,0.0,0.0,0.0,0.0,0.0,127.40424093884047,149.78173707108328,0.0,0.0,0.0,0.0,0.0,137.21505924738037,55.98468443341041,0.0,0.0,0.0,0.0,0.0,60.609663559758985,103.70881041525304,0.0,0.0,0.0,0.0,0.0,65.3872149027391,224.31517805938543,0.0,0.0,0.0,0.0,0.0,94.77173412631838,114.5947572817624,0.0,0.0,0.0,0.0,0.0,41.66812702752576,99.21906931192744,0.0,0.0,0.0,0.0,0.0,221.66482611221284
