,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,BIP,BIP,BIP,BIP,BIP,BIP,BIP,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6929193013753366,0.6933222062220943,46.15384615384615,0.375,0.6190476417541504,0.45000000298023224,1.0,0.6919172020359677,50.0,0.6458705357142857,0.0,0.0,0.0,0.8754165279380924,0.6931210862352478,52.910052910052904,0.5118055555555555,0.0,0.0,0.0,0.693819586366845,0.719276474708326,68.75,0.46354166666666663,0.0,0.0,0.0,0.14885279059932793,0.6778683178965267,64.65517241379311,0.39666666666666667,0.0,0.0,0.0,1.0134177572095897,0.6935076698213223,42.857142857142854,0.3342261904761905,0.0,0.0,0.0,0.6922178944566237,0.7211111495722649,38.88888888888889,0.47222222222222215,0.0,0.0,0.0,0.694909689230681,0.6927469391339669,77.77777777777779,0.5,0.9285714328289032,0.875,1.0,0.6929599589584763,0.693492947983886,42.857142857142854,0.4888888888888889,0.6060606241226196,0.4375,1.0,0.7119675326614491,0.7354356527673158,40.0,0.25,0.0,0.0,0.0,0.6909220767267426,0.6649851734617551,62.5,0.6,0.0,0.0,0.0,0.917427262557157
1,0.8262486435252154,0.6970089054731885,46.15384615384615,0.26666666666666666,0.5512820482254028,0.4125000014901161,1.0,0.6927926755536333,50.0,0.6834449404761904,0.0,0.0,0.0,0.6910123802151912,0.693277331363647,47.08994708994709,0.4302083333333333,0.6214126273989677,0.4729166676600774,1.0,0.7008286813612932,0.6391423204107363,68.75,0.5441964285714286,0.0,0.0,0.0,0.5053228727329843,0.6639606846233473,64.65517241379311,0.43543650793650795,0.0,0.0,0.0,0.6736040006696938,0.6931125899935223,57.14285714285714,0.3963293650793651,0.7024531165758768,0.5625,1.0,0.6939450317228586,0.6842481844562672,61.111111111111114,0.45,0.811965823173523,0.7083333333333334,1.0,0.6850698647572775,0.6922906872394781,77.77777777777779,0.5,0.9285714328289032,0.875,1.0,0.6932393463903916,0.6937545276563026,35.714285714285715,0.4375,0.5227272510528564,0.380952388048172,0.875,0.6931436109996841,0.694259555447629,40.0,0.0,0.0,0.0,0.0,0.699309160555976,0.6915261135061848,50.0,0.8,0.5999999642372131,0.4285714328289032,1.0,0.8475548345688776
2,0.6996557426771632,0.6934815129232608,53.84615384615385,0.59375,0.0,0.0,0.0,0.6572753564236925,50.0,0.7583333333333334,0.0,0.0,0.0,0.6934238821815383,0.6931075925674877,52.910052910052904,0.5811755952380951,0.0,0.0,0.0,0.693821607253023,0.6061238665804383,68.75,0.6875,0.0,0.0,0.0,0.42816610394492843,0.6592553951102953,64.65517241379311,0.4946825396825396,0.0,0.0,0.0,0.6111026756758252,0.6930161025527338,57.14285714285714,0.6326388888888889,0.6214896341164907,0.5,0.8333333333333334,0.6932467847864467,0.7005964603420016,38.88888888888889,0.4694444444444444,0.0,0.0,0.0,0.6791764985467306,0.693017190231513,88.88888888888889,0.5416666666666667,0.9615384638309479,0.9285714328289032,1.0,0.6934954766859653,0.6931238979108345,57.14285714285714,0.33333333333333337,0.0,0.0,0.0,0.693048446856738,0.7193804091343544,40.0,0.25,0.0,0.0,0.0,0.7362916717561937,0.7031819674789466,37.5,0.13333333333333333,0.0,0.0,0.0,0.8465155456097816
3,0.6933860471806487,0.694407836499052,53.84615384615385,0.41666666666666663,0.0,0.0,0.0,0.6670723443792577,56.25,0.7683407738095238,0.19791666604578495,0.4375,0.13437500223517418,0.6927294054082646,0.6930686929730224,55.026455026455025,0.6288442460317459,0.10416666666666667,0.20833333333333334,0.07083333469927311,0.6930841514829195,0.5872512549320321,68.75,0.7702380952380953,0.0,0.0,0.0,0.4237441340646865,0.6569854499796075,64.65517241379311,0.48190476190476184,0.0,0.0,0.0,0.7510005886564607,0.6930344943880916,57.14285714285714,0.5736111111111112,0.6214896341164907,0.5,0.8333333333333334,0.6931455566691642,0.6866520991971558,44.44444444444444,0.6805555555555557,0.20634921391805014,0.5,0.13888889054457346,0.7132920203613236,0.6932621206069798,22.22222222222222,0.5,0.0,0.0,0.0,0.7405065956213565,0.6931239441297288,57.14285714285714,0.26666666666666666,0.0,0.0,0.0,0.7620945461416468,0.7208554843051896,40.0,0.25,0.0,0.0,0.0,0.7293039316820936,0.6943972185192011,37.5,0.4,0.5454545617103577,0.375,1.0,0.706711123945491
4,0.7134152717990329,0.693151694558927,46.15384615384615,0.4666666666666667,0.4999999850988388,0.4642857164144516,0.6666666716337204,0.6707592933578495,55.46875,0.7538690476190475,0.6630459949374199,0.5285714352503419,0.96875,0.6828496758562466,0.6929585762882453,47.61904761904761,0.5326388888888889,0.6242324958244959,0.4767857150485118,1.0,0.6925733441934041,0.635807794529521,68.75,0.7872023809523809,0.0,0.0,0.0,0.181436474060866,0.6539931759478963,64.65517241379311,0.5366269841269842,0.0,0.0,0.0,0.8093728599694938,0.6928346494173566,57.14285714285714,0.5576388888888889,0.6043956130743027,0.5,0.8333333333333334,0.691680999256112,0.6615380480208422,61.111111111111114,0.5166666666666667,0.8008658091227213,0.7083333333333334,1.0,0.5974593156627009,0.6934372650117232,22.22222222222222,0.375,0.0,0.0,0.0,0.6925787774049569,0.6944497223386462,57.14285714285714,0.3222222222222222,0.0,0.0,0.0,0.6930229667444145,0.7395106006830942,40.0,0.6666666666666666,0.0,0.0,0.0,0.6586035086000643,0.6988208584844471,37.5,0.3333333333333333,0.5454545617103577,0.375,1.0,0.7013591844889616
5,0.6535817844676485,0.6749966447394724,46.15384615384615,0.5625,0.6190476417541504,0.45000000298023224,1.0,0.5898139505098885,69.53125,0.7867187500000001,0.5745761301368475,0.7500000037252903,0.5031250035390258,0.4451772601707082,0.6928683027761948,52.910052910052904,0.5443700396825396,0.5209281581143538,0.5085317517320315,0.6137896900375684,0.6898350446052208,0.5838254465228774,68.75,0.6919642857142857,0.0,0.0,0.0,0.45727777346785414,0.673314056785137,56.896551724137936,0.4377777777777778,0.18571428855260214,0.26666666865348815,0.18777777949968974,0.5994734489995152,0.6930994295543349,47.61904761904761,0.53125,0.5211344063282013,0.5119047661622366,0.597222218910853,0.6941221452831338,0.6161969827689683,72.22222222222221,0.6333333333333333,0.564102570215861,0.4940476218859355,0.6666666666666666,0.7446246438476971,0.7006374445844322,22.22222222222222,0.5,0.0,0.0,0.0,0.7095313389018517,0.7249448121095069,42.857142857142854,0.375,0.1428571492433548,0.5,0.0833333358168602,0.7587164713657292,0.6926525145783105,40.0,0.6875,0.0,0.0,0.0,0.69216504818551,0.6571595570524588,62.5,0.6666666666666666,0.6666666865348816,0.5,1.0,0.6265940613780341
6,0.6727652872510573,0.6813632622161706,38.46153846153847,0.5,0.558441549539566,0.41428571939468384,0.875,0.5517216500786092,72.65625,0.8395833333333335,0.6589691638946533,0.8020833376795053,0.598214291036129,0.5254927435140603,0.6928258906542974,50.79365079365079,0.5456597222222223,0.5481150870521864,0.4698412772268057,0.7243055595705906,0.6924027376065115,0.5411308095018366,71.875,0.8504464285714286,0.25,0.25,0.25,0.789435875493259,0.6756933813189966,50.0,0.418452380952381,0.205627703666687,0.24333333770434062,0.2166666696468989,0.6802710299002314,0.6931957427323721,52.38095238095239,0.5728174603174603,0.6297979801893234,0.708333338300387,0.6380952397982279,0.6905951324376506,0.6367664969896609,72.22222222222221,0.45,0.841269850730896,0.75,1.0,0.5260103092570471,0.6953780946780338,22.22222222222222,0.625,0.0,0.0,0.0,0.6933740871605467,0.69349912825621,42.857142857142854,0.23333333333333334,0.20000000298023224,0.25,0.1666666716337204,0.69295337326245,0.6961789468451591,40.0,0.26666666666666666,0.0,0.0,0.0,0.6932222262723738,0.6917351972257901,50.0,0.5333333333333333,0.5999999642372131,0.4285714328289032,1.0,0.7167428115328315
7,0.5538918813759377,0.7491923802192357,46.15384615384615,0.6770833333333333,0.6190476417541504,0.45000000298023224,1.0,0.5888447062719417,71.09375,0.8106770833333334,0.6955260094255209,0.6651785783469677,0.7718750052154064,0.2822336893085827,0.6938153542182102,50.79365079365079,0.5009176587301586,0.6200716085731983,0.4856646880507469,0.9152777791023254,0.6702892814478136,0.5540340805653318,78.125,0.646875,0.4125000014901161,0.5625,0.3541666716337204,0.5224516294541324,0.6834859743012426,47.41379310344828,0.5293253968253968,0.47878307700157163,0.3823809603850047,0.7222222288449606,0.7265824543580583,0.6930759328739624,47.61904761904761,0.49087301587301585,0.4939458668231964,0.4722222213943799,0.563492069641749,0.6910412546863144,0.8830610621069546,66.66666666666666,0.7777777777777778,0.7503607670466105,0.6071428656578064,1.0,0.27575007829681447,0.9266046823822999,22.22222222222222,0.39285714285714285,0.0,0.0,0.0,0.6080357029381595,0.7119962430935007,57.14285714285714,0.3125,0.0,0.0,0.0,0.7352132538658667,0.6918298090603896,40.0,0.75,0.0,0.0,0.0,0.6931153027149023,0.7811714103174616,50.0,0.8,0.5999999642372131,0.4285714328289032,1.0,0.6765505436437057
8,0.6704104061080692,0.6828137119334146,46.15384615384615,0.5,0.4285714328289032,0.375,0.5,0.6178873870524303,71.875,0.8489583333333333,0.6219246163964272,0.8031250014901161,0.5520833367481828,0.21233225836592903,0.6909310720543448,53.43915343915344,0.5175347222222223,0.5426887944340706,0.4979166698952516,0.6166666746139526,0.6948839223479275,0.5694310296483338,78.125,0.8208333333333333,0.5000000149011612,0.625,0.5,1.0279413129619595,0.7062252064231639,50.0,0.5073809523809524,0.3032804310321808,0.3044444501399994,0.3377777834733327,0.4331376720542106,0.6931978868002939,57.14285714285714,0.4298611111111111,0.6448412736256918,0.647222230831782,0.6646825472513834,0.6939376043846239,0.8410917516376872,72.22222222222221,0.5597222222222222,0.8585858742396036,0.7777777711550394,1.0,0.8408805336435232,0.8538477840980166,22.22222222222222,0.5833333333333333,0.0,0.0,0.0,0.6387452314400558,0.7396496556592117,42.857142857142854,0.15555555555555556,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.6857754695977544,0.6925784154188116,40.0,0.9333333333333333,0.0,0.0,0.0,0.6993608338518116,0.6581495670904072,62.5,0.8,0.6666666865348816,0.5,1.0,0.6314672915061975
