,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6941538954406383,0.6940406043790992,42.857142857142854,0.4166666666666667,0.5999999642372131,0.4285714328289032,1.0,0.6798033148357496,63.63636363636363,0.5666666666666667,0.7846153974533081,0.6458333432674408,1.0,1.4686141663760033,0.6930913132320761,54.54545454545454,0.35,0.0,0.0,0.0,0.693360946639397,0.6933934315410526,53.333333333333336,0.23333333333333334,0.6507936716079712,0.5178571492433548,1.0,0.6908984451147777,0.69306194567736,50.0,0.6875,0.6000000238418579,0.5,0.75,0.6930671816913756,0.7010739438945819,62.5,0.06666666666666667,0.7692307829856873,0.625,1.0,0.7315292407210465,0.7319090936863071,50.0,0.4444444444444444,0.6666666865348816,0.5,1.0,1.0476050590002406,0.8675823171330992,57.14285714285714,0.75,0.0,0.0,0.0,0.3454906122404078,0.5761735016568686,66.66666666666666,0.7166666666666667,0.0,0.0,0.0,0.6139956010347206,0.72126166134209,50.0,0.625,0.6666666865348816,0.5,1.0,0.688257262778936,0.7591807155614267,50.0,0.625,0.6666666865348816,0.5,1.0,0.5202396304637692,0.6946144453333932,20.0,0.5,0.20000000298023224,0.125,0.5,0.6933191672085653,0.6931338836739666,50.0,0.48333333333333334,0.0,0.0,0.0,0.7384718524617455
1,0.6937232399127524,0.6934222650505667,42.857142857142854,0.16666666666666666,0.5999999642372131,0.4285714328289032,1.0,0.6930466702769585,63.63636363636363,0.9,0.6666666865348816,0.875,0.550000011920929,0.7068766834239911,0.7001621271178616,54.54545454545454,0.21875,0.0,0.0,0.0,0.6903659854329288,0.689564054402031,46.666666666666664,0.875,0.0,0.0,0.0,0.6933046464331577,0.693040440749083,50.0,0.5,0.0,0.0,0.0,0.6925452804543691,0.693371641524216,37.5,0.6666666666666666,0.0,0.0,0.0,0.6934950849346964,0.7242035357822134,50.0,0.3333333333333333,0.6666666865348816,0.5,1.0,0.6969381610304295,0.6874294838283532,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.7077476316789368,0.6599051707465582,66.66666666666666,0.25,0.0,0.0,0.0,0.5784603729983653,0.6931417374345312,50.0,0.375,0.0,0.0,0.0,0.7041367948424896,0.692549281670288,50.0,0.75,0.6666666865348816,0.5,1.0,0.6977646839125748,0.7095009502081321,50.0,0.2857142857142857,0.5,0.3500000014901161,1.0,0.6861493595673425,0.7151515532940869,50.0,0.35,0.7727272808551788,0.6875,1.0,0.7150204067449628
2,0.6793404668038956,0.7269001437367794,42.857142857142854,0.25,0.5999999642372131,0.4285714328289032,1.0,0.6840320530005958,63.63636363636363,0.41666666666666663,0.6785714328289032,0.5416666716337204,1.0,0.6244204908284503,0.6930757598563427,54.54545454545454,0.34375,0.0,0.0,0.0,0.6929856181442797,0.7111806116040816,53.333333333333336,0.38541666666666663,0.6969697177410126,0.5357142984867096,1.0,0.6817696268526815,0.6930243840940525,50.0,0.5,0.0,0.0,0.0,0.6931525605617784,0.6927014744783744,62.5,0.4,0.7692307829856873,0.625,1.0,0.6933390089356231,0.6932020131178009,50.0,0.4444444444444444,0.6666666865348816,0.5,1.0,0.6881842802186118,0.8663645938343733,57.14285714285714,0.6666666666666666,0.0,0.0,0.0,0.5728557415073084,0.6416027327438959,66.66666666666666,0.45833333333333337,0.0,0.0,0.0,0.9444927173461807,0.7345164005417898,50.0,0.5625,0.6666666865348816,0.5,1.0,0.6092762306695435,0.7515438732934896,50.0,0.25,0.6666666865348816,0.5,1.0,0.7090622216792908,0.8221310596493906,20.0,0.41666666666666663,0.20000000298023224,0.125,0.5,0.6928295257192226,1.1455192690984561,50.0,0.09375,0.6666666865348816,0.5,1.0,0.559083755704313
3,0.736095236258998,0.6976870689277985,42.857142857142854,0.8333333333333334,0.5999999642372131,0.4285714328289032,1.0,0.6417483835929537,63.63636363636363,0.6875,0.8333333432674408,0.75,1.0,0.843865735015957,0.6919311006437964,54.54545454545454,0.55,0.0,0.0,0.0,0.6925076631687521,0.6562718814620901,53.333333333333336,0.85,0.6893939673900604,0.5446428656578064,1.0,0.6815063784973914,0.693176252071748,50.0,0.5625,0.0,0.0,0.0,0.6931419198030618,0.7048669107038775,62.5,0.06666666666666667,0.7692307829856873,0.625,1.0,0.6766122549529828,0.6686398220938394,50.0,0.6666666666666666,0.6666666865348816,0.5,1.0,0.6954619656922101,0.8038962913356562,57.14285714285714,0.3333333333333333,0.0,0.0,0.0,0.45544681633350304,0.670986006516803,66.66666666666666,0.35,0.0,0.0,0.0,0.7734179686678916,0.6930441892347372,50.0,0.5625,0.6666666865348816,0.5,1.0,0.8058174763454357,0.7407807943499489,50.0,0.25,0.6666666865348816,0.5,1.0,0.6101335316420917,0.6664543012978921,50.0,0.5416666666666667,0.1666666716337204,0.125,0.25,0.7320226161764284,0.6930456729672537,50.0,0.6166666666666667,0.0,0.0,0.0,0.69310103148164
4,0.693551345554317,0.693563989812617,42.857142857142854,0.5,0.5999999642372131,0.4285714328289032,1.0,0.6676467488746952,63.63636363636363,0.7166666666666667,0.7846153974533081,0.6458333432674408,1.0,0.6331739637759989,0.6931231477162391,54.54545454545454,0.125,0.0,0.0,0.0,0.693286950020633,0.6923453538658844,53.333333333333336,0.6979166666666667,0.6969697177410126,0.5357142984867096,1.0,0.6930542198500381,0.6929864348500904,62.5,0.625,0.4000000059604645,1.0,0.25,0.6930646553662442,0.7287804325779306,62.5,0.13333333333333333,0.7692307829856873,0.625,1.0,0.6569843011269499,0.6924340782893955,66.66666666666666,0.7777777777777778,0.75,0.6000000238418579,1.0,0.696231993942612,1.0013924748428653,57.14285714285714,0.4166666666666667,0.0,0.0,0.0,0.47689458532612805,0.7946493204336069,66.66666666666666,0.5,0.0,0.0,0.0,0.6168782582214131,0.7936563374046076,50.0,0.5625,0.6666666865348816,0.5,1.0,1.2217879358995252,0.7507207532118841,50.0,0.25,0.6666666865348816,0.5,1.0,0.848290654303509,0.7401982252694104,20.0,0.5833333333333333,0.20000000298023224,0.125,0.5,0.802397839771299,0.6931563957507555,50.0,0.48333333333333334,0.5833333432674408,0.7000000029802322,0.5833333432674408,0.6925581910541794
5,0.5728845368412068,0.9363282350904382,42.857142857142854,0.9166666666666666,0.5999999642372131,0.4285714328289032,1.0,0.6514580780034762,63.63636363636363,0.75,0.6785714328289032,0.5416666716337204,1.0,0.6916016797812842,0.6934612751264566,45.45454545454545,0.45,0.2857142984867096,0.5,0.20000000298023224,0.6926219688670839,0.653420550795037,53.333333333333336,0.84375,0.6969697177410126,0.5357142984867096,1.0,0.6866321314188722,0.6921225757203635,50.0,0.5625,0.6666666865348816,0.5,1.0,0.692792235122755,0.68397547184243,62.5,0.5333333333333333,0.7692307829856873,0.625,1.0,0.553224689632861,0.6789895579510684,50.0,0.6666666666666666,0.0,0.0,0.0,0.8340721443607502,1.292286784288695,57.14285714285714,0.4166666666666667,0.0,0.0,0.0,0.6415905066578754,0.9077149404988469,11.11111111111111,0.2833333333333333,0.111111119389534,0.0833333358168602,0.1666666716337204,0.9728473008734486,0.6932384297393286,50.0,0.4375,0.6666666865348816,0.5,1.0,0.6914285135910658,0.6930517157804281,50.0,0.6166666666666667,0.38461539149284363,0.3125,0.5,0.6933168612056327,0.696347132296655,20.0,0.5,0.4444444552063942,0.3125,1.0,0.6928113475957087,0.6918276069934383,50.0,0.46875,0.0,0.0,0.0,0.6928698515675608
6,1.0521435610567575,0.7083032954867432,42.857142857142854,0.16666666666666666,0.5999999642372131,0.4285714328289032,1.0,0.6387872973499243,63.63636363636363,0.9166666666666667,0.6785714328289032,0.5416666716337204,1.0,0.5531821614541309,0.6930554626094282,54.54545454545454,0.59375,0.6666666865348816,0.5,1.0,0.6928020741559102,0.6177316562991945,80.0,0.7333333333333334,0.694444477558136,1.0,0.5666666775941849,0.7185120406431125,0.6930644851036716,50.0,0.4375,0.6666666865348816,0.5,1.0,0.6949383408022242,0.8542805569615395,62.5,0.0,0.7692307829856873,0.625,1.0,0.6423421100233878,0.6912520690739861,83.33333333333334,0.7777777777777778,0.8571428656578064,0.75,1.0,0.6976735015471396,0.8104964220183037,57.14285714285714,0.4166666666666667,0.0,0.0,0.0,0.5024518732669487,0.7936306436631133,66.66666666666666,0.31666666666666665,0.0,0.0,0.0,0.9009717658734451,0.693012549224576,50.0,0.6875,0.0,0.0,0.0,0.6937455945457867,0.7164718653359127,50.0,0.55,0.7727272808551788,0.6875,1.0,0.6167057872995088,0.8016735080837962,30.0,0.14285714285714285,0.4583333432674408,0.3214285746216774,1.0,0.6697538104193795,0.6924093158653555,70.0,0.7166666666666667,0.5833333432674408,1.0,0.4166666716337204,0.6923920950142857
7,0.765081793902997,0.7680077962432844,28.57142857142857,0.25,0.2857142686843872,0.25,0.3333333432674408,0.6229514944244743,63.63636363636363,0.9,0.7846153974533081,0.6458333432674408,1.0,0.4642221567458175,0.6929281265179404,54.54545454545454,0.6666666666666666,0.0,0.0,0.0,0.6925864944563722,0.6486265903363254,73.33333333333333,0.875,0.7301587462425232,0.7333333492279053,0.75,0.750666418318941,0.6926319389104809,50.0,0.625,0.0,0.0,0.0,0.6930485189391062,0.8676507425719316,62.5,0.06666666666666667,0.7692307829856873,0.625,1.0,0.6314595477296121,0.6923020847203185,83.33333333333334,0.7777777777777778,0.8571428656578064,0.75,1.0,0.6875451847001968,1.081098974733618,57.14285714285714,0.4166666666666667,0.0,0.0,0.0,0.6229738091041436,0.858183006787791,66.66666666666666,0.2833333333333333,0.0,0.0,0.0,0.7110996002663619,0.7189047904524061,50.0,0.625,0.6666666865348816,0.5,1.0,0.46473504636230284,0.7230310870091113,50.0,0.5833333333333333,0.38461539149284363,0.3125,0.5,0.5948521341547817,0.8068249677777877,50.0,0.5714285714285714,0.5,0.5,0.5,0.62774694898655,0.7569950900597153,50.0,0.48333333333333334,0.38461539149284363,0.3125,0.5,0.6301208975701585
8,0.6316908941564978,0.6987322326694948,42.857142857142854,0.4166666666666667,0.5999999642372131,0.4285714328289032,1.0,0.5905897911568199,63.63636363636363,0.8666666666666667,0.7846153974533081,0.6458333432674408,1.0,1.7428531677226837,0.6927628092217023,54.54545454545454,0.3125,0.0,0.0,0.0,0.6927541690157825,0.5643845219698982,73.33333333333333,0.8645833333333333,0.6666666865348816,1.0,0.5,0.6845310606386374,0.6944157482316269,50.0,0.5625,0.6666666865348816,0.5,1.0,0.6924737512678811,1.0530303636975296,62.5,0.06666666666666667,0.7692307829856873,0.625,1.0,0.5509426923551224,0.6916811046832118,50.0,0.7777777777777778,0.0,0.0,0.0,0.6961383021909381,0.7515621277022938,42.857142857142854,0.4166666666666667,0.0,0.0,0.0,0.30271698376057393,0.9150764943535292,44.44444444444444,0.2833333333333333,0.0,0.0,0.0,0.6186253740584876,0.7035131430686691,50.0,0.625,0.6666666865348816,0.5,1.0,0.7128238105357895,0.6890509363236991,60.0,0.3125,0.6969697177410126,0.5357142984867096,1.0,0.5716233365922615,0.6756804604341444,50.0,0.375,0.0,0.0,0.0,0.7647793075803223,0.5825623412338671,60.0,0.6833333333333333,0.4166666865348816,0.3571428656578064,0.5,0.5284058429179506
