,ASD,ASD,ASD,ASD,ASD,ASD,ASD,SZ,SZ,SZ,SZ,SZ,SZ,SZ,BIP,BIP,BIP,BIP,BIP,BIP,BIP,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6933461942941579,0.6931443554862979,52.38095238095239,0.5501736111111111,0.39715608457724255,0.6486111159125963,0.3399801639219125,0.7026303862223665,50.0,0.6848958333333334,0.02500000037252903,0.0625,0.015625,0.5375220045217864,0.5598452471077713,80.64516129032258,0.5625,0.0,0.0,0.0,0.760427619243005,0.6932296622293056,33.04347826086956,0.5847619047619047,0.48586377600828806,0.3444444457689921,0.9333333333333333,0.6930740483070212,0.6932558663062875,43.90243902439025,0.5402777777777777,0.0,0.0,0.0,0.6926241703983042,0.7074430368148243,41.17647058823529,0.2916666666666667,0.6969696680704752,0.6190476218859354,0.8333333333333334,0.703164187334562,0.6917999880651834,66.66666666666666,0.46875,0.8636363744735718,0.7857142984867096,1.0,0.7021233837287889,0.6923314906046301,53.84615384615385,0.5520833333333333,0.0,0.0,0.0,0.670218518661651,0.6932711722708117,21.428571428571427,0.20833333333333334,0.34285715222358704,0.2083333358168602,1.0,0.6928749441650279,0.6851550887500927,60.0,0.41666666666666663,0.4285714328289032,0.375,0.5,0.6688781770626984,0.7157714290464531,25.0,0.9166666666666666,0.0,0.0,0.0,0.6947496804248927
1,0.6935252137486847,0.6929891131770015,55.55555555555556,0.5852430555555556,0.5363005176186562,0.5404762017230192,0.5722222303350767,0.6279050653835545,67.96875,0.8197916666666668,0.5787202399224043,0.7500000018626451,0.5406250022351742,0.6325361014806582,0.5059164484997969,80.64516129032258,0.6666666666666667,0.0,0.0,0.0,0.44771216729029767,0.6927065961524085,66.95652173913044,0.4255952380952381,0.0,0.0,0.0,0.6921271684366866,0.6933656905322277,53.65853658536586,0.5069444444444444,0.5022792170445124,0.4652777860562007,0.5972222288449606,0.6931918422388599,0.6952322864044023,5.88235294117647,0.22916666666666666,0.0,0.0,0.0,0.6893147500246886,0.7177121897816932,55.55555555555556,0.5166666666666666,0.3333333432674408,0.375,0.30000001192092896,0.679168983096793,0.6950830351244885,46.15384615384615,0.675,0.5512820482254028,0.4125000014901161,1.0,0.6805151367570775,0.6933536716763923,28.57142857142857,0.30833333333333335,0.36666665971279144,0.22500000149011612,1.0,0.693021603148896,0.6845172064555674,40.0,0.3,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.999483069064121,0.6900024148617581,62.5,0.6666666666666666,0.6666666865348816,1.0,0.5,0.6901626200204118
2,0.693369658871618,0.6883684589410729,56.613756613756614,0.589112103174603,0.5877886166175207,0.5562500115483999,0.6732142915328344,0.567384019441868,67.1875,0.7908482142857142,0.7109918016940355,0.6418898925185204,0.8619047645479441,0.31016241086856483,0.48318838822986954,80.64516129032258,0.5595238095238095,0.0,0.0,0.0,0.7774701569311079,0.6808645177515834,66.95652173913044,0.49682539682539684,0.0,0.0,0.0,0.7585613925742856,0.6933680139627473,43.90243902439025,0.3972222222222223,0.0,0.0,0.0,0.6942344017207773,0.6927269290049353,82.35294117647058,0.8055555555555555,0.8632478713989258,0.7857142885526022,1.0,0.6929760945902055,0.7416529212033276,55.55555555555556,0.5166666666666666,0.25,0.3333333432674408,0.20000000298023224,0.6579942027924613,0.7082967116643608,46.15384615384615,0.5208333333333333,0.6190476417541504,0.45000000298023224,1.0,0.693229861942258,0.6936055068595941,21.428571428571427,0.20833333333333334,0.2678571492433548,0.1666666716337204,0.75,0.6924479538453987,0.6946994226331251,60.0,0.7333333333333334,0.75,0.8333333432674408,0.7000000029802322,0.6882246910792535,0.6813937622283567,62.5,0.6666666666666666,0.6666666865348816,1.0,0.5,0.6988479582398971
3,0.6926668758118714,0.6925209734142533,61.904761904761905,0.6307291666666666,0.5637927018105984,0.6626984191437563,0.5437500098099312,0.5795346997927929,71.875,0.79140625,0.6491567604243755,0.7770833373069763,0.5989583386108279,0.36093054535948693,0.4548365680505974,80.64516129032258,0.75,0.0,0.0,0.0,0.34466725415322014,0.6906598071425538,66.95652173913044,0.5426984126984126,0.0,0.0,0.0,0.7159478284836638,0.6929198996821034,53.65853658536586,0.6103174603174604,0.4351851890484492,0.7222222238779068,0.35873016466697055,0.6936296911553942,0.6801028463870473,64.70588235294117,0.8111111111111112,0.5030303001403809,0.4206349154313405,0.6666666666666666,0.6859804171738835,0.7018931847500763,44.44444444444444,0.5,0.0,0.0,0.0,0.8830031215531388,0.7117846936598103,53.84615384615385,0.5625,0.6493506729602814,0.48571430146694183,1.0,0.6913009022301914,0.6935710125920564,21.428571428571427,0.5916666666666667,0.34285715222358704,0.2083333358168602,1.0,0.693434865541028,0.7012803867500234,60.0,0.7,0.75,0.8333333432674408,0.7000000029802322,0.6307835685529947,0.6818917266050065,37.5,0.6666666666666666,0.2857142984867096,1.0,0.1666666716337204,0.6979767044358054
4,0.6950348005907558,0.6926920549754365,61.37566137566137,0.589186507936508,0.5318211888273557,0.6498015920321146,0.5069444483766953,0.581954519630153,69.53125,0.8223958333333333,0.5655257999897003,0.6989583373069763,0.5163690559566021,0.6515112041686583,0.44578837349784667,80.64516129032258,0.6869047619047619,0.0,0.0,0.0,0.4201044207675932,0.6889971352267759,66.95652173913044,0.5749603174603176,0.0,0.0,0.0,0.6706800596424312,0.6928592068930686,46.34146341463415,0.6118055555555556,0.08333333333333333,0.16666666666666666,0.055555557211240135,0.6930821077887829,0.6627584894285105,70.58823529411765,0.6555555555555556,0.4888889193534851,0.4888888994852702,0.4888888994852702,0.6789105388134075,0.6936715296595679,44.44444444444444,0.5625,0.0,0.0,0.0,0.5424297830620038,0.7022775822313547,61.53846153846154,0.3333333333333333,0.7083333432674408,0.550000011920929,1.0,0.6897450395690227,0.6934508515132818,35.714285714285715,0.475,0.222222238779068,0.1428571492433548,0.5,0.6934449074826271,0.689496767304725,40.0,0.3,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.648338223330105,0.6880612888888861,37.5,0.8333333333333334,0.2857142984867096,1.0,0.1666666716337204,0.6958349595898062
5,0.6878516199715996,0.6921306072767653,56.08465608465608,0.6259672619047618,0.5640815285344919,0.5833829436451197,0.6150793743630251,0.558583495578418,71.875,0.8324776785714286,0.7032602895051241,0.7218750044703484,0.783630957826972,0.6139814552300377,0.4273779175173159,83.87096774193549,0.7767857142857143,0.36666667461395264,0.2916666716337204,0.5,0.14916274716245817,0.6864782121418479,66.95652173913044,0.5341666666666666,0.0,0.0,0.0,0.6719898873920392,0.6925334868738412,58.536585365853654,0.6722222222222222,0.47121212879816693,0.4888888994852702,0.46666667362054187,0.6931838648512711,0.5270843977284064,88.23529411764706,0.8333333333333334,0.9333333373069763,0.8888888955116272,1.0,0.530172228063159,0.7002933274308722,55.55555555555556,0.5625,0.2857142686843872,0.3333333432674408,0.25,0.6229190742201683,0.6975197992248737,53.84615384615385,0.5,0.6666666865348816,0.5,1.0,0.6890171294516585,0.6935366279717208,21.428571428571427,0.6916666666666667,0.34285715222358704,0.2083333358168602,1.0,0.6931235214626831,0.7130168633642917,60.0,0.46875,0.619047611951828,0.8333333432674408,0.5,0.7570957636310626,0.6101062315325616,62.5,0.8333333333333334,0.6666666865348816,1.0,0.5,0.6966562138158309
6,0.6902321278519725,0.691598065306437,51.32275132275132,0.6197916666666666,0.23869048058986664,0.3930555582046509,0.1875000031044086,1.0666417684900174,61.71875,0.8158854166666667,0.41056548431515694,0.7291666679084301,0.3083333382382989,0.5447710597682469,0.6847325376480164,80.64516129032258,0.6166666666666667,0.0,0.0,0.0,0.07670483571244151,0.6617909656774789,66.95652173913044,0.4733333333333334,0.0,0.0,0.0,0.8039897844374732,0.6921525380921013,46.34146341463415,0.5833333333333333,0.2976190497477849,0.4166666666666667,0.2555555577079455,0.6937969409488949,0.6428487091590952,52.94117647058824,0.5569444444444445,0.3888888955116272,0.3571428656578064,0.4333333373069763,1.0249240137660913,0.8125131360135112,44.44444444444444,0.65625,0.0,0.0,0.0,0.5703183189462437,0.704759089126689,46.15384615384615,0.23333333333333334,0.5512820482254028,0.4125000014901161,1.0,0.7327822100344296,0.695888736677653,21.428571428571427,0.45,0.34285715222358704,0.2083333358168602,1.0,0.6942292801938628,0.6747644956630167,50.0,0.7,0.6666666865348816,0.5357142984867096,0.9000000059604645,0.5988859482029875,0.6865194041442041,37.5,1.0,0.2857142984867096,1.0,0.1666666716337204,0.547983330579681
7,0.6917693551619519,0.6898407234191928,61.904761904761905,0.6112847222222221,0.630408264696598,0.5960317545880874,0.7083333420256773,0.5764053154199189,75.78125,0.8252604166666665,0.7383928745985031,0.7770833391696215,0.7322916761040688,0.1197744471720979,0.39234813410946157,87.09677419354838,0.7166666666666667,0.49166667461395264,0.5,0.5416666716337204,0.3362390277590038,0.6595726259866347,66.95652173913044,0.6213492063492063,0.0,0.0,0.0,0.6729262855722415,0.6906545265819661,63.41463414634146,0.6722222222222222,0.5583333373069763,0.6000000139077505,0.5777777830759684,0.6905666373640943,0.519073163608172,82.35294117647058,0.8333333333333334,0.5925926367441813,0.600000003973643,0.600000003973643,0.32973507564363,0.6843076160644446,33.33333333333333,0.3833333333333333,0.0,0.0,0.0,0.6845716230906209,0.6927811938933621,46.15384615384615,0.6145833333333333,0.6190476417541504,0.45000000298023224,1.0,0.6852818459136608,0.6963653002281548,21.428571428571427,0.5666666666666667,0.34285715222358704,0.2083333358168602,1.0,0.6934423939846145,0.7506638833763383,60.0,0.46875,0.6666666716337204,0.75,0.625,0.7419055744380865,0.5574570245741486,62.5,1.0,0.6666666865348816,1.0,0.5,0.5834356342999522
8,0.7025982314041255,0.6915286524765644,51.32275132275132,0.6199900793650792,0.19877645621697107,0.3888888905445735,0.14117063644031683,0.7171439242367569,62.5,0.8174479166666666,0.37886905670166016,0.71875,0.26562500186264515,0.2809670881611857,0.40190052562792095,83.87096774193549,0.5982142857142857,0.125,0.25,0.0833333358168602,0.6656331173294375,0.6535433859286186,66.95652173913044,0.5142857142857142,0.0,0.0,0.0,0.5167701238252382,0.691890559210172,43.90243902439025,0.6305555555555556,0.08333333333333333,0.16666666666666666,0.055555557211240135,0.6938880436016314,0.6810025990417344,52.94117647058824,0.3,0.1111111044883728,0.3333333333333333,0.06666666766007741,0.7113693025006796,0.6909578953159748,55.55555555555556,0.6166666666666667,0.1666666567325592,0.5,0.10000000149011612,0.7411783655316421,0.6951778919046921,30.76923076923077,0.375,0.4107142686843872,0.416666679084301,0.5,0.6929260990842893,0.6942884881942596,21.428571428571427,0.8125,0.3611111119389534,0.2291666716337204,1.0,0.6939131787707729,0.6557645581630863,50.0,0.5,0.38461536169052124,0.3571428656578064,0.4166666567325592,0.6933495952718827,0.6946176610931256,25.0,0.8333333333333334,0.0,0.0,0.0,0.6528426893013988
