,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ,HSJ
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,1747.6763260302778,1503.9437032897288,0.0,0.0,0.0,0.0,0.0
1,1043.6543649622702,1360.5458071311118,0.0,0.0,0.0,0.0,0.0
2,1077.8713373203689,1074.9757984437524,0.0,0.0,0.0,0.0,0.0
3,949.7487555955358,690.3023897193407,0.0,0.0,0.0,0.0,0.0
4,243.44312125519969,544.1833310328843,0.0,0.0,0.0,0.0,0.0
5,127.48699997950034,669.4334079746914,0.0,0.0,0.0,0.0,0.0
6,399.3579374004629,585.5681499035303,0.0,0.0,0.0,0.0,0.0
7,382.80070067466556,501.31290314499336,0.0,0.0,0.0,0.0,0.0
8,192.52644068836454,558.972503706642,0.0,0.0,0.0,0.0,0.0
9,227.11550176013733,558.9107143724411,0.0,0.0,0.0,0.0,0.0
10,370.78318449555536,500.85933588369016,0.0,0.0,0.0,0.0,0.0
11,370.66344685457835,482.9538841612463,0.0,0.0,0.0,0.0,0.0
12,327.91762977991,486.31856248635637,0.0,0.0,0.0,0.0,0.0
13,392.86986858276356,470.36575344629546,0.0,0.0,0.0,0.0,0.0
14,276.2616291166265,461.1394219348182,0.0,0.0,0.0,0.0,0.0
15,319.074098850878,451.6995096783817,0.0,0.0,0.0,0.0,0.0
16,267.9190407769783,464.5728792857701,0.0,0.0,0.0,0.0,0.0
17,384.6604965226851,469.46233060324397,0.0,0.0,0.0,0.0,0.0
18,233.39522484794287,424.4558682700681,0.0,0.0,0.0,0.0,0.0
19,224.12006373887715,402.1314194649093,0.0,0.0,0.0,0.0,0.0
20,215.59729868562272,411.20048962966075,0.0,0.0,0.0,0.0,0.0
21,119.6346896221901,425.61180148234837,0.0,0.0,0.0,0.0,0.0
22,152.88357850299732,419.5404969340637,0.0,0.0,0.0,0.0,0.0
23,141.99843989425068,362.78606559777313,0.0,0.0,0.0,0.0,0.0
24,80.8735293983904,351.4179612021808,0.0,0.0,0.0,0.0,0.0
25,146.1021726453185,328.1138966604094,0.0,0.0,0.0,0.0,0.0
26,256.8333465197926,375.98045072598933,0.0,0.0,0.0,0.0,0.0
27,22.861912682157083,297.37424111009614,0.0,0.0,0.0,0.0,0.0
28,8.704341165337963,298.3905547298961,0.0,0.0,0.0,0.0,0.0
29,84.27551551011652,321.9583388925622,0.0,0.0,0.0,0.0,0.0
30,64.07057957213839,279.29611285688406,0.0,0.0,0.0,0.0,0.0
31,85.0146892808175,289.98238417687855,0.0,0.0,0.0,0.0,0.0
32,29.034270937896284,284.9563238588653,0.0,0.0,0.0,0.0,0.0
33,21.89306660390879,299.1135769185391,0.0,0.0,0.0,0.0,0.0
34,17.373657728158896,307.58882293944816,0.0,0.0,0.0,0.0,0.0
35,27.967428558722613,315.5046919236168,0.0,0.0,0.0,0.0,0.0
