,SZ,SZ,SZ,ASD,ASD,ASD,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
0,0.6880151451606027,0.086557484649591,50.0,0.08802596557482978,47.08994708994709,0.6925391305530062,0.08790589060263357,68.75,0.42030149948643103,0.11560319103272897,38.88888888888889,2.2025387081828045,0.15405832951549606,22.22222222222222,0.7006035018375655,0.10658981399054102,46.15384615384615,0.6930309873305959,0.09900304051976139,57.14285714285714,0.6967522608526884,0.13861953624476928,60.0,0.6931861646957657,0.08682603274330267,37.5,0.8844819342766826
1,0.6486196210597495,0.08703118887996039,50.0,0.08801833987622958,47.61904761904761,0.6933603423550876,0.08522583943042583,68.75,0.664750982008632,0.5143855424897198,38.88888888888889,0.6681031780824767,0.1540577714255377,77.77777777777779,0.6924907252923661,0.10671452570062033,46.15384615384615,0.6928960089505757,0.09897326816410205,57.14285714285714,0.6930350942927348,0.13876479375875034,20.0,0.6931143828572586,0.08666692024229986,50.0,0.6932385110063882
2,0.6692675172892216,0.08553240719688969,50.0,0.0880182892005851,48.67724867724868,0.693358242308469,0.08127816304384906,68.75,0.5098947404264359,0.115151597973215,61.111111111111114,0.6932019738150406,0.1568311351741826,22.22222222222222,0.6913538840480721,0.10653169463789795,53.84615384615385,0.6985268536058942,0.09915300581385351,42.857142857142854,0.6921183601970515,0.14283955742671056,40.0,0.6814066398901955,0.09004510266647098,37.5,0.6917873654418227
3,0.7036309825409206,0.08167711766743854,62.5,0.08802267914393032,47.08994708994709,0.6925019425149785,0.08445817694516917,68.75,0.873949199573105,0.12192483716344042,38.88888888888889,0.6921299774196841,0.6401594100959141,22.22222222222222,0.6683862298383957,0.10663861126053516,46.15384615384615,0.6933325949348138,0.09927860492118556,42.857142857142854,0.6926079625278021,0.14413254196848566,40.0,0.6753798546469972,0.08676813261403538,37.5,0.6949888998675261
4,0.5848023740425852,0.07641096910950573,63.28125,0.08803837133853044,47.08994708994709,0.6931343145138085,0.08022760159344297,68.75,0.6673348171824641,0.1160434897886114,38.88888888888889,0.6936712321568409,0.15421548551186082,22.22222222222222,0.684147018192229,0.10663489389346968,53.84615384615385,0.6934651149444248,0.0987764385006747,57.14285714285714,0.6907814210889616,0.14229263740295367,40.0,0.6941157708701501,0.08691991754798334,37.5,0.6923390960403616
5,0.31361127881927703,0.16081415839146065,61.71875,0.08803185327731794,47.08994708994709,0.6958086502104445,0.08376187509760198,68.75,0.29711889400107655,0.11564771274545278,44.44444444444444,0.6972368316645094,0.1574691617508471,22.22222222222222,0.7403193765655306,0.1053141255996363,53.84615384615385,9.70811798215115,0.10273099631743664,42.857142857142854,0.6728491386603705,0.1419824662328417,40.0,0.6842111446357045,0.08707629731576469,37.5,0.6940132000239397
6,0.5352184078361576,0.07132389727303864,68.75,0.08804696227638802,47.08994708994709,0.6934606402780037,0.08540152749135875,68.75,0.28433922178233545,0.1176946468731729,38.88888888888889,0.6757149887103578,0.15446471199318715,22.22222222222222,0.6884352153721408,0.13937485250228654,53.84615384615385,3.3478473118166234,0.09928954893791701,42.857142857142854,0.6904515698205498,0.13717556267385406,60.0,0.7117702223751596,0.08774605896118737,37.5,0.6876595168447964
7,0.7352432207371624,0.0774931804854944,62.5,0.08805316412821775,47.08994708994709,0.6935390654989528,0.07975586073918112,68.75,0.4595882505297236,0.11716318028752164,38.88888888888889,0.6709940052858643,0.19063639205307878,22.22222222222222,0.6577420244363111,0.795129202928839,53.84615384615385,0.11933443712093034,0.09890021636150038,64.28571428571429,0.6929460641870454,0.16215420486429152,40.0,0.695216627292992,0.08855215695457178,37.5,1.7591282561569273
8,0.41189471446295706,0.07049018291856904,68.75,0.08804782559573962,47.08994708994709,0.6949409966998008,0.08074358515196234,68.75,0.3183184610481031,0.12177216212898505,38.88888888888889,0.8016546769552151,0.17815621743624746,22.22222222222222,1.1523013474715218,0.14627467725461302,61.53846153846154,0.612404183008496,0.09859728792872839,57.14285714285714,0.6906629923191148,0.13834841467889714,40.0,0.7042802204722682,0.09045015120976038,37.5,0.6705010427133296
9,0.2934829808293185,0.07669191662735357,67.1875,0.08807511162629064,47.08994708994709,0.6930309828128886,0.07532288344311125,68.75,0.4803973372786003,0.28506709249359,38.88888888888889,0.4436965511329504,0.15377633797643972,22.22222222222222,0.7060816229320955,0.09861522814376639,61.53846153846154,0.7742519602925834,0.09999241673506122,42.857142857142854,0.6858696229442007,0.1486434756425969,30.0,0.659426503557155,0.08780388155788711,37.5,0.678090082990883
10,0.1567229621827847,0.08032870080510979,65.625,0.08804646195658429,47.08994708994709,0.6983648277727635,0.10943635805951472,68.75,0.09030465414523643,0.11287558813203542,44.44444444444444,0.48512132549025816,0.16451793222951736,22.22222222222222,0.6499319609654314,1.5566813757338223,46.15384615384615,2.037448911063679e-06,0.09756850463871018,57.14285714285714,0.7039823722719886,0.1877816276389773,40.0,1.4289360758599827,0.08992793904884448,37.5,0.6997683368443491
11,0.35470163945526595,0.0730732525135635,67.96875,0.08822217746756689,47.08994708994709,0.6601298753075078,0.07844030518182699,68.75,0.9797749007093242,0.6482625362344465,38.88888888888889,0.5185458234837319,0.22145614402547986,22.22222222222222,0.6308428137903833,0.15753576211764736,53.84615384615385,1.519208676023693,0.09777457935939218,57.14285714285714,0.6769344758317695,0.1700353268339702,40.0,0.5767574913707207,0.0895158567474903,37.5,0.7086374303570696
12,0.28833413589116186,0.1052060215858175,52.34375,0.08798112990309845,47.08994708994709,0.6720862828469751,0.10399880874405162,68.75,0.05015109670898732,0.5775033080175258,38.88888888888889,0.5041702574128046,0.20444874309045818,22.22222222222222,0.6036532244202047,0.33194779003667946,46.15384615384615,0.5776556689811557,0.0983744101248848,57.14285714285714,0.6857146154250044,0.27138193955897605,30.0,1.0747132255862546,0.08898242980608917,37.5,0.6906311513666222
13,0.0733196751166102,0.08328068685136378,64.0625,0.0874308995956766,51.32275132275132,0.6941509800381923,0.09578350090007919,71.875,0.36850328360961787,0.13578889780356124,66.66666666666666,0.18542630392825962,0.13224014204611415,66.66666666666666,0.680403143182622,0.10468811174117446,53.84615384615385,0.47649413701744275,0.09896829023674826,64.28571428571429,1.282191353002281,0.1924246501237147,20.0,0.7175343990432983,0.08649664244533259,37.5,0.684184628967419
14,0.5406598955609944,0.11218895522418348,71.09375,0.08684154864875615,51.32275132275132,1.0210351092077115,0.21459179022836777,68.75,1.638588196959661,0.06138549354098989,83.33333333333334,0.05360867773379911,0.2207447897714568,22.22222222222222,0.6236152342503546,0.0848574380646338,61.53846153846154,0.016206340400156224,0.09684634936178574,57.14285714285714,0.6853465452775248,0.20968060251428114,30.0,0.46481945737141284,0.10677707279735937,37.5,0.5760657734517278
15,0.05966404082709287,0.18423158282474628,68.75,0.08557815082030541,57.67195767195767,0.6964969461640793,0.07662453982441565,65.625,0.9198677814055994,0.278237415085853,61.111111111111114,0.06997855097785663,0.24427685406644079,22.22222222222222,0.5865009390175787,0.27808104189216254,46.15384615384615,0.022143963444677544,0.10012362402804809,57.14285714285714,0.4625931451910908,0.1289576049899191,50.0,0.525251471692082,0.09220786716372242,37.5,0.558543879457623
16,0.5179037567058601,0.07718935759279717,70.3125,0.30808552453563187,56.08465608465608,0.38898323023996606,0.19448845433442463,68.75,0.13981801328845686,0.06471806477978904,77.77777777777779,1.3188170877173524,0.48131422791864353,77.77777777777779,0.5726912544317653,0.08888279328147243,61.53846153846154,1.7774675682856798,0.2452795673730829,42.857142857142854,2.221372896411871,0.282290222574861,20.0,0.8398925084145448,0.13905559846046223,37.5,0.530942022305144
17,0.6892895475601554,0.07091406778133796,67.96875,0.08256416845869105,63.49206349206349,0.6088962600095911,0.06583836476898008,71.875,0.2234519341484975,0.2834372236039771,66.66666666666666,0.03592339502192193,0.15317383999360906,66.66666666666666,0.6939301126262261,0.37506372252505804,46.15384615384615,0.30457957645010275,0.10755401476612428,50.0,0.4157580197598441,4.171408463548585,30.0,0.2007107440485674,1.4983072934195047,62.5,0.41861181501872274
18,0.07135033780396886,0.1040363601883115,71.09375,0.081014311222386,60.84656084656085,0.5428705770027767,0.0727322380346547,68.75,0.2906361429739958,0.3663719800516019,77.77777777777779,0.004861861545502801,0.6197016691764307,22.22222222222222,0.6883105442818066,0.4899830856762905,53.84615384615385,0.00016755885354547342,0.0904658909375083,71.42857142857143,0.4082520952850134,1.2789164682878909,70.0,0.09299246389542287,0.16196200753235887,75.0,0.7003151178958477
19,0.25037998716064647,0.09728041582285908,70.3125,0.11107514354321482,58.730158730158735,0.6222101272871898,0.0937742115846566,71.875,0.48923115070968776,2.9926952068624337,38.88888888888889,0.055222633604849386,0.15203397718683748,44.44444444444444,0.6897533877239619,0.8005520340889529,53.84615384615385,0.27555801835740196,0.7800756426838131,57.14285714285714,3.884705287001381,0.20696521349402172,50.0,5.696771014126859,0.14753376950028474,37.5,0.4636648274918787
20,0.3382089719050178,0.08536863770972342,71.09375,0.09571235211174983,57.67195767195767,0.6044708862540293,0.07495230290877646,75.0,0.0664648779570722,0.2356279663402698,66.66666666666666,0.11808341581344937,0.16016707228668028,22.22222222222222,0.6780772557949842,0.12354136434465103,46.15384615384615,0.686522012832964,1.2788075135773849,57.14285714285714,0.26050874223911097,0.08906497642721485,70.0,10.114778434303126,0.08594674212866836,37.5,0.8449413641044276
21,0.21537966375042386,0.24644204249657498,71.09375,0.08400331005101958,66.66666666666666,0.8150462576591064,0.1017375645784258,71.875,0.36246494346684177,0.3083111203148922,66.66666666666666,0.009804292196685358,0.152089757326462,66.66666666666666,0.6926965324924704,0.23064971994161432,69.23076923076923,2.7707680315090095,0.25196373071279904,71.42857142857143,17.98999085286389,0.7027160335510011,60.0,0.05294279448585914,0.09515702308038004,37.5,0.672740906459687
22,0.17562937979211835,0.14110412406679176,64.0625,0.08920615630742984,65.07936507936508,0.33399253728479883,0.08401159861341685,75.0,0.030644503290145626,0.1504992295904189,77.77777777777779,0.0007920567004907897,0.22986521689591186,22.22222222222222,0.5779957095238476,2.591492384149316,53.84615384615385,3.017101837153033,0.09221273136906001,57.14285714285714,0.5261694705381637,2.357883244796759,40.0,0.002117533387565994,0.06529234304905336,62.5,0.7578081676357354
23,1.0332234777841782,0.10049751449102348,70.3125,0.17950471328753057,58.201058201058196,0.0002263621071037082,0.07366439996570545,68.75,0.013148503592620504,0.5180180425723956,66.66666666666666,8.80059023792522e-06,0.15964014189889328,66.66666666666666,2.5092817328770254,0.09553567549404116,69.23076923076923,0.7555811113880306,0.7234907247807196,57.14285714285714,0.26157680440463166,0.8377206459008786,30.0,0.40788708338246876,0.11927259159285611,37.5,0.30118185149089644
24,0.24623969510007315,0.11451975339507482,71.09375,0.12749666248046018,62.96296296296296,0.2882291909755751,0.19762481667849904,75.0,0.14655604864015334,0.3438180540181428,77.77777777777779,2.0057375143108304e-05,0.13106178923378017,66.66666666666666,0.6892800317260669,0.29182143868225535,61.53846153846154,0.0004585940821709117,1.1389940329747503,57.14285714285714,0.19241502961842422,1.3501311804428233,40.0,1.350681990005378e-05,0.21782270705517093,50.0,0.3444743000420394
25,0.055290443761117636,0.11116749897751066,70.3125,0.09710427519360688,56.613756613756614,1.4418279262530382,0.12496977890193263,71.875,0.22942391037242715,0.23381204174117876,77.77777777777779,2.3690616657933006e-06,2.045312148456852,22.22222222222222,0.025456230697940275,0.7931095846346727,53.84615384615385,0.25483057853312174,0.1290109986509775,57.14285714285714,0.10654824473385159,1.9735888836197624,50.0,0.00010446266192411252,0.08748108826380031,62.5,0.24969589244134868
