,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,ADHD6,NYU,NYU,NYU,NYU,NYU,NYU,NYU,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM,USM,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,4806.994318158197,3789.6657201921453,0.0,0.0,0.0,0.0,0.0,23.10264563773807,0.0,0.0,0.0,0.0,0.0,39.09254411473251,59.35935154510943,0.0,0.0,0.0,0.0,0.0,72.73787847786033,32.93993185508696,0.0,0.0,0.0,0.0,0.0,22.473241097850856,13.80577835886041,0.0,0.0,0.0,0.0,0.0,25.7514665215347,21.95782770790494,0.0,0.0,0.0,0.0,0.0,87.27178368210612,461.39844722853695,0.0,0.0,0.0,0.0,0.0,859.481483001548,201.92935989367146,0.0,0.0,0.0,0.0,0.0,610.2272125961031,197.21266167383087,0.0,0.0,0.0,0.0,0.0,501.50804820458035,225.21046670943952,0.0,0.0,0.0,0.0,0.0,689.0868759331535,382.0034112392554,0.0,0.0,0.0,0.0,0.0,198.2728437010363,728.8452398671174,0.0,0.0,0.0,0.0,0.0,177.2522641605934,44.05846575312589,0.0,0.0,0.0,0.0,0.0,184.59269573657735,560.7976958938349,0.0,0.0,0.0,0.0,0.0,794.5269247722499,2360.5963386231365,0.0,0.0,0.0,0.0,0.0,2994.478587039537,2543.027432112968,0.0,0.0,0.0,0.0,0.0,3202.222743858303,79.64683981487211,0.0,0.0,0.0,0.0,0.0,122.28371311197498
1,2772.6671729728027,2396.415918786414,0.0,0.0,0.0,0.0,0.0,7.240681094657656,0.0,0.0,0.0,0.0,0.0,14.039768118785625,12.424939671740482,0.0,0.0,0.0,0.0,0.0,7.314617483624933,24.28278238435419,0.0,0.0,0.0,0.0,0.0,7.622901690420176,8.53479677879175,0.0,0.0,0.0,0.0,0.0,15.056781415111093,16.797461577448583,0.0,0.0,0.0,0.0,0.0,12.553567259003874,480.5783308041465,0.0,0.0,0.0,0.0,0.0,1130.1562466204823,63.60508025708178,0.0,0.0,0.0,0.0,0.0,0.05321217153450656,155.96730268741774,0.0,0.0,0.0,0.0,0.0,27.366697331210034,92.2903177267976,0.0,0.0,0.0,0.0,0.0,135.9324657297056,559.3021116907973,0.0,0.0,0.0,0.0,0.0,287.2513047253046,580.4472283931365,0.0,0.0,0.0,0.0,0.0,320.15580389561717,27.447982458383684,0.0,0.0,0.0,0.0,0.0,35.31302345111105,192.52160539285842,0.0,0.0,0.0,0.0,0.0,362.2491769524832,1467.4734187955592,0.0,0.0,0.0,0.0,0.0,1998.5288858664087,1901.7512342937644,0.0,0.0,0.0,0.0,0.0,2135.773902625314,85.846673120542,0.0,0.0,0.0,0.0,0.0,113.39486070367619
2,2328.896746831778,1798.0832322388694,0.0,0.0,0.0,0.0,0.0,7.772691934347958,0.0,0.0,0.0,0.0,0.0,5.9629600785144765,27.378684822129966,0.0,0.0,0.0,0.0,0.0,20.12448701753733,21.413890323299793,0.0,0.0,0.0,0.0,0.0,7.866204561353161,6.491537046670167,0.0,0.0,0.0,0.0,0.0,3.391237980475121,10.407876875808597,0.0,0.0,0.0,0.0,0.0,10.427754441165588,321.65889532919846,0.0,0.0,0.0,0.0,0.0,1414.0788660521125,69.79471526907886,0.0,0.0,0.0,0.0,0.0,240.67669158299725,169.59563414547173,0.0,0.0,0.0,0.0,0.0,53.575465386522694,61.86934500034029,0.0,0.0,0.0,0.0,0.0,107.73219008542881,431.2476297232089,0.0,0.0,0.0,0.0,0.0,269.8004007830403,511.7952579208045,0.0,0.0,0.0,0.0,0.0,13.378697577091453,32.520548580742854,0.0,0.0,0.0,0.0,0.0,6.3950418953225965,113.26753760719693,0.0,0.0,0.0,0.0,0.0,27.804372611375967,1003.7301676027922,0.0,0.0,0.0,0.0,0.0,1192.342967601816,1616.815348472625,0.0,0.0,0.0,0.0,0.0,1717.3536284979039,57.23116630385406,0.0,0.0,0.0,0.0,0.0,122.43780395326843
3,1312.6066225424618,1083.6795776281303,0.0,0.0,0.0,0.0,0.0,4.170167944473071,0.0,0.0,0.0,0.0,0.0,7.986143626113313,4.4478534311734075,0.0,0.0,0.0,0.0,0.0,8.459628454897565,15.551222769782665,0.0,0.0,0.0,0.0,0.0,10.9338966120172,5.00777372365741,0.0,0.0,0.0,0.0,0.0,8.327756564896179,9.272500621718226,0.0,0.0,0.0,0.0,0.0,78.11442329875575,85.21007403798828,0.0,0.0,0.0,0.0,0.0,443.20313757977,66.36340664560375,0.0,0.0,0.0,0.0,0.0,23.087344603366624,129.16496845734838,0.0,0.0,0.0,0.0,0.0,17.424187371428403,45.36926127664129,0.0,0.0,0.0,0.0,0.0,107.8147414618696,383.3086148848232,0.0,0.0,0.0,0.0,0.0,436.24696601825457,293.3461353164732,0.0,0.0,0.0,0.0,0.0,91.78470015286169,23.14357958095101,0.0,0.0,0.0,0.0,0.0,14.882398283187639,88.23123218929159,0.0,0.0,0.0,0.0,0.0,100.54249384834485,453.5991079485219,0.0,0.0,0.0,0.0,0.0,773.3266543192308,1211.0214043879466,0.0,0.0,0.0,0.0,0.0,1771.426405017233,59.43107656522695,0.0,0.0,0.0,0.0,0.0,66.57822698389279
4,731.6860532777343,337.60065311333176,0.0,0.0,0.0,0.0,0.0,3.4329726665725646,0.0,0.0,0.0,0.0,0.0,5.758847160460479,5.357547637452054,0.0,0.0,0.0,0.0,0.0,15.223581279756212,12.76795611433062,0.0,0.0,0.0,0.0,0.0,11.276733460602914,3.5033273806753824,0.0,0.0,0.0,0.0,0.0,8.794636061232481,14.033286113846295,0.0,0.0,0.0,0.0,0.0,48.14073739297252,67.07531475794632,0.0,0.0,0.0,0.0,0.0,57.79308322506619,47.381053257324695,0.0,0.0,0.0,0.0,0.0,23.61874320446865,110.09662484030946,0.0,0.0,0.0,0.0,0.0,167.7229673434132,52.53028932072831,0.0,0.0,0.0,0.0,0.0,33.8755988788045,251.91116650952532,0.0,0.0,0.0,0.0,0.0,163.75783339287995,243.51573774434905,0.0,0.0,0.0,0.0,0.0,193.33892178442107,33.64964777412698,0.0,0.0,0.0,0.0,0.0,17.824948096912795,83.93634299043508,0.0,0.0,0.0,0.0,0.0,214.61650966721484,90.85443868141748,0.0,0.0,0.0,0.0,0.0,321.9592128886626,643.090439423096,0.0,0.0,0.0,0.0,0.0,1258.7122942227784,65.40332789861775,0.0,0.0,0.0,0.0,0.0,24.75694728266327
5,199.35964514833705,125.05684928275598,0.0,0.0,0.0,0.0,0.0,3.055781477186113,0.0,0.0,0.0,0.0,0.0,7.946965059276455,3.3552922307870987,0.0,0.0,0.0,0.0,0.0,1.8590788138693692,12.180302489258336,0.0,0.0,0.0,0.0,0.0,22.678697697073517,4.01328116893724,0.0,0.0,0.0,0.0,0.0,1.5880152929884956,13.85105987118547,0.0,0.0,0.0,0.0,0.0,67.3885739206795,132.77764466378676,0.0,0.0,0.0,0.0,0.0,126.31489967478191,52.306196765679886,0.0,0.0,0.0,0.0,0.0,18.0893030081606,98.7693221160431,0.0,0.0,0.0,0.0,0.0,9.325902248242844,64.73012519028576,0.0,0.0,0.0,0.0,0.0,36.75216515369656,223.05297396731675,0.0,0.0,0.0,0.0,0.0,221.23595371263067,171.97360088464697,0.0,0.0,0.0,0.0,0.0,135.57057630043698,18.63377459861354,0.0,0.0,0.0,0.0,0.0,23.30256691147836,79.45561692033714,0.0,0.0,0.0,0.0,0.0,107.46634880423642,46.606513921140674,0.0,0.0,0.0,0.0,0.0,65.7935160649941,163.75220896236382,0.0,0.0,0.0,0.0,0.0,354.3459606912456,70.57856827968693,0.0,0.0,0.0,0.0,0.0,12.373091883054276
6,161.30602807674228,114.20120702837482,0.0,0.0,0.0,0.0,0.0,3.936489352175976,0.0,0.0,0.0,0.0,0.0,7.786380709003147,1.9038557549430897,0.0,0.0,0.0,0.0,0.0,6.228016796508813,23.95563111905366,0.0,0.0,0.0,0.0,0.0,11.089734009025571,3.9681022056169155,0.0,0.0,0.0,0.0,0.0,8.621226626716636,26.414902149446586,0.0,0.0,0.0,0.0,0.0,14.624052339973867,158.7375151810642,0.0,0.0,0.0,0.0,0.0,176.66866571435483,97.96574754380694,0.0,0.0,0.0,0.0,0.0,95.64008990106369,129.17616503335788,0.0,0.0,0.0,0.0,0.0,104.76577199295183,66.9353226677661,0.0,0.0,0.0,0.0,0.0,123.29645907635313,320.28404786625634,0.0,0.0,0.0,0.0,0.0,330.93594461211165,148.41796100056644,0.0,0.0,0.0,0.0,0.0,119.90148194754764,18.75346431180622,0.0,0.0,0.0,0.0,0.0,33.09836155350102,109.280423332609,0.0,0.0,0.0,0.0,0.0,217.74915582195922,158.54156593225804,0.0,0.0,0.0,0.0,0.0,124.83926020320348,63.51272499954109,0.0,0.0,0.0,0.0,0.0,460.96389078165123,49.337974912692914,0.0,0.0,0.0,0.0,0.0,134.7097034211787
7,104.79387741317413,96.34015812249362,0.0,0.0,0.0,0.0,0.0,8.17972418187462,0.0,0.0,0.0,0.0,0.0,1.0252586541218167,3.6486749894842885,0.0,0.0,0.0,0.0,0.0,2.185574446266758,14.999562091087437,0.0,0.0,0.0,0.0,0.0,8.287024261071815,3.167709797790641,0.0,0.0,0.0,0.0,0.0,4.605737413211857,13.14102819868698,0.0,0.0,0.0,0.0,0.0,34.26482122045779,198.96531711705794,0.0,0.0,0.0,0.0,0.0,63.264523761967844,44.61759896309144,0.0,0.0,0.0,0.0,0.0,107.68505272073656,86.60218726506956,0.0,0.0,0.0,0.0,0.0,141.44908311793532,49.406353728858484,0.0,0.0,0.0,0.0,0.0,33.95736156937249,184.85535839334744,0.0,0.0,0.0,0.0,0.0,197.06461444235606,114.30148258055365,0.0,0.0,0.0,0.0,0.0,83.23276359632351,19.85475081986816,0.0,0.0,0.0,0.0,0.0,36.170424856074206,104.0008700662842,0.0,0.0,0.0,0.0,0.0,14.796673966370085,47.795502965616215,0.0,0.0,0.0,0.0,0.0,143.85061208586689,77.69804705849465,0.0,0.0,0.0,0.0,0.0,195.33445330602387,32.847954084845,0.0,0.0,0.0,0.0,0.0,39.08641094460137
8,215.81722709035282,62.68748710279889,0.0,0.0,0.0,0.0,0.0,4.772927645701537,0.0,0.0,0.0,0.0,0.0,4.257991617972763,4.466565693209405,0.0,0.0,0.0,0.0,0.0,3.5293096807029753,7.649058181329184,0.0,0.0,0.0,0.0,0.0,9.226796316658636,4.355467973556534,0.0,0.0,0.0,0.0,0.0,1.210422832593559,24.059696559499518,0.0,0.0,0.0,0.0,0.0,91.66353210919235,100.22186529552134,0.0,0.0,0.0,0.0,0.0,129.34351187079312,22.625156367787135,0.0,0.0,0.0,0.0,0.0,131.76209277929732,78.73246902437504,0.0,0.0,0.0,0.0,0.0,51.30995939174777,57.521343953909174,0.0,0.0,0.0,0.0,0.0,4.884683412420138,138.71613457806083,0.0,0.0,0.0,0.0,0.0,185.32083941543576,132.49821330992413,0.0,0.0,0.0,0.0,0.0,250.44393575858044,23.493699270371746,0.0,0.0,0.0,0.0,0.0,8.596081273484566,67.32128305016595,0.0,0.0,0.0,0.0,0.0,28.2997985023396,16.669493925995308,0.0,0.0,0.0,0.0,0.0,114.82387147372901,47.25906098546987,0.0,0.0,0.0,0.0,0.0,191.2101511153012,30.950603692553344,0.0,0.0,0.0,0.0,0.0,57.41040940998477
