,SZ,SZ,SZ,SZ,SZ,SZ,SZ,ASD,ASD,ASD,ASD,ASD,ASD,ASD,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.7896780041789215,0.07968757990970403,61.417322834645674,0.74140625,0.02500000037252903,0.0625,0.015625,0.08849529841389535,46.808510638297875,0.5505952380952381,0.011904762436946234,0.041666666666666664,0.006944444651405017,0.6938952170146604,0.0783564624462199,67.74193548387096,0.765625,0.0,0.0,0.0,0.3220242437835948,0.1222688377141614,47.05882352941176,0.41111111111111115,0.7373737494150797,0.625,1.0,0.7047618537841294,0.08448831397051021,62.5,0.4666666666666667,0.0,0.0,0.0,0.7147169319755904,0.11548787123238831,50.0,0.4,0.0,0.0,0.0,0.6937611245654081,0.09901027433222147,50.0,0.5,0.6727272570133209,0.5476190596818924,0.875,0.6937456226757454,0.09862468468559851,71.42857142857143,1.0,0.0,0.0,0.0,0.6932502188570927,0.08979394247365577,64.34782608695652,0.5278571428571428,0.0,0.0,0.0,0.7290022220864211,0.10142791405020496,56.09756097560976,0.5111111111111111,0.2619047562281291,0.3888888955116272,0.2277777815858523,0.6930026377984515
1,0.5739427051228141,0.0782353273291736,70.07874015748031,0.7966517857142857,0.40000000409781933,0.640625,0.3145833360031247,0.08846883927735301,54.25531914893617,0.5685515873015872,0.5908110501865546,0.5500000088165203,0.70069445297122,0.6934138716395736,0.0767125218767327,67.74193548387096,0.8208333333333333,0.0,0.0,0.0,0.37119728657803885,0.12223340604808536,47.05882352941176,0.39999999999999997,0.7373737494150797,0.625,1.0,0.6930022843513349,0.08386647490531837,62.5,0.8,0.5714285373687744,0.5,0.6666666865348816,0.6788076573701569,0.13360337567983324,33.33333333333333,0.43333333333333335,0.47272728383541107,0.3125,1.0,0.6993729308949844,0.10097665480039582,57.14285714285714,0.37777777777777777,0.533333346247673,0.625,0.46666668355464935,0.6436481435043573,0.09884213587339205,71.42857142857143,0.9,0.0,0.0,0.0,0.6938873548923449,0.08645392833448753,64.34782608695652,0.483015873015873,0.0,0.0,0.0,0.6983984890356433,0.10104285030664638,46.34146341463415,0.5951388888888889,0.6558663646380106,0.5386904776096344,1.0,1.0455787028489207
2,0.5374079895961409,0.07333697396531369,63.77952755905512,0.7619791666666667,0.15416666865348816,0.3125,0.1041666679084301,0.08860419779140906,53.72340425531915,0.42259424603174606,0.682806096971035,0.5364583333333334,1.0,0.6913438546856914,0.06996263567911516,67.74193548387096,0.9434523809523809,0.0,0.0,0.0,0.40307823206001175,0.1213665318511875,47.05882352941176,0.5111111111111111,0.7373737494150797,0.625,1.0,0.6905359424794223,0.09153470123041853,37.5,0.3333333333333333,0.5454545617103577,0.375,1.0,1.0224010317661183,0.1361571361825483,33.33333333333333,0.36666666666666664,0.47272728383541107,0.3125,1.0,0.6797484614171709,0.1014962925640407,35.714285714285715,0.375,0.472222238779068,0.45000000298023224,0.5,0.6960940506981923,0.09007968982109352,71.42857142857143,0.9,0.0,0.0,0.0,0.6759338245338629,0.08994451959682342,64.34782608695652,0.5745634920634921,0.0,0.0,0.0,0.6896380675232034,0.09751813795310674,56.09756097560976,0.44861111111111107,0.0,0.0,0.0,0.5426306886979736
3,0.6297674952555532,0.07845770690773439,60.629921259842526,0.7376860119047619,0.5941468421369791,0.4980654865503311,0.8156250044703484,0.08849691767339753,46.27659574468085,0.5807043650793651,0.0,0.0,0.0,0.6915926970221907,0.05581932382399015,83.87096774193549,0.8625,0.8293651044368744,0.7375000044703484,1.0,0.5153924802075881,0.1082566142554502,52.94117647058824,0.3444444444444444,0.16666666666666666,0.22222222884496054,0.13333333532015482,0.6328828230489114,0.130075284682413,37.5,0.2,0.5454545617103577,0.375,1.0,0.6888733237699994,0.17460769912389787,33.33333333333333,0.59375,0.3333333432674408,0.25,0.5,0.6352890373870504,0.09991605218938031,57.14285714285714,0.5111111111111111,0.7179487347602844,0.5625,1.0,0.6110542521880439,0.10530758609599793,71.42857142857143,0.6,0.6666666865348816,0.5,1.0,0.7400193041230733,0.0844080070692263,64.34782608695652,0.5886111111111111,0.0,0.0,0.0,0.44653742091156073,0.10325140087309956,43.90243902439025,0.5787698412698413,0.6450401569406191,0.5208333333333334,1.0,0.6597459703702299
4,0.6300597483240052,0.06775800388123028,72.44094488188976,0.8211681547619047,0.5756448525935411,0.6562500037252903,0.6135416720062494,0.0884669600026272,53.72340425531915,0.6038690476190478,0.64879010617733,0.5295138917863369,0.9186507947742939,0.6924077338432876,0.05228886216315534,87.09677419354838,0.9416666666666668,0.6500000059604645,0.75,0.5833333432674408,0.4905132351148673,0.12211621256630864,58.82352941176471,0.5555555555555556,0.7564102609952291,0.652777781089147,1.0,0.6918009881362914,0.08941842431404509,37.5,0.4,0.5454545617103577,0.375,1.0,0.7925838759733819,0.12089785943978637,33.33333333333333,0.7333333333333334,0.47272728383541107,0.3125,1.0,0.5524584424077851,0.09899164055265418,64.28571428571429,0.7444444444444445,0.7333333492279053,0.7857142984867096,0.7333333492279053,0.6953509665533635,0.09270137203242455,57.14285714285714,0.6,0.0,0.0,0.0,0.7075357771658825,0.08449036468757672,64.34782608695652,0.49190476190476196,0.0,0.0,0.0,0.5382879238998248,0.10092480867394386,60.97560975609756,0.5784722222222222,0.392063503464063,0.527777781089147,0.3250000054637591,0.6908962752765826
5,0.6021520723917181,0.07655003992409444,63.77952755905512,0.7770833333333332,0.6577832046896219,0.5241071553900838,0.9322916679084301,0.08843789388780951,55.319148936170215,0.5828125,0.5714692808687687,0.5395833433916172,0.6812500059604645,0.6912503406707294,0.10415898300206854,54.83870967741935,0.8125,0.5246753394603729,0.4095238223671913,0.75,0.3053743836269321,0.15284536420460473,47.05882352941176,0.7666666666666666,0.43822844823201496,0.3333333333333333,0.6666666666666666,0.4214817036031605,0.08844380984632158,37.5,0.4,0.5454545617103577,0.375,1.0,1.2332869380253584,0.13951539014506617,33.33333333333333,0.6666666666666667,0.533333346247673,0.375,1.0,0.6888790373087148,0.0990479445691749,42.857142857142854,0.4555555555555556,0.0,0.0,0.0,0.6918478574321524,0.10737757716540622,42.857142857142854,0.5,0.3333333432674408,0.25,0.5,0.6329373091864434,0.09073640489698065,64.34782608695652,0.5067063492063492,0.0,0.0,0.0,0.44860321509833617,0.10666214185383283,43.90243902439025,0.525,0.6544677664836248,0.5208333333333334,1.0,0.6275749539071482
6,0.38428415623707585,0.06869337892860887,70.86614173228347,0.8018601190476191,0.5951839927583933,0.5781250055879354,0.7041666693985462,0.08843901981913142,57.97872340425532,0.6435763888888889,0.4970238171517849,0.7083333395421505,0.41736111603677273,0.6909076704427783,0.042798413336329943,87.09677419354838,0.9583333333333334,0.7972222417593002,0.8666666746139526,0.8333333358168602,0.6091887078060547,0.12814606737513454,52.94117647058824,0.625,0.40909091631571454,0.3571428656578064,0.5,0.5305945329788966,0.08488765396489453,25.0,0.4666666666666667,0.4000000059604645,0.2857142984867096,0.6666666865348816,0.6366371319751694,0.09812054326451573,75.0,0.6666666666666666,0.25,0.5,0.1666666716337204,0.5761985326417783,0.09922137323742718,35.714285714285715,0.7333333333333334,0.0,0.0,0.0,0.703584864178874,0.10195926709639873,28.57142857142857,0.6,0.444444477558136,0.2857142984867096,1.0,0.6910238841464217,0.08939313415401365,64.34782608695652,0.48297619047619045,0.0,0.0,0.0,0.7142895362479346,0.09049517322216541,51.21951219512195,0.4840277777777778,0.49074075122674304,0.5555555572112402,0.4555555582046509,0.6896230282915259
7,0.5771782315382162,0.10481378861068288,55.118110236220474,0.7911086309523809,0.586411165073514,0.4581845300272107,0.9010416679084301,0.08809035360898676,56.91489361702128,0.6365327380952381,0.6846408291409413,0.5706845317035913,0.9378472218910853,0.6920203793581612,0.1414719673423234,51.61290322580645,0.8833333333333333,0.5444444417953491,0.39523810520768166,1.0,1.0116449525655495,0.14973376129591073,47.05882352941176,0.6666666666666666,0.4444444576899211,0.3333333333333333,0.6666666666666666,0.5058725276584257,0.08517056539627958,62.5,0.6,0.6666666865348816,0.5,1.0,0.6932870481264821,0.11632001280474909,58.333333333333336,0.4666666666666667,0.375,0.30000001192092896,0.5,0.6223582936618278,0.09896280984677616,64.28571428571429,0.4444444444444444,0.7500000298023224,0.6071428656578064,1.0,0.6935085280279575,0.09793481105388324,57.14285714285714,0.8,0.5714285969734192,0.4000000059604645,1.0,0.663109594126893,0.09160133434821767,64.34782608695652,0.528968253968254,0.0,0.0,0.0,0.7654573874409905,0.11987696810646584,48.78048780487805,0.6180555555555556,0.5207070857286453,0.4027777860562007,0.777777781089147,0.9951020979878848
8,0.3233651870782257,0.07943200104455014,71.65354330708661,0.8369047619047619,0.4638392888009548,0.7135416679084301,0.3885416705161333,0.0891992278777909,50.0,0.6046378968253968,0.14712301890055338,0.3541666666666667,0.0962301604449749,0.5733832571077707,0.0638990976504542,77.41935483870968,0.9166666666666667,0.4166666716337204,0.75,0.2916666716337204,0.19166489600005254,0.18261934496157836,58.82352941176471,0.5277777777777778,0.32380951444307965,0.3888888955116272,0.2777777810891469,0.3991797653827143,0.0867174991333561,37.5,0.3333333333333333,0.5454545617103577,0.375,1.0,0.6933333377712506,0.11202612246526518,66.66666666666666,0.8666666666666667,0.625,0.46666668355464935,1.0,0.6006503666800107,0.09902085580121035,50.0,0.3666666666666667,0.6346153914928436,0.5125000029802322,0.8333333432674408,0.6935376401702762,0.09310996848429733,71.42857142857143,1.0,0.6666666865348816,0.5,1.0,0.7480028249971438,0.0832438163024587,64.34782608695652,0.6316666666666666,0.0,0.0,0.0,0.6045957465200377,0.09055300976339016,60.97560975609756,0.5690476190476191,0.13095238308111826,0.3333333333333333,0.0833333358168602,0.6661707048132536
