,ASD,ASD,ASD,ASD,ASD,ASD,ASD,SZ,SZ,SZ,SZ,SZ,SZ,SZ,BIP,BIP,BIP,BIP,BIP,BIP,BIP,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DEL22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,DUP1q21_1,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2,DEL15q11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test,Loss/train
0,0.6994172518120849,0.6928265382261629,46.808510638297875,0.5137152777777777,0.020833333333333332,0.041666666666666664,0.013888889302810034,0.69143928047194,60.629921259842526,0.659375,0.0,0.0,0.0,0.6932033808562111,0.7647654014404057,67.74193548387096,0.525,0.0,0.0,0.0,0.14525133261837325,0.7838516312789802,47.05882352941176,0.5208333333333334,0.4444444576899211,0.3333333333333333,0.6666666666666666,1.0115641850239228,0.6936708163881938,37.5,0.06666666666666667,0.5454545617103577,0.375,1.0,0.7480590618335833,0.7171581037766774,33.33333333333333,0.6,0.47272728383541107,0.3125,1.0,0.8198366865319505,0.6712806354498208,57.14285714285714,0.625,0.6785714328289032,0.5416666716337204,1.0,0.6828262201746272,0.6937256273468378,28.57142857142857,0.6,0.444444477558136,0.2857142984867096,1.0,0.6909335523942286,0.6983696276295107,64.34782608695652,0.5315079365079366,0.0,0.0,0.0,0.5236409508006185,0.6929822639703167,56.09756097560976,0.53125,0.0,0.0,0.0,0.6935133589213502
1,0.6904863895167727,0.688232520205537,47.340425531914896,0.5597222222222221,0.030555554976065952,0.08333333333333333,0.018750000124176342,0.691246275679264,60.629921259842526,0.5809523809523809,0.0,0.0,0.0,0.6864716792134187,0.6081990894903574,67.74193548387096,0.6833333333333333,0.0,0.0,0.0,0.5353455583146817,0.6875417587844344,52.94117647058824,0.6819444444444445,0.7555555502573649,0.642857144276301,1.0,0.6736358051338857,0.7038795696597969,50.0,0.5333333333333333,0.5999999642372131,0.4285714328289032,1.0,0.7607565132390718,0.6113005966980245,75.0,0.6875,0.375,0.375,0.375,0.4966653100579603,0.7135721896604753,57.14285714285714,0.53125,0.48571427166461945,0.8333333432674408,0.375,1.2801045945821174,0.6935933636863018,14.285714285714285,0.0,0.25,0.1666666716337204,0.5,0.6931488226109999,0.6906845695028382,64.34782608695652,0.5292063492063492,0.0,0.0,0.0,0.6930831331183426,0.6933821989059956,43.90243902439025,0.5402777777777777,0.5080031206210455,0.375,0.8333333333333334,0.6927991657452813
2,0.6935356125079735,0.6884321774183403,47.87234042553192,0.6079365079365079,0.08472222213943799,0.20833333333333334,0.05347222276031971,0.6863056939971034,61.417322834645674,0.6114583333333333,0.02500000037252903,0.0625,0.015625,0.6995566578705521,0.7138650394830661,67.74193548387096,0.6666666666666667,0.0,0.0,0.0,1.508658031770068,0.7029324538976299,52.94117647058824,0.45555555555555555,0.16666666666666666,0.3333333333333333,0.11111111442248027,0.6158750524132992,0.7571740262717785,37.5,0.4666666666666667,0.5454545617103577,0.375,1.0,0.6991607883371552,0.5686821031537843,75.0,0.2857142857142857,0.4285714328289032,0.375,0.5,0.8040748267121087,0.6558673553468193,71.42857142857143,0.6666666666666667,0.7083333432674408,0.8333333432674408,0.6333333551883698,0.6707553745676291,0.6963214061932368,28.57142857142857,0.0,0.444444477558136,0.2857142984867096,1.0,0.6938890423191149,0.681866260621822,64.34782608695652,0.4588492063492064,0.0,0.0,0.0,0.6849021915453342,0.693084509347466,48.78048780487805,0.5861111111111111,0.3907407472531001,0.38333334277073544,0.43888889253139496,0.6930790081849878
3,0.6888044384545492,0.6825919185066064,55.85106382978723,0.5568948412698412,0.6900664269924164,0.5535714328289032,0.980158731341362,0.6884417535510687,63.77952755905512,0.6960193452380952,0.09791666828095913,0.1875,0.06770833395421505,0.6891641283789053,0.6814727811687518,61.29032258064516,0.7464285714285714,0.5714285895228386,0.4285714365541935,1.0,0.5467660115768237,0.7885763078508834,47.05882352941176,0.5625,0.4444444576899211,0.3333333333333333,0.6666666666666666,0.46435658590511747,0.7409008796420684,62.5,0.5333333333333333,0.6666666865348816,0.5,1.0,0.59957676978092,1.0067102646571666,33.33333333333333,0.7916666666666667,0.533333346247673,0.375,1.0,0.511319723325079,0.7364994051172129,57.14285714285714,0.5,0.7179487347602844,0.5625,1.0,1.0381125408428202,0.6960161974678611,28.57142857142857,0.0,0.444444477558136,0.2857142984867096,1.0,0.6830832626193598,0.6699799423507712,64.34782608695652,0.48170634920634914,0.0,0.0,0.0,0.6398987365815589,0.6928541608782353,56.09756097560976,0.5034722222222222,0.0,0.0,0.0,0.6954140961878416
4,0.6915787031315119,0.686548099224799,47.87234042553192,0.5862847222222222,0.08412698407967885,0.20833333333333334,0.053472223381201424,0.6597113531473064,66.14173228346458,0.6291666666666667,0.21666666865348816,0.4375,0.14791666809469461,0.6572928301755846,0.5363197657896529,70.96774193548387,0.7785714285714286,0.1666666716337204,0.25,0.125,0.5151666223593853,0.9005008749938156,52.94117647058824,0.5736111111111111,0.13333333532015482,0.16666666666666666,0.11111111442248027,0.3129711153360481,0.6955330557966463,37.5,0.5333333333333333,0.5454545617103577,0.375,1.0,0.7444900966067427,0.603156946157776,75.0,0.75,0.3333333432674408,0.5,0.25,0.3938908657794991,0.9105795499855015,50.0,0.5111111111111111,0.25,0.5,0.1666666716337204,0.665141451200078,0.7055457571515493,28.57142857142857,0.0,0.444444477558136,0.2857142984867096,1.0,0.6848520749176041,0.708938424597808,64.34782608695652,0.5705555555555556,0.0,0.0,0.0,0.5670415310065584,0.6934104233160063,46.34146341463415,0.5444444444444444,0.6494172513484955,0.5267857213815054,0.9444444477558136,0.6936746451209566
5,0.6913649618131616,0.6892157549649207,47.87234042553192,0.5684027777777778,0.05416666716337204,0.125,0.034722222636143364,0.6707430318717824,63.77952755905512,0.6807291666666666,0.13958333618938923,0.25,0.09895833395421505,0.639599707159428,0.5182658161157176,67.74193548387096,0.8,0.0,0.0,0.0,0.9000068634112758,0.8558255410588088,52.94117647058824,0.5736111111111111,0.7333333293596903,0.642857144276301,0.9166666666666666,0.25641053494033683,0.7165680377360679,37.5,0.4666666666666667,0.5454545617103577,0.375,1.0,0.6258581979994163,0.639207230154753,66.66666666666666,0.9583333333333333,0.6857143044471741,0.533333346247673,1.0,0.5855255204410739,0.7573193947990726,42.857142857142854,0.36666666666666664,0.25,0.5,0.1666666716337204,0.5173876567668759,0.7014084555785204,14.285714285714285,0.0,0.25,0.1666666716337204,0.5,0.697853747478839,0.6865319052304945,64.34782608695652,0.5282539682539683,0.0,0.0,0.0,0.44985039261540105,0.6927804910618477,53.65853658536586,0.6090277777777778,0.18888888756434122,0.3333333333333333,0.14444444825251898,0.690077503782792
6,0.6407862064651817,0.6728535281903617,56.91489361702128,0.617534722222222,0.687683624525865,0.5558035733799139,0.9826388880610466,0.6134772626682184,66.14173228346458,0.7428943452380953,0.28958333656191826,0.5416666679084301,0.21041666995733976,0.6937631285089553,1.090938762408465,35.483870967741936,0.5404761904761906,0.4603632427752018,0.3303571455180645,1.0,0.4999534170740419,0.7042377913396977,52.94117647058824,0.6152777777777777,0.7575757702191671,0.648809532324473,1.0,0.4604721626386681,0.6867408911255315,37.5,0.3333333333333333,0.5454545617103577,0.375,1.0,1.0894775068110394,1.2110899378673052,33.33333333333333,0.7666666666666666,0.47272728383541107,0.3125,1.0,0.6957294652189911,0.7065935886240948,57.14285714285714,0.6222222222222222,0.7083333432674408,0.5857143104076385,0.9000000059604645,0.5955436240543459,0.7241195703466302,14.285714285714285,0.1,0.0,0.0,0.0,0.688349838725532,0.7029521506288527,64.34782608695652,0.4673015873015873,0.0,0.0,0.0,0.5444929461592987,0.6833710079031733,56.09756097560976,0.45267857142857143,0.0,0.0,0.0,0.6977961795080294
7,0.7062359244689728,0.7232857319201096,47.340425531914896,0.6505208333333333,0.030555554976065952,0.08333333333333333,0.018750000124176342,0.6268461604282087,65.35433070866141,0.6722470238095237,0.14226190373301506,0.2916666679084301,0.10000000055879354,1.0416580545167118,0.5017155051654238,67.74193548387096,0.85,0.0,0.0,0.0,0.672387899963621,0.6293576676632313,58.82352941176471,0.625,0.39047618707021076,0.3888888955116272,0.4166666666666667,0.6710822757640518,0.6133333348377106,75.0,0.7333333333333333,0.5,1.0,0.3333333432674408,2.007475755126073,0.5735629024106593,66.66666666666666,1.0,0.625,0.46666668355464935,1.0,0.6888519996951814,0.7111324057866174,50.0,0.53125,0.20000000298023224,0.5,0.125,0.705116723493456,0.7628121003327791,28.57142857142857,0.1,0.444444477558136,0.2857142984867096,1.0,0.6952131472914618,0.683677969619073,64.34782608695652,0.5798015873015873,0.0,0.0,0.0,0.6570179903074124,0.6907226033631051,43.90243902439025,0.3958333333333333,0.269841268658638,0.2638888905445735,0.2777777810891469,0.6934891197918231
8,0.6295929760237038,0.7085117656527349,50.0,0.6606150793650793,0.11845238382617633,0.2916666666666667,0.07569444552063942,0.634723631645195,66.92913385826772,0.7105654761904762,0.24895833246409893,0.5625,0.1620535757392645,0.5958327240963552,0.6036226434873244,67.74193548387096,0.8458333333333333,0.0,0.0,0.0,0.6569328962707183,0.7082698487112576,64.70588235294117,0.5888888888888889,0.414814829826355,0.5,0.35555556416511536,0.6979222732265395,0.7134742481386023,62.5,0.6,0.6666666865348816,0.5,1.0,0.6531818170332624,0.3879046296269588,83.33333333333334,1.0,0.8333333432674408,0.75,1.0,0.44948477020550015,0.9544410686560477,50.0,0.5888888888888889,0.25,0.5,0.1666666716337204,0.328574531799716,0.8067800200842254,28.57142857142857,0.6,0.444444477558136,0.2857142984867096,1.0,0.6854099665384725,0.6830807138859786,64.34782608695652,0.5488095238095239,0.0,0.0,0.0,0.7189812852239349,0.6937785484003112,29.268292682926827,0.23720238095238097,0.15000000099341074,0.15277778108914694,0.1583333338300387,0.6946115171702554
