,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
0,0.6872798107264286,0.6915531628420606,57.14285714285714,0.71875,0.0,0.0,0.0
1,0.7488944014326271,0.6748665988181831,57.14285714285714,0.6333333333333333,0.0,0.0,0.0
2,0.7887165500093736,0.6601827851911489,57.14285714285714,0.6888888888888889,0.0,0.0,0.0
3,0.653466860862186,0.6597354826086367,57.14285714285714,0.43333333333333335,0.0,0.0,0.0
4,0.6469817277454672,0.6487129019324662,57.14285714285714,0.8125,0.0,0.0,0.0
5,0.559791377345619,0.6320145289420029,50.0,0.6041666666666667,0.0,0.0,0.0
6,0.5609231870716148,0.6405483384554698,50.0,0.65625,0.0,0.0,0.0
7,0.491172775809484,0.6293732872078063,57.14285714285714,0.7,0.1666666567325592,0.5,0.10000000149011612
8,0.30235508335556294,0.618749422338367,71.42857142857143,0.7333333333333334,0.625,0.6666666716337204,0.800000011920929
9,0.3367094432873436,0.6915618633619421,50.0,0.71875,0.1428571343421936,0.1666666716337204,0.125
10,0.209552130332389,0.9597123621852158,57.14285714285714,0.625,0.3333333432674408,0.5,0.25
11,0.035251474451148596,0.7006988235193046,64.28571428571429,0.6875,0.6190476417541504,0.7000000029802322,0.75
12,0.005271427011873762,0.7169415556178248,71.42857142857143,0.78125,0.7083333432674408,0.625,0.875
13,0.009806650063061606,1.1417403068482823,57.14285714285714,0.7,0.20000000298023224,0.25,0.1666666716337204
14,0.01592612974694571,0.8796239658611694,64.28571428571429,0.6875,0.3333333432674408,0.5,0.25
15,0.004874352138688277,0.8378773344798062,71.42857142857143,0.6875,0.7333333492279053,0.6333333551883698,0.875
16,0.002241679635042543,1.250239291136374,57.14285714285714,0.71875,0.1666666716337204,0.25,0.125
17,0.0008345668760407979,0.853715951094759,78.57142857142857,0.7333333333333334,0.7500000298023224,0.6071428656578064,1.0
18,0.003081561790577842,1.7066510677994613,57.14285714285714,0.6666666666666666,0.25,0.5,0.1666666716337204
19,0.0066799301373773635,0.9181433945826308,78.57142857142857,0.7083333333333333,0.7777778208255768,0.6500000059604645,1.0
20,0.0009274961836144666,1.0460234298044642,64.28571428571429,0.7555555555555555,0.45000000298023224,0.75,0.3333333432674408
21,0.014300533978350648,2.385871260502046,57.14285714285714,0.6666666666666667,0.20000000298023224,0.5,0.125
22,0.004469803905623491,1.0775595504862623,71.42857142857143,0.78125,0.7636363804340363,0.6190476417541504,1.0
23,0.00028936271326967416,2.2593700303492192,57.14285714285714,0.7083333333333334,0.20000000298023224,0.5,0.125
24,0.0009127028395653524,1.0168371263532183,64.28571428571429,0.8,0.6500000059604645,0.7000000029802322,0.6666666865348816
25,0.0005071309811860845,1.5817237451980242,57.14285714285714,0.75,0.1666666716337204,0.25,0.125
26,0.005946281900095275,2.181622443058873,57.14285714285714,0.6875,0.1666666716337204,0.25,0.125
27,0.00013321563775695137,1.12202694661434,64.28571428571429,0.7777777777777777,0.619047611951828,0.5833333432674408,0.6666666865348816
28,0.0005425075462737554,1.0958478785983954,64.28571428571429,0.75,0.5750000029802322,0.5416666716337204,0.625
29,0.0004210147509547188,1.1620218487625948,57.14285714285714,0.6888888888888889,0.5000000149011612,0.5000000149011612,0.5000000149011612
30,0.0002426744378558547,1.3628923578105998,71.42857142857143,0.6666666666666666,0.5,0.5,0.5
31,0.00031535143710140125,1.496674860966904,71.42857142857143,0.71875,0.5833333432674408,0.75,0.5
32,0.00028716297490988344,1.5485166836270987,71.42857142857143,0.7111111111111111,0.5833333432674408,0.8333333432674408,0.5000000149011612
33,0.0004337718715355465,1.5500543571297223,71.42857142857143,0.5777777777777777,0.6000000089406967,0.75,0.5000000149011612
34,0.00016493718072152857,1.5197636355316282,71.42857142857143,0.7333333333333334,0.375,0.5,0.30000001192092896
35,0.00022237664723963996,1.4822456028849145,71.42857142857143,0.6875,0.619047611951828,0.8333333432674408,0.5
